	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1FN.11A.34R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.CR.7398.01A.11R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.60.2709.01A.21R.1820.07	TCGA.77.8128.01A.11R.2247.07	TCGA.22.1012.01A.01R.0692.07	TCGA.96.A4JK.01A.11R.A24Z.07	TCGA.58.8392.01A.11R.2326.07	TCGA.77.8148.01A.11R.2247.07	TCGA.39.5040.11A.01R.2125.07	TCGA.77.7335.11A.01R.2045.07	TCGA.BR.4279.01A.01R.1131.13
AARS2	43.02	78.34	47.5	289.02	234.57	273.37	0.0	0.11	119.26	158.79	129.69	186.4	258.57	194.36	78.34	44.25	55.49
ABHD8	78.34	127.0	70.01	152.28	102.25	341.51	0.0	0.37	242.88	249.73	283.05	457.25	429.54	327.56	177.53	176.29	115.97
ACAD10	307.69	241.19	299.25	269.6	318.57	454.09	0.0	0.17	228.13	299.25	267.73	432.53	273.37	409.15	161.02	156.59	107.38
ACVR2B	40.64	69.52	31.22	19.53	29.06	74.06	0.0	0.25	31.22	89.51	45.21	54.72	57.89	48.18	11.38	17.77	32.82
ALDOC	1844.76	842.36	921.88	30361.44	3768.09	127.89	0.0	0.68	1277.29	1457.23	2895.31	1936.53	2303.12	5594.3	353.59	603.67	297.17
ANAPC5	1794.29	2400.97	2758.13	848.22	1757.34	1991.0	0.0	0.56	2032.85	2104.58	3665.02	2434.5	2209.26	2682.69	1909.85	1685.71	1617.0
AP000769.1	14.89	24.99	18.29	11.13	0.74	110.43	0.0	0.19	16.15	15.45	92.7	34.51	30.78	82.87	12.45	4.1	0.0
AP3D1	819.3	1037.29	791.35	854.13	708.18	1936.53	0.0	1.03	1551.09	1388.16	1225.22	3039.3	1819.35	2104.58	616.37	718.08	511.0
AZI1	15.8	36.53	18.16	175.07	146.03	450.94	0.0	0.66	309.83	320.8	400.71	620.67	336.79	536.45	121.79	34.51	73.03
BCL7A	87.03	231.32	76.71	223.41	239.52	368.65	0.0	0.35	255.0	447.82	271.48	307.69	312.0	353.59	49.21	96.68	86.43
C12orf52	125.24	246.28	118.43	320.8	389.72	486.75	0.0	0.0	397.93	417.77	551.56	629.35	503.95	412.0	164.42	236.21	201.25
C16orf59	3.66	18.03	9.63	193.01	25.17	409.15	0.0	0.0	191.67	351.14	285.03	547.75	226.54	743.43	4.58	3.59	31.0
C17orf96	9.27	48.52	36.79	483.38	26.1	206.94	0.0	0.33	86.43	224.97	123.5	297.17	143.01	224.97	39.22	6.41	14.03
C19orf24	500.46	1051.79	476.71	866.07	2075.59	2682.69	0.0	0.15	2032.85	1594.73	2555.58	2287.2	2018.8	2777.33	1096.5	1059.11	647.07
C19orf52	248.0	264.03	277.2	518.15	329.84	511.0	543.96	540.19	518.15	599.49	684.02	718.08	638.15	708.18	187.71	262.2	177.53
C5orf55	42.71	40.36	38.95	103.69	131.51	151.22	0.0	0.13	86.43	152.28	123.5	116.78	50.63	211.31	55.49	53.19	23.25
CACTIN	187.71	265.87	178.77	133.36	312.0	693.58	0.0	0.72	447.82	444.72	587.13	791.35	293.07	684.02	271.48	143.01	109.66
CAMSAP3	0.08	147.06	64.8	2997.45	1417.35	848.22	0.0	0.03	228.13	791.35	555.41	1037.29	669.92	603.67	79.45	68.55	48.52
CARM1	447.82	579.04	371.22	1015.93	764.36	1350.18	1561.89	329.84	1127.35	1447.15	1369.04	1923.14	1540.37	2451.44	299.25	392.44	514.56
CD320	785.88	896.64	291.04	170.25	218.79	854.13	0.0	0.51	813.63	974.5	1369.04	2148.82	808.0	1551.09	802.41	642.59	559.28
CDC34	417.77	454.09	291.04	1457.23	698.41	2061.24	3614.55	1037.29	1259.69	1417.35	1407.55	2061.24	1378.57	1781.89	961.07	454.09	791.35
CDH24	48.52	88.26	34.02	180.02	109.66	248.0	0.0	0.61	176.29	400.71	346.29	351.14	412.0	435.55	77.25	27.84	37.05
CDT1	1.97	35.0	15.0	1030.12	98.04	346.29	0.0	0.04	363.56	808.0	384.34	555.41	366.09	941.27	7.4	7.82	87.03
CHAF1A	114.36	138.1	148.09	813.63	358.54	825.0	0.0	0.42	507.46	656.11	500.46	1340.84	514.56	1119.56	67.12	35.5	132.44
CHERP	244.57	406.31	279.14	389.72	387.02	1268.46	511.0	214.27	718.08	854.13	748.61	1277.29	1015.93	1639.59	299.25	239.52	246.28
CHTF18	28.86	74.06	38.4	351.14	147.06	1250.98	0.0	0.99	463.65	743.43	587.13	1167.14	426.57	1331.57	133.36	26.47	67.59
CIT	35.5	64.34	61.68	111.21	57.08	271.48	120.94	43.94	204.07	246.28	226.54	277.2	275.28	307.69	98.04	47.5	53.95
COASY	595.34	967.76	802.41	2351.53	1757.34	2163.77	0.0	0.71	1832.01	1832.01	1674.06	2224.63	2133.97	2468.49	813.63	728.11	559.28
CSNK1G2	343.89	780.44	476.71	1487.87	1991.0	2434.5	0.0	0.66	1322.37	1498.22	1477.58	2609.3	1508.65	1662.49	890.44	435.55	356.05
