	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.DD.AAEE.01A.11R.A41C.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.DD.AACA.01A.11R.A41C.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.AAW2.01A.11R.A41C.07	TCGA.DD.A4NF.01A.11R.A27V.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.BC.A10U.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.FV.A2QR.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.BC.A10T.11A.11R.A131.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.QDVN.0826.SM.48TZ2	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.X4XY.1626.SM.46MVN	GTEX.11ZTS.1426.SM.5EQMM	GTEX.RM2N.1926.SM.48FCU	GTEX.13FTZ.0726.SM.5IFFY	GTEX.X4EO.1126.SM.4QARQ	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.X4EP.1026.SM.4QAS5	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.144GM.1326.SM.5LU5E	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13N2G.0926.SM.5IFGJ	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.131XE.0326.SM.5LZVO	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.ZVT4.0626.SM.5E45T	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13O3O.1826.SM.5IFGW	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR
ACVR1B	497.0	457.25	208.38	312.0	262.2	409.15	327.56	267.73	265.87	363.56	267.73	204.07	191.67	414.87	698.41	728.11	591.22	728.11	256.78	332.14	353.59	769.69	480.04	599.49	412.0	214.27	974.5	327.56	277.2	1896.65	346.29	842.36	591.22	723.08	260.38	295.11	353.59	563.18	381.68	447.82	295.11	260.38	738.29	309.83	476.71	293.07	193.01	525.39	327.56	426.57	389.72	591.22	329.84	466.88	281.09	232.94	256.78	305.55	249.73	269.6	343.89	244.57	1322.37	567.1	748.61	376.41	426.57	1551.09	1268.46
AKIRIN1	1151.06	295.11	336.79	299.25	239.52	896.64	236.21	460.44	409.15	848.22	441.64	295.11	221.86	753.83	1073.91	1151.06	909.17	1233.75	693.58	878.17	934.76	1015.93	1250.98	1059.11	389.72	403.5	941.27	688.78	514.56	1233.75	571.05	1407.55	759.08	1250.98	500.46	271.48	616.37	854.13	450.94	536.45	249.73	500.46	1304.15	718.08	651.58	307.69	255.0	890.44	587.13	381.68	356.05	1037.29	441.64	532.74	332.14	728.11	698.41	1199.98	521.76	514.56	638.15	423.61	1088.92	629.35	1216.75	435.55	521.76	1397.83	525.39
APOC1	606436.73	817012.28	469249.9	589853.66	296977.71	482442.34	659036.03	309589.14	447025.24	450134.56	863596.77	641014.63	627822.72	875652.15	546551.29	565825.41	589853.66	569761.05	632189.57	741454.2	581732.96	402881.61	632189.57	772940.66	1611529.43	2748093.15	25179.16	1622738.51	1800541.22	114897.47	1679964.3	129266.49	2310861.52	1147449.11	1442359.14	1775752.63	2310861.52	535303.41	2654482.97	3178687.03	2691538.19	3430528.88	185362.8	4526610.31	2375828.71	3576208.94	2924988.47	456418.21	5809569.18	1838374.44	2511293.86	169390.27	6719860.18	1611529.43	2672946.37	1691649.38	2294899.22	767601.56	2748093.15	2599854.48	2904784.09	3702323.71	489177.0	1063212.58	1703415.74	3968052.37	3626130.97	229795.93	1514068.5
ARL5B	536.45	100.83	194.36	170.25	125.24	397.93	97.36	351.14	241.19	149.12	78.34	78.89	171.45	228.13	460.44	759.08	444.72	733.19	591.22	476.71	536.45	1143.1	414.87	435.55	307.69	384.34	470.14	214.27	186.4	1119.56	267.73	521.76	224.97	1250.98	543.96	175.07	164.42	974.5	232.94	381.68	248.0	201.25	934.76	191.67	229.72	193.01	172.65	287.01	239.52	176.29	241.19	493.56	211.31	255.0	195.72	470.14	301.33	1037.29	343.89	1111.82	234.57	237.86	915.51	307.69	1883.54	215.77	251.48	414.87	423.61
ARNTL2	129.69	10.71	4.5	13.22	19.68	82.29	3.66	5.5	5.06	4.13	114.36	14.14	9.93	40.07	113.56	195.72	69.03	54.33	72.01	74.06	102.97	88.26	61.68	60.82	31.67	11.38	136.19	35.5	4.94	277.2	31.0	170.25	34.75	94.67	19.97	7.46	7.57	63.89	9.56	25.72	18.43	22.1	579.04	22.26	28.65	3.29	2.32	28.45	23.76	5.41	9.78	351.14	6.16	11.47	4.46	57.89	43.94	251.48	23.93	16.88	52.08	17.25	329.84	18.7	186.4	17.64	11.55	314.17	105.15
ARPC5L	1066.48	947.83	607.87	555.41	728.11	1769.57	511.0	647.07	915.51	928.3	748.61	595.34	698.41	981.29	1008.9	1697.45	1135.2	1519.15	791.35	1498.22	988.12	1127.35	1111.82	1378.57	759.08	785.88	981.29	1096.5	884.29	1909.85	518.15	1199.98	974.5	1427.22	954.43	432.53	693.58	902.89	669.92	1037.29	389.72	660.68	1794.29	669.92	813.63	559.28	638.15	1051.79	884.29	753.83	934.76	1594.73	599.49	684.02	507.46	1151.06	884.29	1104.13	813.63	1081.39	808.0	525.39	3665.02	555.41	1304.15	642.59	769.69	2075.59	1397.83
B4GALT5	819.3	139.07	152.28	122.64	177.53	638.15	190.34	170.25	149.12	253.23	135.24	176.29	87.03	426.57	947.83	909.17	684.02	848.22	406.31	836.53	660.68	854.13	848.22	1037.29	336.79	234.57	571.05	246.28	133.36	1066.48	336.79	934.76	182.55	808.0	476.71	153.34	258.57	536.45	198.47	265.87	209.84	169.07	1331.57	115.16	262.2	113.56	128.79	432.53	339.14	262.2	143.01	1242.34	237.86	299.25	105.89	309.83	232.94	348.71	253.23	224.97	197.09	221.86	1073.91	176.29	665.29	156.59	248.0	896.64	406.31
BATF3	34.51	21.78	16.63	23.59	14.56	205.5	26.28	9.2	8.45	9.63	14.67	20.26	63.0	110.43	94.67	122.64	58.71	108.14	47.5	125.24	77.25	61.68	78.34	86.43	18.7	75.64	74.58	47.5	19.39	140.04	38.12	57.89	8.51	68.55	87.65	15.0	7.46	76.71	29.06	49.91	15.8	6.78	633.73	17.0	51.71	78.89	55.49	50.63	211.31	20.71	61.25	348.71	18.97	82.29	18.29	93.35	28.86	94.01	32.59	62.12	33.78	15.0	293.07	7.4	162.14	23.76	20.86	156.59	41.52
C11orf96	1127.35	143.01	110.43	109.66	95.34	8191.0	178.77	90.14	183.82	45.53	124.37	44.25	127.0	1151.06	878.17	4181.07	988.12	4066.71	836.53	5672.41	3742.05	5403.7	1023.0	1709.26	358.54	1896.65	2485.67	660.68	265.87	4268.94	231.32	3820.7	234.57	775.05	1561.89	460.44	130.6	1909.85	571.05	791.35	267.73	211.31	6840.04	204.07	575.03	239.52	748.61	616.37	1233.75	96.01	511.0	5831.91	403.5	703.28	186.4	1662.49	974.5	1733.13	571.05	1044.52	248.0	285.03	1697.45	148.09	3349.13	866.07	204.07	6294.04	2178.83
CASP4	2209.26	764.36	392.44	551.56	669.92	3212.66	256.78	525.39	336.79	341.51	723.08	325.29	808.0	1331.57	1870.53	1685.71	1340.84	2976.74	1662.49	3419.52	1936.53	2777.33	1030.12	2047.0	1183.45	1081.39	3820.7	748.61	457.25	4869.99	854.13	2502.97	547.75	2367.9	1467.37	567.1	395.18	2434.5	432.53	748.61	417.77	579.04	3419.52	529.06	780.44	438.59	620.67	1378.57	909.17	536.45	579.04	5255.91	723.08	961.07	571.05	1151.06	1008.9	1909.85	674.59	1175.27	1051.79	647.07	4937.99	633.73	2609.3	483.38	551.56	2520.38	1594.73
