	TCGA.C4.A0F0.01A.12R.A10U.07	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.ZZPT.1426.SM.5N9C5	GTEX.NPJ8.2026.SM.3TW91	GTEX.ZYY3.1626.SM.5EGJF	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.CZ.4854.01A.01R.1305.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5706.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.A3.3347.01A.02R.1325.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.BP.4169.01A.02R.1289.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.A3.3323.01A.02R.1325.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.BP.4974.01A.01R.1334.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.BP.4962.01A.01R.1334.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.4326.01A.01R.1289.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.BP.4986.01A.01R.1334.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.J2.A4AE.01A.21R.A24H.07	GTEX.RTLS.0626.SM.5SI7Z
AC115618.1	2.43	10.47	11.82	10.08	16.63	5.59	2.63	5.36	7.63	5.06	3.38	3.99	3.66	21.01	7.46	8.06	4.24	13.42	4.21	8.92	1.83	4.82	16.15	13.32	5.92	0.82	7.82	4.94	3.5	2.34	12.0	23.59	2.32	7.22	5.28	4.46	3.11	6.94	10.47	4.9	9.85	6.16	0.39	4.78	10.47	5.77	4.78	19.25	11.3
AGAP6	20.11	753.83	802.41	947.83	915.51	204.07	44.25	159.9	211.31	137.14	50.98	16.75	15.8	825.0	251.48	121.79	193.01	244.57	41.52	186.4	29.06	56.68	381.68	169.07	85.22	34.02	185.11	138.1	34.51	36.53	559.28	195.72	96.01	187.71	53.57	63.0	11.47	267.73	379.04	195.72	91.41	46.5	22.26	173.85	358.54	26.86	31.9	642.59	414.87
AHI1	59.97	460.44	334.46	376.41	493.56	228.13	105.89	119.26	224.97	151.22	164.42	78.34	67.59	511.0	208.38	145.02	185.11	244.57	170.25	316.37	95.34	158.79	301.33	204.07	96.68	56.68	221.86	92.05	127.0	92.7	728.11	295.11	111.21	246.28	108.9	120.94	50.27	269.6	170.25	255.0	162.14	140.04	69.52	275.28	579.04	92.7	104.42	947.83	334.46
AKAP8L	366.09	2591.27	3303.0	1709.26	2351.53	1498.22	435.55	928.3	1519.15	728.11	660.68	356.05	470.14	3874.05	1359.57	866.07	1167.14	1277.29	269.6	1467.37	312.0	392.44	1467.37	1044.52	629.35	389.72	2384.37	647.07	563.18	429.54	2537.92	1378.57	503.95	921.88	559.28	603.67	113.56	1350.18	1519.15	1277.29	1127.35	480.04	679.29	878.17	1709.26	381.68	409.15	2061.24	3443.31
AL627309.1	0.99	629.35	825.0	327.56	748.61	137.14	22.26	46.5	84.04	85.22	18.97	9.56	20.41	490.14	318.57	242.88	145.02	514.56	54.33	232.94	18.43	17.64	71.0	78.89	47.5	20.56	108.14	68.55	28.04	16.75	162.14	890.44	28.86	264.03	24.81	53.95	5.28	102.97	215.77	128.79	346.29	71.0	7.0	162.14	314.17	4.86	16.63	1487.87	348.71
ATAT1	44.57	473.41	624.99	327.56	373.81	127.89	68.55	136.19	147.06	94.67	131.51	61.68	89.51	454.09	281.09	84.04	172.65	234.57	201.25	242.88	81.71	87.65	307.69	206.94	92.7	43.32	253.23	74.06	97.36	81.71	325.29	299.25	130.6	187.71	84.63	100.13	12.74	251.48	212.78	165.57	111.99	78.34	111.99	175.07	162.14	65.72	67.59	483.38	289.02
ATF6B	669.92	2271.4	1757.34	2148.82	1757.34	1639.59	995.0	1388.16	1286.18	1233.75	1936.53	1104.13	1340.84	2451.44	1883.54	1066.48	1487.87	1857.6	941.27	2255.7	928.3	1023.0	1909.85	1628.26	921.88	753.83	1909.85	981.29	1259.69	1407.55	1781.89	2004.85	884.29	1477.58	1208.34	1331.57	258.57	1832.01	1447.15	1561.89	1159.07	780.44	1250.98	1487.87	1437.15	1119.56	896.64	1936.53	2303.12
ATG16L2	43.63	1216.75	1350.18	967.76	1037.29	500.46	115.16	480.04	490.14	327.56	152.28	95.34	98.73	2682.69	872.1	414.87	780.44	819.3	116.78	1295.13	100.83	155.5	1167.14	638.15	277.2	145.02	941.27	267.73	156.59	163.28	1733.13	563.18	212.78	514.56	220.32	237.86	27.64	620.67	1135.2	603.67	381.68	113.56	217.27	599.49	902.89	112.77	141.02	1870.53	947.83
ATN1	493.56	5403.7	3325.99	5791.62	3794.3	2193.99	656.11	1340.84	2255.7	1605.83	1295.13	1378.57	1605.83	2104.58	1794.29	1175.27	2032.85	1896.65	660.68	1685.71	366.09	511.0	2351.53	1175.27	1242.34	928.3	3039.3	921.88	1295.13	1225.22	2417.67	2555.58	1268.46	1844.76	1199.98	1119.56	248.0	2224.63	1844.76	1651.0	1487.87	1674.06	1721.16	1225.22	2400.97	1167.14	1322.37	1721.16	3372.43
CCDC62	0.0	2.66	3.56	10.88	4.86	1.85	1.13	1.93	1.2	1.95	1.45	0.8	1.46	9.78	2.61	1.1	1.69	3.63	1.57	3.35	1.1	2.58	3.86	1.48	1.57	1.6	2.48	1.75	1.55	0.78	3.82	5.36	1.16	3.14	1.13	0.39	0.39	1.46	2.27	3.0	0.71	0.41	1.13	1.2	3.76	0.39	0.38	8.32	4.1
