	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39W.11A.11R.A213.07	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.XBEC.1526.SM.4AT68	GTEX.11ZVC.0726.SM.5FQT9	GTEX.WVJS.0826.SM.4MVNR	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.7233.01A.11R.2118.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.13FTW.1226.SM.5LZZ1	GTEX.ZY6K.1526.SM.5GZXE	GTEX.X5EB.1826.SM.4E3K8	GTEX.WZTO.0926.SM.4PQZ3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N
ADNP2	102.25	50.98	64.34	54.72	129.69	142.01	30.56	43.02	78.89	69.03	89.51	87.03	110.43	223.41	277.2	194.36	208.38	137.14	197.09	223.41	267.73	161.02	125.24	228.13	177.53	111.21	113.56	229.72	183.82	156.59	197.09	194.36	165.57	202.66	275.28	397.93	273.37	149.12	228.13	318.57	151.22	143.01	169.07
AFG3L2	693.58	684.02	679.29	450.94	551.56	503.95	559.28	555.41	638.15	480.04	595.34	264.03	660.68	860.08	842.36	713.11	813.63	693.58	708.18	785.88	775.05	738.29	532.74	802.41	738.29	432.53	665.29	698.41	769.69	647.07	713.11	688.78	723.08	941.27	961.07	902.89	967.76	500.46	753.83	723.08	688.78	470.14	638.15
BCLAF1	483.38	140.04	400.71	532.74	438.59	414.87	205.5	260.38	511.0	275.28	500.46	603.67	753.83	1427.22	2163.77	1304.15	1322.37	679.29	1044.52	1359.57	1721.16	967.76	842.36	1651.0	1023.0	579.04	642.59	1088.92	1135.2	743.43	1175.27	1322.37	995.0	1407.55	1388.16	2193.99	1208.34	529.06	1088.92	1313.23	647.07	500.46	1143.1
BMS1	117.6	66.18	106.63	118.43	110.43	90.77	75.64	102.25	119.26	137.14	108.9	104.42	176.29	226.54	316.37	239.52	241.19	182.55	228.13	220.32	255.0	234.57	185.11	258.57	176.29	98.73	173.85	150.17	220.32	221.86	251.48	229.72	223.41	277.2	293.07	348.71	307.69	291.04	246.28	191.67	171.45	154.42	170.25
BRIX1	241.19	115.97	205.5	197.09	204.07	195.72	224.97	186.4	215.77	178.77	269.6	176.29	503.95	503.95	612.11	559.28	441.64	414.87	470.14	500.46	490.14	438.59	444.72	536.45	470.14	620.67	438.59	642.59	406.31	363.56	447.82	412.0	507.46	514.56	486.75	708.18	575.03	403.5	460.44	521.76	429.54	283.05	373.81
BZW2	246.28	218.79	325.29	140.04	162.14	150.17	171.45	166.73	204.07	155.5	289.02	412.0	591.22	1167.14	1030.12	785.88	660.68	532.74	830.75	507.46	563.18	518.15	441.64	703.28	748.61	785.88	450.94	703.28	679.29	368.65	400.71	444.72	511.0	878.17	1044.52	1023.0	567.1	450.94	620.67	563.18	470.14	406.31	540.19
C10orf2	74.06	54.33	37.59	81.71	34.26	57.89	69.03	51.71	70.01	78.34	76.17	56.28	165.57	273.37	217.27	189.02	165.57	172.65	234.57	135.24	111.21	129.69	115.97	137.14	170.25	59.13	151.22	93.35	170.25	87.65	111.99	108.9	119.26	201.25	201.25	224.97	167.9	127.89	132.44	122.64	96.68	86.43	45.85
CIRH1A	314.17	239.52	236.21	211.31	189.02	159.9	205.5	206.94	289.02	224.97	248.0	293.07	457.25	651.58	808.0	454.09	423.61	518.15	438.59	460.44	543.96	438.59	351.14	536.45	543.96	708.18	438.59	587.13	435.55	447.82	426.57	423.61	397.93	642.59	669.92	1015.93	638.15	343.89	470.14	483.38	441.64	305.55	323.03
COPB2	1378.57	723.08	1250.98	599.49	571.05	679.29	796.86	723.08	769.69	802.41	860.08	713.11	2451.44	3349.13	3124.78	2645.74	2555.58	1781.89	2209.26	3168.41	3443.31	2209.26	2351.53	2701.35	2271.4	2163.77	1991.0	2367.9	2796.65	1844.76	2701.35	2468.49	2664.15	3467.27	3794.3	3081.75	3419.52	2004.85	2875.3	3124.78	2209.26	1639.59	2682.69
CTR9	376.41	182.55	277.2	201.25	190.34	183.82	255.0	224.97	206.94	248.0	275.28	325.29	426.57	575.03	674.59	483.38	532.74	356.05	466.88	567.1	607.87	457.25	387.02	624.99	457.25	299.25	387.02	389.72	514.56	392.44	567.1	518.15	441.64	540.19	633.73	642.59	466.88	371.22	595.34	529.06	490.14	358.54	307.69
