	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.FD.A3SJ.01A.12R.A22U.07	TCGA.BT.A20W.01A.21R.A14Y.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.K4.A6MB.01A.11R.A31N.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.HQ.A2OE.01A.11R.A206.07	TCGA.G2.AA3F.01A.12R.A42T.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.XF.AAMY.01A.11R.A42T.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.UY.A9PD.01A.11R.A38B.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.DK.AA6P.01A.11R.A39I.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.FD.A3NA.01A.11R.A21D.07	TCGA.4Z.AA7M.01A.11R.A39I.07	TCGA.BH.A203.01A.12R.A169.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.BD.A2L6.11A.21R.A213.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A10W.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.14753.1626.SM.5NQ9L
ABCF2	723.08	536.45	1030.12	743.43	633.73	698.41	486.75	1250.98	713.11	417.77	432.53	748.61	647.07	336.79	921.88	647.07	599.49	543.96	490.14	1059.11	708.18	283.05	171.45	185.11	182.55	151.22	332.14	178.77	255.0	190.34	206.94	147.06	133.36
ADNP	647.07	1159.07	884.29	1143.1	890.44	825.0	547.75	1721.16	981.29	547.75	567.1	915.51	638.15	616.37	599.49	1059.11	1508.65	1127.35	728.11	1378.57	1023.0	221.86	197.09	163.28	202.66	265.87	281.09	175.07	175.07	248.0	209.84	327.56	116.78
AGBL5	470.14	444.72	1008.9	559.28	718.08	559.28	583.07	1331.57	518.15	295.11	624.99	540.19	348.71	299.25	529.06	642.59	348.71	503.95	551.56	796.86	432.53	153.34	153.34	183.82	178.77	197.09	189.02	180.02	145.02	175.07	178.77	187.71	135.24
AGK	307.69	281.09	341.51	299.25	277.2	295.11	205.5	819.3	285.03	237.86	242.88	361.04	307.69	361.04	403.5	246.28	295.11	241.19	229.72	521.76	384.34	119.26	133.36	164.42	142.01	152.28	194.36	136.19	161.02	165.57	142.01	236.21	126.12
ALKBH4	423.61	212.78	273.37	281.09	221.86	237.86	341.51	336.79	226.54	287.01	253.23	204.07	275.28	220.32	256.78	312.0	279.14	454.09	320.8	567.1	152.28	181.28	163.28	177.53	130.6	262.2	172.65	155.5	112.77	121.79	149.12	177.53	83.45
ANKRD16	406.31	140.04	171.45	138.1	121.79	91.41	201.25	232.94	248.0	114.36	224.97	141.02	226.54	77.79	141.02	848.22	175.07	450.94	173.85	389.72	108.9	94.67	78.34	68.55	92.05	94.01	67.59	79.45	88.88	90.77	74.06	67.59	130.6
ARF3	2119.22	2758.13	2502.97	2591.27	2004.85	2240.11	1417.35	3639.7	2287.2	1467.37	1896.65	2777.33	1896.65	2133.97	1167.14	1745.2	2701.35	2935.74	2303.12	1977.24	2855.44	860.08	743.43	1151.06	813.63	902.89	1259.69	909.17	848.22	896.64	1008.9	921.88	872.1
B4GALT6	10.79	36.53	221.86	52.45	93.35	22.92	50.63	423.61	122.64	22.92	38.4	59.55	19.82	126.12	159.9	256.78	246.28	49.91	13.62	23.25	32.36	10.63	9.93	5.59	10.96	19.68	17.51	26.47	21.16	24.99	18.97	16.39	6.89
BCLAF1	1135.2	934.76	1088.92	1397.83	713.11	1015.93	518.15	1806.78	1617.0	426.57	785.88	1008.9	647.07	947.83	753.83	785.88	1697.45	791.35	981.29	1277.29	1561.89	409.15	309.83	140.04	336.79	412.0	518.15	325.29	366.09	400.71	356.05	363.56	226.54
BRI3BP	93.35	264.03	108.14	116.78	103.69	253.23	74.58	258.57	131.51	139.07	68.07	156.59	80.57	46.84	89.51	87.03	159.9	186.4	132.44	146.03	204.07	54.72	69.03	71.0	73.03	92.05	80.01	62.56	60.39	86.43	92.05	81.14	62.12
C2orf44	107.38	103.69	183.82	155.5	131.51	97.36	64.8	234.57	89.51	149.12	117.6	72.01	69.52	44.89	112.77	109.66	189.02	112.77	75.11	156.59	129.69	34.02	28.04	22.75	39.79	59.55	63.45	41.52	31.0	30.12	39.79	48.87	13.72
C2orf68	1135.2	723.08	854.13	842.36	1322.37	909.17	791.35	1745.2	1388.16	1233.75	1233.75	842.36	1359.57	1832.01	1662.49	1216.75	612.11	974.5	1008.9	1277.29	1498.22	366.09	406.31	518.15	587.13	529.06	497.0	409.15	444.72	480.04	441.64	525.39	438.59
CCDC22	420.68	201.25	269.6	503.95	486.75	283.05	426.57	1015.93	356.05	351.14	435.55	161.02	312.0	218.79	651.58	361.04	397.93	420.68	329.84	269.6	426.57	249.73	170.25	303.44	172.65	229.72	253.23	236.21	167.9	232.94	226.54	275.28	156.59
CENPE	57.89	108.14	122.64	136.19	64.34	81.71	24.46	144.01	28.86	101.54	28.45	64.34	35.25	22.92	85.82	66.18	119.26	66.65	110.43	260.38	111.99	0.54	0.55	0.0	1.11	3.47	5.06	1.71	1.99	1.08	0.6	0.75	0.41
