	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.TP.A8TT.01A.12R.A41O.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.ZG.A9LN.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.J4.A6G1.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.7789.11A.01R.2118.07
ADAM8	80.57	52.45	239.52	33.3	32.13	111.21	204.07	54.33	84.04	72.01	14.14	178.77	127.89	277.2	46.18	18.03	103.69	191.67	77.25	33.78	128.79	76.17	95.34	31.0	37.32	71.5	59.55	209.84	56.68	72.01	438.59	60.82	104.42	314.17	83.45	256.78	70.01	34.75	48.52	143.01	11.04	93.35	57.08	51.35	24.46	15.8	55.49	81.71	38.4	29.7	136.19	162.14	108.9
AKNA	120.94	139.07	423.61	111.21	141.02	312.0	232.94	228.13	190.34	147.06	128.79	387.02	341.51	387.02	161.02	131.51	332.14	414.87	111.99	129.69	221.86	114.36	180.02	164.42	144.01	79.45	146.03	480.04	135.24	76.17	769.69	147.06	339.14	269.6	198.47	559.28	169.07	181.28	57.08	237.86	40.36	175.07	166.73	140.04	121.79	110.43	143.01	236.21	109.66	141.02	336.79	218.79	183.82
AMICA1	71.0	108.14	368.65	8.19	67.12	152.28	264.03	99.43	115.97	74.58	35.0	285.03	493.56	255.0	56.28	40.07	361.04	587.13	68.55	64.34	277.2	47.84	139.07	55.89	127.0	6.11	194.36	567.1	81.71	44.25	718.08	157.68	175.07	267.73	181.28	802.41	131.51	84.63	20.71	155.5	57.89	76.17	50.27	55.49	42.11	54.72	64.8	178.77	52.08	66.65	195.72	94.01	248.0
APBB1IP	29.48	45.53	142.01	3.99	22.43	90.77	65.72	48.87	40.64	62.56	32.59	76.71	130.6	119.26	18.29	22.75	147.06	167.9	23.08	24.11	86.43	17.0	32.36	14.35	67.59	6.46	47.17	237.86	28.24	12.45	334.46	29.27	72.01	90.77	86.43	232.94	71.0	40.36	12.27	78.89	15.11	23.59	27.44	15.11	15.0	38.12	23.08	65.72	28.24	38.4	133.36	28.45	63.0
APOBEC3H	1.31	7.94	26.28	0.0	4.39	7.17	12.09	10.0	11.3	8.32	5.45	33.54	32.13	11.91	3.47	5.15	19.25	18.7	5.36	1.38	12.0	0.0	4.17	14.56	13.32	2.51	8.78	67.59	8.19	1.66	32.82	5.28	30.12	22.1	15.11	57.49	8.99	16.75	1.51	17.0	2.39	9.78	8.92	1.03	2.94	2.84	12.93	10.31	0.73	2.86	15.0	9.85	11.73
APOBR	34.26	50.27	120.94	31.22	22.26	58.71	77.25	38.95	49.91	57.49	16.03	91.41	75.11	92.7	52.82	21.32	130.6	115.16	32.13	63.0	71.5	34.51	58.71	18.7	41.22	18.97	66.18	123.5	25.54	18.16	135.24	41.52	39.22	115.97	46.18	131.51	41.52	33.54	10.08	54.72	34.51	55.1	35.25	29.06	25.35	33.06	89.51	53.19	38.67	46.84	85.22	57.08	37.85
ARHGAP25	56.28	89.51	201.25	15.68	34.26	162.14	126.12	63.89	53.57	81.71	66.18	118.43	113.56	171.45	43.02	53.95	161.02	204.07	42.71	59.13	113.56	41.52	74.58	23.42	90.14	23.59	41.22	351.14	51.35	21.01	511.0	96.68	104.42	107.38	96.68	329.84	111.21	72.01	21.16	97.36	23.25	53.19	43.32	98.73	46.18	55.49	49.21	94.01	40.36	40.07	197.09	47.17	176.29
ARHGAP30	40.64	56.28	253.23	40.93	31.22	158.79	128.79	49.56	92.05	92.7	44.89	135.24	208.38	187.71	39.79	36.01	205.5	242.88	57.08	43.32	163.28	40.36	82.29	46.84	85.22	24.63	66.18	343.89	49.91	37.32	543.96	56.28	104.42	163.28	129.69	414.87	115.16	73.54	25.72	152.28	19.68	78.89	38.95	42.71	25.17	46.84	45.53	102.25	50.27	37.05	204.07	75.64	116.78
ARHGAP4	195.72	173.85	802.41	73.03	115.16	285.03	346.29	279.14	265.87	199.85	121.79	563.18	397.93	599.49	187.71	98.73	435.55	490.14	187.71	143.01	307.69	166.73	218.79	88.88	96.01	96.01	351.14	813.63	223.41	113.56	1487.87	215.77	320.8	603.67	218.79	1030.12	279.14	112.77	119.26	403.5	69.52	209.84	256.78	141.02	108.9	106.63	178.77	412.0	114.36	148.09	620.67	376.41	194.36
ARHGAP9	75.64	119.26	493.56	21.47	44.89	223.41	156.59	85.22	114.36	85.22	53.57	285.03	334.46	366.09	66.18	40.07	232.94	490.14	57.08	53.57	283.05	92.05	102.97	51.71	121.79	17.0	161.02	708.18	83.45	29.91	1081.39	81.71	273.37	301.33	158.79	902.89	161.02	65.26	22.59	169.07	39.5	76.71	96.68	48.87	50.98	50.27	66.65	162.14	52.08	30.34	307.69	106.63	167.9
ARL11	3.06	6.94	38.95	0.33	4.39	12.83	7.63	3.53	4.24	5.73	2.07	8.71	7.0	21.32	1.83	1.95	11.13	19.53	1.91	1.95	9.34	1.99	3.56	1.43	3.44	0.91	4.66	12.18	2.25	0.66	50.27	7.69	4.82	8.51	9.27	14.14	39.22	3.89	1.79	6.21	1.43	3.14	5.06	1.93	1.87	3.92	1.93	6.21	2.36	4.94	13.42	3.17	8.65
BCL11B	3.38	5.19	28.04	0.62	4.78	30.56	14.45	4.86	6.26	7.11	3.79	17.64	25.17	23.08	1.48	5.19	16.27	37.85	1.91	2.29	8.92	1.35	5.23	3.17	13.62	0.0	4.78	52.45	1.64	1.28	59.97	3.35	15.68	14.78	11.82	57.89	11.47	4.58	0.38	13.72	0.59	2.56	3.89	1.62	2.51	3.35	5.73	11.73	4.7	1.38	17.13	4.82	10.0
BCL2A1	21.16	38.95	114.36	9.27	8.19	88.26	85.82	105.15	36.27	36.27	8.45	72.52	92.05	96.68	51.35	16.63	80.01	279.14	55.1	17.51	84.04	24.81	52.08	28.04	61.68	18.7	30.56	297.17	15.8	30.78	366.09	16.03	58.71	130.6	52.82	212.78	93.35	20.26	17.9	80.01	6.67	23.42	22.92	11.47	12.09	20.56	18.03	53.57	31.9	46.18	132.44	33.78	67.12
