	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.D8.A1JA.01A.11R.A13Q.07	TCGA.HN.A2OB.01A.21R.A27Q.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.D8.A4Z1.01A.21R.A266.07	TCGA.BH.A28O.01A.11R.A22K.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.D8.A1J8.01A.11R.A13Q.07	TCGA.BH.A1F8.01A.11R.A13Q.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.E9.A244.01A.11R.A169.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A2.A4RY.01A.31R.A266.07	TCGA.AC.A62X.01A.11R.A29R.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0AU.11A.11R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	TCGA.BH.A0HA.11A.31R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.1269C.2426.SM.5FQSN	GTEX.XMD2.0926.SM.4WWEF	GTEX.YFC4.1426.SM.5IFJG	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.1313W.0826.SM.5EQ4T	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.ZXES.0826.SM.5E43C	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.12ZZX.1126.SM.5EGKB	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.BP.4799.01A.01R.1305.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.ZQG8.2126.SM.4YCF1	TCGA.BR.4279.01A.01R.1131.13	GTEX.P4PP.2026.SM.3P61N	GTEX.XUJ4.1526.SM.4BONU	GTEX.13U4I.1926.SM.5LU39	GTEX.1117F.2426.SM.5EGGH	GTEX.13VXT.1626.SM.5IJES
AC021860.1	19.68	0.41	0.44	10.47	10.0	21.01	30.34	0.45	1.97	1.43	0.87	2.01	0.74	10.47	10.31	0.78	4.39	0.45	5.59	0.43	0.42	4.31	18.56	1.79	5.54	7.88	1.5	1.13	1.75	0.0	1.13	0.46	4.39	6.31	4.03	3.44	1.51	11.04	7.11	0.0	1.77	31.9	0.39	0.0	0.0	18.16	4.17	10.96	21.63	41.81	14.24	21.94	9.78	52.08	4.03	5.77	32.59	39.22	12.27	27.64	14.67	5.63	10.0	14.35	46.84	21.01	12.09	14.78	1.45	22.26	18.29	13.32	4.98	36.53	5.5	4.94	42.11	19.82	31.22	5.82	12.45	1.11	0.0	0.0	0.0	0.0	0.0	0.44	0.01	0.77	0.08	0.0	6.94	0.0	1.83	42.71	6.06	59.55	41.22	20.71
AC024580.1	51.35	0.0	0.92	52.08	58.71	67.12	27.44	4.35	4.9	0.0	15.68	16.88	21.01	41.52	69.52	23.59	29.48	9.48	24.81	0.0	0.0	50.63	38.67	21.78	8.32	13.22	0.0	0.0	44.57	8.38	39.5	2.14	10.16	1.35	8.65	36.01	2.05	25.91	16.15	4.58	10.47	47.17	0.0	1.23	0.0	49.91	0.0	6.26	46.84	37.32	28.45	46.84	4.43	66.65	1.0	20.41	20.71	21.63	13.22	82.87	15.68	1.27	23.59	1.55	66.18	24.11	38.12	0.91	2.18	2.2	63.89	39.22	0.91	84.04	3.06	1.62	29.27	9.56	80.57	10.31	9.06	0.0	0.0	0.0	0.0	0.28	0.75	0.51	10.63	0.0	0.61	0.0	9.34	0.0	0.0	75.11	25.54	28.45	24.46	28.86
AHSA2	2682.69	339.14	175.07	587.13	1023.0	1397.83	1111.82	283.05	239.52	193.01	251.48	397.93	1037.29	1119.56	1605.83	748.61	974.5	392.44	463.65	460.44	299.25	633.73	974.5	633.73	674.59	511.0	309.83	336.79	808.0	127.0	441.64	379.04	361.04	551.56	389.72	848.22	228.13	620.67	507.46	154.42	332.14	1250.98	180.02	231.32	264.03	902.89	579.04	579.04	1250.98	1427.22	909.17	612.11	616.37	1397.83	638.15	866.07	1051.79	1583.71	2384.37	1662.49	1397.83	656.11	1008.9	406.31	2224.63	1225.22	974.5	624.99	521.76	486.75	1322.37	915.51	305.55	1250.98	264.03	848.22	1268.46	780.44	1447.15	603.67	825.0	234.57	45.21	44.89	293.07	37.59	78.89	76.71	70.51	287.01	124.37	0.0	423.61	4.94	96.68	1594.73	599.49	1051.79	1487.87	1477.58
BRD1	511.0	293.07	277.2	567.1	447.82	638.15	651.58	289.02	279.14	155.5	301.33	480.04	226.54	460.44	480.04	518.15	571.05	486.75	384.34	228.13	175.07	299.25	551.56	204.07	368.65	297.17	256.78	158.79	514.56	423.61	175.07	236.21	267.73	521.76	490.14	412.0	293.07	450.94	460.44	332.14	346.29	583.07	361.04	218.79	351.14	351.14	447.82	320.8	612.11	525.39	454.09	507.46	423.61	575.03	348.71	447.82	616.37	703.28	447.82	638.15	490.14	423.61	414.87	409.15	503.95	493.56	669.92	693.58	567.1	343.89	441.64	454.09	295.11	708.18	242.88	197.09	476.71	358.54	438.59	318.57	432.53	116.78	24.11	161.02	209.84	75.11	95.34	111.99	191.67	172.65	102.97	0.0	287.01	199.85	223.41	1143.1	470.14	902.89	728.11	775.05
BRD9	688.78	651.58	281.09	660.68	836.53	723.08	808.0	348.71	444.72	909.17	366.09	848.22	660.68	656.11	759.08	366.09	733.19	633.73	454.09	409.15	267.73	480.04	480.04	518.15	642.59	575.03	381.68	438.59	555.41	500.46	567.1	620.67	521.76	624.99	480.04	575.03	497.0	656.11	624.99	624.99	395.18	947.83	486.75	339.14	612.11	934.76	551.56	500.46	769.69	688.78	656.11	620.67	669.92	738.29	432.53	665.29	830.75	902.89	603.67	796.86	665.29	536.45	647.07	547.75	915.51	1015.93	733.19	708.18	412.0	426.57	796.86	902.89	438.59	854.13	339.14	426.57	693.58	529.06	830.75	384.34	521.76	232.94	164.42	198.47	273.37	198.47	181.28	209.84	133.36	253.23	110.43	387.02	406.31	220.32	299.25	1781.89	1037.29	890.44	915.51	1044.52
BRPF1	265.87	258.57	102.25	256.78	223.41	320.8	320.8	152.28	177.53	295.11	211.31	267.73	373.81	264.03	387.02	258.57	281.09	169.07	215.77	94.01	69.03	251.48	269.6	165.57	256.78	186.4	164.42	183.82	256.78	281.09	178.77	312.0	251.48	214.27	246.28	291.04	223.41	281.09	275.28	177.53	242.88	312.0	293.07	117.6	124.37	221.86	262.2	172.65	318.57	320.8	346.29	226.54	273.37	366.09	142.01	256.78	371.22	299.25	180.02	316.37	260.38	166.73	264.03	177.53	194.36	293.07	289.02	255.0	212.78	157.68	269.6	221.86	175.07	423.61	232.94	163.28	241.19	209.84	212.78	237.86	193.01	72.01	16.03	54.72	73.54	77.25	50.27	55.89	109.66	57.49	24.28	220.32	117.6	145.02	109.66	444.72	376.41	312.0	241.19	325.29
BZRAP1	1135.2	246.28	8.71	511.0	454.09	934.76	974.5	182.55	142.01	176.29	85.22	327.56	1313.23	1295.13	1088.92	332.14	1191.69	466.88	271.48	52.82	67.59	120.94	368.65	107.38	454.09	226.54	738.29	189.02	708.18	41.81	307.69	133.36	271.48	629.35	612.11	1674.06	130.6	414.87	348.71	142.01	69.52	1051.79	262.2	123.5	166.73	518.15	384.34	246.28	921.88	1037.29	878.17	629.35	587.13	981.29	293.07	599.49	974.5	1088.92	723.08	813.63	764.36	256.78	647.07	368.65	1561.89	981.29	651.58	723.08	371.22	218.79	1008.9	1030.12	248.0	733.19	368.65	334.46	1073.91	547.75	1477.58	454.09	547.75	21.01	2.46	31.22	98.04	12.36	6.89	18.29	28.24	36.01	42.71	0.0	309.83	2.39	40.36	4736.79	1477.58	3081.75	1617.0	3443.31
C15orf37	48.52	8.32	2.32	50.98	25.35	71.5	65.72	1.64	6.26	3.23	11.73	26.28	19.97	25.72	71.0	9.7	62.56	3.11	27.44	0.0	0.0	16.51	46.18	6.57	28.04	7.63	1.93	3.66	32.13	0.0	11.82	2.05	2.71	3.89	24.28	64.34	6.94	25.17	12.55	20.56	10.96	60.39	5.28	2.89	5.54	22.59	19.68	3.38	37.05	37.59	38.95	58.3	8.0	53.19	1.36	37.59	21.32	30.12	17.9	37.32	49.21	10.55	32.59	8.25	17.38	23.08	31.45	27.44	5.41	0.0	28.04	23.76	4.74	112.77	19.53	0.16	26.47	8.58	7.57	4.74	15.8	0.0	1.95	0.0	14.67	1.43	4.98	1.27	9.06	4.31	8.45	0.0	63.0	0.0	2.66	81.14	56.68	20.56	70.01	50.63
C22orf43	9.85	1.03	2.84	14.24	8.85	12.18	10.16	3.29	2.29	2.39	2.73	0.0	15.8	15.22	24.81	9.48	4.98	5.41	2.61	0.4	2.36	0.91	1.43	5.92	3.79	4.86	1.45	2.78	8.58	6.01	3.14	3.38	0.0	7.34	5.36	4.39	7.06	12.83	3.92	4.98	1.3	16.51	3.89	0.0	5.68	5.96	6.06	4.5	6.41	13.83	8.38	12.09	8.13	20.86	13.52	7.46	19.39	8.45	3.11	6.26	5.54	0.93	12.55	11.21	22.26	13.42	7.69	4.1	14.24	13.22	8.25	7.22	0.0	7.69	6.94	7.94	15.91	12.09	12.83	3.5	11.82	0.58	0.0	0.0	1.2	0.56	0.29	0.0	0.0	0.48	0.95	4.24	0.96	0.65	0.0	15.22	29.91	22.75	5.87	28.65
C5orf45	1143.1	368.65	167.9	543.96	555.41	884.29	830.75	417.77	305.55	201.25	228.13	381.68	693.58	511.0	1044.52	373.81	684.02	381.68	379.04	297.17	323.03	511.0	638.15	301.33	669.92	493.56	214.27	260.38	567.1	275.28	289.02	429.54	161.02	638.15	258.57	563.18	299.25	567.1	412.0	185.11	281.09	1051.79	144.01	211.31	1096.5	579.04	518.15	555.41	813.63	825.0	575.03	616.37	638.15	854.13	420.68	733.19	813.63	1023.0	651.58	796.86	665.29	356.05	769.69	595.34	1008.9	1127.35	842.36	808.0	612.11	323.03	866.07	981.29	373.81	669.92	366.09	624.99	974.5	769.69	988.12	490.14	665.29	379.04	283.05	291.04	314.17	148.09	173.85	156.59	183.82	237.86	239.52	271.48	511.0	37.85	358.54	1697.45	656.11	1259.69	1191.69	1286.18
