	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.X3Y1.2726.SM.4PQZH	GTEX.R53T.0326.SM.48FEC	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.EM.A3FL.01A.11R.A21D.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYW4.1126.SM.5SI99	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.T5JW.1226.SM.3GACY	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11EI6.0726.SM.59866	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.S7SE.0726.SM.2XCD7	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.WY7C.0226.SM.3NB37	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.R55C.0626.SM.2TF4Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PX3G.2626.SM.2I3EG	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12WSD.0926.SM.5GCNL	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13FTW.0626.SM.5IFEX
ANGEL2	164.42	146.03	176.29	194.36	141.02	182.55	191.67	211.31	150.17	241.19	226.54	130.6	193.01	253.23	307.69	334.46	669.92	293.07	409.15	297.17	555.41	454.09	293.07	476.71	403.5	262.2	536.45	432.53	277.2	387.02	629.35	387.02	466.88	429.54	497.0	351.14	518.15	480.04	412.0	384.34	323.03	332.14	348.71	395.18	325.29	297.17	435.55	307.69	325.29	376.41	381.68	387.02	444.72	307.69	532.74	473.41	341.51	507.46	265.87	363.56	363.56	454.09	283.05	400.71	351.14	351.14	426.57	376.41	559.28	363.56	323.03	343.89	409.15	279.14	358.54	269.6	629.35	480.04	366.09	444.72	406.31	318.57	291.04	325.29	353.59	293.07
ANKRD13A	145.02	169.07	209.84	199.85	198.47	204.07	232.94	154.42	348.71	1175.27	974.5	665.29	551.56	954.43	1199.98	759.08	1745.2	791.35	1151.06	1191.69	934.76	1199.98	785.88	1015.93	902.89	703.28	1963.57	836.53	902.89	1963.57	1359.57	1369.04	988.12	1268.46	1286.18	1313.23	1417.35	1277.29	1175.27	1023.0	1111.82	1322.37	1051.79	1111.82	921.88	967.76	1378.57	1617.0	1008.9	1023.0	1051.79	1051.79	1051.79	688.78	1088.92	995.0	1037.29	1322.37	1037.29	1159.07	1096.5	1781.89	796.86	1199.98	796.86	981.29	1639.59	1135.2	1359.57	1066.48	713.11	2319.15	1096.5	961.07	1127.35	679.29	1617.0	1397.83	1051.79	1572.76	1088.92	842.36	1023.0	1159.07	884.29	896.64
APPL2	169.07	165.57	206.94	181.28	236.21	234.57	199.85	275.28	429.54	260.38	307.69	325.29	215.77	373.81	341.51	371.22	616.37	343.89	497.0	249.73	514.56	497.0	348.71	532.74	457.25	366.09	454.09	480.04	381.68	277.2	507.46	403.5	353.59	403.5	595.34	493.56	358.54	532.74	525.39	536.45	423.61	384.34	363.56	476.71	309.83	351.14	493.56	348.71	432.53	511.0	320.8	575.03	633.73	363.56	616.37	529.06	295.11	518.15	389.72	454.09	463.65	426.57	348.71	463.65	366.09	371.22	429.54	384.34	525.39	454.09	363.56	507.46	454.09	277.2	361.04	368.65	514.56	368.65	463.65	612.11	480.04	336.79	486.75	441.64	426.57	314.17
ARHGAP29	155.5	83.45	193.01	206.94	166.73	214.27	221.86	223.41	120.94	403.5	208.38	450.94	273.37	384.34	414.87	417.77	1407.55	497.0	587.13	490.14	511.0	718.08	420.68	642.59	616.37	395.18	830.75	616.37	473.41	1369.04	1340.84	583.07	718.08	551.56	1340.84	633.73	836.53	665.29	463.65	587.13	381.68	684.02	483.38	616.37	457.25	444.72	616.37	543.96	511.0	563.18	406.31	497.0	665.29	470.14	642.59	563.18	603.67	808.0	493.56	753.83	651.58	703.28	432.53	674.59	435.55	547.75	629.35	503.95	842.36	775.05	540.19	688.78	934.76	353.59	559.28	348.71	1066.48	665.29	651.58	808.0	450.94	295.11	409.15	518.15	638.15	450.94
ARHGEF28	92.7	115.97	75.11	80.01	103.69	92.7	38.12	39.22	173.85	379.04	197.09	262.2	123.5	133.36	476.71	293.07	1733.13	400.71	186.4	336.79	620.67	674.59	209.84	791.35	255.0	178.77	1268.46	417.77	175.07	438.59	563.18	320.8	316.37	332.14	2400.97	1023.0	902.89	866.07	559.28	688.78	307.69	301.33	444.72	616.37	279.14	381.68	493.56	406.31	214.27	629.35	316.37	395.18	753.83	260.38	836.53	529.06	432.53	529.06	454.09	511.0	327.56	389.72	191.67	796.86	273.37	223.41	318.57	395.18	567.1	511.0	217.27	379.04	607.87	466.88	603.67	164.42	1225.22	1119.56	309.83	2018.8	361.04	289.02	507.46	312.0	518.15	366.09
ATAD5	1.51	0.0	2.81	5.92	2.92	3.35	2.27	2.05	1.19	6.26	8.25	4.31	5.23	4.62	5.54	9.63	25.17	6.78	10.08	5.77	14.56	11.47	6.31	12.27	10.47	11.21	14.67	16.15	8.92	9.63	27.25	12.36	10.0	12.74	19.11	11.47	16.39	14.67	15.34	11.21	7.63	7.69	13.93	12.27	6.46	7.11	21.16	14.56	11.91	10.0	11.73	17.13	17.64	9.85	16.39	15.11	9.63	22.92	8.45	12.18	16.88	18.03	10.63	17.64	9.56	10.08	17.9	12.09	13.22	11.55	9.06	11.47	6.89	9.13	14.03	5.02	17.64	13.42	8.65	15.22	17.64	7.69	13.52	8.65	9.48	11.47
ATG14	49.56	37.32	59.97	78.34	48.87	66.18	35.0	48.87	49.21	171.45	115.16	139.07	111.99	142.01	128.79	175.07	320.8	145.02	215.77	180.02	334.46	323.03	208.38	253.23	215.77	197.09	273.37	289.02	182.55	291.04	480.04	170.25	262.2	232.94	432.53	239.52	312.0	277.2	265.87	256.78	152.28	205.5	256.78	209.84	195.72	201.25	264.03	279.14	205.5	201.25	277.2	249.73	329.84	185.11	336.79	256.78	183.82	255.0	195.72	246.28	221.86	236.21	144.01	332.14	229.72	142.01	283.05	249.73	318.57	251.48	178.77	214.27	231.32	190.34	251.48	157.68	514.56	279.14	217.27	295.11	275.28	148.09	258.57	191.67	185.11	181.28
ATG2B	108.9	53.57	154.42	89.51	131.51	92.7	105.89	133.36	122.64	130.6	107.38	96.68	96.68	148.09	165.57	178.77	392.44	142.01	187.71	173.85	251.48	197.09	176.29	221.86	242.88	191.67	368.65	269.6	161.02	406.31	441.64	180.02	214.27	212.78	497.0	242.88	293.07	285.03	249.73	237.86	212.78	165.57	236.21	244.57	223.41	166.73	249.73	215.77	211.31	194.36	163.28	206.94	381.68	189.02	358.54	220.32	154.42	348.71	155.5	253.23	153.34	241.19	153.34	264.03	147.06	211.31	343.89	183.82	336.79	241.19	165.57	305.55	329.84	144.01	236.21	121.79	518.15	287.01	229.72	291.04	269.6	176.29	201.25	169.07	228.13	214.27
BBS4	127.89	52.82	159.9	126.12	126.12	100.13	120.1	141.02	70.01	507.46	348.71	285.03	299.25	438.59	480.04	450.94	1277.29	454.09	638.15	417.77	723.08	599.49	624.99	708.18	563.18	587.13	1015.93	612.11	514.56	511.0	974.5	723.08	629.35	684.02	902.89	890.44	890.44	753.83	733.19	638.15	532.74	579.04	633.73	825.0	450.94	638.15	769.69	525.39	540.19	587.13	642.59	620.67	808.0	457.25	656.11	813.63	629.35	842.36	420.68	547.75	647.07	860.08	493.56	791.35	438.59	616.37	934.76	669.92	1151.06	651.58	454.09	1015.93	693.58	529.06	616.37	500.46	928.3	651.58	575.03	884.29	748.61	450.94	708.18	555.41	775.05	540.19
BOD1L1	104.42	31.9	117.6	122.64	116.78	124.37	100.83	96.68	109.66	299.25	244.57	215.77	191.67	258.57	281.09	379.04	684.02	379.04	514.56	244.57	547.75	470.14	457.25	435.55	473.41	521.76	555.41	629.35	363.56	476.71	669.92	400.71	624.99	620.67	551.56	457.25	511.0	450.94	511.0	473.41	339.14	493.56	432.53	486.75	540.19	476.71	607.87	343.89	587.13	507.46	400.71	547.75	555.41	480.04	555.41	529.06	279.14	599.49	361.04	514.56	878.17	563.18	334.46	555.41	275.28	381.68	532.74	547.75	638.15	470.14	441.64	567.1	397.93	356.05	414.87	343.89	878.17	532.74	547.75	555.41	563.18	323.03	500.46	454.09	540.19	514.56
C5orf45	376.41	291.04	438.59	466.88	392.44	392.44	409.15	170.25	211.31	921.88	902.89	669.92	764.36	780.44	669.92	854.13	890.44	785.88	854.13	981.29	1388.16	1135.2	1088.92	1447.15	842.36	753.83	2209.26	1030.12	759.08	1605.83	1437.15	1322.37	1304.15	961.07	1397.83	1088.92	1794.29	1340.84	1175.27	1437.15	802.41	934.76	934.76	1175.27	693.58	974.5	1407.55	1008.9	1073.91	902.89	1119.56	1059.11	1119.56	571.05	1096.5	1159.07	1051.79	915.51	802.41	1183.45	921.88	1216.75	860.08	1167.14	1015.93	819.3	1721.16	1023.0	1769.57	921.88	733.19	1950.0	961.07	1313.23	1191.69	860.08	1295.13	1037.29	1467.37	1572.76	1427.22	836.53	1199.98	981.29	854.13	909.17
C7orf63	66.18	9.85	51.71	27.64	87.65	13.12	25.35	32.13	29.91	84.04	30.78	75.11	73.54	127.0	79.45	119.26	368.65	124.37	141.02	190.34	183.82	211.31	98.04	92.05	144.01	111.99	368.65	255.0	141.02	379.04	718.08	162.14	137.14	253.23	301.33	199.85	154.42	255.0	178.77	153.34	183.82	159.9	182.55	159.9	130.6	154.42	163.28	293.07	177.53	107.38	141.02	217.27	305.55	141.02	214.27	269.6	108.14	190.34	127.89	202.66	221.86	117.6	77.25	157.68	152.28	90.14	241.19	212.78	514.56	183.82	113.56	260.38	154.42	167.9	157.68	90.77	400.71	226.54	198.47	255.0	249.73	177.53	258.57	186.4	149.12	76.71
CCNT2	98.04	24.63	112.77	143.01	123.5	103.69	117.6	118.43	82.87	155.5	194.36	127.0	217.27	265.87	195.72	271.48	583.07	149.12	269.6	152.28	406.31	318.57	307.69	400.71	334.46	246.28	511.0	384.34	205.5	412.0	466.88	334.46	356.05	384.34	420.68	299.25	567.1	346.29	343.89	285.03	283.05	239.52	289.02	368.65	389.72	211.31	366.09	229.72	279.14	273.37	221.86	295.11	497.0	305.55	423.61	397.93	307.69	518.15	199.85	323.03	253.23	426.57	265.87	486.75	260.38	361.04	470.14	329.84	563.18	343.89	253.23	490.14	409.15	231.32	371.22	198.47	595.34	420.68	371.22	406.31	457.25	209.84	275.28	201.25	343.89	312.0
CCP110	33.54	10.24	62.12	39.5	30.12	42.71	30.78	51.35	43.32	95.34	58.71	48.52	55.89	110.43	102.25	121.79	423.61	102.25	221.86	109.66	241.19	253.23	149.12	172.65	193.01	167.9	339.14	237.86	120.94	457.25	518.15	253.23	156.59	215.77	371.22	169.07	208.38	232.94	241.19	232.94	137.14	145.02	198.47	193.01	165.57	135.24	258.57	171.45	165.57	183.82	139.07	211.31	309.83	147.06	217.27	195.72	86.43	242.88	119.26	199.85	170.25	231.32	165.57	251.48	120.94	154.42	346.29	221.86	363.56	226.54	131.51	314.17	231.32	116.78	181.28	117.6	281.09	228.13	190.34	239.52	244.57	141.02	205.5	159.9	201.25	152.28
CDC23	193.01	208.38	183.82	214.27	212.78	229.72	228.13	303.44	353.59	387.02	327.56	327.56	299.25	341.51	356.05	346.29	620.67	381.68	476.71	289.02	432.53	397.93	343.89	397.93	358.54	384.34	444.72	423.61	387.02	400.71	486.75	507.46	400.71	392.44	483.38	447.82	426.57	366.09	356.05	356.05	329.84	412.0	397.93	432.53	392.44	373.81	463.65	373.81	358.54	463.65	432.53	543.96	476.71	314.17	397.93	429.54	241.19	532.74	444.72	343.89	514.56	547.75	366.09	432.53	339.14	314.17	441.64	373.81	493.56	384.34	356.05	392.44	379.04	273.37	351.14	332.14	571.05	426.57	435.55	368.65	432.53	332.14	389.72	414.87	371.22	366.09
CEP57	521.76	125.24	571.05	466.88	368.65	414.87	583.07	595.34	447.82	389.72	343.89	293.07	320.8	412.0	480.04	463.65	967.76	381.68	669.92	514.56	669.92	748.61	583.07	708.18	638.15	521.76	708.18	713.11	540.19	995.0	1199.98	647.07	679.29	633.73	954.43	559.28	836.53	629.35	612.11	575.03	543.96	511.0	612.11	713.11	500.46	529.06	624.99	684.02	497.0	503.95	547.75	642.59	669.92	529.06	629.35	599.49	387.02	785.88	460.44	647.07	723.08	723.08	435.55	684.02	567.1	620.67	743.43	660.68	860.08	713.11	490.14	796.86	698.41	599.49	693.58	397.93	1111.82	713.11	684.02	713.11	633.73	511.0	651.58	521.76	579.04	571.05
CLCN6	64.8	70.51	109.66	71.5	67.59	102.97	127.89	65.72	92.05	178.77	104.42	117.6	102.25	169.07	177.53	156.59	371.22	187.71	190.34	309.83	303.44	209.84	283.05	371.22	248.0	224.97	351.14	309.83	163.28	497.0	341.51	236.21	237.86	256.78	325.29	295.11	353.59	323.03	229.72	327.56	267.73	223.41	206.94	327.56	251.48	217.27	323.03	368.65	293.07	201.25	244.57	295.11	414.87	189.02	283.05	327.56	232.94	239.52	242.88	244.57	246.28	267.73	178.77	297.17	191.67	287.01	353.59	244.57	299.25	234.57	172.65	329.84	287.01	198.47	277.2	173.85	500.46	291.04	334.46	363.56	287.01	217.27	314.17	199.85	221.86	249.73
CLK4	185.11	40.64	121.79	249.73	141.02	92.05	111.21	221.86	145.02	209.84	255.0	194.36	237.86	532.74	152.28	334.46	1350.18	387.02	599.49	267.73	642.59	571.05	438.59	490.14	567.1	473.41	486.75	743.43	571.05	493.56	1127.35	363.56	563.18	532.74	796.86	743.43	698.41	551.56	543.96	497.0	371.22	454.09	454.09	665.29	379.04	536.45	860.08	532.74	493.56	511.0	414.87	718.08	902.89	450.94	638.15	629.35	366.09	780.44	414.87	607.87	656.11	603.67	275.28	713.11	521.76	567.1	802.41	507.46	842.36	483.38	356.05	642.59	493.56	244.57	460.44	309.83	688.78	620.67	511.0	708.18	743.43	373.81	780.44	470.14	511.0	363.56
CTNND1	941.27	1044.52	974.5	988.12	928.3	1023.0	961.07	1350.18	1015.93	1733.13	2061.24	2209.26	1769.57	1950.0	2485.67	2555.58	4512.4	2591.27	2956.17	2178.83	2720.15	2520.38	3212.66	3491.39	2287.2	2520.38	5183.54	2875.3	2451.44	4152.18	4268.94	3716.2	2591.27	2997.45	3257.52	2915.45	3589.58	3081.75	2835.7	2351.53	2351.53	2976.74	2758.13	2739.08	2485.67	2627.46	2701.35	2682.69	2855.44	3168.41	2777.33	2627.46	3235.01	2148.82	2502.97	3124.78	2468.49	3794.3	2701.35	2758.13	3081.75	3955.48	2367.9	3212.66	2367.9	2720.15	3589.58	2664.15	3982.99	2739.08	2090.03	5006.93	2895.31	2018.8	3081.75	2573.36	4095.0	2645.74	2271.4	3235.01	3443.31	2032.85	2956.17	3124.78	2701.35	2627.46
CUL5	114.36	77.79	118.43	111.99	112.77	126.12	151.22	127.0	167.9	180.02	186.4	157.68	131.51	208.38	218.79	229.72	363.56	197.09	341.51	178.77	237.86	301.33	231.32	267.73	236.21	228.13	361.04	297.17	303.44	215.77	403.5	251.48	293.07	291.04	376.41	285.03	368.65	258.57	249.73	232.94	202.66	267.73	249.73	228.13	267.73	236.21	260.38	199.85	214.27	232.94	194.36	320.8	275.28	264.03	262.2	297.17	215.77	361.04	244.57	264.03	341.51	307.69	187.71	295.11	269.6	253.23	299.25	291.04	387.02	248.0	209.84	255.0	285.03	244.57	281.09	165.57	447.82	316.37	269.6	297.17	285.03	205.5	267.73	291.04	285.03	249.73
CXorf23	21.63	10.71	24.99	46.84	21.32	25.17	24.28	33.54	25.17	80.01	57.08	51.71	87.65	93.35	61.68	102.25	156.59	162.14	115.16	96.01	111.21	134.3	103.69	107.38	102.25	90.77	124.37	123.5	123.5	60.82	177.53	120.1	120.94	126.12	120.1	115.16	161.02	105.15	115.97	143.01	102.97	120.94	115.16	86.43	75.11	108.9	132.44	124.37	95.34	115.16	128.79	133.36	108.9	88.26	129.69	120.1	111.21	193.01	111.99	95.34	129.69	172.65	68.07	122.64	98.73	111.99	134.3	112.77	136.19	112.77	71.5	99.43	131.51	109.66	105.89	67.12	195.72	121.79	94.67	125.24	128.79	101.54	128.79	96.68	96.68	100.13
DDX17	1963.57	902.89	1340.84	2224.63	1709.26	1259.69	842.36	2163.77	1733.13	2895.31	3372.43	1977.24	3467.27	5219.6	2777.33	5555.65	15075.35	6164.49	6792.79	4671.57	8078.22	8778.97	6121.9	8901.53	5041.77	8191.0	10659.59	12244.81	6037.61	8421.31	20737.16	9673.69	5872.48	7803.01	11827.67	11745.96	9215.48	9606.86	10014.87	6561.36	7130.55	7081.29	7230.1	7911.95	4937.99	5872.48	11584.24	9409.14	8363.13	6207.38	7130.55	8134.41	11424.74	5594.3	7857.29	8840.04	5076.84	9215.48	7382.04	7695.57	9673.69	9409.14	5292.48	10512.82	5441.3	7280.4	11424.74	8078.22	11112.3	7331.05	5112.16	10883.59	7695.57	4543.8	7695.57	4210.15	8421.31	7966.99	6745.86	9409.14	10296.45	7433.4	9151.82	6164.49	6516.03	4704.07
DENND6A	61.25	48.52	75.11	77.79	67.12	70.01	64.34	72.52	56.28	212.78	106.63	244.57	190.34	202.66	189.02	366.09	575.03	293.07	466.88	246.28	381.68	412.0	281.09	336.79	353.59	246.28	521.76	312.0	312.0	312.0	397.93	251.48	376.41	309.83	529.06	348.71	500.46	432.53	339.14	281.09	281.09	343.89	381.68	325.29	251.48	299.25	389.72	289.02	256.78	417.77	417.77	376.41	334.46	249.73	432.53	361.04	267.73	647.07	514.56	303.44	356.05	612.11	273.37	426.57	368.65	232.94	450.94	329.84	579.04	356.05	271.48	507.46	332.14	312.0	379.04	291.04	583.07	403.5	303.44	503.95	500.46	262.2	295.11	351.14	309.83	318.57
DOPEY1	51.71	39.5	76.17	66.18	65.72	82.29	72.52	111.99	56.68	167.9	120.1	88.26	126.12	277.2	148.09	295.11	583.07	231.32	279.14	244.57	371.22	376.41	255.0	312.0	305.55	255.0	500.46	339.14	212.78	547.75	470.14	271.48	277.2	343.89	483.38	329.84	414.87	334.46	409.15	361.04	255.0	323.03	353.59	366.09	258.57	234.57	341.51	281.09	265.87	253.23	262.2	417.77	376.41	232.94	366.09	371.22	251.48	384.34	258.57	297.17	309.83	371.22	185.11	447.82	186.4	236.21	414.87	336.79	426.57	269.6	209.84	379.04	438.59	157.68	307.69	161.02	493.56	432.53	339.14	414.87	339.14	220.32	368.65	273.37	291.04	277.2
EPG5	67.12	75.64	88.88	73.03	77.79	87.03	68.07	109.66	68.07	248.0	241.19	152.28	124.37	186.4	228.13	285.03	514.56	212.78	246.28	260.38	356.05	320.8	246.28	325.29	241.19	303.44	412.0	409.15	249.73	518.15	414.87	262.2	271.48	258.57	470.14	303.44	339.14	275.28	307.69	397.93	226.54	273.37	318.57	384.34	232.94	248.0	356.05	336.79	329.84	312.0	215.77	295.11	497.0	237.86	551.56	395.18	205.5	314.17	249.73	327.56	297.17	262.2	242.88	351.14	234.57	256.78	363.56	249.73	435.55	356.05	305.55	351.14	334.46	231.32	373.81	195.72	486.75	301.33	334.46	379.04	299.25	186.4	339.14	231.32	316.37	231.32
EXOC1	99.43	44.57	115.97	113.56	120.1	139.07	123.5	127.89	105.15	389.72	329.84	234.57	239.52	363.56	287.01	366.09	753.83	414.87	476.71	329.84	460.44	457.25	379.04	460.44	414.87	466.88	490.14	457.25	426.57	291.04	679.29	497.0	447.82	432.53	536.45	616.37	536.45	532.74	476.71	293.07	363.56	518.15	466.88	423.61	403.5	450.94	563.18	567.1	466.88	409.15	483.38	547.75	529.06	384.34	480.04	457.25	409.15	633.73	500.46	384.34	559.28	543.96	368.65	511.0	423.61	358.54	532.74	412.0	587.13	417.77	358.54	435.55	417.77	316.37	438.59	361.04	563.18	454.09	379.04	583.07	521.76	429.54	441.64	420.68	409.15	403.5
EXOG	27.84	18.7	20.41	28.24	36.53	11.55	27.25	31.45	21.32	75.11	74.58	72.52	69.52	97.36	94.67	118.43	234.57	118.43	109.66	101.54	172.65	153.34	133.36	176.29	141.02	118.43	239.52	171.45	94.67	130.6	195.72	123.5	141.02	151.22	177.53	155.5	217.27	176.29	180.02	153.34	156.59	132.44	156.59	172.65	146.03	108.9	167.9	126.12	104.42	100.13	87.03	142.01	223.41	144.01	138.1	161.02	138.1	209.84	124.37	173.85	150.17	172.65	122.64	146.03	127.0	124.37	156.59	176.29	246.28	140.04	113.56	208.38	147.06	121.79	139.07	100.13	237.86	183.82	165.57	195.72	189.02	68.07	139.07	129.69	139.07	149.12
GOLGA6L4	9.78	1.53	17.0	18.16	15.34	6.31	0.0	10.08	11.04	17.64	17.38	14.03	21.78	52.82	26.28	25.17	129.69	36.27	64.8	60.39	52.08	86.43	113.56	64.34	46.18	36.79	83.45	72.01	42.11	164.42	237.86	68.07	180.02	76.17	156.59	77.79	197.09	87.03	85.22	134.3	76.17	63.89	64.34	72.01	35.76	64.8	93.35	62.56	53.95	29.7	63.45	120.94	161.02	48.52	63.45	106.63	75.11	116.78	73.03	101.54	47.84	69.03	22.75	77.79	62.12	60.82	134.3	92.7	111.99	66.18	28.24	96.68	109.66	65.72	55.89	39.5	159.9	136.19	37.05	140.04	107.38	72.01	82.87	53.57	53.95	70.51
GPATCH2	38.12	19.39	29.06	57.08	47.84	36.01	38.4	42.71	38.67	112.77	73.03	64.8	94.01	109.66	125.24	151.22	237.86	191.67	206.94	133.36	173.85	149.12	151.22	163.28	134.3	158.79	309.83	138.1	158.79	228.13	239.52	332.14	159.9	242.88	162.14	190.34	182.55	201.25	158.79	115.16	151.22	158.79	153.34	170.25	162.14	172.65	157.68	175.07	180.02	142.01	189.02	239.52	120.1	128.79	138.1	141.02	141.02	287.01	204.07	150.17	209.84	206.94	126.12	193.01	135.24	228.13	228.13	194.36	255.0	133.36	123.5	242.88	197.09	131.51	164.42	79.45	271.48	163.28	156.59	161.02	212.78	120.1	195.72	198.47	163.28	145.02
GPSM2	15.0	5.36	11.21	22.59	10.96	9.7	11.64	6.21	10.47	23.42	46.84	22.43	34.51	27.44	26.67	32.36	56.68	21.32	27.44	20.11	70.51	38.67	32.36	45.21	42.71	18.29	56.28	38.12	30.34	62.56	62.56	34.02	45.85	52.82	63.89	28.45	70.01	47.17	34.26	38.4	39.79	40.93	27.84	39.5	21.47	35.0	40.07	23.42	48.52	26.28	31.9	61.68	71.5	32.59	40.93	27.05	32.82	85.22	17.13	38.67	27.25	48.52	22.92	35.5	39.79	37.32	58.3	23.93	80.57	35.25	63.89	47.5	53.95	33.78	38.95	47.84	83.45	35.0	38.12	58.3	59.55	22.1	24.99	18.97	43.32	32.36
GSAP	190.34	110.43	193.01	249.73	236.21	173.85	171.45	297.17	169.07	346.29	189.02	194.36	299.25	395.18	358.54	414.87	860.08	318.57	454.09	301.33	674.59	684.02	473.41	493.56	389.72	435.55	902.89	981.29	406.31	624.99	1008.9	540.19	483.38	514.56	909.17	587.13	647.07	638.15	642.59	480.04	447.82	441.64	543.96	567.1	397.93	368.65	896.64	642.59	518.15	547.75	441.64	660.68	1143.1	575.03	595.34	802.41	403.5	629.35	379.04	616.37	587.13	493.56	316.37	674.59	470.14	480.04	836.53	748.61	884.29	595.34	305.55	703.28	647.07	395.18	603.67	314.17	733.19	595.34	518.15	764.36	674.59	358.54	759.08	379.04	480.04	379.04
HAUS3	32.59	20.26	49.91	65.72	48.87	59.55	53.19	54.72	44.57	98.73	78.34	69.03	77.25	112.77	93.35	119.26	309.83	134.3	167.9	121.79	190.34	214.27	111.99	156.59	161.02	136.19	156.59	164.42	136.19	135.24	236.21	130.6	150.17	153.34	244.57	193.01	141.02	169.07	164.42	140.04	116.78	153.34	165.57	177.53	111.99	136.19	201.25	166.73	144.01	156.59	137.14	190.34	215.77	127.89	226.54	164.42	154.42	181.28	156.59	142.01	253.23	147.06	102.25	195.72	140.04	155.5	204.07	127.89	205.5	145.02	152.28	141.02	147.06	147.06	163.28	125.24	214.27	164.42	163.28	208.38	165.57	149.12	199.85	113.56	137.14	127.0
