	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.A6K0.01B.21R.A31N.07	TCGA.CV.A468.01A.11R.A266.07	TCGA.BA.A6DI.01A.11R.A30B.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CN.6995.01A.31R.2016.07	TCGA.CQ.7068.01A.11R.2081.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.F7.A620.01A.11R.A28V.07	TCGA.RC.A6M6.01A.11R.A32O.07	TCGA.K7.AAU7.01A.11R.A38B.07	TCGA.G3.A25Y.01A.11R.A16W.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.ED.A66Y.01A.11R.A311.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.ED.A97K.01A.21R.A38B.07	TCGA.EP.A2KA.01A.11R.A180.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A11A.11A.11R.A131.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.X4XY.1626.SM.46MVN	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPIC.0926.SM.4IHLV	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.14C38.1526.SM.5RQJ7	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.98.A539.01A.31R.A262.07
AADAT	543.96	28.65	50.27	34.75	30.56	17.0	22.75	15.68	0.88	11.04	3.38	43.02	78.89	30.34	114.36	19.39	30.78	15.91	134.3	65.26	42.11	98.04	583.07	791.35	616.37	1250.98	289.02	110.43	454.09	59.13	60.82	674.59	444.72	579.04	64.34	1111.82	1199.98	514.56	2133.97	412.0	1870.53	1832.01	353.59	2591.27	77.25	234.57	314.17	293.07	1857.6	624.99	629.35	718.08	115.16	129.69	607.87	163.28	1540.37	1757.34	1477.58	1896.65	624.99	1183.45	1127.35	417.77	514.56	1151.06	525.39	260.38	19.82	104.42	2240.11	40.07
ABAT	6164.49	40.07	73.03	32.36	93.35	32.59	77.25	11.47	40.36	22.92	55.49	293.07	579.04	351.14	2451.44	2148.82	1037.29	429.54	2537.92	1225.22	785.88	1378.57	5112.16	8479.89	6745.86	9673.69	1923.14	1001.93	2664.15	1008.9	341.51	15180.22	6337.83	14971.21	500.46	11424.74	13872.08	12853.63	17558.94	5441.3	17927.91	8538.88	3955.48	39237.98	3491.39	2664.15	1313.23	4450.27	22850.48	6561.36	11664.82	20737.16	2018.8	616.37	8840.04	1135.2	29943.43	12589.08	18178.19	29736.59	11909.94	6840.04	24153.43	8134.41	4450.27	12415.75	7280.4	8191.0	444.72	1832.01	10154.69	26.86
ABHD14B	4066.71	381.68	860.08	780.44	764.36	320.8	551.56	995.0	1350.18	525.39	275.28	1151.06	1199.98	2400.97	3419.52	1540.37	2287.2	1417.35	2502.97	1896.65	2701.35	2224.63	4388.98	4298.64	3146.52	5041.77	2384.37	3103.19	3349.13	2664.15	1151.06	2520.38	3982.99	3874.05	2178.83	6699.25	3081.75	2451.44	6426.31	3349.13	3589.58	5219.6	2609.3	8658.09	928.3	2061.24	2271.4	3018.3	7537.18	5672.41	5147.73	4802.93	2351.53	2119.22	2835.7	1605.83	5183.54	7382.04	8247.98	5292.48	4543.8	2997.45	9088.59	3467.27	3589.58	4419.52	3039.3	1508.65	1551.09	3794.3	6164.49	748.61
ACADSB	3690.52	75.11	211.31	62.12	144.01	59.97	117.6	43.94	52.08	81.14	98.73	684.02	595.34	351.14	1023.0	470.14	389.72	180.02	1437.15	444.72	511.0	2061.24	2796.65	3564.78	3820.7	3955.48	1757.34	713.11	1551.09	283.05	500.46	4152.18	1769.57	5672.41	1583.71	5441.3	8247.98	5954.47	6699.25	4328.55	7382.04	9151.82	1104.13	8901.53	3716.2	723.08	521.76	1340.84	10733.74	2119.22	3372.43	4512.4	518.15	1143.1	2133.97	624.99	8658.09	10585.95	6381.92	11267.44	2935.74	2451.44	8078.22	3280.18	4181.07	3168.41	3081.75	1498.22	941.27	4802.93	14065.74	87.65
ACYP2	651.58	165.57	305.55	262.2	267.73	190.34	323.03	180.02	236.21	86.43	420.68	157.68	309.83	217.27	567.1	301.33	457.25	414.87	454.09	371.22	303.44	271.48	656.11	713.11	454.09	571.05	890.44	373.81	642.59	392.44	217.27	599.49	651.58	638.15	248.0	629.35	1023.0	743.43	1437.15	559.28	934.76	813.63	536.45	1119.56	429.54	830.75	748.61	400.71	808.0	638.15	651.58	514.56	723.08	529.06	567.1	500.46	775.05	842.36	1037.29	1066.48	314.17	423.61	775.05	854.13	684.02	1225.22	791.35	1037.29	137.14	348.71	1322.37	214.27
ADH6	5076.84	0.0	2.89	1.69	9.2	0.0	3.96	4.66	6.36	2.2	2.53	392.44	633.73	591.22	1936.53	353.59	941.27	376.41	2627.46	785.88	974.5	2796.65	5403.7	6983.79	4066.71	11345.82	4268.94	414.87	4937.99	293.07	142.01	12076.21	6983.79	9474.59	189.02	31650.8	16045.82	3982.99	8421.31	10440.2	9606.86	12943.04	1781.89	31650.8	379.04	974.5	2777.33	2976.74	13399.51	6607.01	10368.08	10154.69	1594.73	258.57	5479.15	90.77	12589.08	21320.18	32767.0	25887.07	5517.27	7537.18	11827.67	5594.3	6471.02	5913.33	5672.41	3103.19	92.7	718.08	12076.21	9.56
ADI1	10368.08	769.69	878.17	1015.93	1143.1	612.11	723.08	1233.75	547.75	813.63	947.83	1529.73	2209.26	1662.49	4769.75	607.87	1963.57	2609.3	5329.3	1977.24	6607.01	2935.74	8022.41	10296.45	7081.29	15180.22	7537.18	3168.41	11664.82	1397.83	1540.37	6840.04	9474.59	10084.54	2400.97	19618.49	11909.94	8479.89	21468.49	10808.41	10883.59	25354.3	8901.53	19754.96	3955.48	8363.13	2976.74	4152.18	17804.06	8840.04	11745.96	6699.25	2935.74	2835.7	10014.87	2875.3	18689.27	26614.89	23169.48	23009.42	4937.99	11267.44	26431.04	12502.12	13968.57	17804.06	8658.09	9151.82	753.83	5751.61	19892.37	409.15
AGMAT	1104.13	26.67	28.65	26.86	39.22	31.9	7.46	28.45	28.65	20.71	24.28	334.46	215.77	307.69	954.43	995.0	848.22	400.71	941.27	232.94	476.71	909.17	836.53	967.76	532.74	796.86	5555.65	1015.93	5041.77	591.22	153.34	1259.69	1447.15	1397.83	161.02	4671.57	2758.13	1794.29	1059.11	2895.31	1757.34	3419.52	753.83	4152.18	414.87	785.88	723.08	1709.26	2976.74	2240.11	4704.07	995.0	1127.35	147.06	2591.27	37.32	1508.65	1896.65	2163.77	1191.69	2451.44	1685.71	1322.37	1037.29	1617.0	967.76	1977.24	1477.58	81.14	514.56	2895.31	9.63
ALDH1B1	1467.37	156.59	343.89	220.32	113.56	223.41	248.0	217.27	329.84	128.79	163.28	381.68	764.36	2468.49	854.13	693.58	1225.22	389.72	2609.3	373.81	1073.91	733.19	2451.44	1651.0	1313.23	1697.45	3955.48	1030.12	3039.3	1030.12	409.15	2555.58	1991.0	2434.5	587.13	3212.66	4010.71	2351.53	3280.18	2193.99	3124.78	6983.79	1950.0	5219.6	819.3	1208.34	2777.33	2739.08	4038.61	3190.46	2209.26	1832.01	1388.16	406.31	3039.3	555.41	2573.36	4298.64	5995.9	10959.3	2351.53	1359.57	2090.03	1674.06	1674.06	2417.67	3325.99	1551.09	307.69	995.0	10959.3	473.41
ALDH1L1	4123.49	10.39	17.9	21.78	212.78	13.62	5.96	6.11	2.16	53.57	3.38	1295.13	669.92	260.38	4268.94	43.63	3325.99	423.61	10084.54	1407.55	921.88	1662.49	4903.87	5517.27	3212.66	7857.29	6337.83	334.46	9673.69	2645.74	38.12	1044.52	6887.62	16611.71	417.77	22072.07	4802.93	11664.82	27174.14	4481.23	1896.65	26431.04	1331.57	47313.67	206.94	6037.61	3665.02	13123.73	18178.19	13681.08	63302.6	12244.81	3614.55	332.14	51775.15	239.52	24321.43	20451.65	43236.64	39785.74	33455.53	3419.52	88291.3	8840.04	23330.64	5329.3	4010.71	995.0	49.21	4123.49	46019.85	12.0
