	TCGA.KN.8434.11A.01R.2315.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.AK.3429.01A.02R.1325.07	TCGA.A3.3382.01A.02R.1325.07	TCGA.CZ.4854.01A.01R.1305.07	TCGA.B0.4815.01A.01R.1503.07	TCGA.CJ.6028.01A.11R.1672.07	TCGA.BP.4353.01A.02R.1289.07	TCGA.BP.5004.01A.01R.1334.07	TCGA.BP.5189.01A.02R.1426.07	TCGA.BP.5006.01A.01R.1334.07	TCGA.AK.3425.01A.02R.1277.07.1	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.A3.A8OX.01A.11R.A37O.07	TCGA.BP.4986.01A.01R.1334.07	TCGA.B0.4852.01A.01R.1503.07	TCGA.A3.A6NJ.01A.12R.A33J.07	TCGA.BP.4176.01A.02R.1289.07	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X
ACTR2	1529.73	1709.26	2555.58	3589.58	2400.97	2400.97	4903.87	4268.94	2417.67	3280.18	2287.2	2255.7	2796.65	3419.52	2303.12	3081.75	2701.35	2287.2	3614.55	1397.83	1437.15	775.05	2119.22	1857.6	1295.13	1331.57	825.0	1572.76	896.64	1259.69	884.29	1191.69	1498.22	1135.2	1167.14	1477.58	785.88	890.44	1467.37	775.05	878.17	1059.11	1397.83	981.29
ADAM10	638.15	995.0	743.43	1088.92	1268.46	819.3	1242.34	1594.73	1225.22	1519.15	909.17	1030.12	1073.91	1857.6	1066.48	2178.83	1111.82	813.63	1304.15	470.14	392.44	186.4	587.13	656.11	423.61	414.87	114.36	536.45	264.03	277.2	136.19	536.45	529.06	463.65	638.15	571.05	256.78	351.14	612.11	198.47	209.84	346.29	551.56	320.8
ATF7IP	199.85	244.57	212.78	647.07	463.65	373.81	629.35	525.39	476.71	579.04	242.88	379.04	476.71	543.96	265.87	551.56	381.68	287.01	473.41	76.71	130.6	107.38	241.19	141.02	163.28	209.84	78.34	212.78	59.13	117.6	124.37	158.79	165.57	147.06	167.9	205.5	116.78	163.28	133.36	134.3	87.65	95.34	147.06	98.73
ATG16L1	293.07	305.55	612.11	1359.57	698.41	426.57	624.99	830.75	1388.16	435.55	323.03	376.41	309.83	1119.56	563.18	825.0	769.69	400.71	878.17	181.28	267.73	159.9	232.94	166.73	248.0	241.19	220.32	204.07	303.44	275.28	178.77	226.54	305.55	204.07	301.33	348.71	164.42	323.03	353.59	186.4	178.77	262.2	221.86	246.28
BTBD3	285.03	412.0	356.05	981.29	463.65	351.14	579.04	693.58	486.75	543.96	470.14	381.68	444.72	642.59	412.0	842.36	518.15	303.44	543.96	90.77	108.14	64.8	124.37	182.55	111.21	101.54	46.84	158.79	86.43	129.69	105.89	126.12	148.09	127.89	172.65	198.47	46.84	48.52	201.25	39.5	41.52	105.15	159.9	68.07
CCL28	92.05	176.29	189.02	1870.53	587.13	679.29	896.64	1662.49	836.53	660.68	348.71	269.6	438.59	743.43	563.18	334.46	426.57	540.19	698.41	4.06	10.16	21.01	24.46	7.69	49.21	221.86	10.16	30.12	14.78	2.97	27.25	123.5	102.97	27.05	13.62	22.92	59.97	11.38	21.16	3.92	19.39	11.38	47.84	24.99
CD109	110.43	60.82	60.39	1304.15	928.3	476.71	591.22	723.08	713.11	743.43	480.04	403.5	785.88	902.89	718.08	651.58	417.77	143.01	373.81	0.79	6.67	4.06	19.39	7.06	5.77	9.41	0.15	7.06	8.19	3.5	2.73	5.92	8.0	6.41	7.94	4.74	1.95	1.39	3.5	1.68	1.62	2.41	14.14	1.93
CSNK2A1	941.27	860.08	1216.75	1617.0	1447.15	967.76	1427.22	1417.35	1313.23	1359.57	1015.93	1313.23	1583.71	1870.53	1051.79	1417.35	1096.5	890.44	1498.22	587.13	438.59	417.77	796.86	769.69	412.0	460.44	273.37	583.07	312.0	599.49	314.17	540.19	669.92	612.11	595.34	748.61	239.52	420.68	532.74	307.69	190.34	327.56	775.05	361.04
CTTNBP2NL	193.01	312.0	231.32	525.39	305.55	221.86	363.56	915.51	343.89	521.76	299.25	361.04	343.89	540.19	332.14	348.71	307.69	323.03	358.54	34.26	34.51	22.75	56.68	54.72	42.71	98.73	18.97	53.57	68.07	47.17	30.56	38.95	71.5	30.56	63.0	75.11	23.76	24.81	70.51	12.18	10.24	36.53	53.95	40.36
DCTN4	486.75	503.95	679.29	1242.34	974.5	595.34	1417.35	1286.18	988.12	1037.29	723.08	860.08	1119.56	688.78	642.59	1268.46	890.44	599.49	866.07	327.56	332.14	264.03	642.59	423.61	409.15	406.31	212.78	343.89	336.79	293.07	325.29	325.29	356.05	387.02	392.44	366.09	255.0	323.03	400.71	246.28	167.9	305.55	406.31	236.21
