	TCGA.BT.A0YX.01A.11R.A10U.07	TCGA.LP.A5U2.01A.11R.A28H.07	GTEX.11P7K.1526.SM.5EGI7	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.ZP4G.1726.SM.4WWCM	GTEX.P4QT.1426.SM.3NMCX	GTEX.Q734.1126.SM.48TZY	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.U4B1.1126.SM.4DXV3	GTEX.146FQ.1926.SM.5NQBY	GTEX.YB5E.1626.SM.5IFIQ	GTEX.R53T.1326.SM.48FCQ	GTEX.WFG7.1526.SM.4LVMG	GTEX.XUJ4.2026.SM.4BOOW	GTEX.13S86.1626.SM.5Q5C5	GTEX.TML8.1326.SM.4DXTO	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.1399S.1926.SM.5J2M5	GTEX.UPIC.1726.SM.4IHKG	GTEX.11EM3.1526.SM.5A5KN	GTEX.YEC3.2426.SM.5IFJR	GTEX.12BJ1.2126.SM.5BC5O	GTEX.13O21.2426.SM.5MR4A	GTEX.13PL7.2526.SM.5IFGR	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.XPVG.1826.SM.4B64X	GTEX.11DXZ.1726.SM.5H12M	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.XBED.1726.SM.47JYO	GTEX.T5JW.1126.SM.4DM5V	GTEX.ZGAY.2126.SM.4YCFB	GTEX.Y3IK.1826.SM.4WWDS	GTEX.QMRM.1226.SM.447C6	GTEX.Q2AH.1226.SM.48TZL	GTEX.11VI4.1526.SM.5EQKC	TCGA.LN.A7HX.01A.11R.A336.31	GTEX.ZYFG.1126.SM.5GICY	GTEX.S4P3.0426.SM.4AD56	GTEX.13X6H.1326.SM.5LU42	GTEX.SUCS.0726.SM.4DM7J	GTEX.11TT1.0526.SM.5P9JO	TCGA.CV.6940.01A.11R.1915.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.A6K0.01B.21R.A31N.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.CN.6020.01A.11R.1686.07	TCGA.CQ.6219.01A.11R.1915.07	TCGA.CV.6956.11A.01R.2016.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ABCB5	0.0	0.0	9.78	1.53	8.58	4.06	7.88	4.86	1.0	1.3	12.09	1.04	21.01	2.51	27.05	2.43	6.84	5.5	11.13	9.2	13.52	7.94	7.51	13.22	5.15	4.7	7.06	2.43	4.78	3.56	1.08	5.63	2.68	8.99	4.31	4.94	6.46	5.87	2.76	0.59	16.03	3.82	1.25	1.33	30.34	0.58	4.03	0.0	0.0	2.14	0.48	1.1	1.46	1.2	2.51	0.8	1.11	0.39	0.0	3.47	0.54	0.0	0.0
ABCC6	23.59	2.53	450.94	432.53	591.22	297.17	503.95	441.64	376.41	454.09	353.59	466.88	532.74	277.2	260.38	503.95	255.0	432.53	447.82	255.0	543.96	195.72	400.71	595.34	361.04	400.71	260.38	457.25	547.75	435.55	476.71	624.99	403.5	173.85	665.29	476.71	341.51	540.19	80.01	466.88	277.2	463.65	172.65	356.05	547.75	2.94	5.28	7.06	4.43	21.94	20.71	33.06	4.43	6.06	4.78	5.54	8.19	4.9	7.46	10.47	14.89	0.0	0.26
ACAD10	209.84	305.55	595.34	536.45	684.02	981.29	536.45	612.11	540.19	656.11	616.37	693.58	684.02	454.09	497.0	620.67	567.1	684.02	543.96	348.71	698.41	450.94	599.49	583.07	708.18	540.19	447.82	559.28	866.07	595.34	674.59	738.29	603.67	363.56	718.08	688.78	500.46	599.49	406.31	543.96	447.82	599.49	371.22	583.07	591.22	172.65	265.87	241.19	379.04	435.55	232.94	241.19	236.21	358.54	171.45	129.69	176.29	215.77	165.57	199.85	199.85	0.0	0.17
ADCY6	209.84	117.6	1794.29	1487.87	1896.65	1583.71	1199.98	1769.57	1225.22	1378.57	1769.57	1467.37	1487.87	1304.15	1417.35	1781.89	1963.57	1709.26	1745.2	1651.0	1909.85	1199.98	1561.89	2148.82	1697.45	1322.37	1286.18	1674.06	1806.78	1870.53	1572.76	1745.2	1572.76	836.53	2061.24	2032.85	1059.11	1487.87	665.29	1081.39	1015.93	1331.57	928.3	1437.15	1769.57	66.65	309.83	208.38	287.01	500.46	183.82	56.68	40.64	194.36	29.06	98.73	91.41	70.51	155.5	112.77	145.02	0.0	0.91
ANO7	20.26	11.91	961.07	718.08	1417.35	796.86	1015.93	866.07	748.61	808.0	872.1	748.61	1208.34	961.07	728.11	1757.34	785.88	1030.12	1407.55	651.58	1923.14	599.49	802.41	1794.29	1104.13	921.88	579.04	1023.0	1617.0	995.0	928.3	1242.34	1208.34	325.29	2032.85	1199.98	780.44	1216.75	429.54	974.5	559.28	896.64	473.41	780.44	1359.57	5.45	8.25	7.75	23.25	19.11	16.03	19.97	7.69	19.68	4.54	9.63	8.13	4.74	7.51	12.09	3.86	0.0	0.38
AQP12A	0.0	0.0	52.82	27.64	23.25	102.97	157.68	121.79	63.0	169.07	175.07	17.64	189.02	35.5	14.67	122.64	0.0	77.25	3.86	10.79	379.04	29.06	42.41	39.79	33.78	470.14	11.55	67.59	289.02	76.17	463.65	264.03	101.54	68.07	171.45	463.65	29.27	351.14	25.35	15.45	22.59	65.26	35.25	161.02	52.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.83	0.0	0.0
BAIAP2L2	4.1	24.28	2555.58	2895.31	3190.46	2133.97	2451.44	2609.3	1806.78	2777.33	1883.54	3168.41	3257.52	2163.77	2468.49	3467.27	1819.35	2485.67	3303.0	1583.71	3349.13	1936.53	2335.28	3955.48	2627.46	2018.8	1417.35	2777.33	3190.46	3190.46	3018.3	3168.41	2816.11	1407.55	3372.43	3146.52	1628.26	3190.46	708.18	2956.17	1467.37	2485.67	1487.87	1769.57	2335.28	785.88	48.18	258.57	100.83	127.89	251.48	351.14	154.42	264.03	612.11	312.0	248.0	182.55	50.63	78.89	31.67	0.0	0.78
CA1	0.0	2.53	258533.99	561916.97	282912.21	237899.7	200048.85	201440.3	152662.96	375901.76	182810.84	301123.38	164758.26	419990.32	251464.33	172949.54	263966.36	220434.95	284880.02	163620.18	198667.0	282912.21	365622.68	241220.67	193234.41	271387.49	102836.01	217400.14	212926.09	200048.85	198667.0	258533.99	338781.54	93325.55	152662.96	208544.12	229795.93	254974.66	53973.86	256748.15	82951.62	316094.29	253213.41	269512.87	200048.85	0.0	0.0	9.56	9.27	0.0	0.0	2.27	3.79	4.94	1.55	0.48	1.93	0.0	2.23	0.0	2.61	0.0	0.13
CAPN5	178.77	10.08	4769.75	3742.05	4607.24	3820.7	5219.6	5292.48	3467.27	4450.27	4010.71	4543.8	4388.98	4869.99	3614.55	5292.48	3419.52	4607.24	4836.35	3874.05	4802.93	4937.99	4769.75	5751.61	5183.54	4419.52	2417.67	4639.29	5403.7	4972.34	4769.75	5633.22	4769.75	2417.67	5292.48	5791.62	3768.09	5403.7	1583.71	4512.4	3190.46	4095.0	3060.45	4328.55	4450.27	133.36	1745.2	1073.91	780.44	1806.78	1183.45	74.06	32.82	271.48	36.27	36.79	71.5	53.95	232.94	130.6	94.67	0.0	0.58
CCL15-CCL14	2.27	3.99	2555.58	1561.89	1883.54	1806.78	2367.9	2915.45	1844.76	1844.76	2758.13	1397.83	2209.26	1605.83	1594.73	1936.53	1651.0	2119.22	1437.15	2224.63	1883.54	1870.53	1477.58	1991.0	1963.57	2664.15	2104.58	1909.85	1769.57	2148.82	1757.34	1674.06	1936.53	1806.78	1477.58	2104.58	1143.1	2224.63	1250.98	1427.22	2148.82	2777.33	1923.14	2119.22	2485.67	0.0	33.3	3.41	17.64	14.03	35.76	16.27	0.0	43.02	2.43	1.89	4.5	1.68	26.28	21.78	42.41	0.0	0.41
