	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.G9.6378.01A.11R.1789.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A6RC.01A.11R.A32O.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.HC.7752.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
ABCC9	159.9	20.11	8.0	49.21	12.09	27.25	19.53	4.54	38.95	44.57	39.5	124.37	33.3	49.91	87.03	55.1	74.06	51.71	23.08	31.0	58.71	68.07	66.65	105.15	15.34	21.32	18.43	30.56	32.59	75.11	60.39	23.42	23.59	35.5	102.97	55.49	1.53	17.38	37.59	12.93	13.83	140.04	80.01	4.74	25.17	40.36	45.21	50.63	27.25	27.44	71.0	13.72	6.46	63.45	34.02	24.99	13.03	19.53	13.72	12.74	217.27	187.71	18.7	37.85	10.08	26.67	13.32	11.04	57.08	43.32	44.57	19.68	12.27	3.69	22.92	37.32	16.51	40.07	15.11	18.84	14.45	113.56	297.17	154.42	164.42	65.72	96.68	74.06	123.5	212.78	55.49	52.08	116.78	209.84
ADAMTS5	41.52	2.12	1.83	12.64	0.92	6.21	3.2	0.61	9.7	3.72	31.67	21.78	11.38	47.5	46.5	19.25	22.92	10.31	5.11	7.17	32.13	23.42	40.64	43.32	2.16	4.94	9.34	10.16	9.85	24.11	11.3	7.57	8.32	6.73	54.72	13.83	4.31	4.94	12.64	1.83	5.32	71.5	49.91	1.25	3.29	21.94	7.28	21.78	6.52	7.46	27.64	4.24	2.46	13.22	16.27	8.25	3.14	5.68	2.84	11.21	84.63	82.87	9.13	7.75	3.17	8.85	1.89	4.5	26.86	26.28	21.78	7.34	5.96	1.14	7.17	24.99	4.06	18.16	2.56	4.21	5.06	29.7	115.16	41.81	74.06	34.75	31.22	22.59	45.85	97.36	36.79	36.01	44.25	94.01
ADCY5	356.05	90.14	29.48	176.29	75.11	47.84	23.42	20.86	154.42	163.28	190.34	236.21	176.29	293.07	412.0	158.79	209.84	123.5	76.71	67.59	373.81	293.07	412.0	403.5	38.12	30.12	110.43	91.41	64.8	105.15	221.86	128.79	84.04	94.67	305.55	135.24	9.63	151.22	193.01	25.72	74.58	521.76	234.57	9.41	60.39	145.02	180.02	220.32	54.33	60.82	275.28	48.52	20.71	285.03	117.6	94.67	49.91	42.11	32.82	20.71	638.15	444.72	59.55	141.02	53.95	111.99	38.12	42.41	432.53	177.53	281.09	57.08	43.02	36.01	47.84	133.36	70.01	139.07	56.28	80.57	80.01	318.57	1322.37	423.61	974.5	414.87	500.46	397.93	497.0	808.0	403.5	137.14	642.59	674.59
ADCYAP1R1	24.46	2.1	1.75	3.79	3.92	2.12	0.65	0.99	7.88	5.59	8.32	15.56	3.38	7.75	21.63	2.25	7.34	3.35	1.11	4.94	8.99	11.38	7.06	12.64	0.64	3.35	8.38	4.43	4.54	11.82	16.51	3.44	15.0	9.78	17.77	13.93	0.61	6.36	5.73	2.51	3.38	12.09	10.63	1.39	1.36	6.21	3.82	14.56	4.13	6.46	18.97	0.0	0.68	19.82	5.73	1.87	2.18	0.0	1.43	0.59	38.67	18.84	2.56	5.32	1.04	6.73	0.0	1.38	9.34	6.21	12.36	1.03	1.38	0.95	2.71	5.11	1.04	2.97	2.34	8.19	1.1	21.16	64.34	37.05	19.97	8.32	22.43	6.62	10.96	26.86	17.64	5.11	20.71	44.89
AFF2	10.96	2.86	0.0	5.54	0.83	2.86	1.51	0.0	3.59	4.21	1.25	6.94	0.89	3.44	22.92	2.14	4.03	4.82	0.62	1.51	6.26	1.81	2.34	12.18	1.14	0.3	1.2	1.46	0.88	1.53	4.17	1.85	1.19	4.28	13.72	3.44	0.0	1.48	4.9	0.55	0.88	35.0	6.41	0.0	1.11	4.7	5.28	5.28	4.24	0.89	16.03	0.51	0.29	3.86	1.2	1.23	0.57	0.58	0.88	0.49	7.17	13.03	1.48	2.43	1.19	2.1	0.56	1.43	7.57	7.22	3.63	0.88	0.55	0.49	3.17	1.25	1.79	1.19	0.23	1.23	0.96	5.15	60.82	12.83	32.59	19.82	26.28	2.94	4.9	27.05	7.63	0.91	8.25	29.06
ALDH1L2	50.63	11.13	3.69	23.59	3.96	6.52	3.23	1.38	15.56	11.64	17.38	26.67	12.45	20.71	29.48	12.27	11.73	10.71	5.63	9.56	24.28	17.77	24.63	27.44	23.59	4.74	9.93	6.73	10.79	17.25	12.74	5.63	7.51	6.01	27.05	22.26	0.73	5.77	13.93	2.41	5.54	57.89	39.22	4.7	8.65	10.16	9.06	16.39	4.54	12.83	23.25	4.7	2.36	21.32	12.27	12.45	10.71	5.28	3.5	2.51	99.43	69.52	7.75	12.45	3.86	10.71	3.47	3.38	23.93	16.88	13.72	4.17	3.69	0.72	5.45	14.35	4.86	6.84	4.06	5.68	9.48	24.11	65.26	34.26	103.69	25.17	46.84	26.67	34.26	81.71	33.3	10.88	53.19	80.57
AMPH	28.24	4.13	10.39	17.13	4.13	7.75	4.78	4.39	22.1	6.73	7.82	22.92	12.0	14.67	17.25	21.63	27.64	15.8	7.75	7.17	21.32	23.76	17.51	27.84	6.57	7.28	9.63	6.62	7.17	22.43	12.18	7.63	7.46	5.87	18.97	13.32	1.77	8.06	14.14	4.86	11.55	17.38	14.67	1.87	5.11	20.26	15.34	14.89	7.17	12.0	10.08	5.19	1.71	15.45	6.21	12.27	4.31	3.72	10.79	5.68	42.11	17.0	4.66	8.51	5.77	3.66	2.94	3.86	15.8	11.21	10.88	6.73	4.54	1.39	4.58	16.27	5.06	7.11	2.36	8.38	6.94	19.68	33.78	26.28	26.86	16.15	50.98	40.93	24.99	58.3	10.79	12.18	47.5	60.82
ANO6	521.76	135.24	72.52	224.97	125.24	93.35	44.89	48.52	194.36	242.88	279.14	346.29	141.02	371.22	376.41	281.09	239.52	162.14	115.97	155.5	466.88	267.73	387.02	511.0	56.28	105.15	198.47	150.17	156.59	318.57	234.57	92.7	145.02	139.07	414.87	299.25	20.56	102.25	209.84	131.51	85.82	493.56	438.59	80.57	70.01	163.28	139.07	327.56	155.5	195.72	236.21	61.68	29.7	295.11	147.06	130.6	138.1	85.82	126.12	42.71	819.3	656.11	88.88	181.28	57.08	135.24	176.29	127.89	283.05	253.23	234.57	87.03	84.04	47.17	178.77	226.54	100.13	134.3	90.77	92.7	96.01	414.87	981.29	540.19	559.28	497.0	483.38	291.04	518.15	780.44	473.41	249.73	708.18	703.28
B4GALT6	182.55	29.48	18.29	50.98	56.68	81.71	56.68	34.26	43.94	32.59	54.72	92.05	44.57	129.69	145.02	65.72	45.85	33.54	29.91	57.89	151.22	77.25	172.65	102.25	40.93	23.42	64.34	44.25	53.19	81.14	104.42	62.12	56.68	96.68	122.64	116.78	6.16	44.25	54.33	24.46	24.63	128.79	118.43	31.67	43.94	47.17	66.18	94.67	106.63	60.39	111.21	46.18	42.71	56.28	70.01	56.68	59.13	110.43	43.32	46.18	193.01	144.01	47.84	42.11	32.13	57.89	69.52	47.5	94.01	63.0	79.45	44.89	56.28	35.0	80.01	46.5	40.93	41.81	32.36	45.53	46.84	111.21	316.37	165.57	237.86	141.02	153.34	81.14	98.73	223.41	109.66	69.52	144.01	220.32
CACHD1	165.57	32.59	16.88	80.01	30.56	27.84	17.9	6.73	55.49	54.72	71.5	104.42	59.97	86.43	116.78	94.67	88.26	63.45	34.26	32.82	127.0	92.05	115.16	102.25	21.47	38.12	33.54	41.81	37.85	68.07	108.14	53.57	45.85	38.95	77.25	58.3	2.81	31.45	64.8	22.92	35.0	122.64	73.03	5.19	36.79	59.55	91.41	84.04	45.53	57.08	81.14	17.9	13.42	67.59	31.45	45.85	21.32	22.75	31.45	9.93	218.79	198.47	36.27	47.17	18.7	29.7	15.34	17.0	88.26	65.72	91.41	17.9	20.41	9.63	40.93	48.52	26.28	68.55	19.25	43.02	31.67	120.1	260.38	269.6	173.85	118.43	115.97	96.68	108.14	228.13	157.68	92.7	145.02	220.32
