	GTEX.147JS.2526.SM.5S2Q8	GTEX.Y5LM.0426.SM.4VBRO	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4XY.1626.SM.46MVN	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.13PVR.0126.SM.5S2PY	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.YF7O.0626.SM.4W21R	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11P7K.0326.SM.59871	GTEX.X3Y1.0626.SM.3P5YS	GTEX.111YS.0626.SM.5GZXV	GTEX.ZAB4.0626.SM.5CVN3	GTEX.12696.1026.SM.5FQUV	GTEX.YEC3.0226.SM.5IFJO	GTEX.117YW.0526.SM.5H11C	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.11NUK.0826.SM.5HL4U	GTEX.XQ3S.0926.SM.4BOPI	GTEX.X4LF.0526.SM.3NMB6	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.14BMV.2226.SM.5RQHX
AD000671.6	71.5	3.38	2.07	23.76	4.5	19.82	15.56	9.48	0.0	0.29	18.29	26.1	16.75	21.63	37.85	111.99	19.25	28.04	42.11	69.03	64.8	30.34	61.68	15.91	19.25	108.9	78.89	50.27	35.5	36.79	62.12	33.06	21.01	17.25
ADAM12	59.97	0.53	0.58	5.19	2.12	2.92	0.18	0.13	0.0	0.39	3.41	5.54	3.92	1.33	3.92	35.0	3.99	85.82	22.59	18.84	124.37	11.47	39.79	19.39	31.67	111.21	23.76	6.21	2.73	0.78	9.63	15.45	3.76	39.22
AFAP1L2	656.11	10.31	36.27	15.68	11.3	22.59	7.94	9.78	0.0	0.47	29.91	52.82	73.54	48.87	64.8	202.66	37.32	226.54	193.01	120.94	1059.11	47.17	285.03	83.45	127.0	214.27	285.03	104.42	23.08	47.5	87.65	244.57	45.85	612.11
AGAP7	11.55	0.91	5.36	7.94	0.34	25.54	0.0	14.78	0.0	0.2	53.19	0.0	3.66	2.63	2.01	13.03	2.01	3.44	6.73	3.82	23.42	10.71	3.0	13.83	13.62	16.15	3.26	5.54	0.82	8.45	13.03	72.01	8.06	8.38
AL354808.2	1.35	0.0	0.71	4.7	0.85	0.0	0.0	0.93	0.0	0.31	1.99	0.96	0.64	1.33	0.19	0.91	2.41	1.51	8.19	1.16	6.26	0.97	1.58	0.82	2.89	2.58	2.58	1.39	0.85	0.0	0.61	2.41	0.16	6.57
ALOX12B	0.0	0.72	0.0	0.0	1.91	0.0	0.0	0.0	0.0	0.16	0.44	8.99	5.59	0.0	0.0	8.58	8.13	4.9	0.0	0.0	3.56	12.36	3.08	6.84	10.63	34.02	1.58	3.69	0.0	6.21	8.38	211.31	1.46	4.24
ANK2	543.96	5.77	13.93	4.94	3.69	31.0	8.0	10.0	0.0	0.2	144.01	154.42	178.77	24.99	20.71	305.55	46.5	591.22	429.54	547.75	2434.5	105.89	571.05	101.54	237.86	769.69	796.86	167.9	144.01	27.25	46.84	251.48	43.32	1096.5
ANO10	796.86	231.32	158.79	267.73	164.42	124.37	182.55	185.11	0.0	0.45	525.39	420.68	253.23	327.56	318.57	244.57	438.59	909.17	373.81	343.89	466.88	753.83	753.83	348.71	343.89	466.88	674.59	389.72	379.04	536.45	397.93	507.46	466.88	633.73
AP000974.1	6.06	0.53	0.92	1.27	0.15	0.16	0.37	1.04	0.0	0.29	1.16	0.0	1.25	0.97	1.16	1.25	0.47	1.91	3.41	0.0	2.25	1.53	5.73	3.11	1.23	3.92	0.67	0.84	0.14	2.12	0.51	4.46	0.0	15.8
APBA1	150.17	67.59	35.0	35.0	129.69	71.0	41.52	89.51	0.0	0.37	35.25	82.29	24.28	21.01	38.12	65.26	41.22	43.63	83.45	36.01	49.91	22.92	94.67	52.82	46.5	141.02	43.94	70.01	37.32	18.97	26.86	108.14	31.22	95.34
