	TCGA.ZF.AA5P.01A.11R.A39I.07	TCGA.4Z.AA87.01A.11R.A39I.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.CV.5439.01A.01R.1686.07	TCGA.CV.7423.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.IN.7806.11A.01R.2055.13
AC090616.2	8.0	15.11	16.27	21.78	1.5	0.82	0.0	0.0	4.74
AC119673.1	603.67	1159.07	262.2	884.29	361.04	412.0	0.0	0.87	182.55
AK3	808.0	3325.99	1277.29	1304.15	738.29	406.31	0.0	0.56	1073.91
AMN1	244.57	312.0	262.2	507.46	159.9	90.14	0.0	0.47	125.24
C18orf32	1250.98	4298.64	1857.6	2384.37	633.73	514.56	0.0	0.79	836.53
CACFD1	384.34	1268.46	403.5	444.72	191.67	115.97	0.0	0.32	379.04
CARS	884.29	1225.22	551.56	579.04	633.73	571.05	0.0	0.52	483.38
CD274	65.26	334.46	41.81	41.22	90.77	35.0	0.0	0.52	29.7
CD96	187.71	1175.27	112.77	193.01	77.79	21.47	0.0	0.15	28.86
CHCHD6	403.5	575.03	497.0	543.96	348.71	223.41	0.0	0.41	239.52
DET1	81.14	226.54	152.28	277.2	13.32	17.51	0.0	0.0	63.89
DPY30	1662.49	5183.54	2537.92	3235.01	1709.26	1277.29	0.0	0.43	1397.83
DSCR3	595.34	1081.39	575.03	620.67	381.68	303.44	0.0	0.32	599.49
EMC6	1359.57	3395.89	1008.9	896.64	860.08	599.49	0.0	0.43	1191.69
EVL	2609.3	2855.44	1467.37	1340.84	1127.35	412.0	0.0	0.48	825.0
GLOD4	1277.29	2520.38	1369.04	1977.24	718.08	624.99	0.0	0.59	884.29
GSTM4	2758.13	14663.09	1832.01	555.41	432.53	127.0	0.0	0.74	1175.27
GTF2B	713.11	1457.23	878.17	836.53	536.45	651.58	0.0	0.6	612.11
HADH	1044.52	3820.7	1359.57	1662.49	358.54	454.09	0.0	0.27	775.05
HNRNPH3	2537.92	4903.87	3928.15	3564.78	3443.31	2004.85	0.0	1.06	2209.26
HSD11B2	201.25	1832.01	297.17	612.11	178.77	89.51	0.0	0.0	412.0
HSDL2	1151.06	2520.38	753.83	825.0	579.04	339.14	0.0	0.31	738.29
ITGAE	1127.35	1896.65	860.08	511.0	232.94	193.01	0.0	0.52	480.04
KIAA1328	84.04	161.02	105.15	116.78	38.12	38.95	0.0	0.2	81.71
KRT7	31870.96	70238.75	417089.23	408505.64	518.15	152.28	0.0	1.11	1073.91
MAGED2	3639.7	8658.09	7485.11	8840.04	1769.57	1199.98	0.0	0.82	1388.16
MED29	830.75	1350.18	995.0	1605.83	397.93	718.08	0.0	0.57	389.72
MRPL45	665.29	1359.57	1073.91	995.0	665.29	595.34	0.0	0.08	718.08
MRS2	665.29	669.92	444.72	476.71	395.18	379.04	0.0	0.39	309.83
MTAP	723.08	1628.26	303.44	497.0	441.64	255.0	0.0	0.65	361.04
NARFL	480.04	651.58	559.28	563.18	483.38	249.73	0.0	0.64	493.56
NELFA	540.19	1819.35	947.83	1127.35	693.58	371.22	0.0	0.88	967.76
P2RX5-TAX1BP3	11.21	22.1	4.06	6.11	1.79	2.56	0.0	0.0	3.26
PAOX	320.8	518.15	260.38	435.55	241.19	120.94	0.0	0.16	239.52
PLGRKT	642.59	2816.11	483.38	642.59	444.72	514.56	0.0	0.39	368.65
PLS1	279.14	1709.26	346.29	1081.39	164.42	20.56	0.0	0.0	275.28
PPAPDC2	185.11	647.07	293.07	244.57	137.14	114.36	0.0	0.25	120.94
PSPC1	808.0	1457.23	743.43	1088.92	361.04	318.57	0.0	0.72	450.94
RAB28	273.37	426.57	289.02	387.02	157.68	152.28	0.0	0.53	202.66
RASL11B	84.63	764.36	99.43	157.68	57.89	12.0	0.0	0.14	14.89
RFX3	25.91	85.82	132.44	318.57	7.69	13.93	0.0	0.24	24.63
RLN2	18.97	258.57	50.27	43.32	1.06	1.08	0.0	0.0	12.93
RNF125	21.78	242.88	96.68	110.43	8.38	3.17	0.0	0.12	34.02
