	GTEX.11P82.0426.SM.5HL5D	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BR.6803.01A.11R.1884.13	TCGA.BR.7703.01A.11R.2055.13	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.6802.01A.11R.1884.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.HU.A4G3.11A.11R.A24K.31	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.XBEW.1826.SM.4RTWX	GTEX.RU1J.0526.SM.46MUT	GTEX.TKQ2.0926.SM.4DXU5	GTEX.UPIC.1826.SM.4IHKC	GTEX.S7SF.0626.SM.4AD4V
ANGPTL1	1322.37	1457.23	1191.69	0.0	0.29	928.3	3.47	134.3	41.22	11.3	23.59	163.28	221.86	48.87	381.68	529.06	1008.9	642.59	18.84	156.59	2935.74	214.27	17.64	20.41	3212.66	42.11	329.84	1104.13	4671.57	2119.22	4010.71	3742.05
ANKRD35	92.05	92.05	64.8	0.0	0.38	66.65	6.06	38.12	21.78	11.13	5.59	19.97	21.01	14.03	55.89	45.53	156.59	60.39	19.39	22.1	156.59	43.63	18.29	19.53	150.17	28.86	71.5	125.24	191.67	438.59	172.65	269.6
AOC3	4328.55	2915.45	2209.26	303.44	180.02	4358.66	135.24	738.29	819.3	218.79	287.01	688.78	1008.9	376.41	1651.0	1135.2	4769.75	1733.13	320.8	759.08	5292.48	563.18	376.41	191.67	5517.27	346.29	947.83	2417.67	3820.7	9808.75	4210.15	3847.29
ARHGEF25	3955.48	2777.33	2434.5	0.0	0.61	1159.07	69.03	277.2	211.31	85.82	81.14	215.77	373.81	152.28	638.15	612.11	2047.0	688.78	109.66	264.03	2758.13	381.68	183.82	119.26	2855.44	131.51	791.35	1175.27	2720.15	3168.41	2537.92	2018.8
ARL4D	536.45	229.72	157.68	0.0	0.71	293.07	6.21	29.91	42.71	31.45	23.25	28.04	53.95	37.85	120.94	120.94	368.65	166.73	38.12	48.18	595.34	76.17	59.13	28.65	743.43	50.27	145.02	318.57	733.19	1508.65	1104.13	665.29
ARMCX1	759.08	507.46	426.57	0.0	0.59	327.56	31.45	221.86	102.25	82.29	54.72	218.79	158.79	194.36	265.87	220.32	591.22	228.13	206.94	135.24	890.44	244.57	138.1	121.79	866.07	101.54	307.69	299.25	536.45	1417.35	928.3	934.76
ASB5	633.73	220.32	603.67	0.0	0.0	264.03	0.0	3.56	0.0	0.0	6.01	37.32	60.39	0.0	155.5	59.97	571.05	56.28	0.0	7.88	318.57	3.35	2.94	0.71	607.87	0.0	187.71	248.0	171.45	890.44	1216.75	486.75
ATL2	2485.67	1628.26	2148.82	0.0	0.73	1127.35	486.75	624.99	395.18	438.59	525.39	1127.35	665.29	967.76	769.69	802.41	1340.84	738.29	616.37	785.88	3349.13	480.04	291.04	473.41	3690.52	283.05	791.35	1350.18	2682.69	2417.67	2701.35	3325.99
ATP2B4	4704.07	2520.38	2555.58	902.89	190.34	3768.09	432.53	860.08	473.41	493.56	318.57	1044.52	1286.18	480.04	1119.56	1127.35	3443.31	1674.06	423.61	470.14	12853.63	473.41	351.14	221.86	13399.51	368.65	629.35	2163.77	5555.65	7180.15	6699.25	4903.87
BAG2	1407.55	1059.11	1096.5	0.0	0.64	2104.58	223.41	291.04	175.07	117.6	454.09	457.25	638.15	234.57	511.0	612.11	1088.92	503.95	109.66	166.73	3690.52	273.37	118.43	107.38	3716.2	86.43	563.18	1030.12	2875.3	1674.06	2701.35	2502.97
BCHE	1277.29	480.04	414.87	0.0	0.19	90.77	9.56	46.84	19.82	3.69	5.32	48.52	25.91	37.85	80.57	87.03	246.28	166.73	6.21	29.27	1417.35	25.35	27.84	8.58	825.0	40.93	88.88	175.07	1991.0	2104.58	2090.03	1437.15
BVES	309.83	279.14	323.03	0.0	0.4	301.33	6.78	72.01	44.57	33.78	31.22	55.49	78.89	73.54	133.36	118.43	277.2	102.25	81.71	58.71	967.76	59.55	36.79	52.82	961.07	68.07	94.01	126.12	1030.12	358.54	265.87	540.19
C15orf52	2178.83	1208.34	1605.83	163.28	303.44	708.18	90.77	106.63	76.17	105.89	166.73	239.52	287.01	320.8	373.81	376.41	988.12	507.46	187.71	122.64	2193.99	106.63	107.38	47.84	2335.28	116.78	316.37	796.86	2895.31	2701.35	3168.41	2148.82
C3orf70	287.01	162.14	170.25	0.0	0.21	231.32	10.47	53.19	22.92	19.82	14.03	38.12	109.66	38.4	73.03	67.59	125.24	98.73	30.12	97.36	547.75	43.63	34.75	9.93	616.37	16.51	40.07	199.85	896.64	454.09	616.37	466.88
C9orf172	264.03	239.52	289.02	0.0	0.39	135.24	10.63	24.81	40.64	28.45	28.45	18.16	43.94	10.31	90.77	47.84	341.51	72.52	21.63	34.02	323.03	21.78	31.45	9.85	389.72	6.01	41.22	105.89	287.01	409.15	285.03	246.28
CACNA1C	587.13	406.31	438.59	0.0	0.62	708.18	16.88	99.43	103.69	82.87	131.51	118.43	303.44	96.01	199.85	140.04	358.54	214.27	56.68	81.71	1037.29	39.22	31.9	39.79	954.43	31.9	55.1	157.68	902.89	825.0	1487.87	791.35
CAMK2G	2875.3	1388.16	2047.0	0.0	0.55	1617.0	312.0	429.54	293.07	320.8	303.44	785.88	624.99	420.68	848.22	791.35	1870.53	848.22	194.36	409.15	3419.52	353.59	215.77	241.19	4095.0	229.72	579.04	1191.69	3395.89	2645.74	3690.52	2271.4
