	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.AC.A62Y.01A.11R.A29R.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.E9.A227.01A.11R.A157.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.E2.A1IJ.01A.11R.A144.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A8.A094.01A.11R.A00Z.07	TCGA.B6.A0IB.01A.11R.A034.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A18N.11A.43R.A12D.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.1269C.2426.SM.5FQSN	GTEX.XMD2.0926.SM.4WWEF	GTEX.1313W.0826.SM.5EQ4T	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.VJWN.0726.SM.3GIJ8	GTEX.RU72.0626.SM.46MUI	GTEX.13QIC.2326.SM.5LU5N	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
BOC	67.59	457.25	120.1	327.56	58.3	32.36	191.67	89.51	201.25	693.58	90.14	90.14	406.31	130.6	57.49	15.8	118.43	96.68	171.45	441.64	177.53	101.54	177.53	109.66	98.04	124.37	860.08	1870.53	1127.35	2537.92	1561.89	1104.13	1295.13	2240.11	1991.0	591.22	1977.24	1259.69	2104.58	1340.84	0.0	0.48
CACHD1	18.56	156.59	24.28	141.02	15.11	6.01	58.3	39.5	84.63	154.42	88.88	48.52	124.37	88.26	23.93	7.88	103.69	14.56	52.45	142.01	24.81	108.9	366.09	28.86	49.21	36.53	759.08	392.44	444.72	1313.23	1857.6	312.0	237.86	698.41	332.14	80.57	723.08	361.04	1467.37	738.29	0.0	0.37
CCDC8	56.28	543.96	51.35	215.77	22.1	20.41	90.77	56.28	72.01	249.73	61.25	55.89	173.85	83.45	56.68	6.16	43.02	8.51	84.63	295.11	66.65	33.54	64.34	68.07	47.84	43.32	417.77	775.05	540.19	1806.78	1159.07	400.71	307.69	2004.85	490.14	224.97	1151.06	616.37	1331.57	753.83	0.0	0.35
CFI	90.14	620.67	199.85	674.59	141.02	112.77	303.44	199.85	195.72	616.37	153.34	255.0	249.73	201.25	57.08	19.25	175.07	143.01	277.2	480.04	244.57	165.57	3491.39	277.2	62.12	124.37	961.07	819.3	693.58	748.61	2417.67	947.83	1498.22	1427.22	909.17	629.35	1457.23	947.83	1135.2	3419.52	0.0	0.45
CLIP4	14.03	312.0	69.03	175.07	39.79	10.0	69.03	55.49	80.01	112.77	163.28	22.26	107.38	105.89	25.17	1.36	56.28	13.72	40.36	118.43	40.93	81.71	420.68	96.01	12.18	37.85	878.17	567.1	493.56	1175.27	2537.92	660.68	137.14	651.58	669.92	688.78	890.44	1437.15	2468.49	1059.11	0.0	0.75
CNTNAP3	0.68	49.56	12.74	26.47	2.29	0.38	9.93	2.78	14.03	27.05	8.0	0.0	31.0	4.62	2.34	0.36	7.22	5.41	17.64	31.0	4.06	12.74	136.19	13.93	0.39	4.78	204.07	163.28	113.56	201.25	928.3	92.05	121.79	76.71	215.77	136.19	314.17	129.69	269.6	307.69	0.0	0.36
CRB2	0.51	16.39	0.82	10.55	0.83	0.0	0.92	1.2	1.19	4.17	1.2	1.17	32.82	1.25	0.55	0.46	2.1	0.24	3.69	6.89	0.88	1.01	0.68	0.56	0.53	2.46	23.93	23.76	18.16	32.36	69.52	14.89	4.98	19.25	5.5	12.0	64.34	14.35	18.84	33.78	0.0	0.0
CSRNP3	2.05	17.38	4.78	15.11	1.55	0.6	10.31	11.64	15.34	10.88	2.61	13.83	17.13	11.73	3.14	1.38	6.01	2.16	18.29	15.91	10.55	5.15	16.88	6.06	1.83	3.59	68.55	69.52	48.52	159.9	95.34	19.11	47.84	62.56	23.08	23.42	108.14	69.52	63.89	92.05	0.0	0.0
CX3CL1	92.05	1322.37	105.15	854.13	291.04	25.91	226.54	98.04	239.52	503.95	177.53	180.02	733.19	603.67	62.56	161.02	126.12	80.57	651.58	848.22	231.32	183.82	1059.11	178.77	121.79	236.21	4419.52	6607.01	3372.43	15180.22	7331.05	5831.91	1561.89	2400.97	5913.33	5183.54	9151.82	6426.31	8718.32	9215.48	0.0	0.36
DMD	35.0	241.19	28.04	175.07	23.42	20.11	52.82	69.52	97.36	110.43	42.41	38.67	122.64	55.49	54.33	6.89	46.84	21.94	145.02	122.64	57.89	111.99	693.58	40.36	17.64	43.02	1259.69	665.29	647.07	1104.13	1757.34	651.58	1498.22	438.59	624.99	312.0	1208.34	1250.98	1561.89	2104.58	0.0	0.42
DRD2	0.64	120.1	0.34	33.3	1.3	0.33	2.46	0.0	4.7	10.55	0.71	0.69	8.45	1.45	0.68	0.31	2.01	9.2	4.39	6.31	1.69	0.41	1.2	7.94	0.34	3.38	78.34	156.59	41.22	202.66	256.78	48.87	10.0	107.38	61.25	23.59	68.07	44.89	152.28	128.79	0.0	0.07
EGFR	18.03	130.6	18.7	156.59	11.91	6.46	69.03	38.95	98.04	176.29	63.45	23.76	147.06	52.08	27.64	1.33	42.11	15.8	72.52	123.5	38.67	64.8	476.71	35.0	13.22	41.22	1183.45	785.88	796.86	409.15	587.13	232.94	267.73	205.5	366.09	738.29	708.18	1417.35	764.36	265.87	0.0	0.72
EPHA7	5.68	2.14	1.17	2.16	0.6	0.58	1.0	0.65	2.23	2.16	5.06	0.95	4.66	2.66	1.85	0.27	5.59	1.2	3.5	4.9	0.96	0.73	156.59	0.64	1.77	8.51	38.12	15.68	12.64	78.89	43.94	7.57	18.97	50.98	16.75	6.16	52.45	10.31	16.51	33.78	0.0	0.0
ESR2	1.57	4.86	1.3	13.93	4.82	2.18	2.84	1.07	5.73	9.85	3.41	2.68	4.98	4.28	4.24	1.46	2.36	7.63	2.76	1.55	1.39	14.35	4.78	4.03	3.79	3.08	66.18	9.2	24.28	24.63	61.25	24.63	9.7	21.32	16.51	26.28	16.51	5.36	14.24	12.36	0.0	0.24
FAT1	379.04	1104.13	624.99	684.02	423.61	104.42	460.44	647.07	417.77	718.08	460.44	688.78	1313.23	743.43	395.18	77.79	307.69	56.28	397.93	1508.65	1191.69	156.59	1159.07	397.93	152.28	2047.0	2895.31	2627.46	1781.89	2591.27	22535.88	1277.29	2895.31	2351.53	1023.0	3146.52	7642.41	1605.83	2417.67	3257.52	1350.18	223.41
