	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.ZC5H.2626.SM.5J2MG	GTEX.WXYG.2226.SM.4E3IM	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.145MH.0626.SM.5NQAK	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12584.1426.SM.5EGJ9	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.YFC4.1126.SM.5RQJN	GTEX.XBEC.1026.SM.4QASM	GTEX.Y111.1026.SM.4TT22	GTEX.11P7K.0326.SM.59871	GTEX.OXRN.0526.SM.2I5EN	GTEX.147F4.0926.SM.5Q5EO	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.12WSE.0826.SM.5S2VL	GTEX.11PRG.0926.SM.5EGI8	GTEX.11WQC.0626.SM.5EQMF	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.P4PQ.0526.SM.2HMKR	GTEX.11EI6.0826.SM.5985V	GTEX.14E7W.1326.SM.5RQIV	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.117YX.1326.SM.5H125	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13O21.3026.SM.5J2NI	GTEX.13FLV.0426.SM.5KLZA	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.T6MN.0826.SM.32PM4	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZE7O.0826.SM.57WCP	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.11O72.1326.SM.5BC5A	GTEX.14DAR.0226.SM.5S2PR	GTEX.ZYT6.0526.SM.5GIEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.139UW.0226.SM.5K7WU	GTEX.YJ8O.1826.SM.5HL82	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.146FH.1226.SM.5NQB6	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.11OF3.1126.SM.5986C	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.144GO.0226.SM.5LUB1	GTEX.OHPM.0526.SM.2YUMJ
ADCK2	679.29	497.0	753.83	536.45	154.42	435.55	454.09	753.83	583.07	277.2	638.15	341.51	224.97	616.37	236.21	384.34	563.18	500.46	260.38	172.65	414.87	684.02	397.93	698.41	141.02	669.92	753.83	748.61	329.84	205.5	237.86	447.82	511.0	441.64	285.03	178.77	305.55	429.54	563.18	674.59	194.36	660.68	441.64	540.19	256.78	371.22	450.94	460.44	205.5	205.5	281.09	679.29	518.15	301.33	175.07	376.41	204.07	607.87	551.56	293.07	283.05	343.89	620.67	521.76	559.28	620.67	371.22	718.08	638.15	251.48	351.14	128.79	361.04	267.73	320.8	476.71
AGBL5	693.58	603.67	842.36	571.05	166.73	397.93	1088.92	583.07	346.29	187.71	332.14	301.33	123.5	583.07	275.28	457.25	587.13	351.14	303.44	191.67	273.37	571.05	470.14	642.59	228.13	466.88	529.06	473.41	373.81	273.37	205.5	571.05	312.0	616.37	198.47	177.53	195.72	466.88	457.25	514.56	212.78	511.0	728.11	743.43	295.11	387.02	429.54	1037.29	258.57	204.07	341.51	454.09	429.54	205.5	353.59	660.68	305.55	409.15	819.3	400.71	291.04	660.68	460.44	426.57	389.72	403.5	229.72	500.46	660.68	253.23	273.37	120.1	312.0	224.97	178.77	211.31
AGER	111.99	59.55	84.04	45.21	110216.97	459592.86	60304.42	502929.67	267651.2	73221.53	355624.68	163620.18	11909.94	182810.84	122293.5	131071.0	3372.43	198667.0	336441.4	119776.72	237899.7	370726.6	50709.61	191899.64	13306.94	171754.88	124000.67	181548.07	200048.85	139508.13	282912.21	394590.4	187950.38	313910.86	100719.65	40904.3	242898.5	577714.63	269512.87	146444.06	9344.14	236256.4	220434.95	135693.24	286861.53	170568.48	209994.66	152662.96	92040.7	44761.41	279017.26	249727.34	143430.26	290865.98	209994.66	239554.43	25530.66	253213.41	383800.28	138544.47	212926.09	21768.19	363097.14	236256.4	67846.12	373305.21	136637.07	273275.14	482442.34	496005.67	180294.02	170568.48	419990.32	107948.72	155870.75	191899.64
AGGF1	536.45	571.05	409.15	486.75	118.43	201.25	269.6	234.57	234.57	51.71	162.14	327.56	115.16	334.46	129.69	204.07	348.71	289.02	163.28	110.43	109.66	389.72	258.57	209.84	120.1	241.19	299.25	299.25	107.38	110.43	229.72	376.41	327.56	289.02	80.57	125.24	53.19	185.11	181.28	273.37	145.02	269.6	305.55	343.89	155.5	155.5	241.19	303.44	111.99	137.14	228.13	318.57	201.25	212.78	133.36	169.07	164.42	255.0	325.29	175.07	189.02	242.88	169.07	281.09	291.04	156.59	115.97	226.54	226.54	92.7	150.17	75.11	159.9	123.5	155.5	220.32
AL591479.1	109.66	106.63	42.11	91.41	6.06	5.23	55.89	29.7	24.11	11.3	44.57	27.44	7.4	60.39	71.0	16.51	67.59	40.36	16.88	8.32	13.93	62.56	102.25	62.12	11.47	54.33	93.35	130.6	8.06	13.93	45.21	110.43	44.89	59.55	3.92	5.45	7.22	12.55	74.06	71.5	23.42	68.55	29.06	30.78	27.05	16.27	17.77	88.26	12.09	6.52	25.54	48.18	60.39	19.97	18.84	22.26	16.51	53.19	44.25	7.17	12.0	73.54	61.25	20.11	26.1	36.53	9.85	120.1	40.36	6.31	15.8	23.93	9.63	22.75	12.83	49.91
ALDH5A1	559.28	490.14	303.44	206.94	50.27	159.9	303.44	450.94	217.27	40.93	120.94	346.29	49.56	291.04	147.06	125.24	255.0	289.02	88.26	40.07	98.04	205.5	191.67	135.24	36.79	336.79	379.04	285.03	136.19	83.45	118.43	291.04	262.2	256.78	69.52	43.94	28.24	74.58	110.43	289.02	77.79	217.27	152.28	343.89	120.1	79.45	187.71	283.05	30.56	96.68	108.9	309.83	191.67	127.0	42.11	118.43	68.07	199.85	325.29	178.77	92.05	220.32	281.09	277.2	131.51	176.29	77.79	197.09	373.81	81.71	73.54	38.67	52.08	57.49	43.32	182.55
ALDH7A1	7642.41	3235.01	4512.4	3349.13	559.28	341.51	1088.92	2720.15	981.29	532.74	403.5	1721.16	159.9	941.27	669.92	620.67	1088.92	2032.85	287.01	218.79	392.44	1369.04	1277.29	1883.54	244.57	1519.15	2224.63	2997.45	638.15	525.39	607.87	1832.01	2351.53	1268.46	217.27	454.09	138.1	629.35	3742.05	1757.34	583.07	2255.7	1369.04	2835.7	228.13	417.77	417.77	854.13	78.89	194.36	113.56	1467.37	928.3	346.29	429.54	409.15	325.29	1304.15	1051.79	660.68	297.17	1697.45	909.17	769.69	1104.13	1059.11	309.83	3874.05	753.83	764.36	351.14	110.43	329.84	348.71	148.09	854.13
ALG8	941.27	808.0	1268.46	1477.58	351.14	329.84	713.11	460.44	450.94	301.33	371.22	860.08	309.83	514.56	432.53	314.17	607.87	633.73	409.15	318.57	341.51	656.11	743.43	543.96	237.86	540.19	703.28	669.92	361.04	343.89	414.87	651.58	503.95	595.34	246.28	348.71	153.34	414.87	514.56	723.08	417.77	447.82	633.73	651.58	473.41	438.59	246.28	603.67	186.4	246.28	1015.93	536.45	406.31	368.65	392.44	351.14	551.56	518.15	718.08	307.69	426.57	688.78	476.71	454.09	764.36	392.44	346.29	669.92	450.94	329.84	332.14	267.73	320.8	236.21	185.11	525.39
ANKEF1	99.43	209.84	183.82	144.01	20.11	45.21	94.67	81.14	51.71	16.39	34.26	36.53	36.79	87.65	27.44	39.79	43.32	73.03	26.1	14.89	27.64	59.97	43.94	27.44	16.03	83.45	100.13	74.58	17.0	26.86	76.71	48.87	87.65	69.03	25.54	24.81	8.25	22.1	36.79	59.55	32.36	60.82	47.17	116.78	43.94	20.56	40.64	78.34	27.44	10.63	93.35	81.71	38.4	85.82	19.39	29.06	12.0	70.51	59.13	81.14	40.93	56.68	38.95	75.64	52.08	23.76	13.32	82.29	41.52	20.56	30.56	10.88	33.06	20.26	30.56	75.64
APITD1	638.15	400.71	392.44	358.54	253.23	327.56	1059.11	490.14	299.25	109.66	265.87	397.93	131.51	507.46	202.66	237.86	412.0	470.14	275.28	128.79	181.28	403.5	423.61	423.61	120.94	500.46	457.25	551.56	232.94	149.12	226.54	429.54	457.25	493.56	187.71	221.86	127.0	157.68	264.03	403.5	139.07	514.56	500.46	703.28	193.01	246.28	303.44	854.13	105.15	115.16	316.37	457.25	209.84	241.19	283.05	271.48	246.28	476.71	603.67	140.04	214.27	547.75	438.59	414.87	368.65	211.31	161.02	400.71	379.04	199.85	201.25	127.0	167.9	141.02	96.01	283.05
