	GTEX.U3ZN.1926.SM.4DXSG	GTEX.132AR.0826.SM.5EGK6	GTEX.146FH.0826.SM.5SI8T	TCGA.BP.4988.01A.01R.1334.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.4A.A93X.01A.11R.A37K.07	TCGA.UZ.A9PN.01A.11R.A38C.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.P4.AAVO.01A.11R.A42S.07	GTEX.13N11.0326.SM.5LUA3
AC006547.14	27.25	11.3	5.45	114.36	2.68	59.97	0.67	1.69	4.43	8.65	0.83	0.0	15.0	5.87	0.0	11.13	0.0	0.0	3.03	6.78	1.2	2.32	59.13
ACER1	2.12	5.32	3.76	3.76	0.88	1.73	0.0	0.83	0.62	0.0	0.78	0.36	1.66	0.97	0.0	1.27	0.0	0.0	0.0	1.35	0.0	0.0	2.36
ANKRD23	63.45	22.75	52.08	109.66	43.94	92.05	14.35	10.55	47.84	49.21	16.63	12.0	71.0	27.44	20.56	61.68	38.95	17.77	34.75	46.5	15.45	12.27	44.25
ANKRD36	279.14	100.83	144.01	348.71	138.1	299.25	42.11	8.06	102.25	111.21	17.51	15.56	142.01	40.64	49.56	190.34	26.1	14.03	84.63	85.82	28.86	39.5	163.28
ARAP1	2090.03	1769.57	1519.15	2468.49	1295.13	2224.63	1096.5	775.05	1350.18	934.76	1015.93	733.19	1519.15	753.83	1023.0	1819.35	928.3	748.61	1127.35	1397.83	616.37	1044.52	2796.65
ARHGEF17	575.03	599.49	743.43	1794.29	327.56	3443.31	237.86	223.41	341.51	511.0	171.45	178.77	693.58	316.37	368.65	603.67	264.03	223.41	395.18	241.19	214.27	125.24	941.27
ATP6V1C2	185.11	51.35	77.25	85.82	25.17	79.45	8.25	2.56	16.03	16.63	5.96	9.78	26.28	11.47	7.82	43.63	3.08	2.68	22.75	24.28	6.31	2.73	51.35
C1orf220	20.56	21.32	7.88	135.24	19.68	32.59	0.97	0.0	5.63	9.85	0.0	5.02	18.56	3.92	3.41	16.75	4.74	0.0	7.06	3.06	2.76	4.94	9.93
CBLB	299.25	397.93	379.04	688.78	234.57	595.34	211.31	134.3	231.32	208.38	145.02	55.89	265.87	161.02	154.42	348.71	103.69	199.85	215.77	429.54	126.12	101.54	387.02
CCAR1	1015.93	967.76	961.07	1662.49	813.63	1369.04	563.18	199.85	684.02	708.18	77.25	624.99	872.1	511.0	567.1	1359.57	486.75	470.14	743.43	813.63	525.39	406.31	1127.35
