	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.E9.A22A.01A.11R.A157.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.EW.A1OX.01A.11R.A144.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.D8.A146.01A.31R.A115.07	TCGA.EW.A1PF.01A.11R.A144.07	TCGA.E9.A22B.01A.11R.A157.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.D8.A1X5.01A.11R.A14D.07	TCGA.E9.A1NI.01A.11R.A14D.07
ADAMTS14	11.47	20.71	25.72	65.26	12.09	4.9	6.06	3.5	12.0	4.1	44.57	8.92	31.67	54.33	4.62	35.0	15.91	65.26	19.11	14.45	127.89	16.39	25.17	18.97	18.03	3.44	87.65	28.65	5.68	71.5	102.25	29.27	42.41	0.69	53.57	9.27	72.01	81.14	88.26	8.32	17.9	27.64	8.0	10.63	28.24	13.22	2.34	16.88	0.67	3.08	38.67	87.65
ADAMTS7	29.7	54.33	35.25	86.43	35.0	17.25	20.41	31.67	30.78	23.08	128.79	13.42	47.5	68.55	33.3	75.11	23.08	66.18	40.64	22.43	177.53	47.17	25.17	35.76	38.4	22.43	121.79	53.57	16.15	105.15	133.36	59.55	85.82	11.13	74.58	37.59	136.19	61.68	162.14	33.06	55.1	27.84	53.19	37.05	38.67	60.39	2.61	35.76	7.94	20.41	62.56	90.14
ANTXR1	279.14	571.05	934.76	1651.0	400.71	426.57	128.79	56.68	389.72	397.93	6207.38	379.04	1437.15	1617.0	693.58	2090.03	314.17	3982.99	902.89	934.76	4736.79	1359.57	447.82	854.13	743.43	130.6	3716.2	967.76	426.57	3124.78	2520.38	1857.6	2319.15	170.25	1268.46	215.77	8718.32	1088.92	4869.99	336.79	1498.22	728.11	327.56	620.67	1242.34	131.51	323.03	728.11	81.71	231.32	2609.3	2303.12
APCDD1L	1.93	2.68	12.83	13.72	2.36	8.78	2.1	0.39	7.0	0.53	40.36	4.94	23.25	7.51	3.17	26.67	1.07	24.81	16.88	6.62	76.71	9.48	5.82	1.87	4.39	1.03	34.75	13.93	1.83	30.56	44.57	18.84	27.25	0.0	20.41	1.1	44.25	17.51	62.12	2.78	19.97	3.23	6.36	12.64	23.42	0.0	2.78	7.51	0.19	2.66	7.82	24.11
ARSI	3.79	23.59	23.08	54.33	16.88	10.47	3.59	2.89	19.39	3.66	90.77	7.51	30.78	64.8	1.97	75.64	23.25	71.5	11.64	34.26	132.44	11.82	22.59	10.88	24.63	3.38	169.07	82.29	4.17	73.54	96.68	72.01	70.01	0.0	38.4	4.21	178.77	40.64	94.01	3.47	38.67	15.91	5.73	8.58	33.78	0.33	0.89	13.03	0.96	3.29	80.57	80.01
BTBD19	21.32	31.9	21.16	49.21	22.59	18.43	7.57	4.46	33.06	14.45	67.12	26.28	42.11	53.95	17.38	69.03	19.25	72.52	31.9	21.47	109.66	27.25	21.32	36.27	27.44	6.78	58.71	45.85	19.82	92.05	119.26	42.41	58.71	2.29	61.25	17.9	120.1	59.55	105.89	21.32	43.32	32.13	34.75	24.11	26.28	15.11	12.36	19.39	17.0	9.48	73.54	69.03
C5orf46	25.35	25.17	175.07	211.31	23.08	82.87	31.0	28.86	19.11	3.0	1259.69	24.11	152.28	191.67	24.63	595.34	97.36	660.68	32.13	84.63	497.0	74.58	120.94	17.64	73.03	4.86	660.68	120.94	19.68	361.04	205.5	307.69	148.09	29.48	215.77	12.93	1066.48	34.26	769.69	10.0	181.28	72.01	7.82	46.5	164.42	1.46	2.27	19.39	0.0	15.45	301.33	167.9
C7orf10	49.91	135.24	314.17	214.27	24.11	108.9	23.42	8.92	111.21	24.46	2119.22	49.56	172.65	320.8	187.71	476.71	75.64	406.31	127.89	211.31	251.48	329.84	82.29	143.01	197.09	12.55	1151.06	212.78	78.89	426.57	218.79	395.18	182.55	94.67	316.37	40.64	1151.06	159.9	414.87	21.32	400.71	318.57	29.48	126.12	175.07	11.91	19.25	265.87	1.69	47.5	279.14	293.07
CAMK2A	0.37	1.57	1.77	3.63	0.95	1.77	0.0	0.31	6.36	0.39	3.32	0.36	2.46	4.03	0.0	4.24	1.31	6.26	2.63	1.22	6.06	2.48	0.73	0.77	2.01	0.0	6.11	5.68	1.1	6.46	9.78	5.5	2.71	0.0	3.35	0.0	9.7	4.46	5.23	1.31	2.58	3.08	0.0	0.96	2.1	0.34	0.0	0.68	0.36	0.35	7.57	5.06
COL5A1	660.68	1151.06	967.76	3847.29	802.41	406.31	244.57	127.89	813.63	397.93	5441.3	429.54	1896.65	2287.2	507.46	2384.37	854.13	5329.3	921.88	457.25	9088.59	1175.27	1388.16	1594.73	974.5	205.5	7642.41	2997.45	493.56	3955.48	5791.62	2319.15	3349.13	74.58	1950.0	450.94	8022.41	2816.11	4972.34	389.72	2485.67	1208.34	988.12	1066.48	2287.2	529.06	52.82	1340.84	140.04	217.27	3491.39	3349.13
COL8A2	26.1	163.28	258.57	318.57	38.95	147.06	58.71	12.83	159.9	70.51	2287.2	180.02	493.56	483.38	21.16	808.0	170.25	1572.76	94.67	316.37	2271.4	361.04	165.57	221.86	287.01	14.56	551.56	356.05	97.36	1059.11	669.92	454.09	738.29	15.34	500.46	47.5	4268.94	466.88	1870.53	30.12	587.13	251.48	108.14	237.86	323.03	1.53	6.31	155.5	18.43	36.79	633.73	819.3
COMP	41.22	1844.76	1769.57	703.28	133.36	460.44	113.56	104.42	1135.2	242.88	20451.65	785.88	3690.52	1225.22	96.01	2796.65	878.17	2835.7	603.67	612.11	12076.21	1769.57	1073.91	1059.11	2255.7	226.54	1991.0	1781.89	660.68	5479.15	3395.89	2739.08	4972.34	241.19	2367.9	229.72	15824.9	1857.6	2090.03	59.97	3443.31	1066.48	1073.91	860.08	2915.45	0.0	36.53	242.88	87.65	264.03	5711.87	1304.15
COX6C	256748.15	331809.5	185362.8	158046.64	176583.6	185362.8	152662.96	159145.95	201440.3	221968.2	124863.17	355624.68	265802.39	263966.36	242898.5	148488.36	202841.44	169390.27	186652.11	229795.93	95949.32	391864.76	193234.41	425853.18	217400.14	120609.84	320506.81	177811.84	174152.51	67377.47	83528.61	152662.96	208544.12	195931.88	194578.47	253213.41	73221.53	142439.51	114897.47	437825.58	527933.71	200048.85	197294.7	228208.61	286861.53	205673.01	180294.02	223512.12	53230.77	492579.5	132900.7	164758.26
