	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.49.4486.01A.01R.1206.07	TCGA.49.4512.11A.01R.1858.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.QXCU.0626.SM.2TC69	GTEX.U8XE.1426.SM.3DB8Q	GTEX.TML8.0326.SM.4GICN	GTEX.12WSJ.0226.SM.5GCP7	GTEX.117YX.1326.SM.5H125	GTEX.13O21.3026.SM.5J2NI	GTEX.WHPG.1426.SM.3NMBB	GTEX.13VXT.1426.SM.5LU4B	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.13OW6.0826.SM.5L3GA	GTEX.WH7G.0726.SM.3NMBM	GTEX.PLZ6.0426.SM.5IFK2	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ
ABHD2	293.07	511.0	301.33	389.72	595.34	8718.32	5517.27	3081.75	1572.76	1359.57	1427.22	934.76	2319.15	2032.85	1378.57	2351.53	6983.79	1135.2	660.68	1268.46	7749.1
AC105020.1	0.83	0.0	1.43	3.38	3.92	51.71	61.25	36.01	12.74	12.09	11.82	7.34	15.45	17.51	49.56	46.18	17.9	4.9	13.22	18.56	12.45
AFF4	143.01	105.89	153.34	201.25	260.38	848.22	836.53	503.95	258.57	363.56	532.74	329.84	503.95	336.79	733.19	579.04	624.99	262.2	202.66	497.0	551.56
AGAP1	29.06	9.7	151.22	191.67	87.03	381.68	718.08	182.55	106.63	133.36	256.78	118.43	175.07	132.44	143.01	262.2	236.21	140.04	185.11	253.23	241.19
AGO2	18.84	12.0	119.26	80.57	37.05	198.47	460.44	343.89	68.55	78.34	102.25	76.71	139.07	87.03	170.25	96.68	206.94	80.57	51.71	81.14	185.11
AKAP12	19.11	15.68	58.3	20.26	155.5	1529.73	1519.15	1487.87	157.68	412.0	343.89	217.27	909.17	220.32	896.64	638.15	1936.53	142.01	110.43	258.57	2875.3
AKIRIN1	583.07	297.17	435.55	444.72	647.07	1857.6	2351.53	954.43	902.89	915.51	1127.35	607.87	1250.98	1015.93	1733.13	1208.34	1540.37	748.61	796.86	981.29	1225.22
ANKLE2	327.56	163.28	287.01	384.34	444.72	1437.15	2178.83	1359.57	567.1	759.08	723.08	432.53	791.35	647.07	1175.27	836.53	2555.58	567.1	373.81	738.29	1233.75
ARID5B	18.43	4.31	52.82	133.36	175.07	808.0	728.11	343.89	231.32	220.32	211.31	253.23	457.25	277.2	346.29	387.02	395.18	199.85	239.52	460.44	563.18
ASRGL1	107.38	21.63	38.4	43.63	503.95	3257.52	3103.19	638.15	212.78	599.49	941.27	297.17	525.39	769.69	1023.0	785.88	2178.83	665.29	348.71	1268.46	1551.09
