	TCGA.G2.A2EO.01A.11R.A180.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.UY.A78P.01A.12R.A36F.07	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.DK.A2HX.01A.12R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.C5.A7CM.01A.11R.A33Z.07	TCGA.JW.A69B.01A.11R.A32P.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.50.5045.01A.01R.1628.07	TCGA.35.4122.01A.01R.1107.07	TCGA.49.4494.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07	GTEX.12WSL.2126.SM.5GCNG	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.BR.8369.01A.11R.2343.13	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.VQ.A8PP.01A.21R.A414.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91Q.01A.12R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	GTEX.OHPK.1526.SM.3MJGM	GTEX.POMQ.0826.SM.3P61H
AC016745.1	0.0	0.0	0.0	0.0	0.0	0.0	1.38	0.0	0.0	0.0	0.71	1.55	0.0	2.71	1.45	1.69	1.71	4.03	5.96	0.75	6.73	1.2	4.03	0.0	0.0	0.0	0.0	0.0	2.56	0.0	0.0	0.0	1.13	13.83	3.56	12.27	5.06	1.57	12.18	20.26	2.25	10.16	20.86	4.74	15.45	5.41	13.32	5.77	12.93	4.54	3.59	0.0	0.0
AGO1	30.56	75.64	49.21	96.68	63.0	98.73	140.04	94.67	80.01	133.36	96.01	127.0	58.71	91.41	98.04	151.22	131.51	144.01	120.1	154.42	84.04	108.14	114.36	48.18	6.62	26.67	46.18	40.93	64.34	34.26	49.91	18.29	126.12	314.17	189.02	208.38	395.18	123.5	334.46	204.07	241.19	341.51	353.59	305.55	228.13	194.36	218.79	297.17	96.68	242.88	256.78	171.45	183.82
AL136115.1	0.89	0.0	0.0	1.48	0.99	1.23	7.28	3.44	1.31	1.73	3.03	3.89	0.0	3.23	8.25	13.32	15.34	13.93	32.82	3.47	9.85	9.48	17.9	0.0	0.0	0.0	0.0	1.5	2.76	1.31	0.77	0.0	3.17	40.93	9.7	36.79	26.47	6.67	42.11	67.12	7.75	24.81	52.45	43.32	22.92	21.94	46.5	14.78	16.88	34.26	17.51	5.92	4.94
AL353608.1	0.0	0.0	0.0	0.0	0.0	0.0	1.38	0.0	0.0	0.0	0.71	1.55	0.0	2.71	1.45	1.69	1.71	4.03	5.96	0.75	6.73	1.2	4.03	0.0	0.0	0.0	0.0	0.0	2.56	0.0	0.0	0.0	1.13	13.83	3.56	12.27	5.06	1.57	12.18	20.26	2.25	10.16	20.86	4.74	15.45	5.41	13.32	5.77	12.93	4.54	3.59	0.0	0.0
ARHGEF11	74.58	148.09	180.02	231.32	197.09	85.22	251.48	97.36	138.1	307.69	293.07	358.54	91.41	246.28	358.54	616.37	503.95	603.67	808.0	351.14	417.77	351.14	532.74	154.42	40.93	353.59	314.17	208.38	205.5	114.36	187.71	36.79	420.68	743.43	595.34	785.88	791.35	253.23	743.43	579.04	511.0	967.76	808.0	674.59	267.73	693.58	796.86	785.88	559.28	555.41	507.46	514.56	764.36
ARHGEF7	150.17	136.19	182.55	316.37	255.0	262.2	486.75	239.52	316.37	753.83	454.09	490.14	223.41	271.48	500.46	808.0	802.41	813.63	1073.91	525.39	603.67	620.67	713.11	236.21	113.56	327.56	170.25	237.86	373.81	133.36	181.28	88.88	454.09	1037.29	281.09	718.08	1119.56	559.28	1407.55	961.07	780.44	813.63	1127.35	1104.13	738.29	1073.91	954.43	759.08	769.69	1923.14	769.69	466.88	463.65
ARID4A	85.22	53.95	29.48	46.84	62.56	34.51	120.1	234.57	181.28	241.19	48.87	125.24	56.28	102.25	156.59	104.42	144.01	206.94	191.67	60.82	208.38	183.82	122.64	38.95	41.81	64.8	51.35	52.82	107.38	39.79	51.35	49.56	92.05	409.15	132.44	463.65	444.72	318.57	423.61	432.53	212.78	295.11	575.03	348.71	217.27	351.14	332.14	363.56	334.46	406.31	244.57	138.1	194.36
ASH1L	67.59	53.57	76.71	78.34	70.51	50.63	426.57	152.28	255.0	197.09	154.42	139.07	66.18	153.34	193.01	336.79	303.44	346.29	583.07	253.23	226.54	255.0	283.05	61.25	16.63	57.08	53.57	26.67	94.67	50.27	61.68	16.03	283.05	514.56	221.86	514.56	603.67	201.25	351.14	684.02	215.77	603.67	743.43	444.72	209.84	287.01	642.59	329.84	358.54	316.37	348.71	281.09	232.94
ASXL2	27.05	70.51	41.81	64.8	54.72	83.45	92.05	199.85	119.26	87.65	92.7	63.0	62.56	71.5	98.73	140.04	126.12	151.22	212.78	100.83	117.6	128.79	157.68	50.63	25.17	37.59	39.79	35.76	57.49	47.84	38.4	31.45	112.77	293.07	144.01	132.44	368.65	133.36	214.27	220.32	157.68	180.02	346.29	281.09	127.89	251.48	356.05	212.78	177.53	121.79	182.55	126.12	147.06
ATXN7	75.11	47.84	40.07	137.14	55.89	40.36	142.01	271.48	190.34	129.69	166.73	102.25	72.52	98.04	161.02	226.54	231.32	260.38	163.28	170.25	100.83	205.5	178.77	53.95	21.32	66.65	49.21	55.49	90.77	57.89	65.72	21.16	214.27	457.25	151.22	258.57	511.0	244.57	271.48	273.37	226.54	332.14	656.11	299.25	161.02	246.28	511.0	277.2	309.83	199.85	169.07	180.02	271.48
