	TCGA.38.4625.01A.01R.1206.07.1	GTEX.139TT.0726.SM.5K7XW	GTEX.13O3O.0726.SM.5J1N7	GTEX.12584.1426.SM.5EGJ9	GTEX.YFC4.1126.SM.5RQJN	GTEX.147F4.0926.SM.5Q5EO	GTEX.131XW.1126.SM.5EGK4	GTEX.13FTY.0126.SM.5J2NZ	GTEX.N7MS.0926.SM.2HMIZ	GTEX.145LU.0526.SM.5O9AT	GTEX.139UW.0226.SM.5K7WU	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.144GO.0226.SM.5LUB1	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.R55E.0826.SM.2TC5M	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.14E6C.2626.SM.5RQJP	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.148VJ.0726.SM.5LU8J	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.14A5H.0726.SM.5Q5DW	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.12WSN.0726.SM.5GCMS	GTEX.RWSA.0826.SM.2XCBF	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.QXCU.0326.SM.2TC63	GTEX.11VI4.0226.SM.5GU6C	GTEX.1211K.0726.SM.5FQUW	GTEX.Y114.0626.SM.4TT98	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
ACOX2	0.45	90.14	29.7	53.19	514.56	167.9	256.78	154.42	138.1	105.15	38.4	185.11	62.12	77.79	928.3	954.43	890.44	961.07	1216.75	896.64	791.35	909.17	733.19	884.29	708.18	536.45	651.58	836.53	336.79	470.14	1143.1	1277.29	896.64	902.89	872.1	909.17	234.57	909.17	808.0	813.63	1191.69	529.06	1030.12	947.83	1183.45	575.03	1030.12	438.59	1096.5	1008.9	785.88	842.36	748.61	684.02	902.89	1073.91	1605.83	988.12	909.17	759.08	1015.93	974.5	941.27	961.07	1167.14	967.76	563.18	974.5	629.35	1617.0	934.76	748.61	988.12	612.11	579.04	934.76	579.04	480.04	1066.48	1044.52	656.11	361.04	921.88	1167.14
ACSF3	0.43	148.09	177.53	127.89	279.14	82.29	260.38	187.71	262.2	341.51	236.21	141.02	113.56	147.06	878.17	638.15	532.74	414.87	753.83	718.08	426.57	511.0	435.55	373.81	559.28	285.03	409.15	476.71	551.56	353.59	500.46	713.11	476.71	703.28	363.56	656.11	279.14	518.15	426.57	665.29	665.29	339.14	376.41	540.19	591.22	371.22	642.59	503.95	808.0	563.18	941.27	679.29	473.41	264.03	518.15	454.09	624.99	348.71	414.87	493.56	412.0	595.34	412.0	629.35	429.54	507.46	426.57	555.41	463.65	291.04	480.04	371.22	612.11	587.13	234.57	493.56	432.53	429.54	327.56	587.13	450.94	293.07	397.93	733.19
ADAP1	0.61	91.41	212.78	54.33	312.0	80.01	67.59	346.29	226.54	153.34	177.53	183.82	19.39	314.17	450.94	563.18	536.45	373.81	438.59	460.44	260.38	497.0	476.71	301.33	220.32	265.87	62.12	493.56	316.37	264.03	190.34	381.68	536.45	409.15	291.04	417.77	105.89	316.37	149.12	376.41	511.0	301.33	361.04	547.75	389.72	314.17	457.25	423.61	450.94	353.59	543.96	559.28	287.01	92.7	438.59	486.75	423.61	363.56	358.54	507.46	297.17	299.25	152.28	486.75	381.68	277.2	249.73	358.54	334.46	387.02	329.84	325.29	511.0	265.87	163.28	275.28	212.78	221.86	381.68	463.65	599.49	285.03	497.0	356.05
BSCL2	0.58	961.07	753.83	1015.93	1081.39	497.0	902.89	2004.85	830.75	511.0	954.43	1745.2	525.39	624.99	3018.3	2976.74	2976.74	1870.53	1870.53	2664.15	1561.89	1819.35	2520.38	1819.35	2047.0	1508.65	842.36	1909.85	1286.18	1674.06	1397.83	2682.69	1551.09	1832.01	2335.28	1909.85	1044.52	2271.4	860.08	2739.08	2335.28	1250.98	1963.57	2224.63	2502.97	2004.85	2682.69	1870.53	2178.83	2875.3	2148.82	2520.38	1674.06	723.08	2351.53	1757.34	2555.58	1721.16	3168.41	2796.65	1963.57	1832.01	1519.15	3325.99	2520.38	1572.76	1340.84	2367.9	1467.37	2193.99	3146.52	1977.24	2627.46	1685.71	1143.1	2061.24	1340.84	1216.75	1781.89	1857.6	2193.99	1447.15	2287.2	2895.31
C12orf52	0.0	147.06	130.6	73.54	148.09	92.7	139.07	127.89	120.1	145.02	156.59	111.99	90.77	137.14	595.34	454.09	567.1	480.04	323.03	470.14	336.79	339.14	379.04	299.25	389.72	297.17	189.02	366.09	229.72	239.52	299.25	511.0	289.02	366.09	381.68	423.61	269.6	406.31	133.36	511.0	432.53	283.05	361.04	476.71	540.19	358.54	412.0	299.25	438.59	397.93	358.54	432.53	251.48	187.71	381.68	305.55	332.14	293.07	356.05	473.41	351.14	289.02	161.02	463.65	423.61	348.71	305.55	299.25	285.03	325.29	518.15	334.46	473.41	351.14	126.12	316.37	295.11	204.07	412.0	295.11	460.44	329.84	389.72	571.05
C19orf24	0.15	493.56	426.57	460.44	447.82	307.69	591.22	466.88	486.75	435.55	713.11	414.87	486.75	480.04	1819.35	2209.26	1883.54	921.88	1286.18	1685.71	1519.15	1697.45	1417.35	1407.55	1277.29	1268.46	629.35	1508.65	1191.69	1295.13	813.63	1487.87	1529.73	1388.16	1594.73	1467.37	848.22	1844.76	583.07	1378.57	1697.45	1037.29	1135.2	1540.37	1561.89	1498.22	1388.16	1001.93	1857.6	1977.24	1313.23	1757.34	1208.34	802.41	1498.22	1051.79	1950.0	808.0	2384.37	1697.45	1208.34	1350.18	836.53	2720.15	1745.2	1427.22	1225.22	1151.06	1135.2	1199.98	2555.58	1397.83	1991.0	961.07	981.29	1397.83	1304.15	1111.82	1639.59	1216.75	1709.26	1167.14	1540.37	1909.85
CISD3	0.38	346.29	295.11	438.59	420.68	215.77	447.82	559.28	521.76	256.78	543.96	540.19	320.8	587.13	1427.22	1844.76	1769.57	1295.13	1331.57	1369.04	1662.49	1519.15	1127.35	1216.75	1322.37	934.76	551.56	1199.98	738.29	1096.5	759.08	1427.22	1397.83	1437.15	1369.04	1250.98	490.14	1870.53	420.68	1467.37	1662.49	995.0	1216.75	1540.37	1151.06	1159.07	1250.98	1167.14	1397.83	1721.16	1250.98	1397.83	1015.93	297.17	1721.16	896.64	1369.04	785.88	2335.28	1313.23	1073.91	928.3	607.87	2434.5	1857.6	1388.16	1111.82	1030.12	995.0	1151.06	2520.38	1477.58	1709.26	808.0	599.49	1191.69	1119.56	842.36	1295.13	1127.35	2287.2	1023.0	1378.57	1359.57
COA3	0.22	802.41	780.44	718.08	1151.06	356.05	684.02	679.29	723.08	651.58	1159.07	1030.12	555.41	563.18	2664.15	2303.12	3589.58	2451.44	1963.57	2520.38	2271.4	1883.54	2895.31	1923.14	2645.74	1216.75	896.64	2335.28	1685.71	2018.8	1407.55	2701.35	1844.76	1950.0	2335.28	1896.65	1088.92	2335.28	1015.93	2796.65	2271.4	1819.35	2193.99	2875.3	2451.44	2434.5	2384.37	1639.59	2502.97	2502.97	2255.7	2537.92	1870.53	854.13	2468.49	1605.83	2047.0	2119.22	2520.38	2835.7	1923.14	1870.53	1286.18	2855.44	2287.2	2018.8	1819.35	1844.76	1870.53	1909.85	2855.44	2133.97	2835.7	1781.89	1037.29	2163.77	1709.26	1369.04	2075.59	2090.03	2384.37	1963.57	2573.36	3124.78
COPS6	928.3	1331.57	988.12	1259.69	1407.55	1159.07	1639.59	1340.84	1857.6	1963.57	1359.57	1519.15	1295.13	684.02	2720.15	2956.17	3212.66	3103.19	2555.58	2976.74	2720.15	2739.08	3257.52	1963.57	2468.49	2271.4	1870.53	3146.52	1950.0	2417.67	2178.83	3060.45	2701.35	2468.49	2627.46	2855.44	1477.58	3639.7	1697.45	3124.78	2627.46	2255.7	2835.7	2956.17	2835.7	2319.15	2915.45	2133.97	2915.45	3103.19	2609.3	2915.45	2609.3	2090.03	3212.66	2303.12	2835.7	2485.67	3235.01	2609.3	2664.15	2400.97	2537.92	3212.66	3325.99	2520.38	2555.58	2682.69	2090.03	2520.38	3325.99	2485.67	3212.66	2061.24	1781.89	2520.38	2417.67	2047.0	2915.45	2701.35	2997.45	2004.85	2573.36	2895.31
COQ4	251.48	529.06	708.18	358.54	490.14	320.8	591.22	603.67	486.75	525.39	583.07	507.46	283.05	358.54	3190.46	1781.89	2777.33	2004.85	1832.01	1936.53	2018.8	2287.2	2367.9	2004.85	2133.97	1909.85	1191.69	3257.52	1216.75	1447.15	1529.73	3039.3	2271.4	2434.5	1685.71	1769.57	1059.11	1870.53	1322.37	2609.3	1963.57	1617.0	2875.3	2434.5	2384.37	2758.13	2255.7	1977.24	2163.77	2555.58	2895.31	2485.67	1769.57	1378.57	1498.22	2367.9	2796.65	1709.26	2591.27	2701.35	2193.99	1870.53	1923.14	2335.28	1909.85	2047.0	1135.2	2335.28	1350.18	2119.22	2148.82	2209.26	2777.33	1088.92	1651.0	2075.59	1991.0	1628.26	1628.26	2451.44	1909.85	1225.22	2018.8	3564.78
