	TCGA.VN.A88P.01A.11R.A352.07	TCGA.V1.A9OH.01A.11R.A41O.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.KK.A8I4.01A.11R.A36G.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.G9.A9S4.01A.11R.A41O.07	TCGA.KK.A7AV.01A.11R.A32O.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.XJ.A9DK.01A.11R.A37L.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.KC.A7F6.01A.11R.A33R.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.VN.A88K.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.EJ.7327.01A.11R.2118.07	TCGA.KK.A6E0.01A.11R.A311.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6361.01A.21R.1965.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.YL.A9WY.01A.11R.A41O.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.KK.A8I8.01A.11R.A36G.07	TCGA.YL.A9WI.01A.11R.A37L.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.YL.A8SH.01B.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.HC.8257.01A.11R.2263.07	TCGA.G9.6499.01A.12R.1965.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.J4.A83J.01A.11R.A36G.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.KC.A4BR.01A.32R.A32Y.07	TCGA.YL.A9WK.01A.11R.A37L.07	TCGA.EJ.7788.01A.11R.2118.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.V1.A9OF.01A.11R.A41O.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5509.01A.01R.1580.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.J4.AATZ.01A.11R.A41O.07	TCGA.G9.A9S7.01A.11R.A41O.07	TCGA.YL.A9WL.01A.11R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.HC.7209.01A.11R.2118.07	TCGA.EJ.A8FU.01A.11R.A36G.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.G9.6336.01A.11R.1789.07	TCGA.EJ.5495.01A.01R.1580.07	TCGA.CH.5794.01A.11R.1580.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.YL.A8HK.01A.11R.A36G.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.G9.6370.01A.11R.1789.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.ZG.A9L4.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.KK.A8IF.01A.11R.A36G.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.VP.A876.01A.11R.A352.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.KC.A7FE.01A.12R.A33R.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.KC.A7FA.01A.21R.A33R.07	TCGA.KK.A8I5.01A.11R.A36G.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.KK.A59Y.01A.11R.A26U.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.VP.A87D.01A.11R.A352.07	TCGA.KC.A7F3.01A.21R.A33R.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.KK.A8IB.01A.11R.A36G.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.ZG.A9L2.01A.31R.A41O.07	TCGA.YL.A8HO.01A.11R.A36G.07	TCGA.EJ.7792.01A.11R.2118.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7081.01A.11R.1965.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.A65F.01A.21R.A311.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.CH.5762.01A.11R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.KK.A8IA.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.EJ.A7NN.01A.11R.A33R.07	TCGA.G9.6356.01A.11R.1789.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.KK.A8I6.01A.11R.A36G.07	TCGA.EJ.7125.01A.11R.1965.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.ZG.A9LS.01A.12R.A41O.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7821.01A.12R.2118.07	TCGA.EJ.7321.01A.31R.2263.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.VP.A87K.01A.11R.A352.07	TCGA.M7.A725.01A.12R.A32O.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.CH.5761.11A.01R.1580.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.139T6.1526.SM.5P9G6
ABCC9	52.82	53.95	20.11	8.0	44.57	49.21	133.36	96.68	27.25	66.65	9.41	27.44	143.01	4.54	92.7	10.71	19.39	77.25	59.13	38.95	45.53	20.11	31.0	44.57	18.97	137.14	16.88	13.22	77.25	39.5	85.82	102.97	33.3	49.91	3.35	55.1	125.24	74.58	33.54	20.11	40.93	45.53	71.0	33.54	74.06	38.67	51.71	14.03	29.91	54.72	23.08	52.45	31.0	58.71	67.59	66.65	37.05	27.05	46.5	15.34	44.89	42.41	21.32	23.59	18.43	30.34	30.56	77.79	93.35	22.1	32.59	78.89	29.06	38.67	98.04	57.49	100.13	23.42	12.55	23.59	111.99	90.77	22.59	7.88	15.68	55.49	22.59	19.68	72.01	35.5	99.43	40.93	1.53	10.88	17.38	26.1	226.54	32.59	37.59	123.5	12.93	116.78	23.59	30.12	47.84	13.83	13.03	90.77	80.01	26.67	25.17	40.36	45.21	40.36	105.15	74.06	50.63	49.21	48.18	88.88	43.94	27.25	27.44	70.51	71.0	58.3	6.46	26.1	71.0	12.83	63.45	28.24	34.02	37.85	36.27	24.99	40.93	30.12	27.44	36.53	19.53	13.72	12.74	85.22	90.77	217.27	23.76	202.66	18.7	37.85	12.55	10.08	26.67	13.32	46.5	11.04	57.08	91.41	97.36	32.13	25.72	44.57	19.68	43.32	19.53	12.27	61.25	68.07	50.63	41.22	27.84	63.89	3.69	145.02	37.32	64.8	43.94	16.51	40.07	81.71	38.95	51.71	77.25	27.84	18.29	16.27	15.11	18.84	14.45	40.64	65.72	111.21	65.72	66.18	97.36	55.49	52.08	209.84	108.9
ABCG2	104.42	73.54	28.86	25.17	49.21	88.88	133.36	113.56	38.12	76.71	16.39	142.01	121.79	29.27	44.25	43.32	70.01	62.12	48.18	58.71	74.06	55.89	55.49	39.22	26.67	63.0	51.71	55.49	109.66	41.81	106.63	81.71	58.71	70.01	8.32	87.03	66.65	61.25	59.13	46.18	33.3	55.1	61.68	123.5	107.38	66.65	480.04	48.18	66.18	63.0	56.28	40.64	49.21	170.25	88.88	59.97	146.03	27.25	73.54	20.86	129.69	45.21	86.43	57.08	49.21	74.06	50.98	90.77	104.42	37.59	58.3	211.31	73.54	39.5	80.01	148.09	122.64	61.25	83.45	68.07	100.83	94.01	44.89	21.32	31.0	60.39	42.11	74.58	61.25	52.08	121.79	98.04	9.48	59.97	27.44	34.02	368.65	35.5	31.22	77.25	18.97	100.13	186.4	40.07	140.04	37.32	31.0	78.89	123.5	55.49	47.17	73.54	127.89	39.22	249.73	73.54	94.01	71.0	120.1	106.63	65.26	79.45	71.0	59.55	226.54	88.88	44.89	36.53	60.39	53.95	99.43	22.43	52.82	27.05	33.78	35.5	39.22	127.0	30.78	31.22	23.25	43.63	33.06	68.55	353.59	277.2	85.82	70.01	61.68	70.01	31.9	22.43	30.56	12.45	67.59	17.38	144.01	84.63	97.36	98.04	18.29	88.88	24.11	151.22	36.27	26.86	96.01	128.79	73.54	85.22	53.19	193.01	19.82	110.43	81.14	110.43	53.95	64.8	111.99	88.26	38.95	110.43	140.04	63.0	35.0	12.45	14.67	19.82	19.53	104.42	82.87	111.21	124.37	128.79	117.6	220.32	51.71	412.0	307.69
AC096677.1	5.02	4.58	3.35	0.0	7.28	10.63	32.13	12.45	2.71	8.13	1.5	5.63	17.51	3.63	17.51	6.41	0.0	8.06	8.13	4.54	1.43	6.36	8.0	14.56	3.38	27.64	4.86	0.0	6.89	5.54	4.78	7.51	2.86	11.55	0.0	6.78	20.26	5.06	10.63	2.73	4.1	12.64	21.16	4.5	20.86	7.11	8.71	1.46	3.59	10.16	8.45	9.34	5.68	5.73	7.06	14.35	7.28	4.46	9.56	2.76	19.25	10.31	0.0	4.82	5.32	11.64	5.5	8.25	13.42	3.59	2.86	24.28	0.0	6.62	34.02	8.19	22.26	5.77	10.55	2.84	26.28	2.86	2.46	1.03	8.58	13.03	9.34	3.56	13.32	7.69	13.03	15.68	0.0	11.3	1.77	7.06	36.53	4.74	7.46	16.39	5.41	18.7	5.87	2.61	7.4	1.45	0.0	17.77	7.11	3.29	3.35	13.72	7.94	0.0	16.75	9.41	5.06	1.83	8.78	17.64	8.45	10.88	0.0	11.04	23.59	14.56	3.5	2.66	17.64	2.94	13.42	1.68	5.02	5.87	16.39	7.22	9.7	8.85	5.15	5.32	4.66	0.0	1.28	13.52	19.11	31.67	1.46	36.27	3.14	18.97	6.41	4.94	12.55	0.0	5.23	0.0	13.83	13.32	16.27	8.65	2.41	11.91	1.08	19.97	7.0	7.75	18.97	7.28	2.56	7.0	6.41	18.97	0.0	2.25	0.0	15.34	4.54	2.48	7.75	13.83	7.57	25.72	16.03	2.56	0.0	8.25	3.47	0.0	2.68	5.15	10.39	29.48	7.82	22.26	16.51	3.66	4.24	46.84	13.42
ADAM22	96.68	54.72	21.01	22.75	71.5	67.12	167.9	109.66	72.01	159.9	18.29	53.57	215.77	13.83	133.36	28.04	26.86	163.28	72.01	51.71	75.64	40.64	75.11	57.49	44.89	167.9	40.36	40.64	135.24	75.64	86.43	139.07	59.97	134.3	14.78	127.0	126.12	80.01	52.08	42.11	72.01	64.34	120.94	80.01	120.94	91.41	34.26	5.96	46.18	78.34	55.1	87.03	52.82	133.36	54.33	149.12	69.03	31.45	66.65	19.53	42.71	65.72	21.01	32.82	47.5	63.89	52.08	72.01	136.19	30.34	45.21	170.25	58.71	84.63	116.78	55.1	206.94	30.12	44.57	54.33	130.6	126.12	40.64	18.43	48.18	121.79	32.59	35.5	99.43	47.17	189.02	55.89	14.24	19.11	35.0	32.36	218.79	54.33	51.35	72.01	31.0	134.3	60.82	58.3	49.21	25.72	26.47	57.89	158.79	36.27	63.45	44.25	74.06	80.57	194.36	96.68	87.65	80.01	68.55	95.34	74.06	38.4	46.84	74.58	87.65	35.25	9.06	29.27	53.57	19.11	94.01	27.44	64.8	56.68	50.98	53.19	68.07	38.67	39.5	77.79	25.54	17.13	20.86	150.17	114.36	412.0	57.49	318.57	35.76	62.12	103.69	14.24	33.06	36.53	85.22	16.88	101.54	157.68	164.42	45.85	24.63	72.01	16.03	52.45	34.26	20.41	66.18	109.66	68.55	58.71	42.41	80.01	6.94	140.04	88.26	101.54	48.52	78.89	70.01	75.64	53.95	71.5	90.14	31.45	24.28	23.76	37.85	24.63	36.53	74.58	82.29	217.27	159.9	98.04	137.14	138.1	49.91	325.29	62.56
ADCY9	51.71	65.26	40.36	26.28	36.53	52.08	159.9	118.43	47.17	67.12	67.59	58.3	94.01	52.82	118.43	50.98	61.25	74.58	59.55	50.98	54.33	72.52	63.89	36.27	85.22	105.89	39.79	49.91	94.01	50.63	68.55	92.7	53.57	70.01	42.41	80.57	68.07	67.12	43.63	29.91	48.18	73.54	111.21	80.57	80.01	81.14	71.5	75.11	44.57	43.63	40.07	65.26	29.06	77.79	78.89	91.41	65.26	29.91	61.68	49.56	65.26	73.03	23.93	63.0	33.78	35.0	44.89	79.45	67.59	59.13	32.82	74.58	34.75	86.43	132.44	67.59	109.66	64.34	42.71	51.35	92.7	76.17	114.36	48.52	85.82	115.16	38.4	93.35	71.0	85.22	103.69	81.14	42.41	72.01	31.67	47.17	229.72	83.45	59.55	99.43	36.79	167.9	38.67	53.57	110.43	49.21	85.82	80.01	86.43	56.28	73.54	79.45	74.58	53.57	134.3	45.85	51.35	55.89	94.01	102.25	43.63	57.89	37.32	74.06	97.36	110.43	115.97	41.22	29.7	54.33	70.01	30.78	69.52	65.72	111.21	66.18	63.0	44.89	37.85	48.18	64.8	30.34	52.45	134.3	87.65	166.73	37.32	224.97	99.43	47.84	76.17	42.71	26.1	116.78	90.77	40.07	57.49	88.88	94.67	53.19	48.87	73.54	73.03	96.01	48.87	67.59	76.71	98.04	60.82	69.03	60.39	63.89	28.65	104.42	42.71	78.89	47.84	30.12	58.71	167.9	74.06	81.71	87.03	34.02	55.89	73.54	40.07	35.76	54.33	48.18	117.6	128.79	96.68	147.06	116.78	80.57	63.45	152.28	171.45
AHDC1	130.6	132.44	74.06	51.71	127.89	142.01	215.77	142.01	89.51	185.11	106.63	135.24	144.01	79.45	209.84	52.82	57.49	226.54	218.79	134.3	125.24	115.16	88.88	90.14	141.02	215.77	52.82	153.34	156.59	182.55	164.42	182.55	141.02	102.97	55.89	102.25	157.68	170.25	101.54	84.63	133.36	186.4	312.0	147.06	150.17	136.19	151.22	44.57	155.5	119.26	142.01	173.85	102.97	149.12	172.65	208.38	78.34	66.18	170.25	111.99	126.12	136.19	57.89	127.0	69.03	134.3	96.01	198.47	140.04	113.56	92.7	157.68	84.04	133.36	176.29	234.57	121.79	150.17	90.77	150.17	181.28	249.73	156.59	85.22	82.87	126.12	96.68	178.77	166.73	126.12	267.73	178.77	57.49	83.45	120.1	141.02	197.09	112.77	150.17	223.41	111.21	205.5	48.52	164.42	118.43	96.01	68.07	214.27	98.73	92.05	97.36	127.0	91.41	163.28	229.72	176.29	105.15	133.36	119.26	211.31	112.77	73.54	83.45	186.4	97.36	115.16	62.56	110.43	122.64	64.34	144.01	85.22	83.45	127.89	119.26	96.68	93.35	120.1	101.54	117.6	83.45	66.18	25.17	176.29	221.86	260.38	152.28	237.86	95.34	136.19	65.26	91.41	135.24	58.3	145.02	64.34	202.66	158.79	127.0	127.0	108.9	201.25	108.9	122.64	81.14	90.77	165.57	186.4	84.63	145.02	120.94	135.24	104.42	167.9	102.97	151.22	105.15	87.65	82.29	120.1	92.05	195.72	131.51	132.44	120.1	73.54	92.05	105.15	93.35	180.02	199.85	320.8	185.11	309.83	239.52	142.01	112.77	279.14	172.65
AKAP6	31.0	11.13	12.55	4.7	12.45	10.79	31.0	14.24	8.51	31.0	4.06	7.57	19.82	6.16	20.41	5.73	6.52	31.0	22.26	9.56	10.79	10.24	14.24	7.57	9.78	24.46	8.0	7.11	17.38	17.13	22.1	29.27	4.28	14.35	4.46	21.63	13.12	15.0	11.13	6.01	12.55	15.56	30.56	15.22	17.0	19.25	10.55	12.83	9.41	13.42	7.57	11.64	7.0	22.75	30.12	14.24	17.38	7.4	8.0	2.78	14.14	10.16	4.03	13.32	7.0	10.39	5.82	92.05	18.84	10.08	8.99	18.97	9.93	19.68	27.84	27.64	33.54	6.73	14.14	10.0	18.84	26.67	15.11	6.21	3.38	19.97	18.7	12.27	13.32	10.31	15.56	16.39	0.74	4.86	3.86	8.38	29.91	19.97	26.1	21.94	5.68	40.36	31.22	11.47	20.71	7.63	8.65	9.78	13.72	13.32	8.13	9.27	7.82	7.28	34.02	12.64	9.48	4.31	10.71	21.01	17.0	12.36	10.08	12.45	13.93	19.97	8.71	11.73	12.45	11.64	22.1	3.96	5.68	8.99	16.88	12.64	12.55	11.3	6.94	7.82	2.56	3.89	7.88	48.18	14.45	79.45	12.45	27.44	17.77	12.74	16.27	3.92	8.58	8.85	10.47	6.36	8.58	40.64	28.86	8.45	8.0	19.53	5.23	33.3	7.63	7.63	10.16	15.56	13.72	17.25	8.32	18.7	4.66	14.03	6.21	17.64	19.25	7.94	12.27	12.74	12.18	17.64	13.12	5.73	11.38	6.89	3.79	5.41	7.82	12.55	25.91	31.67	27.84	36.01	26.28	27.05	25.54	55.89	31.22
ALDH1L2	17.9	12.74	11.13	3.69	16.75	23.59	46.18	17.0	6.52	17.13	3.32	9.13	34.26	1.38	22.1	3.41	3.76	15.0	18.97	15.56	8.38	8.32	10.31	11.64	9.34	25.35	4.82	7.63	19.82	17.38	22.1	15.34	12.45	20.71	0.78	12.27	25.54	13.03	5.92	6.89	12.0	15.56	24.99	10.79	11.73	21.78	10.71	3.89	5.28	16.51	5.63	12.45	9.56	24.28	10.0	24.63	12.83	7.63	18.7	23.59	14.56	11.73	4.74	7.94	9.93	10.55	6.73	23.59	13.52	5.92	10.79	36.27	8.38	11.64	27.64	22.43	36.27	5.63	7.75	7.51	14.67	12.83	5.45	3.96	4.9	22.26	9.7	11.73	15.11	9.48	28.45	23.42	0.73	6.31	5.77	12.0	49.56	8.13	13.93	18.84	2.41	23.08	5.77	12.64	18.16	5.54	5.02	15.56	39.22	6.73	8.65	10.16	9.06	9.85	34.51	16.51	16.39	13.32	11.91	17.51	12.64	4.54	12.83	18.16	23.25	8.51	2.36	12.18	13.22	2.58	21.32	5.77	12.27	7.46	11.64	12.45	6.67	10.0	5.41	12.93	5.28	3.5	2.51	30.56	32.13	99.43	7.22	40.36	7.75	12.45	4.66	3.86	10.71	3.47	11.3	3.38	23.93	21.32	52.08	13.62	6.94	13.72	4.17	14.35	19.53	3.69	11.04	14.89	43.02	10.39	6.26	20.41	0.72	53.57	14.35	16.27	13.03	4.86	6.84	40.93	10.24	13.22	13.93	23.25	4.31	4.58	4.06	5.68	9.48	14.24	21.78	36.27	25.17	55.49	31.0	33.3	10.88	80.57	38.12
ANKRD44	39.22	42.71	57.49	8.99	26.47	56.28	145.02	107.38	41.81	33.06	29.27	112.77	190.34	19.11	73.03	51.71	31.45	54.72	32.82	38.12	73.03	29.7	52.45	38.12	42.71	111.21	38.95	51.71	84.04	84.04	38.67	52.82	43.63	92.05	14.24	44.57	105.89	84.63	74.58	30.12	67.12	51.71	64.34	54.72	55.89	50.27	59.97	17.0	27.25	50.63	29.06	48.18	41.22	91.41	57.08	48.18	151.22	52.45	39.22	61.25	60.82	39.79	67.59	55.1	35.25	169.07	55.89	73.03	57.49	63.45	52.82	138.1	36.79	40.64	101.54	106.63	111.21	46.84	82.29	53.19	90.14	61.25	49.56	32.36	122.64	107.38	66.65	79.45	85.82	72.01	85.22	84.63	10.55	60.82	29.91	26.67	221.86	47.5	64.8	115.16	18.97	100.83	41.22	52.08	87.03	17.38	38.95	94.01	79.45	75.11	76.71	59.55	53.19	19.97	90.14	40.64	75.64	46.84	100.83	71.0	59.97	60.82	48.87	44.57	142.01	92.05	38.95	35.5	57.08	61.25	56.68	70.01	35.76	64.34	64.8	72.01	59.97	63.0	25.17	45.53	80.01	42.11	91.41	170.25	172.65	199.85	24.63	236.21	53.95	38.95	59.13	32.82	35.5	54.33	72.01	32.36	51.35	95.34	172.65	67.12	51.71	68.07	16.63	59.97	29.48	53.19	80.57	56.68	55.89	76.71	41.22	76.71	45.21	144.01	17.51	41.22	63.89	29.06	44.25	173.85	85.82	44.25	94.67	31.0	39.79	53.19	31.67	25.54	31.67	50.98	115.16	105.89	82.29	94.67	127.0	85.22	18.29	154.42	63.89
ANO5	38.12	16.88	17.64	1.68	7.34	76.17	53.57	29.06	4.43	85.22	15.22	15.56	108.9	0.72	53.19	3.26	4.17	41.52	54.33	24.28	31.22	17.9	15.68	33.54	9.13	29.27	5.15	11.21	47.84	34.26	31.0	31.22	14.45	36.79	7.82	23.08	29.7	50.63	12.45	4.74	12.27	26.86	30.12	13.42	31.0	59.97	10.39	2.1	13.12	24.46	6.36	30.12	6.21	72.01	24.63	76.71	31.45	12.83	31.45	9.27	16.15	11.3	4.5	9.34	12.09	13.32	11.73	68.07	40.07	5.96	15.34	27.44	39.22	51.71	59.55	13.32	38.95	7.28	11.13	15.56	27.25	41.22	6.11	49.91	1.66	49.56	13.03	7.94	18.84	14.03	82.87	37.85	0.0	3.69	14.24	16.03	77.79	8.65	32.13	31.9	4.43	61.68	28.04	6.78	12.0	6.16	3.86	19.39	36.27	7.63	6.16	13.03	9.78	30.34	48.87	25.17	28.45	18.03	13.03	27.25	28.86	35.76	29.91	22.1	22.26	5.02	1.19	10.16	28.24	60.82	38.67	6.94	26.67	15.91	20.56	13.93	14.35	29.7	8.38	36.79	4.06	3.96	2.68	76.71	38.4	136.19	19.68	37.85	5.82	23.42	3.53	4.94	6.78	5.19	14.24	4.74	40.64	53.95	60.82	10.16	4.78	40.93	7.69	11.04	9.7	2.61	14.67	42.71	15.68	29.27	9.2	23.08	3.26	44.25	21.47	19.53	23.93	11.04	14.14	16.75	18.29	20.26	31.45	36.01	3.79	4.98	3.86	13.03	39.79	75.11	32.13	136.19	78.34	52.08	87.03	54.33	40.07	104.42	53.19
