	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.VR.A8EY.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.LN.A4A2.01A.31R.A260.31	TCGA.LN.A7HX.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.IG.A51D.01A.11R.A36D.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.VR.AA7D.01A.11R.A406.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.JY.A6FE.01A.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.11P7K.1326.SM.5BC5G	GTEX.ZPU1.1426.SM.4WWFU	GTEX.11P81.0826.SM.5P9GR	GTEX.QV44.1126.SM.4R1KO	TCGA.CV.6943.11A.01R.1915.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ACSL1	4736.79	3018.3	1151.06	1044.52	684.02	703.28	536.45	854.13	954.43	412.0	723.08	1104.13	921.88	1073.91	947.83	1467.37	1216.75	371.22	941.27	583.07	1233.75	2956.17	1457.23	1991.0	1551.09	2075.59	3820.7	2090.03	1819.35	1313.23	1896.65	1991.0
ARAP2	954.43	866.07	236.21	351.14	83.45	67.12	181.28	130.6	111.99	46.18	204.07	397.93	91.41	303.44	135.24	420.68	348.71	1.51	305.55	31.9	387.02	438.59	358.54	343.89	476.71	387.02	293.07	738.29	353.59	785.88	409.15	780.44
BTD	161.02	363.56	111.99	187.71	71.0	57.89	133.36	62.56	81.14	116.78	119.26	133.36	127.0	111.21	56.28	163.28	109.66	108.14	149.12	63.45	187.71	279.14	293.07	251.48	249.73	236.21	287.01	253.23	287.01	353.59	283.05	208.38
CCDC125	236.21	226.54	93.35	90.77	10.0	32.82	21.63	37.32	34.75	52.08	44.57	72.52	50.27	68.55	40.36	111.99	65.26	28.65	55.1	49.91	87.65	217.27	161.02	172.65	204.07	96.01	97.36	82.29	110.43	49.91	101.54	66.65
CDKN2B	6745.86	4736.79	1159.07	1697.45	109.66	780.44	872.1	48.18	633.73	490.14	1417.35	1183.45	1111.82	1427.22	35.25	2956.17	2133.97	723.08	728.11	29.48	2178.83	1697.45	1457.23	1733.13	1697.45	1369.04	12329.98	24153.43	9945.68	17437.64	11424.74	9740.98
COBLL1	3325.99	1331.57	429.54	551.56	145.02	127.0	299.25	353.59	253.23	201.25	269.6	579.04	256.78	423.61	251.48	642.59	450.94	25.35	246.28	92.7	748.61	1605.83	1359.57	1407.55	1794.29	791.35	921.88	1583.71	878.17	2609.3	1286.18	878.17
CRNN	971597.0	706337.4	509950.32	2171106.91	112.77	25.72	25.54	26.67	334.46	52135.28	565825.41	1221310.69	100.13	767601.56	113.56	2805836.45	951601.81	5.11	405683.88	0.0	4107985.47	147462.67	57448.23	84109.6	112532.89	134755.94	3336720.86	4851500.88	834179.46	6183532.28	4558095.38	5534416.31
CYP3A5	11504.21	9673.69	371.22	176.29	28.86	4.17	21.32	4.82	73.03	74.58	112.77	224.97	3.82	88.88	2.97	176.29	167.9	2.41	90.77	2.27	231.32	2032.85	1295.13	1685.71	2032.85	454.09	1378.57	3146.52	1733.13	2090.03	1467.37	3716.2
DDX3X	3212.66	1583.71	2090.03	2271.4	884.29	1277.29	1378.57	1233.75	1757.34	1127.35	1709.26	2645.74	1135.2	2520.38	1721.16	2351.53	2104.58	1268.46	1674.06	1268.46	2400.97	3235.01	3018.3	3467.27	2796.65	3124.78	3847.29	4268.94	1977.24	3303.0	3515.68	3168.41
DENND1B	400.71	521.76	190.34	141.02	53.95	35.0	100.83	127.0	166.73	40.93	90.77	228.13	80.57	140.04	98.04	173.85	129.69	33.3	183.82	53.19	131.51	271.48	217.27	239.52	251.48	239.52	152.28	214.27	143.01	201.25	166.73	122.64
