	TCGA.K4.A54R.11A.11R.A26T.07	GTEX.Y9LG.0626.SM.4WWDH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.139TT.0726.SM.5K7XW	GTEX.13O3O.0726.SM.5J1N7	GTEX.12584.1426.SM.5EGJ9	GTEX.147F4.0926.SM.5Q5EO	GTEX.11NV4.1126.SM.5HL6J	GTEX.11OF3.1126.SM.5986C	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.11WQK.2926.SM.5EQKT	GTEX.11NUK.2426.SM.5BC4U	GTEX.117YW.2226.SM.5N9DB
AC018755.1	1.1	5.19	0.0	0.12	5.02	2.23	0.07	4.94	7.46	2.43	19.97	31.67	32.13	16.51	28.04	28.04	42.11	29.48	19.82	43.63	32.36	36.53	28.24	17.9	24.99	26.28	30.78	22.26	34.02	24.46	32.13	26.86	20.71	34.02	35.5	40.07	27.84	48.87	36.01	40.93	27.44	23.42	13.22	35.76	40.07	32.59	28.24	0.55	0.74	0.0
ACTR1B	981.29	866.07	0.0	0.88	759.08	1111.82	830.75	848.22	723.08	363.56	1233.75	1369.04	1277.29	1088.92	1437.15	1745.2	1407.55	1199.98	1359.57	1605.83	1519.15	1378.57	1378.57	1104.13	1208.34	1051.79	1259.69	1313.23	1119.56	1457.23	1697.45	1175.27	1407.55	1208.34	1191.69	1437.15	1397.83	1477.58	1551.09	1628.26	1447.15	1104.13	1519.15	1304.15	1572.76	1417.35	1304.15	563.18	575.03	718.08
AGPAT1	1008.9	547.75	1991.0	466.88	988.12	547.75	1388.16	825.0	1008.9	718.08	1001.93	1977.24	1151.06	1023.0	1883.54	1477.58	1427.22	1304.15	1340.84	1322.37	2133.97	1936.53	2004.85	1216.75	1617.0	1508.65	1617.0	1529.73	1417.35	1508.65	1617.0	1208.34	1685.71	1225.22	1322.37	1639.59	1427.22	1059.11	1572.76	2104.58	1397.83	988.12	1883.54	1561.89	1697.45	1991.0	1529.73	271.48	607.87	511.0
AKR7A2	819.3	1015.93	0.0	0.16	591.22	429.54	583.07	392.44	466.88	289.02	1191.69	1950.0	1721.16	1259.69	1896.65	1378.57	1733.13	1397.83	1519.15	1286.18	1909.85	1583.71	1950.0	1159.07	1674.06	1487.87	1437.15	1467.37	1322.37	1781.89	2032.85	775.05	1519.15	1437.15	1225.22	1259.69	1583.71	1250.98	1519.15	1617.0	1304.15	1259.69	1487.87	1685.71	1819.35	1662.49	1883.54	299.25	961.07	728.11
AL161915.1	3.2	9.7	0.0	0.14	11.82	5.5	2.92	5.77	3.03	1.28	14.35	30.34	22.26	19.68	29.27	21.47	24.46	11.82	36.27	29.27	28.04	16.15	31.9	12.74	28.45	12.36	24.81	23.59	16.15	30.34	30.34	22.43	29.91	26.47	24.11	30.12	52.08	26.67	22.43	38.12	30.12	11.82	17.25	23.08	36.79	37.85	22.59	6.62	4.98	1.31
AL357673.1	14.14	24.81	0.0	0.09	29.06	5.11	12.27	13.93	11.73	14.89	40.36	46.84	66.65	27.84	48.87	28.04	44.89	28.86	45.53	55.89	47.84	62.12	45.53	24.99	52.08	53.57	40.36	35.5	50.98	41.22	55.89	33.3	73.54	45.53	50.27	69.52	29.7	57.49	63.89	50.98	39.22	55.49	33.54	31.67	57.49	52.08	40.93	6.46	7.17	12.27
ALKBH4	76.17	71.5	0.0	0.0	102.25	70.01	51.71	66.65	71.0	73.54	141.02	376.41	236.21	231.32	341.51	260.38	346.29	215.77	291.04	265.87	314.17	283.05	353.59	181.28	309.83	208.38	312.0	189.02	209.84	356.05	406.31	223.41	258.57	283.05	273.37	336.79	334.46	305.55	291.04	332.14	336.79	277.2	293.07	320.8	246.28	384.34	358.54	65.72	28.86	100.13
AP1M1	656.11	511.0	0.0	0.71	543.96	417.77	500.46	403.5	215.77	463.65	447.82	599.49	616.37	438.59	738.29	583.07	633.73	595.34	660.68	579.04	813.63	669.92	791.35	543.96	547.75	633.73	559.28	500.46	669.92	728.11	748.61	543.96	753.83	813.63	688.78	713.11	620.67	514.56	728.11	808.0	708.18	595.34	629.35	713.11	563.18	759.08	567.1	371.22	412.0	480.04
AP5S1	77.25	134.3	0.0	0.0	87.03	108.14	59.97	71.0	74.58	77.25	281.09	339.14	264.03	231.32	275.28	309.83	303.44	283.05	309.83	279.14	312.0	265.87	293.07	211.31	202.66	135.24	277.2	253.23	199.85	232.94	139.07	215.77	264.03	299.25	241.19	246.28	251.48	199.85	169.07	287.01	223.41	267.73	356.05	228.13	234.57	329.84	301.33	66.18	53.95	96.01
ARHGAP1	1583.71	1685.71	1030.12	127.0	567.1	525.39	450.94	638.15	423.61	285.03	1427.22	1023.0	1844.76	1447.15	2701.35	1757.34	1674.06	1628.26	2075.59	1674.06	2209.26	2520.38	2855.44	1322.37	1628.26	1487.87	2209.26	2148.82	2240.11	1583.71	1806.78	607.87	1806.78	1498.22	1674.06	2287.2	896.64	1529.73	1896.65	2335.28	1923.14	1467.37	2255.7	1977.24	1781.89	2451.44	1662.49	616.37	1794.29	417.77
BOLA1	99.43	170.25	0.0	0.33	112.77	64.34	90.14	74.58	105.89	90.77	457.25	703.28	567.1	426.57	660.68	547.75	825.0	466.88	679.29	543.96	693.58	503.95	688.78	466.88	363.56	447.82	802.41	325.29	460.44	909.17	595.34	656.11	480.04	718.08	595.34	693.58	791.35	669.92	575.03	796.86	813.63	392.44	551.56	808.0	884.29	921.88	808.0	60.82	44.89	90.14
C11orf68	775.05	629.35	0.0	0.68	1015.93	551.56	825.0	507.46	1551.09	836.53	1073.91	1540.37	1111.82	988.12	1745.2	1001.93	1427.22	1447.15	1286.18	1104.13	1437.15	1304.15	1583.71	981.29	1277.29	1111.82	1417.35	896.64	941.27	1447.15	1447.15	954.43	1159.07	1322.37	1088.92	1427.22	1286.18	1216.75	1277.29	1685.71	1081.39	1216.75	1369.04	1378.57	1487.87	1540.37	1388.16	249.73	275.28	514.56
C19orf82	183.82	59.13	0.0	0.24	58.3	50.27	48.18	38.12	39.79	56.28	205.5	376.41	303.44	189.02	248.0	389.72	400.71	248.0	438.59	172.65	432.53	358.54	441.64	224.97	373.81	201.25	299.25	343.89	363.56	231.32	457.25	212.78	265.87	265.87	423.61	353.59	361.04	301.33	381.68	371.22	343.89	224.97	325.29	363.56	400.71	336.79	414.87	41.52	73.54	31.9
C5orf54	5.02	11.64	0.0	0.0	13.83	14.78	20.71	10.08	14.14	3.99	29.91	87.65	69.52	84.04	80.57	61.68	96.01	63.45	87.03	60.39	96.01	96.01	145.02	54.33	93.35	38.95	105.15	79.45	137.14	64.34	128.79	103.69	68.07	53.57	81.14	108.9	80.57	100.83	51.71	92.7	87.65	51.35	75.64	81.14	141.02	82.87	91.41	7.22	8.51	4.06
CAMK1	214.27	100.13	0.0	0.72	967.76	205.5	616.37	343.89	928.3	532.74	1769.57	2976.74	1991.0	1721.16	1950.0	1883.54	1551.09	1286.18	2485.67	2018.8	2485.67	1721.16	1674.06	2163.77	2255.7	1540.37	1674.06	1242.34	1369.04	2434.5	2537.92	2178.83	1572.76	2271.4	1551.09	2032.85	2209.26	1037.29	1572.76	2303.12	1151.06	974.5	2240.11	1936.53	2384.37	1427.22	1457.23	113.56	173.85	454.09
CCDC106	176.29	153.34	0.0	0.43	153.34	85.82	63.89	56.28	140.04	125.24	403.5	866.07	490.14	253.23	575.03	525.39	536.45	420.68	599.49	417.77	708.18	529.06	591.22	595.34	571.05	400.71	563.18	400.71	356.05	890.44	791.35	412.0	674.59	674.59	555.41	532.74	629.35	483.38	543.96	723.08	438.59	450.94	490.14	603.67	529.06	616.37	460.44	64.34	23.76	50.27
CCDC90B	669.92	567.1	0.0	0.4	327.56	291.04	264.03	320.8	111.21	279.14	607.87	819.3	954.43	713.11	785.88	674.59	775.05	633.73	698.41	688.78	708.18	769.69	708.18	629.35	679.29	607.87	813.63	896.64	1066.48	718.08	693.58	603.67	669.92	796.86	819.3	808.0	703.28	830.75	723.08	743.43	866.07	769.69	860.08	791.35	825.0	848.22	813.63	248.0	629.35	320.8
CDIPT	1617.0	1044.52	0.0	0.74	1259.69	733.19	1369.04	713.11	1286.18	825.0	2119.22	3419.52	2163.77	2303.12	3303.0	2240.11	3018.3	2434.5	3146.52	2193.99	2956.17	2682.69	3257.52	2434.5	3190.46	2384.37	3081.75	2255.7	1963.57	3060.45	3257.52	2609.3	2855.44	3060.45	2520.38	2835.7	2875.3	1977.24	2758.13	3190.46	2119.22	1662.49	2434.5	2720.15	2895.31	3564.78	3443.31	723.08	470.14	1167.14
CDPF1	49.21	95.34	0.0	0.15	62.56	48.87	47.5	53.95	60.39	54.33	156.59	258.57	234.57	176.29	366.09	220.32	327.56	194.36	260.38	271.48	251.48	279.14	346.29	173.85	253.23	251.48	295.11	166.73	212.78	271.48	426.57	198.47	303.44	299.25	198.47	323.03	348.71	299.25	215.77	289.02	329.84	134.3	281.09	231.32	341.51	376.41	299.25	55.1	50.27	42.41
CHRM1	0.0	0.71	0.0	0.0	6.94	9.13	3.59	15.0	8.92	11.55	884.29	1477.58	1709.26	209.84	3168.41	638.15	2104.58	1628.26	1991.0	1127.35	1322.37	1127.35	3491.39	941.27	1051.79	909.17	620.67	500.46	1051.79	1322.37	1519.15	414.87	1417.35	1001.93	1096.5	1183.45	1167.14	860.08	1233.75	3168.41	1191.69	723.08	995.0	1119.56	2451.44	2119.22	2271.4	6.26	0.39	3.47
CLSTN1	1617.0	1477.58	2209.26	454.09	1508.65	603.67	1388.16	656.11	1277.29	921.88	4298.64	5711.87	4736.79	4903.87	6745.86	4802.93	5872.48	3235.01	5517.27	4639.29	5479.15	4972.34	6381.92	4123.49	5366.37	4239.45	5147.73	3742.05	3639.7	4903.87	5076.84	5441.3	3901.01	5555.65	3665.02	4903.87	4450.27	4481.23	4575.41	5147.73	5255.91	5112.16	5112.16	4123.49	4066.71	5913.33	5672.41	1127.35	1037.29	825.0
CNPPD1	775.05	1427.22	0.0	0.25	563.18	450.94	693.58	466.88	591.22	454.09	1950.0	2537.92	2209.26	1963.57	2303.12	1950.0	2451.44	2163.77	1950.0	1844.76	2573.36	2224.63	2367.9	1709.26	2047.0	1963.57	2224.63	1721.16	1721.16	1909.85	3212.66	1572.76	2758.13	2193.99	1794.29	2335.28	2468.49	1844.76	2384.37	2434.5	1950.0	2133.97	2271.4	2032.85	2417.67	2468.49	2335.28	1001.93	764.36	674.59
COG8	84.63	175.07	145.02	79.45	119.26	106.63	90.77	77.25	102.25	128.79	246.28	309.83	283.05	283.05	279.14	295.11	356.05	211.31	256.78	242.88	339.14	336.79	279.14	173.85	295.11	293.07	277.2	348.71	242.88	193.01	181.28	246.28	209.84	191.67	264.03	353.59	175.07	346.29	323.03	248.0	197.09	248.0	361.04	267.73	251.48	297.17	332.14	145.02	54.33	224.97
CUL7	297.17	152.28	0.0	0.47	76.17	88.88	102.97	89.51	57.08	51.35	406.31	460.44	406.31	460.44	429.54	500.46	387.02	395.18	295.11	521.76	651.58	486.75	356.05	285.03	460.44	511.0	358.54	514.56	316.37	353.59	603.67	417.77	656.11	327.56	285.03	543.96	486.75	438.59	551.56	507.46	521.76	363.56	599.49	239.52	414.87	356.05	285.03	73.03	91.41	54.33
DCAF12L2	2.84	1.28	0.0	0.11	0.0	0.0	0.0	8.78	0.0	3.26	29.91	62.12	46.5	20.41	13.72	61.68	41.22	13.22	9.06	15.45	23.08	14.56	30.56	1.95	23.25	3.11	7.88	5.36	24.99	16.88	63.89	0.0	15.8	49.56	35.0	20.86	28.24	22.59	23.59	33.3	20.86	14.89	18.84	16.03	61.68	43.02	31.22	0.88	0.0	0.3
DCTN3	1369.04	1870.53	0.0	0.85	1242.34	866.07	1617.0	733.19	1104.13	599.49	1950.0	2855.44	2417.67	1832.01	2758.13	2209.26	2502.97	2255.7	2816.11	2303.12	2835.7	2417.67	2997.45	1909.85	2335.28	2502.97	2303.12	2018.8	1857.6	3103.19	3018.3	2047.0	2434.5	3372.43	2032.85	2537.92	2627.46	2209.26	2335.28	3103.19	2061.24	2319.15	2367.9	2502.97	2956.17	2935.74	3124.78	813.63	1208.34	563.18
DGCR2	791.35	1044.52	0.0	0.62	536.45	447.82	540.19	320.8	435.55	351.14	1277.29	1295.13	1359.57	1277.29	1794.29	1628.26	1519.15	1175.27	1259.69	1417.35	1594.73	1819.35	1605.83	1199.98	1832.01	1639.59	1529.73	1233.75	1304.15	1437.15	1605.83	961.07	1583.71	1088.92	1331.57	1806.78	1487.87	1447.15	1819.35	1561.89	1447.15	1191.69	1832.01	1304.15	1437.15	1551.09	1674.06	688.78	251.48	525.39
DGCR6L	791.35	656.11	0.0	0.51	551.56	241.19	381.68	320.8	791.35	318.57	1498.22	2701.35	1819.35	1417.35	2855.44	1963.57	2555.58	2018.8	2956.17	1617.0	2537.92	2004.85	2835.7	2319.15	2193.99	1844.76	2209.26	1628.26	1487.87	3103.19	3257.52	1733.13	1870.53	2075.59	2018.8	2351.53	3349.13	1950.0	2133.97	2664.15	2148.82	2163.77	2018.8	2739.08	2434.5	2758.13	2956.17	265.87	532.74	307.69
