	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.E2.A1IG.01A.11R.A144.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A2.A0YT.01A.11R.A109.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.E2.A2P5.01A.11R.A19W.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.A2.A25B.01A.11R.A169.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.D8.A1X9.01A.12R.A157.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.Y5V6.0226.SM.4V6G7	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.SNOS.0426.SM.32PMH	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.YB5E.0726.SM.4VDSH	GTEX.12WSJ.0226.SM.5GCP7	GTEX.133LE.0526.SM.5N9EJ	GTEX.QDVJ.0926.SM.2I5FU	GTEX.11I78.0126.SM.5HL6F	GTEX.117YX.1326.SM.5H125	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.1339X.0626.SM.5IJER	GTEX.WHPG.1426.SM.3NMBB	GTEX.13N1W.0726.SM.5MR57	GTEX.132QS.0726.SM.5IJE9	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.ZLWG.0626.SM.4WWFR	GTEX.ZY6K.0326.SM.5SIBB	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1399U.0826.SM.5KM1P	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.VJYA.0326.SM.3GAEX	GTEX.145LS.1226.SM.5Q5D9	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.RM2N.0426.SM.2TF4T	GTEX.QEG5.1126.SM.33HC2
ACADL	0.0	2.25	1.33	0.32	1.0	129.69	0.32	0.36	0.0	0.34	0.3	0.66	0.34	37.05	5.82	0.67	27.25	4.06	0.0	0.0	0.99	2.97	3.53	0.85	1.25	0.34	0.0	0.59	0.0	0.1	1119.56	1477.58	1909.85	1225.22	1832.01	567.1	2555.58	764.36	1832.01	1023.0	1250.98	1963.57	2816.11	1015.93	1331.57	86.43	493.56	2240.11	1896.65	620.67	759.08	703.28	343.89	785.88	1883.54	2209.26	1781.89	1388.16	703.28	587.13	412.0	186.4	497.0	708.18	3589.58	2627.46	4181.07	2502.97	454.09	1572.76	518.15	1073.91	476.71	1936.53	1950.0	1457.23	220.32	785.88	1617.0	2193.99	669.92	320.8	703.28	896.64	3103.19	1498.22	1208.34	921.88
AMN	4.82	6.01	3.35	0.75	10.0	1.17	2.36	2.29	16.51	2.16	6.11	0.8	3.86	5.19	0.87	2.25	8.65	1.07	1.85	1.13	4.98	5.15	7.17	18.84	4.78	1.85	17.25	3.5	2.58	0.68	305.55	51.71	260.38	356.05	115.97	105.15	118.43	197.09	287.01	175.07	176.29	293.07	358.54	125.24	105.89	66.65	244.57	237.86	87.03	182.55	295.11	214.27	206.94	426.57	187.71	150.17	84.63	249.73	232.94	218.79	32.13	183.82	144.01	41.22	271.48	170.25	189.02	1023.0	406.31	232.94	341.51	208.38	60.82	152.28	620.67	271.48	172.65	79.45	277.2	336.79	18.97	52.08	271.48	92.05	97.36	218.79	40.36	105.15
ANKRD45	3.79	1.79	5.54	6.11	3.38	1.81	0.82	3.76	2.03	7.28	3.63	2.05	4.1	3.23	3.56	3.06	1.41	1.07	5.36	1.16	2.39	5.28	5.23	5.15	1.71	5.06	1.07	0.51	2.12	0.0	31.45	18.29	23.08	68.55	23.25	46.5	17.25	40.64	63.89	132.44	129.69	38.12	33.3	5.63	0.0	173.85	18.97	28.65	21.01	40.07	5.82	40.36	180.02	29.06	9.85	17.64	61.25	22.59	198.47	3.76	44.89	12.27	33.06	81.71	93.35	14.78	24.11	17.9	201.25	120.94	29.27	7.63	13.52	41.52	13.03	64.8	49.21	14.24	140.04	23.42	33.54	264.03	50.98	22.43	82.87	33.78	25.35	147.06
ARHGEF4	6.67	16.03	31.22	5.63	25.54	30.78	5.92	12.45	19.39	17.64	7.0	7.63	17.0	15.8	29.27	6.21	48.52	22.59	20.56	21.01	20.26	22.92	16.63	0.39	8.99	27.84	1.01	3.06	24.11	0.48	289.02	246.28	503.95	229.72	209.84	135.24	743.43	139.07	242.88	195.72	660.68	149.12	450.94	124.37	33.78	19.68	104.42	295.11	500.46	76.71	44.25	356.05	69.03	73.54	253.23	432.53	348.71	660.68	1015.93	8.65	108.9	71.5	71.0	183.82	239.52	406.31	406.31	665.29	154.42	100.13	23.42	142.01	23.08	486.75	409.15	307.69	71.5	19.68	414.87	147.06	223.41	127.89	239.52	438.59	1806.78	320.8	140.04	85.22
ASB9	7.22	52.45	24.81	11.55	20.26	8.45	33.3	94.01	17.25	23.59	12.09	29.7	31.67	14.56	20.86	31.22	36.27	38.12	19.53	21.47	8.65	32.82	22.43	17.0	6.52	49.91	7.0	24.11	21.16	0.12	334.46	120.1	183.82	167.9	97.36	11.47	186.4	256.78	119.26	193.01	277.2	169.07	145.02	120.94	137.14	55.49	96.01	73.03	226.54	125.24	81.71	171.45	214.27	50.27	234.57	187.71	142.01	176.29	57.89	8.45	114.36	8.25	41.22	59.97	226.54	112.77	358.54	100.13	154.42	129.69	43.02	273.37	41.81	178.77	115.97	127.0	33.06	139.07	177.53	142.01	665.29	56.68	208.38	258.57	150.17	202.66	166.73	38.12
BMP2	0.96	6.89	9.78	2.81	26.28	6.67	1.28	3.17	7.06	5.19	2.34	14.45	3.26	6.11	4.7	8.06	24.46	3.06	4.98	2.32	5.96	24.63	4.31	2.34	4.5	6.57	1.27	2.68	8.99	0.21	426.57	7589.61	334.46	1073.91	2240.11	693.58	4328.55	237.86	3901.01	1159.07	1977.24	1427.22	460.44	2255.7	314.17	3794.3	275.28	708.18	909.17	181.28	612.11	158.79	525.39	142.01	1651.0	1135.2	796.86	392.44	708.18	191.67	1709.26	1819.35	1295.13	267.73	486.75	2609.3	251.48	915.51	1191.69	325.29	559.28	819.3	234.57	303.44	2915.45	417.77	190.34	1151.06	2468.49	264.03	381.68	2816.11	575.03	1963.57	753.83	1304.15	902.89	2255.7
CCDC181	2.12	7.46	3.06	2.46	1.06	4.98	1.57	2.1	5.11	3.86	1.19	2.94	4.46	4.82	5.32	7.28	3.47	1.83	5.87	2.27	3.0	9.06	4.24	1.75	2.56	1.68	2.41	4.62	2.71	0.0	34.02	44.89	35.5	80.57	17.9	96.01	8.25	24.11	105.15	170.25	165.57	25.35	28.04	25.72	2.71	297.17	14.67	30.56	18.97	17.38	34.02	63.0	204.07	51.71	9.93	18.16	53.19	12.45	234.57	36.53	33.54	13.42	40.36	111.21	123.5	80.57	12.64	47.17	265.87	142.01	18.03	10.16	13.03	43.02	32.82	40.36	17.9	8.25	226.54	30.34	3.5	536.45	72.52	6.21	61.68	4.17	106.63	303.44
CDC14B	20.86	59.13	110.43	40.93	47.17	84.63	13.62	36.01	16.75	39.5	39.22	65.26	33.78	30.34	51.35	64.34	104.42	82.87	86.43	25.72	49.56	78.34	54.33	13.52	56.28	100.13	8.58	57.49	53.95	72.01	164.42	185.11	221.86	151.22	158.79	85.22	214.27	176.29	239.52	103.69	199.85	221.86	121.79	134.3	178.77	119.26	82.29	251.48	226.54	147.06	103.69	181.28	170.25	128.79	157.68	161.02	208.38	178.77	171.45	93.35	187.71	108.14	113.56	143.01	226.54	256.78	293.07	267.73	212.78	221.86	85.82	157.68	102.97	217.27	142.01	248.0	77.25	120.1	221.86	320.8	148.09	423.61	202.66	189.02	206.94	165.57	172.65	241.19
CELF2	49.56	111.99	75.64	53.95	134.3	108.14	75.64	42.11	48.18	102.97	43.63	72.52	34.51	50.63	122.64	113.56	96.01	33.06	105.89	13.32	53.57	173.85	51.35	8.19	43.32	150.17	21.01	19.53	89.51	58.71	934.76	1151.06	1001.93	229.72	796.86	193.01	1697.45	693.58	1427.22	366.09	579.04	1457.23	521.76	486.75	547.75	612.11	514.56	1088.92	466.88	567.1	409.15	854.13	660.68	493.56	2664.15	1159.07	579.04	579.04	616.37	476.71	255.0	1457.23	525.39	647.07	2061.24	941.27	3794.3	1819.35	155.5	733.19	651.58	599.49	463.65	607.87	860.08	547.75	256.78	563.18	1427.22	2075.59	220.32	1151.06	1096.5	470.14	599.49	995.0	1397.83	1745.2
CLCN5	15.68	12.74	20.11	32.82	21.94	37.85	18.7	38.95	25.91	34.75	44.25	30.56	28.86	25.72	36.27	35.0	13.72	27.25	45.21	6.36	28.65	57.49	19.39	11.04	23.59	37.32	51.35	21.01	28.04	0.43	127.0	69.03	54.33	136.19	63.45	94.67	55.89	113.56	64.34	82.87	77.25	84.63	61.25	74.06	123.5	169.07	147.06	115.16	107.38	48.52	85.22	83.45	140.04	78.34	106.63	156.59	193.01	139.07	105.89	180.02	71.0	40.93	117.6	124.37	140.04	56.28	99.43	97.36	82.29	55.89	159.9	120.1	122.64	47.84	74.58	65.72	74.06	147.06	78.89	132.44	57.89	82.87	133.36	120.1	89.51	190.34	75.11	185.11
COL4A3	0.0	4.54	0.82	0.74	1.87	0.8	0.74	2.61	0.0	0.43	0.0	0.44	1.11	0.43	4.17	1.51	1.73	1.68	2.51	0.0	1.48	6.11	0.0	0.69	2.41	0.44	0.41	0.0	0.0	0.4	836.53	120.1	1437.15	1242.34	454.09	379.04	2319.15	1119.56	571.05	289.02	1313.23	656.11	543.96	312.0	529.06	112.77	299.25	688.78	624.99	199.85	94.01	435.55	111.99	366.09	343.89	708.18	2573.36	1397.83	2367.9	232.94	536.45	1135.2	647.07	423.61	884.29	429.54	2895.31	961.07	633.73	314.17	178.77	339.14	490.14	265.87	665.29	220.32	73.03	373.81	647.07	633.73	525.39	651.58	536.45	1883.54	974.5	848.22	497.0	406.31
COL4A4	1.87	3.03	5.15	1.91	9.34	7.34	1.91	7.57	1.04	2.66	0.65	1.71	2.34	0.39	6.11	2.76	3.2	2.18	2.39	0.0	2.73	9.13	1.0	0.36	1.35	2.36	1.89	1.53	1.08	0.18	638.15	89.51	660.68	226.54	366.09	211.31	1594.73	358.54	438.59	312.0	738.29	271.48	438.59	187.71	283.05	132.44	314.17	514.56	384.34	109.66	53.57	172.65	162.14	129.69	392.44	368.65	1066.48	454.09	656.11	85.82	293.07	316.37	204.07	708.18	872.1	211.31	819.3	995.0	273.37	211.31	152.28	258.57	305.55	218.79	435.55	101.54	27.25	170.25	211.31	295.11	551.56	426.57	262.2	796.86	575.03	457.25	389.72	323.03
DAPK1	175.07	119.26	88.88	87.03	84.63	137.14	131.51	68.07	23.42	74.06	65.26	87.65	43.32	59.13	115.16	119.26	66.65	29.91	307.69	21.94	105.15	143.01	31.67	80.57	75.11	137.14	29.91	42.71	83.45	0.54	1519.15	1313.23	2133.97	4419.52	1259.69	529.06	3280.18	1757.34	3372.43	1340.84	3847.29	2537.92	2609.3	819.3	947.83	591.22	525.39	3639.7	2119.22	2209.26	543.96	1697.45	555.41	3039.3	1583.71	2178.83	1617.0	3103.19	5183.54	713.11	759.08	2271.4	1477.58	1697.45	5479.15	4704.07	6887.62	2133.97	896.64	1457.23	1073.91	713.11	3124.78	1104.13	2915.45	1397.83	314.17	403.5	4181.07	3303.0	796.86	1119.56	4869.99	3901.01	2956.17	1540.37	1313.23	2796.65
DERA	414.87	660.68	348.71	507.46	624.99	463.65	638.15	718.08	423.61	536.45	341.51	525.39	406.31	591.22	351.14	514.56	698.41	400.71	316.37	669.92	429.54	514.56	202.66	629.35	363.56	409.15	591.22	346.29	708.18	0.45	1397.83	1073.91	1378.57	743.43	1350.18	529.06	1397.83	656.11	1583.71	1066.48	928.3	1167.14	1369.04	1583.71	1617.0	400.71	1088.92	1806.78	902.89	1104.13	1151.06	1183.45	872.1	698.41	1745.2	1081.39	1397.83	1127.35	909.17	830.75	769.69	629.35	1331.57	591.22	1540.37	872.1	1277.29	1870.53	571.05	1662.49	1208.34	1477.58	583.07	1519.15	1037.29	1407.55	497.0	1216.75	995.0	1508.65	1216.75	759.08	1081.39	718.08	1447.15	1250.98	1250.98	1167.14
DNER	0.34	0.0	0.38	2.73	0.71	1.36	0.0	0.0	0.67	1.62	0.32	0.68	0.68	0.68	1.45	2.01	1.89	1.22	1.01	1.62	1.35	1.71	1.83	0.6	0.36	0.0	0.0	0.91	1.03	0.09	51.35	571.05	5.41	55.89	4.7	14.03	31.22	1.04	40.07	70.01	145.02	17.38	2.78	3.44	7.46	161.02	10.31	4.43	5.15	12.27	3.2	28.65	191.67	26.47	11.47	31.22	23.25	8.32	108.14	4.17	6.73	28.24	14.89	61.25	303.44	54.72	13.32	4.66	151.22	49.56	1.36	2.25	0.0	21.63	2.84	18.7	5.28	2.18	163.28	23.93	14.45	303.44	24.11	10.24	15.91	16.15	57.89	28.24
DOCK4	123.5	154.42	110.43	126.12	64.34	165.57	173.85	81.14	78.34	195.72	44.25	142.01	54.72	45.85	137.14	181.28	81.71	32.36	187.71	40.93	72.52	91.41	48.52	11.64	81.14	128.79	25.54	36.27	75.64	0.48	518.15	447.82	490.14	466.88	460.44	193.01	718.08	256.78	444.72	503.95	483.38	547.75	571.05	447.82	323.03	363.56	320.8	420.68	497.0	303.44	267.73	629.35	155.5	223.41	438.59	447.82	753.83	503.95	1096.5	429.54	316.37	791.35	460.44	258.57	466.88	463.65	575.03	525.39	432.53	406.31	339.14	356.05	351.14	220.32	361.04	334.46	183.82	323.03	423.61	397.93	211.31	651.58	279.14	599.49	638.15	400.71	591.22	698.41
ETV5	87.65	134.3	158.79	147.06	65.72	169.07	242.88	118.43	63.0	66.65	55.1	133.36	55.49	58.3	71.0	178.77	125.24	48.52	212.78	52.08	108.14	193.01	45.21	24.11	80.01	194.36	31.67	41.52	115.97	0.2	1044.52	2434.5	2537.92	934.76	1437.15	1159.07	1909.85	1081.39	1167.14	1111.82	1191.69	1350.18	1304.15	1259.69	1183.45	872.1	819.3	1923.14	2997.45	466.88	703.28	1242.34	633.73	728.11	1457.23	1896.65	3190.46	1030.12	1457.23	785.88	791.35	1651.0	616.37	1407.55	1295.13	1369.04	2485.67	2148.82	575.03	1709.26	1369.04	1001.93	1051.79	3168.41	921.88	1225.22	796.86	703.28	656.11	1963.57	1199.98	995.0	860.08	2209.26	1819.35	842.36	3280.18	2148.82
FAM153A	1.31	9.2	1.85	1.99	0.78	0.0	0.0	0.0	0.0	1.08	0.38	0.0	0.41	0.0	1.19	0.43	4.94	0.0	1.45	0.0	0.0	2.2	0.0	1.57	1.07	2.12	1.01	0.39	0.0	0.58	305.55	22.43	205.5	120.94	20.41	11.04	23.42	86.43	47.84	392.44	29.27	211.31	185.11	173.85	22.26	9.2	23.42	35.0	6.78	51.35	5.63	17.51	23.59	53.57	86.43	118.43	154.42	116.78	22.59	96.01	47.17	5.45	50.27	38.12	60.39	381.68	140.04	97.36	112.77	23.25	153.34	72.52	61.25	232.94	269.6	147.06	9.7	3.56	164.42	145.02	36.01	43.63	220.32	8.0	170.25	127.0	100.13	291.04
FMO2	12.27	47.84	34.75	12.55	107.38	77.79	9.2	17.25	30.56	78.34	4.28	39.79	32.36	19.39	167.9	73.03	232.94	52.82	6.26	3.82	22.1	189.02	72.52	1.93	29.7	59.97	4.5	0.74	15.8	0.32	3515.68	2178.83	4802.93	2645.74	2335.28	251.48	6381.92	368.65	5041.77	2119.22	5441.3	2855.44	909.17	2287.2	1487.87	204.07	934.76	3467.27	2451.44	1135.2	1844.76	2758.13	420.68	1331.57	3467.27	3614.55	10014.87	3639.7	3168.41	559.28	995.0	1167.14	1745.2	1508.65	3491.39	4736.79	6079.61	4328.55	878.17	3419.52	466.88	1551.09	262.2	2032.85	2720.15	1923.14	78.34	693.58	3081.75	2193.99	1529.73	748.61	2875.3	2335.28	5913.33	1417.35	4639.29	2133.97
FREM2	0.0	0.33	1.93	0.0	14.78	89.51	1.46	2.92	3.59	37.32	0.0	0.0	6.26	0.62	12.74	54.33	0.91	0.0	5.54	0.0	0.96	41.81	0.3	0.0	5.92	23.59	1.71	1.11	2.53	0.0	172.65	248.0	256.78	285.03	223.41	102.97	336.79	246.28	256.78	141.02	206.94	206.94	141.02	173.85	214.27	130.6	82.29	320.8	209.84	120.94	82.87	128.79	141.02	189.02	244.57	236.21	346.29	193.01	432.53	82.29	204.07	128.79	104.42	204.07	389.72	255.0	212.78	236.21	158.79	253.23	126.12	187.71	208.38	130.6	318.57	205.5	131.51	113.56	232.94	244.57	132.44	251.48	131.51	265.87	299.25	236.21	215.77	258.57
GALNT12	17.64	35.76	22.75	11.55	33.54	23.08	12.18	16.75	11.47	26.47	8.58	12.93	7.46	12.55	27.84	16.39	68.07	13.42	37.05	2.34	33.06	44.57	6.46	3.79	5.45	29.27	2.48	3.86	20.41	0.19	379.04	642.59	638.15	1073.91	656.11	341.51	379.04	813.63	507.46	447.82	743.43	642.59	1498.22	633.73	339.14	202.66	166.73	825.0	791.35	698.41	808.0	363.56	490.14	941.27	392.44	693.58	612.11	583.07	1662.49	251.48	400.71	295.11	218.79	435.55	1199.98	454.09	866.07	521.76	511.0	1322.37	368.65	412.0	775.05	830.75	612.11	532.74	283.05	145.02	988.12	1286.18	909.17	1286.18	599.49	493.56	974.5	571.05	493.56	2400.97
GPR116	123.5	194.36	281.09	134.3	228.13	229.72	85.22	107.38	147.06	277.2	58.3	248.0	114.36	164.42	170.25	205.5	309.83	83.45	217.27	85.82	88.26	417.77	291.04	5.5	146.03	258.57	121.79	36.01	198.47	0.71	4181.07	16496.96	15499.21	3515.68	4736.79	974.5	19618.49	2075.59	5751.61	3515.68	5751.61	4543.8	19348.38	8247.98	3395.89	3491.39	1639.59	15180.22	5292.48	3372.43	2573.36	2224.63	3280.18	1583.71	19892.37	2701.35	8718.32	6207.38	7589.61	1119.56	4239.45	3820.7	1051.79	8718.32	11267.44	5791.62	17558.94	9945.68	1508.65	6887.62	3955.48	2090.03	1225.22	3847.29	3820.7	4836.35	830.75	3212.66	7280.4	14971.21	4358.66	4210.15	3589.58	4181.07	9808.75	4903.87	14663.09	11909.94
GRIN3B	1.04	1.5	0.82	0.0	1.17	0.0	0.74	0.46	2.14	0.78	1.0	0.44	1.11	1.81	0.0	0.0	1.75	0.0	2.18	1.13	0.0	0.83	0.42	1.91	0.43	2.18	0.0	2.86	2.23	0.01	4.1	2.61	3.69	54.33	2.07	77.25	2.25	6.73	28.86	75.11	101.54	4.82	16.63	1.66	2.05	93.35	12.36	2.48	8.19	10.88	2.71	44.25	53.95	22.26	2.76	2.51	14.78	10.39	100.13	9.41	18.16	6.94	25.17	50.63	47.5	21.47	5.5	14.56	161.02	55.89	2.27	5.23	10.88	2.56	4.13	8.38	4.43	5.77	65.26	5.28	1.64	111.99	32.59	3.92	13.72	2.36	18.84	31.22
KANSL1L	54.72	102.25	104.42	131.51	72.52	197.09	49.56	57.89	77.79	104.42	43.02	43.94	114.36	165.57	108.14	98.73	108.9	35.25	162.14	30.78	94.01	143.01	68.07	94.67	55.49	86.43	72.01	58.71	100.13	172.65	232.94	180.02	198.47	234.57	224.97	110.43	348.71	279.14	423.61	218.79	273.37	212.78	273.37	232.94	220.32	172.65	163.28	351.14	237.86	202.66	148.09	197.09	125.24	212.78	303.44	204.07	271.48	301.33	384.34	346.29	143.01	201.25	121.79	218.79	366.09	309.83	579.04	303.44	249.73	264.03	119.26	154.42	185.11	231.32	368.65	193.01	68.55	173.85	312.0	406.31	120.94	309.83	189.02	334.46	343.89	228.13	287.01	361.04
KCNT2	0.66	2.05	4.13	2.53	3.79	5.11	0.67	3.53	1.68	3.63	0.64	3.0	1.36	1.36	2.58	2.43	4.78	0.97	6.67	0.39	2.73	5.87	1.91	0.0	2.61	8.25	2.48	0.0	4.43	0.06	89.51	43.32	119.26	59.97	93.35	24.63	76.17	47.17	81.14	52.82	43.02	84.63	71.5	53.95	32.13	35.0	26.1	50.27	16.03	19.68	48.87	47.5	12.0	25.91	48.18	88.88	42.11	38.12	55.89	20.71	41.52	108.14	49.91	74.06	80.57	167.9	91.41	99.43	54.33	60.82	19.25	20.71	28.65	124.37	22.59	53.19	11.73	15.34	100.13	108.14	65.26	80.01	21.01	35.5	109.66	50.98	81.71	31.22
LHFPL3	0.0	0.35	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.99	0.0	0.0	0.0	0.0	1.1	0.0	1.28	0.0	0.68	0.0	0.36	0.37	0.0	0.0	0.0	0.35	0.0	0.89	0.0	0.0	77.79	417.77	90.14	115.16	137.14	13.72	82.87	163.28	118.43	111.21	59.55	110.43	105.15	36.53	42.71	124.37	5.45	81.71	144.01	202.66	22.92	31.9	27.05	244.57	181.28	123.5	262.2	81.71	61.25	10.88	71.0	148.09	62.56	114.36	101.54	34.51	134.3	94.67	224.97	113.56	0.0	34.02	87.65	44.25	131.51	18.16	5.59	21.16	166.73	154.42	84.63	217.27	67.12	406.31	115.97	69.03	237.86	6.84
MECOM	32.82	49.56	111.99	55.49	88.88	92.7	32.13	54.33	58.71	75.11	18.16	100.83	60.82	70.51	49.91	81.14	115.16	30.78	72.52	37.32	45.85	180.02	131.51	25.17	38.67	76.71	68.55	12.18	51.71	0.49	616.37	1685.71	2537.92	928.3	1467.37	423.61	2163.77	1991.0	2240.11	409.15	1183.45	1250.98	819.3	733.19	995.0	866.07	229.72	1159.07	791.35	713.11	647.07	718.08	854.13	934.76	1088.92	1950.0	909.17	1151.06	1175.27	158.79	748.61	1313.23	289.02	507.46	2335.28	2047.0	2335.28	567.1	780.44	1199.98	872.1	450.94	575.03	728.11	1519.15	1950.0	400.71	633.73	884.29	2224.63	656.11	1030.12	669.92	2104.58	1167.14	1001.93	1662.49	1936.53
MFHAS1	53.57	82.29	138.1	46.18	111.99	103.69	27.25	37.32	31.67	115.16	22.26	53.57	76.71	33.54	123.5	44.57	50.63	114.36	107.38	43.63	92.05	81.14	149.12	46.18	68.55	120.1	7.57	19.97	42.11	0.44	463.65	1477.58	318.57	211.31	351.14	518.15	540.19	287.01	525.39	267.73	403.5	248.0	159.9	483.38	285.03	1119.56	409.15	371.22	348.71	173.85	341.51	242.88	463.65	186.4	480.04	297.17	387.02	232.94	281.09	172.65	743.43	389.72	543.96	285.03	226.54	281.09	299.25	426.57	366.09	291.04	336.79	379.04	277.2	224.97	248.0	198.47	223.41	271.48	217.27	251.48	543.96	842.36	303.44	368.65	279.14	258.57	454.09	231.32
MLK4	24.46	2.34	12.09	18.84	5.06	82.29	36.79	47.84	7.0	82.29	3.72	61.68	16.39	46.5	33.3	50.27	19.68	14.24	18.7	26.67	87.03	98.73	6.67	46.5	3.2	3.63	1.25	110.43	66.65	0.04	101.54	81.71	116.78	111.21	109.66	94.01	143.01	154.42	143.01	127.89	220.32	137.14	123.5	162.14	151.22	91.41	130.6	169.07	157.68	92.05	130.6	127.89	101.54	144.01	164.42	164.42	198.47	186.4	195.72	84.04	135.24	173.85	123.5	111.21	205.5	176.29	138.1	151.22	66.65	107.38	128.79	128.79	133.36	144.01	127.89	120.1	152.28	120.94	140.04	127.0	136.19	176.29	163.28	138.1	178.77	151.22	132.44	147.06
NAPSA	37.32	21.32	19.82	26.86	21.01	9.7	5.45	17.0	64.8	5.06	17.51	2.78	19.82	10.31	36.27	6.36	20.86	19.97	11.91	3.76	26.28	8.51	82.87	18.43	3.72	8.85	0.72	29.91	17.13	42346.82	313910.86	610654.84	569761.05	408505.64	348306.01	373305.21	365622.68	408505.64	345900.08	573724.06	305326.92	402881.61	472513.8	414208.18	443937.41	577714.63	269512.87	397335.0	338781.54	246289.25	348306.01	341137.96	383800.28	400098.69	309589.14	368165.8	400098.69	350728.68	383800.28	440870.9	360589.03	425853.18	417089.23	358098.26	286861.53	350728.68	345900.08	341137.96	383800.28	329517.51	368165.8	378516.38	338781.54	469249.9	513497.31	456418.21	341137.96	309589.14	288856.81	383800.28	383800.28	338781.54	506427.83	431797.89	313910.86	375901.76	296977.71	414208.18
OMG	1.17	7.11	4.98	2.39	7.57	7.51	7.46	7.11	2.51	8.19	6.16	3.5	4.1	1.27	11.21	5.92	13.22	0.3	2.27	6.01	3.23	18.03	2.39	3.63	2.48	6.41	0.88	1.71	1.31	0.14	379.04	92.05	348.71	669.92	43.94	85.22	44.25	457.25	457.25	2627.46	872.1	563.18	43.94	381.68	277.2	218.79	1977.24	75.64	197.09	109.66	22.92	967.76	1304.15	153.34	698.41	111.99	163.28	567.1	928.3	241.19	129.69	50.98	819.3	155.5	358.54	163.28	348.71	187.71	3614.55	1127.35	34.51	45.53	137.14	514.56	18.16	113.56	36.53	237.86	1331.57	117.6	417.77	1769.57	429.54	813.63	158.79	24.99	108.14	536.45
