	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.E2.A1IG.01A.11R.A144.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A2.A0YT.01A.11R.A109.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.E2.A2P5.01A.11R.A19W.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.A2.A25B.01A.11R.A169.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.D8.A1X9.01A.12R.A157.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.Y5V6.0226.SM.4V6G7	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.O5YW.0526.SM.2YUMX	GTEX.11DXZ.0726.SM.5N9C4	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.SNOS.0426.SM.32PMH	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.YB5E.0726.SM.4VDSH	GTEX.12WSJ.0226.SM.5GCP7	GTEX.133LE.0526.SM.5N9EJ	GTEX.QDVJ.0926.SM.2I5FU	GTEX.11I78.0126.SM.5HL6F	GTEX.117YX.1326.SM.5H125	GTEX.YEC3.0226.SM.5IFJO	GTEX.WFON.0426.SM.3GIL4	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.1339X.0626.SM.5IJER	GTEX.WHPG.1426.SM.3NMBB	GTEX.13N1W.0726.SM.5MR57	GTEX.132QS.0726.SM.5IJE9	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.ZLWG.0626.SM.4WWFR	GTEX.ZY6K.0326.SM.5SIBB	GTEX.PLZ6.0426.SM.5IFK2	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1399U.0826.SM.5KM1P	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.VJYA.0326.SM.3GAEX	GTEX.145LS.1226.SM.5Q5D9	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.RM2N.0426.SM.2TF4T	GTEX.QEG5.1126.SM.33HC2
RIPK4	10.31	46.84	104.42	75.64	93.35	63.0	0.0	74.06	91.41	49.21	12.36	14.45	58.71	87.03	163.28	77.79	33.06	49.56	16.88	35.25	75.11	97.36	142.01	15.56	7.69	75.64	47.84	75.11	38.12	0.24	177.53	285.03	246.28	329.84	277.2	265.87	616.37	111.21	287.01	297.17	376.41	191.67	167.9	156.59	119.26	271.48	201.25	199.85	182.55	124.37	142.01	253.23	205.5	182.55	195.72	183.82	241.19	236.21	532.74	62.56	182.55	320.8	183.82	170.25	332.14	318.57	251.48	248.0	241.19	224.97	113.56	125.24	93.35	148.09	775.05	169.07	135.24	143.01	305.55	187.71	273.37	642.59	376.41	177.53	260.38	228.13	195.72	441.64
SECISBP2L	127.0	156.59	363.56	217.27	325.29	262.2	147.06	197.09	283.05	536.45	133.36	182.55	251.48	150.17	358.54	226.54	231.32	214.27	395.18	167.9	189.02	327.56	346.29	223.41	503.95	480.04	255.0	127.89	156.59	0.11	1015.93	995.0	1304.15	2502.97	1208.34	547.75	3257.52	660.68	1359.57	647.07	1487.87	1832.01	1628.26	669.92	660.68	540.19	466.88	1721.16	1745.2	1685.71	511.0	555.41	540.19	1216.75	1923.14	1127.35	1322.37	3325.99	1745.2	376.41	764.36	791.35	878.17	1208.34	6516.03	1832.01	3467.27	1427.22	1015.93	1331.57	629.35	753.83	728.11	718.08	1477.58	2573.36	281.09	587.13	1477.58	3081.75	447.82	1119.56	947.83	2047.0	1477.58	1628.26	1674.06	1963.57
SPTBN1	934.76	1487.87	1119.56	981.29	1359.57	802.41	708.18	1340.84	866.07	674.59	435.55	1119.56	872.1	490.14	1015.93	1313.23	2209.26	1135.2	1001.93	1191.69	1407.55	1437.15	1104.13	1044.52	1733.13	1199.98	1977.24	836.53	738.29	0.57	7382.04	5403.7	8658.09	4575.41	6037.61	4607.24	12415.75	3146.52	6207.38	6426.31	7081.29	4704.07	6381.92	5147.73	4736.79	4869.99	5517.27	6121.9	7433.4	3515.68	4543.8	7032.37	5479.15	2976.74	9740.98	6426.31	8421.31	6516.03	6652.97	3901.01	3742.05	6699.25	4639.29	7382.04	6745.86	4419.52	8247.98	7642.41	5147.73	5594.3	4671.57	5995.9	2701.35	5872.48	6079.61	3443.31	1923.14	4836.35	4704.07	5219.6	5995.9	4736.79	4512.4	7382.04	8718.32	6207.38	9151.82	5219.6
STOX2	3.0	5.54	9.56	30.12	6.94	6.26	2.76	2.12	9.06	9.13	0.62	8.58	3.23	2.92	6.36	6.62	5.87	5.63	9.34	4.17	36.79	22.26	6.01	7.51	4.1	4.24	1.55	2.07	6.89	0.36	80.01	115.97	57.49	64.34	35.25	45.21	88.26	96.68	159.9	36.79	107.38	43.63	38.67	39.22	53.57	48.87	21.32	71.0	69.03	24.63	31.45	48.52	41.81	57.08	52.82	66.65	41.81	76.17	217.27	23.76	52.82	88.88	28.86	118.43	77.79	45.21	195.72	51.71	46.84	45.21	25.72	43.02	64.8	36.53	69.52	34.26	21.47	44.57	82.87	98.04	34.02	130.6	80.01	85.82	92.05	76.17	46.84	98.73
TMEM2	426.57	718.08	791.35	329.84	450.94	638.15	514.56	258.57	713.11	395.18	134.3	258.57	332.14	409.15	358.54	638.15	620.67	176.29	941.27	194.36	379.04	583.07	154.42	31.22	135.24	836.53	457.25	176.29	307.69	693.58	1119.56	2537.92	1250.98	1378.57	802.41	1059.11	1447.15	961.07	1857.6	854.13	1135.2	1044.52	1151.06	1540.37	1104.13	3280.18	1331.57	748.61	1208.34	974.5	1388.16	2119.22	1909.85	738.29	1572.76	547.75	1030.12	660.68	896.64	1183.45	2032.85	1733.13	1135.2	1331.57	825.0	836.53	1397.83	1183.45	1685.71	1350.18	1870.53	1183.45	1143.1	718.08	1508.65	909.17	1447.15	1447.15	1378.57	961.07	2976.74	2758.13	723.08	974.5	1369.04	854.13	2855.44	2193.99
TMEM43	759.08	802.41	1111.82	1151.06	684.02	1216.75	684.02	836.53	703.28	1111.82	591.22	961.07	1096.5	764.36	753.83	723.08	1340.84	890.44	988.12	525.39	825.0	981.29	733.19	1088.92	813.63	1111.82	432.53	934.76	954.43	595.34	2163.77	2335.28	1819.35	1313.23	2451.44	2485.67	2739.08	902.89	2935.74	1721.16	1467.37	1721.16	1427.22	2701.35	2664.15	2061.24	2224.63	2591.27	2032.85	1313.23	1794.29	1561.89	2417.67	1322.37	1950.0	2451.44	2976.74	1936.53	1806.78	1030.12	2148.82	2178.83	2384.37	2193.99	2434.5	2537.92	2627.46	3039.3	1233.75	1936.53	1923.14	2193.99	1167.14	2240.11	2104.58	1685.71	1896.65	2075.59	1896.65	2032.85	2119.22	1175.27	1832.01	1023.0	2018.8	2351.53	2796.65	2367.9
TOX	15.68	22.26	13.03	5.68	28.45	12.83	3.92	4.1	4.74	7.22	11.3	3.86	2.58	10.88	11.38	6.57	10.31	2.41	47.84	0.0	9.27	33.54	6.26	2.56	6.21	10.79	3.29	1.77	9.06	0.01	258.57	579.04	316.37	426.57	346.29	289.02	497.0	307.69	420.68	285.03	371.22	303.44	220.32	255.0	169.07	647.07	226.54	376.41	318.57	281.09	237.86	228.13	279.14	316.37	444.72	220.32	457.25	173.85	866.07	204.07	301.33	358.54	305.55	329.84	381.68	224.97	236.21	339.14	343.89	283.05	195.72	314.17	205.5	199.85	450.94	258.57	133.36	218.79	223.41	291.04	316.37	974.5	297.17	303.44	236.21	435.55	420.68	842.36
TRHDE	0.25	2.18	1.27	2.32	0.93	1.25	0.0	0.62	0.0	4.35	0.0	0.27	0.27	0.58	5.19	0.0	9.78	3.47	0.0	0.27	0.92	0.29	0.84	0.0	0.0	0.0	0.0	0.0	1.57	0.04	21.63	106.63	129.69	17.0	44.25	6.31	182.55	7.69	101.54	33.06	40.36	62.56	42.71	33.78	24.99	12.55	7.82	75.64	35.76	64.8	21.32	36.53	3.44	21.16	86.43	21.94	109.66	42.41	81.14	23.59	28.24	20.41	33.78	23.76	43.63	55.89	67.12	182.55	16.39	86.43	7.46	47.5	11.91	24.81	62.12	44.89	2.25	9.41	88.88	61.25	15.0	40.64	44.57	32.13	113.56	17.9	180.02	29.91
TTN	8.25	4.62	1.41	2.18	2.07	1.73	0.67	2.12	1.01	0.69	0.91	1.03	0.38	1.35	0.78	2.07	4.1	0.66	3.99	0.38	0.72	2.78	0.67	0.91	2.27	2.34	1.55	1.22	1.06	0.18	22.92	46.84	30.12	20.56	34.51	10.08	31.0	15.34	36.01	45.21	29.06	29.91	29.27	21.47	19.97	6.62	13.62	83.45	19.82	21.94	12.83	14.89	13.62	44.57	62.56	63.89	47.5	46.18	27.25	26.28	24.11	5.54	11.91	31.22	49.56	36.01	40.36	49.21	14.03	22.75	26.67	18.84	13.52	21.78	34.26	30.56	8.58	8.51	36.01	20.71	8.38	11.55	28.04	32.13	42.11	37.59	31.67	27.84
USP44	0.0	1.71	0.74	1.89	2.41	3.38	0.67	1.1	1.35	1.68	0.35	1.69	1.03	1.68	2.56	1.41	2.56	0.37	1.71	0.0	1.06	5.45	1.58	0.35	1.66	1.38	0.37	1.23	1.73	0.07	146.03	182.55	176.29	343.89	373.81	136.19	130.6	420.68	146.03	187.71	264.03	368.65	226.54	314.17	202.66	57.49	228.13	571.05	205.5	186.4	142.01	173.85	102.25	262.2	318.57	201.25	463.65	381.68	392.44	119.26	312.0	124.37	170.25	264.03	376.41	146.03	146.03	334.46	83.45	287.01	265.87	178.77	256.78	255.0	60.39	339.14	246.28	152.28	220.32	256.78	149.12	98.73	223.41	226.54	325.29	329.84	178.77	171.45
