	TCGA.GV.A3QG.01A.11R.A220.07	TCGA.BT.A2LB.11A.11R.A18C.07	TCGA.E9.A2JT.01A.22R.A18M.07	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.BH.A0H5.01A.21R.A115.07	TCGA.B6.A0RT.01A.21R.A084.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.A8QM.01A.11R.A37O.07	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZT9X.0526.SM.5GCOP	GTEX.13111.0826.SM.5LZV3	GTEX.X4XY.1726.SM.46MVO	GTEX.14AS3.0626.SM.5QGQD	TCGA.DQ.7593.01A.11R.2232.07	TCGA.CR.7391.01A.11R.2016.07	TCGA.CV.A468.01A.11R.A266.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CR.7393.01A.11R.2016.07	TCGA.CV.7438.11A.01R.2132.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7250.11A.01R.2016.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.HD.8635.11A.01R.2403.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	TCGA.73.4666.01A.01R.1206.07	TCGA.MP.A4TJ.01A.51R.A262.07	GTEX.X4EO.0926.SM.3P5Z2	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.8663.11A.01R.2402.13
ADAMDEC1	1066.48	127.0	624.99	1313.23	915.51	1242.34	22.26	211.31	0.71	9.7	23.08	85.22	3.11	1.66	198.47	110.43	60.82	52.45	13.12	38.4	41.81	56.28	8.0	0.6	9.34	279.14	86.43	2.97	5.28	493.56	325.29	603.67	218.79	146.03	88.26	8.0	61.25	9.13	49.91	57.89	37.05	31.45	271.48	995.0	796.86	0.0	31.22	108.14	3.32	27.84	0.0	0.28
AKNA	902.89	356.05	2335.28	2351.53	1259.69	1369.04	85.22	785.88	72.01	140.04	204.07	371.22	77.79	102.25	221.86	264.03	181.28	152.28	127.0	85.22	141.02	175.07	105.15	93.35	211.31	669.92	525.39	106.63	67.59	921.88	406.31	423.61	656.11	674.59	244.57	116.78	277.2	29.7	193.01	309.83	84.04	183.82	450.94	1066.48	7433.4	50.63	137.14	111.99	120.1	46.5	37.85	60.39
ANXA1	17197.56	218912.29	3103.19	4769.75	3060.45	3467.27	1970321.01	26614.89	254974.66	447025.24	721179.07	202841.44	573724.06	345900.08	509950.32	345900.08	682276.92	517068.97	614902.29	1355129.16	711250.37	453265.5	365622.68	329517.51	1364554.84	61146.25	115696.65	123144.13	294926.33	68793.23	184082.4	124000.67	82951.62	100719.65	191899.64	313910.86	215898.44	437825.58	164758.26	225066.78	301123.38	303217.87	117311.73	5791.62	4903.87	958220.73	834179.46	422911.59	863596.77	554180.87	789181.81	223512.12
APOBEC3D	167.9	65.72	507.46	412.0	301.33	285.03	124.37	162.14	15.91	7.88	42.11	57.08	3.44	8.25	34.26	41.52	25.17	27.64	64.34	21.16	24.63	59.13	59.13	5.87	28.86	141.02	77.79	7.17	38.4	141.02	96.68	119.26	118.43	106.63	73.03	38.4	87.03	30.56	47.5	47.17	47.84	45.21	140.04	182.55	358.54	18.56	27.25	38.12	32.13	7.17	4.82	16.27
APOBEC3G	713.11	291.04	2018.8	2090.03	1583.71	1857.6	426.57	785.88	78.89	80.01	202.66	275.28	47.5	89.51	220.32	269.6	318.57	283.05	884.29	231.32	170.25	212.78	356.05	63.89	133.36	616.37	521.76	32.36	74.06	961.07	551.56	642.59	551.56	660.68	409.15	208.38	361.04	172.65	320.8	353.59	181.28	147.06	473.41	819.3	2032.85	356.05	358.54	239.52	483.38	106.63	21.32	98.73
ARHGAP25	633.73	218.79	1662.49	2701.35	954.43	1167.14	151.22	518.15	71.0	100.83	112.77	195.72	90.14	38.67	142.01	123.5	187.71	151.22	137.14	108.14	113.56	123.5	208.38	37.59	135.24	629.35	373.81	35.25	140.04	769.69	343.89	339.14	348.71	473.41	248.0	125.24	208.38	48.18	205.5	295.11	127.0	114.36	287.01	703.28	1806.78	55.89	86.43	175.07	223.41	65.26	33.54	74.58
ARHGAP9	1001.93	389.72	2875.3	4607.24	1498.22	1857.6	98.04	921.88	103.69	67.59	191.67	493.56	84.63	40.07	256.78	346.29	403.5	242.88	181.28	189.02	201.25	231.32	171.45	55.89	320.8	842.36	599.49	35.76	157.68	1388.16	473.41	718.08	642.59	599.49	312.0	159.9	312.0	49.21	239.52	412.0	84.04	215.77	660.68	1551.09	2271.4	63.45	142.01	191.67	158.79	44.89	61.25	68.55
BATF	1081.39	223.41	713.11	1561.89	995.0	1119.56	27.25	507.46	47.17	115.97	63.0	146.03	31.9	25.35	96.68	279.14	90.14	54.33	63.45	37.85	135.24	291.04	60.82	26.67	47.5	511.0	173.85	10.63	47.5	575.03	289.02	507.46	463.65	251.48	175.07	60.82	167.9	28.24	125.24	185.11	36.79	92.05	1242.34	878.17	1896.65	24.63	258.57	320.8	71.5	77.25	105.89	26.28
BIN2	579.04	140.04	1051.79	1806.78	808.0	941.27	71.0	379.04	28.86	42.11	71.5	138.1	29.91	50.98	108.9	92.7	96.68	82.87	57.08	59.97	78.89	82.29	66.65	23.42	80.57	579.04	246.28	6.73	43.94	493.56	260.38	223.41	305.55	361.04	115.97	66.65	148.09	40.07	113.56	194.36	45.85	108.14	264.03	612.11	1397.83	14.78	41.22	88.26	74.06	18.97	16.63	12.09
C16orf54	153.34	69.52	728.11	718.08	320.8	480.04	20.26	195.72	2.1	1.27	11.13	24.63	2.2	6.94	8.71	11.91	14.24	21.78	7.11	4.35	8.25	24.63	6.31	2.56	20.26	108.14	74.06	0.16	0.0	253.23	120.94	63.45	190.34	265.87	75.11	37.85	73.03	9.56	39.22	64.34	8.51	42.11	56.68	151.22	318.57	7.94	26.47	18.84	32.36	12.27	5.19	2.27
