	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A209.11A.42R.A157.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.AC.A2FF.11A.13R.A17B.07	TCGA.BH.A0AZ.11A.22R.A12P.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.S95S.0326.SM.4B66U	GTEX.147F4.2626.SM.5Q5CS	TCGA.CJ.5680.11A.01R.1541.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.OXRP.0526.SM.2I3EW	GTEX.ZVP2.0826.SM.59HJ6	GTEX.R53T.1226.SM.48FCT	GTEX.QV44.1226.SM.4R1KE	GTEX.O5YW.1526.SM.3MJGL	GTEX.S7SF.0626.SM.4AD4V
SLC26A2	329.84	547.75	256.78	244.57	180.02	246.28	64.8	150.17	246.28	6.36	10.71	10.96	10.55	47.5	5.32	17.77	26.1	6.11	8.65	9.41	8.51	8.78	7.88	12.64	15.11	5.23	19.11	10.47	2.01	332.14	181.28	193.01	38.95	95.34	134.3
SLC39A6	3742.05	3540.14	3820.7	4836.35	5913.33	2451.44	466.88	1508.65	967.76	94.01	110.43	127.89	75.64	376.41	198.47	571.05	339.14	201.25	129.69	738.29	327.56	185.11	191.67	291.04	483.38	171.45	417.77	158.79	70.51	988.12	5366.37	540.19	316.37	287.01	432.53
SLC5A8	5.92	1.75	0.71	1.75	3.96	0.48	0.36	128.79	63.45	0.0	0.0	0.0	0.0	0.0	1.83	0.0	0.0	1.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	0.0	0.0	1.89	47.5	3.38	0.0	3.44	1.79
SLC9A6	201.25	173.85	209.84	159.9	173.85	555.41	142.01	264.03	217.27	63.45	47.17	71.5	50.27	107.38	64.34	92.7	88.88	39.22	53.19	63.45	57.08	68.07	56.68	84.63	85.22	40.93	91.41	62.56	40.93	117.6	142.01	173.85	100.83	148.09	287.01
SNRNP40	1001.93	928.3	954.43	1111.82	872.1	1073.91	483.38	819.3	703.28	255.0	154.42	414.87	237.86	656.11	343.89	332.14	392.44	303.44	277.2	299.25	202.66	267.73	256.78	341.51	267.73	438.59	329.84	470.14	139.07	1159.07	656.11	595.34	366.09	688.78	612.11
SPIN1	1733.13	1417.35	2090.03	1340.84	1806.78	2816.11	872.1	1870.53	1551.09	183.82	224.97	309.83	163.28	651.58	323.03	518.15	500.46	220.32	197.09	363.56	190.34	339.14	441.64	454.09	412.0	336.79	441.64	303.44	77.25	909.17	1286.18	759.08	567.1	656.11	1250.98
SULT1C4	136.19	120.94	204.07	170.25	187.71	336.79	75.11	718.08	2555.58	19.25	31.9	92.7	11.13	78.89	27.05	91.41	35.5	32.82	0.14	52.82	25.17	3.23	29.06	55.89	30.12	77.25	77.25	67.12	4.94	175.07	111.99	72.01	36.79	105.89	146.03
TDG	480.04	363.56	629.35	444.72	423.61	688.78	283.05	271.48	320.8	87.65	71.0	109.66	166.73	166.73	113.56	198.47	107.38	146.03	92.05	123.5	101.54	128.79	116.78	87.65	94.67	121.79	155.5	170.25	40.64	397.93	273.37	543.96	316.37	332.14	291.04
TMEM52B	12.09	16.39	24.99	22.59	10.63	21.16	0.95	4152.18	1477.58	0.0	0.0	23.59	0.0	2.27	0.0	2.32	0.0	0.0	0.0	3.96	85.22	0.0	0.89	0.97	4.24	0.0	0.0	0.0	0.0	4.78	4.82	14.45	2.32	13.83	13.22
TRIM32	283.05	279.14	305.55	318.57	299.25	387.02	171.45	277.2	239.52	47.17	42.41	70.51	51.35	80.01	54.72	105.15	94.01	52.08	40.93	100.13	36.27	49.91	37.59	75.11	93.35	62.12	69.52	57.08	16.03	180.02	343.89	228.13	142.01	215.77	262.2
TSN	1457.23	1417.35	1508.65	1277.29	1081.39	2468.49	579.04	1427.22	1044.52	403.5	368.65	327.56	301.33	902.89	373.81	620.67	483.38	320.8	466.88	595.34	444.72	289.02	358.54	575.03	575.03	417.77	521.76	343.89	262.2	896.64	988.12	713.11	633.73	620.67	909.17
TSPYL1	1583.71	1674.06	1844.76	1605.83	1540.37	2351.53	1259.69	1923.14	1857.6	967.76	642.59	1066.48	693.58	1350.18	884.29	1397.83	1104.13	684.02	1286.18	1551.09	674.59	1259.69	791.35	1662.49	1059.11	866.07	1467.37	785.88	1044.52	1304.15	2816.11	2119.22	1286.18	1242.34	1662.49
UBXN2A	403.5	358.54	470.14	264.03	373.81	426.57	162.14	287.01	249.73	50.27	120.94	111.99	89.51	177.53	92.05	130.6	115.16	99.43	97.36	96.01	51.35	115.16	94.67	107.38	117.6	94.01	194.36	96.01	87.03	175.07	241.19	221.86	162.14	237.86	279.14
UEVLD	466.88	387.02	432.53	351.14	397.93	703.28	283.05	447.82	341.51	52.45	128.79	98.04	64.34	171.45	82.87	132.44	134.3	55.49	78.34	121.79	63.0	57.89	68.07	111.99	92.7	65.72	111.99	83.45	67.59	363.56	532.74	299.25	224.97	348.71	414.87
UTP14C	397.93	363.56	384.34	309.83	384.34	660.68	205.5	559.28	309.83	70.01	98.04	104.42	96.01	423.61	136.19	228.13	186.4	111.99	120.1	166.73	120.1	135.24	82.87	249.73	129.69	104.42	176.29	119.26	72.52	373.81	450.94	366.09	212.78	269.6	221.86
VWC2	0.37	1.1	0.37	0.37	1.04	1.89	0.37	2.03	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.66	1.79	12.0	3.35	4.46	7.34
YWHAB	4903.87	4937.99	4152.18	4671.57	3325.99	5672.41	3665.02	4210.15	5006.93	995.0	1216.75	1304.15	703.28	2119.22	921.88	1617.0	1388.16	842.36	1066.48	1427.22	1183.45	775.05	1225.22	1561.89	1369.04	1073.91	1457.23	1359.57	928.3	4736.79	4328.55	3491.39	2319.15	3419.52	3716.2
ZBTB38	1388.16	1096.5	1529.73	693.58	1304.15	2502.97	679.29	1167.14	1199.98	92.7	156.59	190.34	49.91	441.64	88.26	309.83	218.79	73.54	85.22	813.63	175.07	98.04	264.03	256.78	215.77	152.28	289.02	115.16	521.76	1191.69	1467.37	813.63	540.19	647.07	1447.15
ZNF189	450.94	420.68	607.87	387.02	540.19	902.89	256.78	490.14	555.41	83.45	246.28	105.15	187.71	202.66	150.17	194.36	155.5	244.57	163.28	147.06	100.83	201.25	236.21	172.65	119.26	155.5	348.71	204.07	58.71	381.68	420.68	387.02	246.28	211.31	265.87
ZNF280B	2.92	13.32	16.88	9.85	5.73	7.46	5.02	8.78	18.16	0.0	0.28	0.0	0.46	0.41	1.35	1.5	1.08	0.0	0.0	1.5	0.3	1.39	0.37	1.5	11.55	1.33	0.32	2.18	0.0	5.41	21.78	22.92	14.45	10.79	65.26
