	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A209.11A.42R.A157.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.AC.A2FF.11A.13R.A17B.07	TCGA.BH.A0AZ.11A.22R.A12P.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.S95S.0326.SM.4B66U	GTEX.147F4.2626.SM.5Q5CS	TCGA.CJ.5680.11A.01R.1541.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.OXRP.0526.SM.2I3EW	GTEX.ZVP2.0826.SM.59HJ6	GTEX.R53T.1226.SM.48FCT	GTEX.QV44.1226.SM.4R1KE	GTEX.O5YW.1526.SM.3MJGL	GTEX.S7SF.0626.SM.4AD4V
HSBP1	2148.82	2573.36	2104.58	2148.82	1685.71	4010.71	1088.92	2609.3	2240.11	743.43	1008.9	1104.13	563.18	1008.9	860.08	1295.13	1529.73	547.75	1015.93	791.35	1104.13	775.05	941.27	813.63	934.76	813.63	1159.07	1104.13	698.41	2018.8	2287.2	3103.19	1757.34	1639.59	2133.97
KCNS3	620.67	217.27	348.71	303.44	262.2	303.44	65.26	299.25	143.01	65.26	123.5	51.71	22.43	21.01	59.55	115.97	25.35	37.05	27.05	42.41	17.64	12.74	94.01	26.1	38.4	41.81	88.26	83.45	12.83	173.85	109.66	384.34	87.65	264.03	555.41
KIAA1257	16.15	22.92	36.01	21.63	13.83	84.04	1.48	12.93	6.11	0.0	2.81	3.26	3.69	0.0	0.59	1.75	0.0	3.17	5.15	5.5	11.13	0.13	7.51	0.15	4.43	8.19	5.77	4.98	1.81	14.24	28.04	63.0	6.01	69.03	13.93
KY	76.17	83.45	66.18	16.39	51.71	23.59	4.58	12.36	24.99	0.0	0.28	0.35	0.4	0.0	0.0	0.0	0.27	0.88	0.0	0.0	0.3	0.92	3.35	0.0	1.69	0.0	0.31	0.0	0.0	2.56	59.55	67.12	13.32	44.89	60.39
LATS1	441.64	351.14	656.11	264.03	525.39	808.0	217.27	387.02	255.0	43.02	95.34	96.68	66.65	103.69	60.39	78.34	67.12	143.01	64.34	65.72	54.33	88.26	134.3	55.89	90.77	89.51	120.94	135.24	35.76	198.47	432.53	255.0	150.17	256.78	332.14
MAGOHB	486.75	525.39	660.68	518.15	497.0	967.76	389.72	493.56	376.41	199.85	264.03	346.29	221.86	872.1	185.11	417.77	389.72	215.77	438.59	353.59	318.57	325.29	420.68	351.14	356.05	332.14	476.71	341.51	236.21	529.06	559.28	563.18	457.25	493.56	738.29
METTL2A	309.83	325.29	303.44	329.84	269.6	412.0	234.57	279.14	271.48	193.01	131.51	191.67	169.07	387.02	113.56	224.97	220.32	161.02	145.02	154.42	147.06	135.24	166.73	171.45	149.12	204.07	155.5	105.15	145.02	301.33	307.69	397.93	176.29	283.05	236.21
METTL9	2004.85	2133.97	3847.29	1963.57	1909.85	3515.68	1151.06	3742.05	3395.89	198.47	215.77	346.29	92.05	358.54	226.54	476.71	447.82	187.71	154.42	373.81	277.2	182.55	299.25	400.71	265.87	220.32	426.57	305.55	124.37	1477.58	2119.22	1745.2	947.83	1561.89	3018.3
MOB1A	1697.45	1697.45	1806.78	1295.13	1277.29	2133.97	909.17	1709.26	1551.09	228.13	320.8	371.22	220.32	764.36	297.17	669.92	532.74	260.38	314.17	703.28	314.17	255.0	346.29	486.75	473.41	273.37	591.22	307.69	229.72	1233.75	1628.26	1259.69	878.17	921.88	1857.6
MSH2	412.0	450.94	825.0	432.53	536.45	647.07	152.28	327.56	283.05	44.89	59.13	85.22	26.86	161.02	46.18	96.01	106.63	41.52	59.97	81.14	42.41	59.55	79.45	87.65	98.73	65.26	109.66	51.35	23.25	269.6	256.78	194.36	159.9	181.28	176.29
