	TCGA.C4.A0F0.01A.12R.A10U.07	GTEX.11I78.1326.SM.5PNY9	GTEX.13CF3.1326.SM.5LZXZ	GTEX.ZTSS.1226.SM.51MSZ	GTEX.13CF3.1426.SM.5K7YY	GTEX.11EM3.1626.SM.5N9CO	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.RM2N.1926.SM.48FCU	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZPU1.0826.SM.57WG2	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.144GM.1326.SM.5LU5E	GTEX.QEG4.1826.SM.4R1JN	GTEX.131YS.1626.SM.5HL6C	GTEX.QV44.0326.SM.4R1KD	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZV6S.1526.SM.5NQ7O
ABCC6	1.25	16.63	22.59	33.06	19.68	22.75	1721.16	1477.58	1709.26	2367.9	521.76	2148.82	209.84	941.27	5041.77	3564.78	6935.54	536.45	6561.36	5479.15	3665.02	3847.29	1437.15	2555.58	2835.7	327.56	5555.65	4010.71	1388.16	1498.22	4903.87	3467.27	2997.45	4937.99	2720.15	4869.99	4298.64	5292.48	2997.45	3443.31	1844.76	4419.52	0.0	0.26	224.97
ACSF2	124.37	215.77	480.04	441.64	363.56	236.21	1781.89	1127.35	1088.92	1350.18	872.1	1909.85	551.56	723.08	2645.74	4607.24	4972.34	1096.5	3540.14	2875.3	2895.31	2720.15	406.31	1350.18	1936.53	173.85	2796.65	2104.58	988.12	1088.92	3018.3	2895.31	2018.8	2485.67	1977.24	3168.41	4010.71	2537.92	1870.53	3060.45	1991.0	2004.85	0.0	0.69	325.29
AMPD2	454.09	511.0	426.57	241.19	366.09	403.5	500.46	514.56	547.75	323.03	285.03	848.22	563.18	529.06	713.11	1088.92	1487.87	536.45	1519.15	525.39	780.44	988.12	409.15	708.18	381.68	287.01	748.61	642.59	438.59	327.56	1369.04	836.53	1135.2	941.27	466.88	890.44	884.29	684.02	796.86	713.11	228.13	563.18	0.0	0.46	236.21
APOC3	0.0	0.0	2.23	5.5	4.82	3.56	659036.03	701458.36	978355.0	9243449.07	211455.3	3070409.25	18178.19	190574.09	7719092.49	5420519.65	5809569.18	520665.48	4621724.04	4107985.47	7202167.89	8928583.23	93974.69	2786455.11	7612821.45	10368.08	3551506.25	3178687.03	863596.77	5163792.94	1.24530853E7	5611673.89	3968052.37	2945333.38	3178687.03	3223059.86	3968052.37	1.032758687E7	2564061.5	7152418.87	1.09164457E7	4023444.33	0.0	0.0	4.9
ASPSCR1	518.15	291.04	441.64	532.74	379.04	353.59	872.1	848.22	748.61	830.75	420.68	1561.89	647.07	327.56	2739.08	4239.45	4239.45	688.78	2468.49	1628.26	2417.67	1662.49	295.11	1350.18	1073.91	214.27	4639.29	3395.89	500.46	1745.2	2758.13	2061.24	1447.15	1477.58	780.44	2682.69	3928.15	1457.23	1781.89	2287.2	660.68	3467.27	0.0	0.84	693.58
C6orf141	41.22	3.72	20.71	30.56	23.76	7.0	18.03	34.26	24.81	27.84	28.86	244.57	8.58	4.9	202.66	64.8	1259.69	6.11	98.04	61.68	612.11	175.07	4.21	64.8	68.07	1.6	32.82	500.46	19.82	10.63	540.19	366.09	23.59	521.76	38.67	420.68	0.73	713.11	63.0	167.9	5.68	43.02	0.0	0.64	1.64
COQ10A	92.7	155.5	143.01	249.73	144.01	115.97	366.09	540.19	563.18	297.17	156.59	660.68	159.9	289.02	713.11	1008.9	1359.57	211.31	1757.34	1216.75	1487.87	1572.76	409.15	660.68	470.14	185.11	713.11	1331.57	283.05	293.07	836.53	902.89	470.14	1617.0	819.3	1151.06	1268.46	713.11	988.12	1350.18	409.15	1127.35	0.0	0.33	309.83
CYP4F2	0.0	0.0	0.0	4.98	17.38	5.11	3419.52	3847.29	4736.79	2739.08	1088.92	9474.59	59.13	733.19	13586.57	91404.92	67846.12	2701.35	38430.46	16496.96	15075.35	11827.67	5479.15	8778.97	14561.8	974.5	29736.59	6607.01	6471.02	1073.91	14765.09	24490.61	12415.75	11504.21	5403.7	8901.53	16843.62	6426.31	11267.44	13872.08	7331.05	23330.64	0.0	0.1	9.27
EVPLL	0.0	0.0	0.0	0.0	0.0	0.0	17.25	25.35	7.94	5.32	15.34	63.0	0.48	12.74	33.78	138.1	212.78	2.27	77.25	47.5	62.56	19.68	5.59	14.45	31.0	3.53	132.44	65.26	12.83	34.75	73.03	29.27	115.97	28.45	13.12	134.3	36.79	152.28	18.03	54.33	16.15	138.1	0.0	0.22	0.0
EXPH5	1.55	8.13	5.82	10.24	12.93	13.03	46.18	65.26	35.0	56.68	8.06	88.88	3.06	16.75	139.07	669.92	441.64	65.72	127.0	181.28	204.07	60.39	76.17	113.56	63.89	9.63	218.79	149.12	48.87	48.87	53.95	24.81	82.29	63.0	106.63	178.77	181.28	8.19	189.02	91.41	37.85	112.77	30.56	63.45	16.51
