	GTEX.SNMC.0826.SM.4DM66	TCGA.CF.A47V.01A.11R.A23W.07	TCGA.XF.AAN1.01A.31R.A42T.07	TCGA.CF.A3MH.01A.11R.A20F.07	TCGA.CF.A3MG.01A.11R.A20F.07	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.XF.A8HC.01A.11R.A36F.07	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.4Z.AA81.01A.11R.A39I.07	TCGA.DK.A1AG.01A.11R.A13Y.07	TCGA.DK.A1A6.01A.11R.A13Y.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.E7.A5KE.01A.11R.A28M.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.CF.A9FF.01A.11R.A38B.07	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.4Z.AA7O.01A.31R.A39I.07	TCGA.E7.A5KF.01A.11R.A28M.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.DK.AA77.01A.11R.A39I.07	TCGA.FT.A61P.01A.11R.A30C.07	TCGA.CF.A9FL.01A.11R.A38B.07	TCGA.4Z.AA7S.01A.11R.A39I.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.A9R4.01A.11R.A38B.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.4Z.AA7Y.01A.11R.A39I.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.XF.A8HI.01A.11R.A38B.07	TCGA.XF.A8HG.01A.11R.A36F.07	GTEX.11TT1.1026.SM.5PNW7	TCGA.05.5715.01A.01R.1628.07	TCGA.44.7672.01A.11R.2066.07	TCGA.05.5429.01A.01R.1628.07	TCGA.78.7540.01A.11R.2066.07	TCGA.49.4506.01A.01R.1206.07	GTEX.132NY.1226.SM.5PNVF	GTEX.14ABY.1126.SM.5Q5F8	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.11DXZ.0726.SM.5N9C4	GTEX.12584.1426.SM.5EGJ9	GTEX.OXRN.0526.SM.2I5EN	GTEX.11PRG.0926.SM.5EGI8	GTEX.11GSP.0726.SM.5986L	GTEX.1477Z.0626.SM.5NQB7	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FHP.0726.SM.5K7YI	GTEX.13QJ3.1026.SM.5QGQU	GTEX.SN8G.0926.SM.4DM5I	GTEX.111VG.0726.SM.5GIDC	GTEX.14DAR.0226.SM.5S2PR	GTEX.X4EP.0526.SM.3P5YW	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.13NYB.0626.SM.5MR47	GTEX.ZVT3.0926.SM.5GICK	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EL.A3MZ.01A.11R.A21D.07	GTEX.ZP4G.0726.SM.4WWF2
ABCA8	373.81	15.22	14.03	202.66	100.83	15.34	163.28	2.97	15.11	4.86	0.95	4.17	1.46	2.92	11.47	102.97	22.92	6.11	3.82	12.36	29.06	21.32	10.39	38.12	6.31	15.8	0.36	4.28	25.17	10.39	12.55	16.63	18.56	8.99	6.06	2.14	12.55	6.84	96.68	6.94	15.91	10.31	28.65	3.56	46.5	19.11	36.27	20.11	36.27	3.23	111.21	470.14	1369.04	166.73	444.72	406.31	389.72	470.14	420.68	791.35	61.68	679.29	1561.89	612.11	281.09	218.79	162.14	2148.82	583.07	665.29	575.03	28.86	45.85	53.57	53.19	190.34
ABCA9	65.72	18.84	33.06	16.75	3.5	40.36	18.84	45.21	1.55	9.63	0.34	7.4	2.61	53.57	2.92	33.06	12.45	6.11	6.89	14.24	4.43	1.45	5.68	140.04	0.6	31.22	1.35	2.46	16.15	26.28	2.78	4.1	97.36	33.06	4.28	3.66	13.62	0.0	58.3	120.94	74.58	14.35	5.41	3.17	21.16	10.96	27.84	9.41	10.96	5.92	20.11	55.89	81.14	49.91	44.89	137.14	101.54	49.91	34.75	175.07	23.25	73.03	165.57	166.73	69.03	57.08	35.5	253.23	80.01	46.84	58.71	9.13	8.65	10.63	18.43	63.89
ABI3BP	748.61	90.14	69.52	10.71	12.18	12.74	121.79	22.1	21.47	13.32	9.2	11.64	18.29	6.78	18.97	759.08	108.14	10.16	41.52	5.06	214.27	25.35	20.86	93.35	8.38	126.12	9.2	32.13	414.87	181.28	61.68	97.36	429.54	22.43	29.7	15.68	84.63	19.53	420.68	16.51	132.44	22.26	145.02	14.56	262.2	155.5	728.11	595.34	297.17	98.04	2224.63	2682.69	2875.3	2032.85	435.55	3168.41	3540.14	3467.27	3039.3	3018.3	2075.59	5403.7	9151.82	3372.43	8538.88	915.51	1051.79	2319.15	20881.4	1857.6	5147.73	117.6	529.06	69.52	131.51	884.29
ABL1	698.41	253.23	236.21	186.4	249.73	336.79	563.18	420.68	341.51	336.79	256.78	285.03	291.04	224.97	507.46	1001.93	211.31	209.84	607.87	172.65	297.17	285.03	208.38	232.94	305.55	371.22	341.51	226.54	791.35	251.48	323.03	387.02	348.71	693.58	525.39	198.47	409.15	193.01	791.35	332.14	358.54	256.78	264.03	218.79	808.0	412.0	693.58	339.14	466.88	327.56	785.88	599.49	1519.15	555.41	476.71	3639.7	921.88	909.17	1350.18	514.56	1088.92	836.53	665.29	723.08	2163.77	503.95	718.08	599.49	1104.13	921.88	1111.82	620.67	346.29	540.19	753.83	1572.76
ACVRL1	928.3	368.65	217.27	75.11	59.55	100.13	139.07	73.54	104.42	153.34	65.72	117.6	108.14	136.19	95.34	775.05	323.03	98.73	94.01	113.56	191.67	343.89	450.94	187.71	69.03	312.0	119.26	112.77	285.03	176.29	156.59	229.72	275.28	77.79	351.14	123.5	301.33	102.97	309.83	148.09	165.57	176.29	171.45	25.35	2573.36	409.15	698.41	175.07	316.37	271.48	3018.3	1745.2	1030.12	890.44	1127.35	3515.68	1923.14	5112.16	5183.54	3901.01	3690.52	1781.89	2417.67	4450.27	2351.53	1781.89	3515.68	1151.06	3820.7	2163.77	2271.4	236.21	305.55	232.94	395.18	1208.34
ADAMTS10	175.07	59.97	32.13	19.97	8.45	24.46	29.91	22.26	26.1	11.91	10.79	18.43	7.51	10.96	20.26	201.25	94.67	16.27	21.01	10.39	34.26	34.51	67.12	36.79	5.82	92.7	20.56	16.75	88.26	78.89	34.02	42.71	35.76	12.36	75.64	16.03	63.89	22.59	130.6	20.26	24.99	47.84	35.5	9.13	27.05	52.82	154.42	39.5	48.18	59.97	72.01	444.72	144.01	31.22	205.5	260.38	81.71	620.67	279.14	753.83	186.4	463.65	521.76	281.09	281.09	83.45	143.01	248.0	229.72	228.13	125.24	269.6	258.57	218.79	199.85	242.88
ADAMTSL3	14.35	6.06	1.6	0.35	4.58	6.78	16.39	0.35	1.22	0.62	0.33	0.32	0.59	0.66	2.01	42.41	5.23	0.62	4.1	0.64	11.55	0.87	2.1	0.68	0.3	4.43	0.0	0.32	16.88	6.89	2.46	5.73	3.53	0.34	2.48	8.92	2.61	0.32	35.25	0.59	3.08	0.66	1.91	0.41	2.92	22.43	14.78	3.96	13.93	17.9	164.42	400.71	151.22	57.89	40.64	229.72	85.82	426.57	336.79	212.78	146.03	575.03	248.0	273.37	309.83	96.01	125.24	71.5	348.71	236.21	175.07	24.81	49.91	34.51	56.68	14.78
ADCY4	403.5	143.01	85.22	30.34	13.32	60.39	88.88	39.5	77.25	54.72	16.88	74.06	17.25	39.79	47.84	429.54	150.17	41.52	287.01	47.17	110.43	57.08	113.56	69.52	16.75	312.0	42.41	44.89	82.29	86.43	79.45	135.24	50.63	47.5	131.51	40.64	244.57	43.63	102.25	65.72	88.88	77.79	122.64	17.77	162.14	69.52	104.42	63.0	128.79	96.01	476.71	638.15	273.37	135.24	486.75	392.44	961.07	928.3	414.87	1551.09	429.54	1059.11	1487.87	642.59	651.58	189.02	878.17	202.66	264.03	974.5	819.3	253.23	307.69	287.01	409.15	518.15
ADRA1D	90.14	0.0	0.96	0.67	0.3	1.38	5.41	0.0	0.0	0.92	0.0	0.0	0.0	0.33	0.3	25.35	5.96	0.92	2.73	0.0	3.29	1.97	0.91	0.35	0.0	1.27	0.34	0.0	3.41	3.82	1.83	2.36	1.3	0.0	1.07	0.32	1.11	0.89	6.52	0.3	3.66	0.97	0.96	0.0	2.71	3.59	1.81	3.76	9.2	7.57	62.12	46.18	11.73	1.06	12.18	16.63	23.93	220.32	100.13	58.3	15.45	64.34	83.45	56.28	28.24	9.13	24.11	5.15	28.86	17.64	11.55	1.68	1.69	1.69	1.73	68.07
AKAP2	327.56	152.28	90.14	42.41	22.26	29.27	159.9	56.68	32.82	42.11	135.24	50.98	96.68	47.17	40.93	387.02	209.84	67.12	65.72	34.26	244.57	224.97	285.03	100.83	21.78	172.65	55.89	77.25	366.09	120.1	59.13	183.82	312.0	65.26	154.42	49.21	89.51	63.89	343.89	42.71	115.16	42.41	88.88	13.52	395.18	209.84	620.67	177.53	303.44	92.7	3303.0	3742.05	1498.22	2739.08	536.45	11827.67	6250.56	3235.01	8598.28	2384.37	9673.69	4802.93	2520.38	2193.99	6887.62	3146.52	5076.84	2796.65	10883.59	5183.54	7695.57	244.57	183.82	267.73	400.71	1487.87
