	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.ED.A4XI.01A.11R.A266.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.ZP.A9CY.01A.11R.A38B.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.11DXY.0526.SM.5EGGQ	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07.1
ACOT9	366.09	915.51	785.88	490.14	567.1	571.05	579.04	854.13	638.15	703.28	759.08	616.37	507.46	473.41	743.43	1286.18	490.14	934.76	441.64	392.44	339.14	339.14	460.44	153.34	218.79	226.54	275.28	162.14	135.24	182.55	193.01	295.11
AL626787.1	64.8	48.18	48.18	48.52	12.36	23.93	6.26	30.56	30.12	36.53	14.67	7.34	15.8	27.25	19.11	32.13	3.03	17.13	13.42	6.78	12.09	5.02	11.73	2.1	6.62	6.01	4.28	6.57	10.55	4.98	7.22	0.04
ARL4A	620.67	1044.52	629.35	1030.12	884.29	708.18	285.03	532.74	1008.9	647.07	612.11	536.45	368.65	435.55	616.37	629.35	854.13	896.64	698.41	406.31	217.27	117.6	212.78	202.66	151.22	153.34	206.94	59.97	75.64	139.07	244.57	236.21
ARMS2	1.87	5.23	3.82	5.45	3.2	1.1	1.1	1.11	7.46	0.0	1.55	1.93	6.41	1.5	0.92	1.77	1.13	5.19	2.68	2.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.68	0.0	0.01
ASTE1	88.26	148.09	141.02	113.56	113.56	96.68	122.64	98.73	115.97	96.01	128.79	133.36	140.04	115.16	97.36	139.07	103.69	133.36	140.04	80.57	86.43	57.49	71.0	69.52	46.5	89.51	62.12	86.43	79.45	111.21	56.28	0.0
ATG7	316.37	656.11	603.67	435.55	493.56	463.65	285.03	400.71	379.04	651.58	493.56	351.14	486.75	476.71	356.05	454.09	323.03	470.14	339.14	264.03	269.6	194.36	226.54	149.12	237.86	163.28	180.02	166.73	157.68	151.22	190.34	0.44
ATP6V0A2	147.06	153.34	205.5	155.5	159.9	122.64	79.45	163.28	130.6	185.11	132.44	105.89	120.94	155.5	127.0	107.38	64.34	156.59	134.3	104.42	84.04	81.14	83.45	57.49	52.82	90.77	63.45	58.71	44.57	100.13	59.97	0.64
CACNA2D4	100.83	507.46	195.72	255.0	307.69	366.09	791.35	318.57	403.5	447.82	1508.65	143.01	1242.34	283.05	412.0	181.28	182.55	314.17	48.52	30.56	53.19	24.11	55.89	17.51	29.7	40.36	21.01	37.85	32.36	39.5	26.47	0.51
CHRFAM7A	68.07	17.25	43.94	39.22	61.25	49.91	15.11	19.68	13.52	10.71	16.39	26.86	39.22	20.11	23.42	14.24	5.15	12.93	11.73	1.25	7.69	0.0	1.22	0.0	0.0	0.73	0.0	5.19	0.6	0.0	0.0	0.37
CNOT8	607.87	1225.22	1233.75	934.76	1216.75	1044.52	540.19	947.83	1023.0	1378.57	1233.75	753.83	1135.2	947.83	703.28	981.29	941.27	1233.75	1175.27	486.75	497.0	389.72	476.71	295.11	281.09	381.68	361.04	341.51	312.0	320.8	327.56	0.69
CXorf40B	587.13	954.43	733.19	607.87	698.41	872.1	1066.48	698.41	708.18	551.56	723.08	638.15	921.88	723.08	842.36	896.64	555.41	748.61	629.35	543.96	616.37	361.04	490.14	438.59	463.65	555.41	521.76	381.68	532.74	339.14	353.59	0.77
DCTN5	368.65	669.92	599.49	540.19	708.18	813.63	417.77	518.15	563.18	713.11	525.39	409.15	559.28	529.06	435.55	473.41	373.81	480.04	612.11	255.0	289.02	141.02	211.31	185.11	212.78	187.71	199.85	251.48	138.1	165.57	94.67	0.43
GLA	624.99	1605.83	1073.91	961.07	748.61	1135.2	842.36	651.58	921.88	753.83	1030.12	842.36	1037.29	780.44	961.07	1104.13	620.67	1225.22	848.22	384.34	480.04	371.22	490.14	253.23	217.27	228.13	273.37	117.6	224.97	93.35	289.02	0.55
GLIPR1	480.04	3280.18	1135.2	1857.6	988.12	1674.06	381.68	1044.52	1721.16	1051.79	607.87	718.08	769.69	872.1	579.04	890.44	551.56	1001.93	713.11	153.34	127.0	20.86	115.97	23.25	44.57	73.54	80.57	30.12	37.85	44.89	193.01	314.17
GNB1L	71.0	169.07	98.73	98.04	95.34	91.41	100.83	131.51	118.43	88.26	84.04	83.45	100.13	74.58	92.7	343.89	80.01	66.65	85.82	85.22	68.55	56.68	74.06	73.54	54.33	32.36	68.55	49.91	65.72	53.95	66.18	0.59
GPR25	2.2	2.23	5.68	3.08	0.79	3.26	1.45	1.46	2.34	0.77	2.68	1.14	7.46	1.48	1.36	1.75	1.48	0.0	3.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06
GPR68	32.13	56.28	104.42	53.19	43.02	41.52	37.05	52.08	36.27	122.64	75.64	44.25	74.58	31.9	39.5	20.71	31.9	50.63	26.47	9.48	26.28	1.14	19.25	2.03	9.78	12.93	6.46	26.28	20.26	16.63	0.8	0.33
HCK	212.78	728.11	974.5	819.3	599.49	583.07	265.87	536.45	476.71	836.53	503.95	293.07	629.35	759.08	551.56	536.45	400.71	518.15	348.71	154.42	193.01	12.27	133.36	47.17	115.16	111.21	147.06	50.98	27.64	19.97	111.21	0.34
HLA-DQA2	70.01	1794.29	2739.08	603.67	1467.37	599.49	473.41	1551.09	1359.57	1304.15	665.29	1304.15	1769.57	1388.16	1457.23	1605.83	187.71	1051.79	3081.75	28.24	175.07	7.0	84.63	0.0	139.07	13.03	96.68	0.0	0.0	10.79	9.06	0.0
HLA-DQB2	170.25	503.95	995.0	423.61	591.22	387.02	211.31	836.53	373.81	327.56	316.37	796.86	1397.83	1143.1	379.04	176.29	316.37	275.28	733.19	28.86	44.89	0.84	19.82	1.28	39.22	14.24	26.47	0.0	22.43	32.13	0.0	0.07
IL27RA	698.41	529.06	583.07	244.57	267.73	483.38	297.17	194.36	457.25	323.03	400.71	147.06	543.96	215.77	186.4	486.75	234.57	384.34	521.76	36.53	61.68	8.06	31.45	5.87	10.96	21.78	27.84	15.11	12.83	11.64	5.54	0.52
ISY1-RAB43	155.5	256.78	234.57	218.79	244.57	128.79	275.28	224.97	136.19	205.5	155.5	100.13	241.19	212.78	121.79	183.82	54.33	175.07	198.47	93.35	129.69	126.12	165.57	61.68	91.41	94.01	81.14	75.11	21.78	91.41	112.77	0.51
KIAA0226L	35.76	90.77	141.02	148.09	104.42	78.89	35.76	119.26	46.5	127.89	29.06	51.35	42.41	61.25	79.45	74.58	33.3	108.9	37.32	13.83	36.53	3.29	19.25	7.82	7.51	13.72	10.88	5.06	12.36	6.11	2.71	0.28
LHFPL2	414.87	1250.98	1216.75	836.53	698.41	854.13	438.59	483.38	1277.29	1096.5	748.61	669.92	470.14	1023.0	327.56	947.83	339.14	769.69	536.45	102.25	61.68	6.31	53.57	10.55	22.75	27.64	26.86	10.47	16.15	14.89	19.97	0.49
MICB	119.26	166.73	150.17	163.28	144.01	195.72	61.68	82.87	107.38	193.01	93.35	49.56	140.04	102.25	94.01	111.21	58.3	117.6	73.03	49.21	42.11	55.89	61.25	6.21	11.47	10.88	20.11	11.82	17.9	11.82	5.96	0.57
NCKAP1L	193.01	384.34	703.28	713.11	669.92	595.34	177.53	493.56	366.09	1001.93	279.14	267.73	480.04	656.11	312.0	285.03	271.48	444.72	199.85	112.77	120.1	6.67	83.45	21.16	58.3	50.98	66.65	21.94	17.51	20.56	51.35	0.56
NEK6	2018.8	2739.08	1806.78	2004.85	3303.0	2720.15	1769.57	1268.46	1819.35	2240.11	2209.26	1447.15	3146.52	2520.38	1508.65	1883.54	1662.49	1369.04	1617.0	1073.91	1295.13	341.51	1304.15	928.3	1104.13	1037.29	934.76	808.0	866.07	1259.69	723.08	120.1
OSCAR	56.28	206.94	253.23	169.07	130.6	137.14	94.01	108.9	79.45	87.03	54.72	117.6	123.5	116.78	133.36	387.02	105.15	105.89	46.84	40.36	66.18	9.27	39.5	24.46	22.26	32.36	32.13	5.06	20.71	11.73	27.84	0.31
PMAIP1	41.81	106.63	75.11	73.03	57.49	55.1	32.13	49.91	73.54	88.26	36.27	40.07	59.55	33.06	48.52	103.69	34.02	37.32	37.05	18.7	11.3	0.79	3.69	2.97	2.43	6.46	9.13	7.22	3.29	8.99	2.46	0.24
RAB35	688.78	842.36	1051.79	902.89	947.83	1001.93	444.72	660.68	698.41	921.88	591.22	503.95	723.08	728.11	536.45	791.35	511.0	769.69	624.99	414.87	490.14	244.57	423.61	228.13	262.2	249.73	295.11	275.28	256.78	237.86	204.07	0.48
RACGAP1	205.5	518.15	248.0	305.55	414.87	473.41	116.78	194.36	309.83	447.82	211.31	165.57	339.14	486.75	128.79	423.61	162.14	244.57	206.94	81.14	102.25	103.69	95.34	11.91	43.94	22.1	26.86	15.34	38.95	15.34	24.11	0.44
SAMD9	51.71	180.02	167.9	162.14	214.27	106.63	125.24	77.25	136.19	463.65	127.89	83.45	154.42	158.79	116.78	199.85	100.13	129.69	115.97	47.17	65.72	3.59	70.01	11.38	1.83	17.38	16.03	17.0	24.63	17.51	12.27	0.28
SAMSN1	130.6	343.89	551.56	454.09	429.54	373.81	143.01	389.72	277.2	629.35	166.73	136.19	303.44	318.57	191.67	271.48	198.47	299.25	138.1	99.43	96.68	4.43	52.82	18.03	46.5	40.64	45.21	9.7	15.11	15.68	98.73	0.48
SLAMF1	12.64	40.93	134.3	34.75	18.7	86.43	35.76	80.57	98.73	121.79	17.38	26.86	92.05	37.59	21.47	19.97	20.56	9.13	20.71	7.88	22.92	1.17	9.06	3.06	2.03	9.06	5.96	10.31	1.27	13.52	2.89	0.21
SLAMF8	332.14	2004.85	1081.39	470.14	305.55	483.38	194.36	591.22	514.56	624.99	255.0	325.29	514.56	647.07	291.04	460.44	178.77	303.44	131.51	59.97	95.34	11.47	72.52	4.06	21.32	20.11	24.28	15.45	32.82	11.91	6.41	0.0
SLC35G2	82.87	287.01	339.14	279.14	297.17	460.44	163.28	130.6	262.2	183.82	412.0	167.9	493.56	226.54	206.94	124.37	412.0	420.68	332.14	64.34	40.64	7.34	58.3	28.24	13.52	29.27	34.75	39.5	33.54	46.18	31.67	0.71
SNX6	902.89	1350.18	1832.01	1417.35	1551.09	1331.57	780.44	1477.58	1250.98	2664.15	1295.13	1008.9	1073.91	1583.71	915.51	981.29	981.29	1594.73	1295.13	579.04	748.61	376.41	620.67	264.03	248.0	381.68	361.04	373.81	325.29	466.88	231.32	0.65
SP140	53.19	177.53	161.02	70.01	36.27	73.54	79.45	124.37	133.36	205.5	36.01	61.25	109.66	102.97	97.36	109.66	45.53	51.71	38.12	31.67	52.82	3.66	27.64	20.56	26.1	18.29	24.81	12.09	38.4	27.84	21.32	0.39
SYNDIG1L	1.87	8.92	5.36	13.93	6.73	4.03	2.2	8.51	1.97	1.95	0.79	1.55	15.34	6.31	6.84	2.48	2.25	1.6	4.62	1.16	1.11	0.0	0.6	0.0	0.0	0.67	0.0	0.45	0.79	0.85	0.24	0.0
TGFBI	160252.91	189257.69	343510.77	419990.32	338781.54	186652.11	267651.2	248002.34	419990.32	246289.25	411347.03	174152.51	186652.11	275175.93	258533.99	236256.4	186652.11	391864.76	294926.33	4010.71	3168.41	6381.92	3820.7	1268.46	2520.38	1583.71	1733.13	4066.71	3303.0	1883.54	2075.59	0.83
TGFBR1	234.57	759.08	665.29	693.58	842.36	743.43	567.1	518.15	633.73	759.08	429.54	633.73	387.02	559.28	441.64	187.71	435.55	660.68	599.49	151.22	169.07	118.43	234.57	64.8	67.59	110.43	85.82	83.45	108.14	141.02	143.01	320.8
TMEM164	147.06	291.04	218.79	182.55	289.02	220.32	197.09	175.07	264.03	205.5	253.23	127.89	209.84	158.79	106.63	204.07	112.77	195.72	131.51	52.82	99.43	84.04	95.34	12.45	22.75	31.9	24.63	17.38	45.53	28.65	22.59	0.0
TMEM194B	135.24	173.85	148.09	103.69	195.72	157.68	44.89	157.68	132.44	155.5	152.28	98.73	132.44	190.34	73.03	72.01	113.56	162.14	93.35	52.82	44.57	44.57	33.78	25.54	39.79	42.41	35.76	32.59	26.1	22.92	54.72	0.36
TMEM39A	320.8	450.94	514.56	384.34	332.14	718.08	232.94	307.69	363.56	351.14	305.55	208.38	511.0	500.46	260.38	780.44	218.79	384.34	389.72	182.55	215.77	132.44	256.78	110.43	128.79	125.24	159.9	170.25	106.63	156.59	134.3	151.22
TMEM87B	224.97	351.14	323.03	256.78	329.84	329.84	177.53	198.47	387.02	325.29	242.88	175.07	255.0	267.73	176.29	193.01	208.38	307.69	231.32	113.56	150.17	88.26	113.56	53.19	55.1	71.0	77.25	32.13	46.18	43.63	34.51	0.57
TRAFD1	733.19	785.88	679.29	629.35	679.29	624.99	547.75	567.1	607.87	1051.79	507.46	403.5	860.08	595.34	435.55	954.43	400.71	435.55	525.39	239.52	348.71	90.14	271.48	122.64	191.67	181.28	178.77	194.36	164.42	264.03	73.03	0.36
ZNF267	205.5	258.57	339.14	232.94	255.0	348.71	220.32	156.59	234.57	323.03	134.3	163.28	371.22	285.03	190.34	161.02	110.43	214.27	265.87	66.65	53.95	31.9	63.89	21.94	11.21	35.25	31.22	44.25	16.88	29.27	20.26	0.0
ZNF273	44.57	49.56	67.12	51.35	38.4	72.52	34.02	43.02	61.68	45.85	44.57	27.05	51.71	40.64	45.85	99.43	19.39	73.54	45.21	22.59	16.88	7.34	23.08	5.36	7.22	15.91	12.74	2.89	7.0	12.18	5.68	0.0
