	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.CC.A8HT.01A.11R.A36F.07	TCGA.EP.A2KC.01A.11R.A213.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.13N11.0926.SM.5IJG2	GTEX.R53T.0326.SM.48FEC	TCGA.38.4632.11A.01R.1755.07	TCGA.38.4626.11A.01R.1758.07	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.13FLV.0426.SM.5KLZA	GTEX.132QS.0726.SM.5IJE9	GTEX.13OW8.1726.SM.5L3GO	GTEX.144GO.0226.SM.5LUB1	TCGA.77.8007.11A.01R.2187.07	TCGA.56.8082.11A.01R.2247.07
AC006486.1	2.58	2.1	3.32	5.32	3.99	3.5	15.11	2.73	6.94	11.38	1.35	31.67	3.86	14.67	3.72	3.0	2.56	2.39	4.5	2.18	3.0	8.19	0.0	1.89	0.69	2.68	3.14	5.5	2.86
ANLN	35.5	33.06	5.54	587.13	81.14	99.43	232.94	59.97	297.17	521.76	275.28	339.14	175.07	759.08	109.66	0.99	81.71	28.45	42.11	29.48	24.99	209.84	68.55	12.09	32.59	18.43	16.63	119.26	10.96
ASF1B	80.01	83.45	49.21	140.04	137.14	189.02	232.94	97.36	118.43	438.59	187.71	154.42	162.14	555.41	116.78	13.42	334.46	18.29	118.43	81.71	60.39	187.71	71.0	55.1	59.13	63.0	75.11	152.28	28.45
ASPM	6.62	9.2	0.39	339.14	96.01	111.99	226.54	147.06	181.28	273.37	336.79	651.58	129.69	435.55	101.54	2.36	73.54	11.64	9.48	7.28	8.92	48.18	21.16	4.54	6.84	12.36	11.82	36.53	3.47
AURKA	110.43	131.51	45.21	1467.37	202.66	255.0	723.08	136.19	473.41	941.27	432.53	540.19	368.65	1369.04	170.25	8.25	206.94	29.27	59.55	84.63	74.06	314.17	50.98	21.78	69.03	64.8	39.79	121.79	12.45
AURKB	88.26	84.63	38.4	334.46	204.07	244.57	866.07	193.01	450.94	1781.89	301.33	438.59	297.17	679.29	147.06	7.4	432.53	38.67	98.04	52.08	28.04	190.34	125.24	19.25	47.5	48.18	14.67	187.71	15.56
BIRC5	46.5	59.55	33.78	785.88	224.97	480.04	947.83	155.5	414.87	1066.48	656.11	1685.71	1340.84	1051.79	283.05	15.22	135.24	34.26	98.04	57.08	36.01	327.56	29.27	18.97	35.0	20.26	17.64	285.03	12.45
BRIP1	3.66	5.82	1.48	27.25	9.34	16.03	27.64	17.51	15.22	45.53	22.92	17.13	10.0	54.72	21.78	2.05	31.22	5.59	9.27	6.06	6.73	42.11	4.06	2.1	5.23	8.45	1.6	12.64	2.66
BUB1	33.78	49.91	22.1	208.38	84.04	90.14	183.82	41.22	170.25	231.32	283.05	289.02	119.26	303.44	59.97	0.44	66.65	15.68	54.72	36.79	31.67	194.36	100.83	16.63	34.75	47.17	23.25	107.38	7.34
BUB1B	28.24	25.35	19.82	128.79	80.01	79.45	176.29	46.5	228.13	363.56	130.6	314.17	92.05	417.77	57.08	7.82	75.11	8.71	30.56	17.9	11.55	90.14	41.22	21.94	25.35	45.53	37.59	76.17	3.47
