	TCGA.FD.A43X.01A.11R.A23W.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.E2.A1LB.01A.11R.A144.07	TCGA.LL.A740.01A.21R.A32P.07	TCGA.E9.A1RH.01A.21R.A169.07	TCGA.BH.A0BA.01A.11R.A056.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.E2.A2P6.01A.11R.A19W.07	TCGA.AN.A0FZ.01A.11R.A034.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A0DK.11A.13R.A089.07	GTEX.13NZ8.0126.SM.5IJCT	TCGA.M7.A724.01A.12R.A32O.07
ANKRD28	150.17	183.82	244.57	348.71	974.5	503.95	830.75	246.28	384.34	633.73	567.1	703.28	748.61	167.9
APOD	17.9	115.16	309589.14	450134.56	932018.1	331809.5	561916.97	105727.15	602247.76	338781.54	539026.74	602247.76	851707.37	224.97
APPBP2	199.85	119.26	341.51	312.0	665.29	406.31	551.56	194.36	384.34	473.41	718.08	547.75	384.34	177.53
B3GALNT2	41.52	31.9	178.77	189.02	454.09	323.03	389.72	189.02	211.31	206.94	211.31	339.14	332.14	57.08
B4GALT6	31.0	13.83	12.36	26.86	34.75	28.86	59.97	8.19	33.78	61.68	76.71	55.1	48.18	6.16
C1orf143	0.0	0.0	0.0	0.0	0.64	0.0	1.35	0.0	0.0	1.36	1.03	0.66	0.0	0.0
C2orf69	65.72	38.95	161.02	176.29	289.02	173.85	312.0	119.26	122.64	185.11	189.02	191.67	175.07	57.49
C9orf41	87.65	44.57	99.43	122.64	265.87	185.11	275.28	127.0	127.0	206.94	185.11	214.27	206.94	115.16
CLDN16	1.51	6.41	3.26	14.35	16.88	6.78	26.86	0.31	0.0	16.88	13.22	6.06	3.89	0.0
CPD	202.66	154.42	591.22	1015.93	1498.22	981.29	1844.76	571.05	796.86	967.76	1191.69	1008.9	473.41	181.28
CREB3L2	244.57	332.14	466.88	954.43	1175.27	633.73	1721.16	379.04	285.03	921.88	974.5	884.29	842.36	327.56
CUL5	123.5	55.89	239.52	231.32	389.72	291.04	503.95	100.13	204.07	293.07	275.28	301.33	183.82	122.64
