	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	TCGA.KM.8438.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.11ZUS.2526.SM.59872	GTEX.13O3O.1826.SM.5IFGW	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.HU.8238.01A.11R.2343.13	GTEX.144GM.1726.SM.5O9AS	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.FY.A3NN.01A.11R.A21D.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.EM.A2CM.01A.11R.A180.07
ABCG4	6.06	4.54	15.22	12.55	72.52	40.07	6.84	6.52	1.51	8.19	2.27	4.35	2.92	5.68	1.06	1.81	0.72	4.39	0.47	5.92	0.0	11.38	5.92	8.65	2.73	10.63	111.21	150.17	86.43	21.16	39.5	54.72	136.19	67.12	123.5	55.49	39.22	116.78	42.11	102.25	38.4	60.82	40.07	14.35	25.17	59.13	44.25	91.41
AC107021.1	1.31	1.71	0.0	0.49	0.48	0.88	0.99	3.96	0.52	0.0	0.0	0.0	14.03	0.69	0.0	1.04	3.14	1.71	0.67	0.0	2.97	0.0	0.0	0.18	2.53	0.56	6.41	3.53	3.03	7.75	12.55	6.41	6.94	7.57	4.86	1.62	13.42	8.85	5.82	5.92	0.0	3.99	9.34	5.54	21.16	4.7	1.53	11.13
AC131097.4	2.01	0.0	0.0	8.13	2.34	0.0	0.0	0.0	0.0	0.0	0.0	6.67	0.0	2.29	5.32	0.0	15.11	3.5	0.0	0.0	7.34	0.0	13.52	13.42	3.23	0.0	309.83	204.07	202.66	90.14	228.13	336.79	162.14	353.59	511.0	264.03	50.63	371.22	309.83	343.89	10.47	197.09	0.0	90.77	260.38	305.55	432.53	0.0
ATP6V1G2	25.72	32.13	4.94	9.13	11.73	5.68	8.78	75.64	75.11	30.12	61.25	5.77	5.32	23.59	2.89	25.54	1.62	20.11	4.06	13.22	22.92	38.4	27.05	35.76	12.45	43.02	75.11	60.39	32.36	38.12	65.26	75.64	74.58	55.1	50.98	93.35	43.02	161.02	40.36	43.94	162.14	84.04	28.86	118.43	198.47	69.03	30.12	41.22
BAI2	29.27	52.08	19.39	13.12	14.24	2.25	28.65	71.5	75.64	146.03	126.12	100.13	1.91	12.93	2.27	2.34	4.17	26.47	38.12	32.13	38.67	19.68	68.55	45.53	78.89	187.71	753.83	842.36	1111.82	177.53	454.09	392.44	291.04	733.19	633.73	559.28	547.75	624.99	620.67	371.22	309.83	591.22	1104.13	406.31	848.22	486.75	1127.35	525.39
BBS5	39.5	84.04	98.04	94.67	100.13	81.71	63.45	127.0	82.87	127.0	113.56	103.69	8.32	86.43	29.91	72.52	53.57	178.77	84.63	88.26	62.12	89.51	72.52	104.42	71.0	93.35	201.25	112.77	139.07	249.73	154.42	256.78	212.78	246.28	214.27	185.11	271.48	183.82	133.36	248.0	108.14	108.9	121.79	118.43	183.82	153.34	132.44	151.22
BHLHE41	162.14	139.07	39.22	49.21	39.79	7.51	40.64	125.24	514.56	503.95	361.04	348.71	13.93	18.84	28.24	16.63	1.36	872.1	356.05	607.87	126.12	90.14	180.02	152.28	70.01	244.57	981.29	368.65	166.73	3443.31	947.83	674.59	1127.35	854.13	1037.29	473.41	3146.52	599.49	599.49	1066.48	2739.08	381.68	460.44	665.29	1662.49	743.43	503.95	1175.27
BTBD11	4.58	14.24	0.89	21.63	17.13	1.73	10.47	143.01	13.83	336.79	7.11	64.8	3.06	23.42	15.11	22.43	3.56	28.65	11.91	15.91	3.59	8.78	8.71	18.16	29.06	27.05	194.36	420.68	493.56	43.63	447.82	305.55	140.04	351.14	241.19	620.67	140.04	78.34	124.37	178.77	63.89	353.59	249.73	493.56	366.09	318.57	392.44	193.01
C16orf46	15.22	26.67	12.09	13.93	14.56	23.76	40.93	32.82	31.45	36.01	31.45	35.25	14.03	69.03	14.78	19.11	18.84	52.45	20.56	18.16	8.51	9.85	18.43	16.88	29.7	19.82	82.29	151.22	78.89	61.68	163.28	103.69	88.88	124.37	63.0	111.99	75.64	95.34	96.01	92.05	9.56	126.12	79.45	152.28	103.69	81.71	130.6	100.13
CAMP	4.54	49.91	0.0	0.0	8.58	0.0	0.0	0.0	1.03	33.78	16.88	8.25	1.79	1.93	9.13	2.07	13.32	25.54	0.0	0.0	5.02	0.0	2.66	3.79	0.0	2.61	125.24	38.4	91.41	17.25	325.29	105.89	267.73	88.26	190.34	118.43	15.8	223.41	480.04	165.57	27.84	759.08	16.39	341.51	1001.93	241.19	35.0	171.45
