	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A3AI.01A.11R.A206.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.BJ.A45K.01A.11R.A23W.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3MY.11A.12R.A21D.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.EL.A3MX.11A.11R.A21D.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.EL.A3ZM.11A.12R.A23N.07	TCGA.BJ.A290.11A.11R.A180.07	TCGA.EM.A1CW.11A.12R.A13Y.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW8.0126.SM.5IJE5	GTEX.13FLV.0226.SM.5J2OF	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OHPM.2626.SM.33HC5	GTEX.12WSK.0926.SM.5CVNQ	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.12ZZY.0826.SM.5EQMT	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.139UW.0126.SM.5KM1B	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.PLZ4.1226.SM.2I5FE	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.ZYT6.0426.SM.5GID3	GTEX.111FC.1026.SM.5GZX1
AASS	135.24	105.15	119.26	32.82	61.68	167.9	45.53	72.52	96.68	76.71	59.97	134.3	336.79	180.02	47.17	106.63	78.89	115.97	111.21	67.59	204.07	273.37	256.78	126.12	301.33	92.05	236.21	215.77	265.87	262.2	336.79	124.37	143.01	182.55	239.52	185.11	186.4	215.77	202.66	403.5	111.99	180.02	258.57	157.68	281.09	320.8	181.28	116.78	170.25	185.11	166.73	211.31	158.79	429.54	93.35	273.37	125.24	239.52	154.42	208.38	323.03	204.07	232.94	201.25	92.7	215.77	140.04	356.05	258.57	279.14	172.65	194.36	212.78	163.28	153.34
ABHD17B	170.25	190.34	182.55	181.28	118.43	150.17	149.12	129.69	154.42	166.73	127.89	178.77	211.31	145.02	92.7	189.02	224.97	186.4	135.24	120.1	255.0	287.01	260.38	212.78	242.88	214.27	251.48	318.57	301.33	490.14	242.88	262.2	165.57	189.02	229.72	167.9	182.55	264.03	435.55	246.28	228.13	163.28	253.23	209.84	154.42	255.0	150.17	275.28	206.94	275.28	148.09	361.04	232.94	392.44	118.43	231.32	204.07	237.86	199.85	186.4	242.88	242.88	339.14	237.86	234.57	173.85	215.77	181.28	224.97	287.01	229.72	182.55	260.38	191.67	169.07
AFF4	412.0	353.59	356.05	255.0	273.37	329.84	285.03	279.14	327.56	248.0	239.52	444.72	802.41	454.09	289.02	447.82	389.72	514.56	329.84	265.87	733.19	743.43	656.11	447.82	764.36	460.44	616.37	688.78	629.35	830.75	684.02	612.11	397.93	551.56	571.05	748.61	866.07	551.56	679.29	684.02	429.54	529.06	532.74	334.46	460.44	665.29	466.88	518.15	490.14	444.72	603.67	947.83	358.54	854.13	389.72	620.67	366.09	616.37	441.64	612.11	607.87	866.07	928.3	656.11	387.02	571.05	323.03	703.28	947.83	575.03	638.15	387.02	693.58	366.09	463.65
AGFG1	551.56	603.67	591.22	567.1	438.59	441.64	551.56	507.46	583.07	540.19	423.61	511.0	854.13	525.39	309.83	607.87	599.49	629.35	493.56	466.88	693.58	872.1	748.61	603.67	988.12	642.59	616.37	825.0	718.08	896.64	830.75	738.29	521.76	728.11	571.05	629.35	713.11	723.08	1096.5	679.29	713.11	660.68	785.88	438.59	454.09	728.11	825.0	759.08	674.59	819.3	435.55	836.53	460.44	718.08	612.11	708.18	679.29	753.83	743.43	563.18	703.28	708.18	967.76	595.34	669.92	595.34	830.75	738.29	693.58	967.76	679.29	616.37	884.29	438.59	454.09
ANAPC1	143.01	139.07	147.06	82.29	98.04	124.37	122.64	132.44	106.63	124.37	78.89	148.09	220.32	108.14	94.67	118.43	153.34	151.22	98.04	102.97	215.77	212.78	206.94	154.42	262.2	154.42	194.36	215.77	197.09	177.53	232.94	159.9	111.21	123.5	150.17	182.55	244.57	152.28	205.5	202.66	183.82	137.14	170.25	193.01	198.47	287.01	206.94	164.42	185.11	156.59	214.27	178.77	198.47	217.27	138.1	156.59	102.97	228.13	129.69	208.38	167.9	212.78	171.45	158.79	105.15	146.03	107.38	214.27	198.47	139.07	195.72	154.42	211.31	197.09	180.02
AP4E1	67.12	52.82	67.59	26.1	39.5	49.56	55.49	52.45	60.39	57.49	43.63	63.0	119.26	50.27	40.64	59.13	72.01	75.11	52.82	29.27	99.43	98.73	100.83	70.51	113.56	67.59	84.04	101.54	83.45	106.63	99.43	59.13	43.32	71.0	67.12	49.21	60.82	70.01	105.15	106.63	55.89	59.13	78.34	59.97	71.5	88.88	45.21	63.0	59.55	56.68	63.0	85.22	46.18	96.01	53.19	78.89	59.13	65.26	59.13	67.12	81.71	56.28	69.52	76.71	75.64	82.87	49.56	78.34	110.43	96.68	68.55	55.49	74.06	64.8	61.68
APPBP2	239.52	204.07	218.79	148.09	157.68	205.5	149.12	176.29	206.94	166.73	165.57	232.94	540.19	234.57	147.06	214.27	214.27	316.37	186.4	130.6	432.53	486.75	414.87	264.03	389.72	264.03	341.51	450.94	412.0	392.44	420.68	412.0	193.01	348.71	297.17	239.52	318.57	353.59	493.56	343.89	291.04	397.93	295.11	201.25	228.13	307.69	197.09	356.05	190.34	287.01	249.73	358.54	171.45	384.34	332.14	314.17	239.52	497.0	334.46	332.14	392.44	366.09	543.96	363.56	215.77	312.0	201.25	373.81	381.68	273.37	295.11	205.5	320.8	205.5	271.48
APPL1	246.28	269.6	206.94	236.21	193.01	173.85	166.73	211.31	223.41	169.07	201.25	277.2	387.02	211.31	262.2	275.28	193.01	303.44	206.94	159.9	463.65	514.56	429.54	289.02	470.14	273.37	429.54	540.19	493.56	497.0	521.76	497.0	327.56	297.17	285.03	265.87	379.04	551.56	684.02	536.45	258.57	379.04	325.29	267.73	297.17	473.41	285.03	389.72	384.34	320.8	301.33	591.22	273.37	400.71	283.05	316.37	287.01	395.18	279.14	336.79	379.04	329.84	441.64	466.88	229.72	363.56	277.2	480.04	389.72	283.05	329.84	329.84	376.41	314.17	381.68
ARFGEF2	376.41	397.93	323.03	291.04	363.56	305.55	202.66	251.48	281.09	147.06	327.56	387.02	612.11	346.29	212.78	457.25	381.68	406.31	339.14	202.66	713.11	603.67	555.41	432.53	607.87	423.61	486.75	540.19	674.59	743.43	426.57	521.76	312.0	629.35	769.69	406.31	497.0	403.5	638.15	660.68	555.41	412.0	500.46	327.56	356.05	343.89	457.25	409.15	403.5	466.88	432.53	551.56	518.15	830.75	518.15	532.74	463.65	341.51	567.1	486.75	808.0	432.53	796.86	665.29	438.59	620.67	358.54	633.73	688.78	559.28	511.0	503.95	748.61	316.37	366.09
ARMC8	460.44	426.57	438.59	314.17	348.71	395.18	361.04	420.68	366.09	356.05	323.03	397.93	854.13	339.14	239.52	395.18	397.93	525.39	351.14	332.14	466.88	612.11	656.11	426.57	656.11	444.72	490.14	629.35	575.03	612.11	532.74	507.46	381.68	507.46	563.18	460.44	753.83	493.56	540.19	656.11	470.14	420.68	536.45	395.18	438.59	490.14	457.25	392.44	511.0	457.25	547.75	693.58	486.75	638.15	420.68	536.45	460.44	559.28	426.57	591.22	624.99	563.18	629.35	480.04	457.25	470.14	363.56	417.77	587.13	490.14	579.04	403.5	624.99	417.77	521.76
