	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.HC.7750.01A.11R.2118.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.A8FS.01A.11R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.G9.6364.01A.21R.1789.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.CH.5741.01A.11R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.G9.6377.01A.11R.1965.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
ADCY5	356.05	90.14	29.48	176.29	75.11	47.84	341.51	8.58	23.42	20.86	154.42	82.29	190.34	176.29	293.07	183.82	255.0	158.79	151.22	221.86	209.84	198.47	123.5	76.71	231.32	67.59	373.81	293.07	412.0	256.78	38.12	116.78	53.95	30.12	110.43	323.03	91.41	64.8	120.1	314.17	105.15	221.86	128.79	84.04	94.67	305.55	9.63	151.22	193.01	25.72	124.37	74.58	521.76	454.09	9.41	435.55	60.39	145.02	180.02	318.57	220.32	89.51	249.73	54.33	60.82	275.28	48.52	20.71	44.57	285.03	117.6	134.3	97.36	49.91	145.02	126.12	42.11	32.82	20.71	224.97	444.72	59.55	141.02	53.95	111.99	38.12	42.41	432.53	297.17	244.57	177.53	281.09	57.08	102.97	112.77	43.02	117.6	429.54	36.01	47.84	133.36	366.09	70.01	139.07	56.28	80.57	80.01	318.57	108.14	406.31	417.77	551.56	414.87	500.46	397.93	497.0	318.57	529.06	808.0	403.5	137.14	642.59	674.59
ADCYAP1R1	24.46	2.1	1.75	3.79	3.92	2.12	7.51	0.0	0.65	0.99	7.88	4.78	8.32	3.38	7.75	3.23	11.82	2.25	8.32	8.85	7.34	10.31	3.35	1.11	17.25	4.94	8.99	11.38	7.06	2.61	0.64	3.86	3.06	3.35	8.38	11.13	4.43	4.54	4.62	11.38	11.82	16.51	3.44	15.0	9.78	17.77	0.61	6.36	5.73	2.51	3.72	3.38	12.09	8.45	1.39	26.67	1.36	6.21	3.82	8.13	14.56	2.68	8.45	4.13	6.46	18.97	0.0	0.68	2.27	19.82	5.73	3.89	4.58	2.18	5.77	8.85	0.0	1.43	0.59	14.24	18.84	2.56	5.32	1.04	6.73	0.0	1.38	9.34	23.59	7.63	6.21	12.36	1.03	7.82	3.92	1.38	3.86	9.34	0.95	2.71	5.11	12.27	1.04	2.97	2.34	8.19	1.1	21.16	8.0	9.56	8.58	31.22	8.32	22.43	6.62	10.96	16.63	15.56	26.86	17.64	5.11	20.71	44.89
ADRA1A	176.29	34.75	0.91	63.0	7.4	15.0	95.34	0.0	7.0	5.54	37.85	10.63	73.54	26.28	111.21	58.71	85.82	26.86	28.24	44.57	43.32	28.24	17.13	5.5	95.34	18.97	98.73	52.45	115.97	51.71	2.76	22.59	6.78	11.64	39.79	61.68	27.84	21.63	29.48	162.14	55.1	45.53	9.2	22.1	32.82	108.9	0.58	19.11	28.45	1.51	33.54	6.57	176.29	95.34	0.61	88.88	4.46	24.11	14.24	68.07	63.45	24.28	38.67	15.45	11.55	74.06	1.99	2.1	2.94	64.8	21.01	20.26	16.27	10.47	34.75	48.87	2.56	3.14	1.39	100.83	208.38	4.98	31.0	4.74	74.58	10.71	4.54	84.04	127.89	94.01	43.94	62.12	4.39	10.16	13.72	2.73	26.1	127.0	0.27	5.28	47.84	84.63	3.76	19.11	6.16	12.45	17.9	38.67	39.79	220.32	102.97	246.28	112.77	165.57	97.36	140.04	94.67	105.89	341.51	147.06	41.52	182.55	287.01
ANGPT1	146.03	76.17	8.78	131.51	10.88	13.93	148.09	5.32	9.63	10.47	102.25	39.5	93.35	81.71	131.51	103.69	172.65	60.82	82.29	61.68	75.64	96.01	45.85	15.68	126.12	35.5	147.06	131.51	204.07	107.38	15.91	64.34	40.93	24.28	61.25	185.11	33.54	24.99	62.56	214.27	111.99	61.25	32.82	46.18	69.03	181.28	0.55	29.91	97.36	12.36	35.25	29.91	309.83	140.04	6.36	135.24	15.45	71.0	39.79	100.13	126.12	45.53	66.65	29.91	71.0	136.19	10.88	6.26	12.74	180.02	28.45	35.5	47.17	28.86	59.97	80.01	14.03	29.06	12.36	241.19	234.57	19.25	62.12	25.72	70.01	11.38	14.35	178.77	144.01	118.43	93.35	161.02	28.24	62.12	35.76	14.67	53.57	218.79	4.78	14.45	66.65	239.52	20.56	53.19	6.89	34.26	35.5	229.72	217.27	277.2	348.71	555.41	242.88	547.75	214.27	285.03	180.02	194.36	583.07	208.38	145.02	376.41	460.44
ANK2	153.34	32.82	13.83	64.34	15.22	33.54	71.0	5.5	7.94	13.22	43.32	27.84	70.01	38.12	94.01	44.57	115.97	63.45	45.21	46.84	62.12	63.0	57.08	34.02	108.9	34.26	149.12	126.12	100.13	47.84	50.27	47.5	30.12	16.63	20.11	111.99	40.64	25.35	28.24	122.64	117.6	88.88	80.57	32.13	38.4	147.06	4.03	33.54	77.25	17.25	54.33	30.56	185.11	78.34	9.2	139.07	25.91	43.02	44.57	65.26	117.6	23.08	69.52	25.17	36.01	114.36	21.32	5.96	29.91	41.52	33.78	38.67	50.27	17.9	58.3	54.33	10.96	11.04	4.5	106.63	156.59	22.59	52.08	12.83	42.41	22.59	46.18	101.54	84.63	50.63	56.28	81.71	14.67	58.71	62.56	10.39	33.06	139.07	14.03	19.97	36.27	97.36	16.03	29.91	17.9	21.63	20.11	120.94	66.18	131.51	108.14	297.17	120.1	309.83	102.25	186.4	83.45	153.34	356.05	166.73	52.45	201.25	327.56
ANO5	67.59	17.64	1.68	76.17	5.59	4.43	85.22	0.66	3.41	0.72	24.28	17.9	34.26	14.45	36.79	42.11	35.0	23.08	12.27	13.42	31.0	59.97	10.39	6.36	19.97	6.21	72.01	29.27	76.71	31.45	9.27	16.15	7.94	4.5	12.09	28.04	11.73	15.34	39.22	51.35	59.55	27.44	7.28	15.56	8.71	43.63	0.0	14.24	32.13	4.43	28.04	6.16	46.5	46.5	0.74	37.85	6.16	13.03	9.78	25.17	28.45	13.03	45.21	35.76	29.91	22.26	3.03	1.19	60.82	38.67	26.67	15.91	20.56	9.78	29.7	36.79	4.06	3.96	2.68	72.01	72.01	5.82	23.42	4.94	6.78	5.19	4.74	40.64	53.95	31.45	16.15	40.93	7.69	11.04	9.7	2.61	15.68	82.87	3.26	5.82	21.47	75.64	11.04	14.14	3.86	13.03	39.79	50.27	75.11	136.19	73.54	126.12	78.34	65.26	40.93	66.18	60.82	87.03	87.03	54.33	40.07	81.14	104.42
ASB2	201.25	85.22	19.25	241.19	67.12	39.79	209.84	11.21	35.0	5.82	173.85	77.79	309.83	204.07	281.09	234.57	327.56	80.01	197.09	120.94	186.4	151.22	90.14	54.72	318.57	56.28	291.04	435.55	514.56	275.28	36.27	193.01	37.05	23.93	135.24	426.57	94.01	78.34	128.79	476.71	346.29	170.25	81.14	76.71	88.88	260.38	2.81	301.33	190.34	28.65	165.57	127.89	341.51	454.09	9.13	332.14	39.22	193.01	106.63	283.05	183.82	102.97	147.06	58.71	108.14	141.02	31.0	7.28	18.97	256.78	86.43	140.04	32.82	62.12	107.38	223.41	34.75	48.18	21.32	299.25	303.44	43.94	166.73	59.55	167.9	34.51	42.71	429.54	215.77	155.5	143.01	325.29	45.85	80.57	73.03	29.48	110.43	392.44	17.77	23.25	291.04	423.61	49.91	144.01	34.75	125.24	127.89	269.6	96.01	329.84	450.94	563.18	348.71	642.59	575.03	507.46	301.33	414.87	591.22	363.56	246.28	463.65	591.22
ATP1A2	409.15	85.22	27.44	283.05	30.34	42.41	441.64	5594.3	24.46	13.83	273.37	98.04	223.41	226.54	327.56	224.97	409.15	100.13	175.07	234.57	161.02	158.79	154.42	224.97	314.17	28.24	503.95	329.84	854.13	327.56	23.42	147.06	40.07	27.84	181.28	480.04	93.35	70.01	194.36	361.04	450.94	231.32	111.99	99.43	142.01	358.54	6.26	182.55	194.36	44.89	220.32	77.79	547.75	688.78	8.65	429.54	19.53	253.23	72.52	339.14	206.94	193.01	234.57	78.34	69.03	237.86	9.7	8.99	27.64	463.65	88.88	94.01	46.18	45.85	150.17	189.02	18.84	30.34	9.7	447.82	403.5	40.64	204.07	40.36	194.36	20.71	37.85	559.28	490.14	172.65	190.34	373.81	48.18	119.26	75.64	39.5	114.36	563.18	7.94	36.53	265.87	480.04	39.79	111.21	17.64	111.21	155.5	223.41	147.06	583.07	638.15	896.64	575.03	660.68	909.17	638.15	414.87	493.56	954.43	591.22	285.03	947.83	1044.52
ATP2B4	748.61	409.15	67.59	819.3	182.55	165.57	825.0	37.05	93.35	49.21	674.59	312.0	723.08	647.07	591.22	693.58	1199.98	341.51	603.67	392.44	587.13	612.11	423.61	150.17	1151.06	172.65	698.41	981.29	1487.87	713.11	136.19	563.18	193.01	109.66	435.55	1286.18	279.14	202.66	277.2	1331.57	638.15	713.11	343.89	295.11	493.56	808.0	34.51	403.5	500.46	102.25	291.04	221.86	802.41	1322.37	43.02	1745.2	147.06	525.39	366.09	974.5	507.46	409.15	780.44	231.32	361.04	406.31	100.13	43.32	137.14	808.0	197.09	341.51	305.55	125.24	277.2	483.38	136.19	187.71	69.03	1605.83	995.0	155.5	486.75	156.59	521.76	124.37	155.5	1259.69	547.75	571.05	414.87	802.41	180.02	426.57	348.71	103.69	412.0	1233.75	46.5	211.31	633.73	1191.69	166.73	384.34	114.36	256.78	332.14	703.28	339.14	1167.14	1313.23	1051.79	1059.11	934.76	1769.57	1769.57	967.76	902.89	1806.78	934.76	638.15	1277.29	1350.18
BAI3	10.0	4.39	1.6	9.2	1.58	4.06	4.1	1.13	10.31	1.57	9.34	2.97	11.47	7.63	8.58	2.63	9.48	3.23	11.82	3.38	2.48	9.56	80.01	2.63	16.75	1.69	13.03	14.67	9.2	10.96	1.62	6.36	2.1	1.87	2.43	11.55	3.11	2.43	9.7	15.56	6.62	5.68	1.71	2.43	5.02	2.61	1.55	4.24	8.06	1.6	3.92	4.28	4.31	6.94	1.27	13.52	1.95	3.66	7.0	11.21	8.51	2.51	4.98	2.05	5.82	4.74	0.0	0.0	1.73	10.39	1.31	2.51	2.84	2.41	3.06	4.58	2.07	2.78	1.5	8.45	10.63	3.5	2.43	1.3	7.17	7.11	0.89	9.41	10.0	3.59	3.26	8.71	4.24	3.23	4.9	0.89	4.03	9.41	3.47	3.69	5.23	9.48	1.68	2.05	0.84	2.12	3.41	16.27	6.11	6.62	13.12	22.1	9.7	23.08	15.68	9.13	7.51	13.72	27.84	20.56	3.23	24.28	20.56
