	TCGA.AN.A0XV.01A.11R.A109.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.BH.A1FE.01A.11R.A13Q.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.AN.A041.01A.11R.A034.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.AR.A24S.01A.11R.A169.07	TCGA.B6.A0X4.01A.11R.A109.07	GTEX.13FTY.2226.SM.5J1ND	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.G9.6332.01A.11R.1789.07
AC016757.3	14.56	11.55	4.74	4.62	30.34	5.82	17.9	0.41	14.35	7.46	7.88	6.94	10.39	0.62	0.0	1.75
ANLN	301.33	115.16	420.68	101.54	379.04	48.18	450.94	49.21	218.79	110.43	426.57	62.56	18.16	14.45	14.14	5.23
APOBEC3B	232.94	110.43	211.31	99.43	450.94	54.72	460.44	69.52	215.77	78.34	98.04	27.05	138.1	17.25	10.47	8.71
BDKRB2	135.24	125.24	114.36	108.14	376.41	134.3	138.1	92.05	133.36	140.04	249.73	74.58	124.37	4.28	9.2	7.11
BUB1	195.72	157.68	299.25	124.37	314.17	37.05	371.22	51.71	151.22	120.94	363.56	49.91	23.76	15.56	6.84	3.92
CAPZA2	2047.0	2148.82	3614.55	2287.2	2915.45	1733.13	3325.99	1991.0	2739.08	2319.15	3467.27	1806.78	1662.49	995.0	1733.13	1037.29
CASC5	63.89	38.95	105.89	24.81	129.69	14.78	120.1	14.45	62.12	45.53	97.36	14.14	6.67	4.62	3.72	1.66
CCDC109B	392.44	232.94	351.14	215.77	341.51	108.14	633.73	134.3	151.22	460.44	389.72	146.03	215.77	10.16	34.75	27.05
CCDC18	73.03	42.41	64.8	30.56	89.51	25.35	71.0	13.93	48.87	30.56	99.43	36.79	48.87	17.25	20.56	10.96
CCNA2	271.48	140.04	285.03	78.34	226.54	37.85	353.59	67.12	138.1	131.51	414.87	60.82	50.63	31.9	18.43	13.93
CCNB2	500.46	320.8	417.77	220.32	718.08	106.63	547.75	138.1	307.69	223.41	441.64	130.6	65.72	105.15	79.45	37.59
CCR4	42.41	4.82	201.25	21.94	19.25	2.29	161.02	0.67	14.56	14.45	88.26	1.43	2.89	0.48	1.69	0.77
CDC20	579.04	406.31	432.53	136.19	555.41	121.79	473.41	161.02	358.54	283.05	1369.04	113.56	39.5	116.78	14.56	37.05
CDC25C	87.65	50.98	79.45	50.27	175.07	19.82	144.01	26.86	64.34	42.41	57.49	21.01	6.57	9.93	4.62	1.46
CDCA8	242.88	185.11	297.17	102.97	293.07	51.35	305.55	65.26	155.5	126.12	511.0	89.51	98.73	47.5	23.08	31.0
CDKN3	511.0	197.09	429.54	234.57	555.41	85.82	463.65	175.07	244.57	281.09	525.39	96.01	50.27	73.54	28.04	20.56
CENPA	223.41	120.94	189.02	73.54	209.84	25.54	218.79	38.95	126.12	62.12	470.14	45.53	45.21	26.1	2.68	4.54
CENPI	56.28	27.84	105.15	44.57	85.82	7.46	147.06	10.08	57.89	29.91	135.24	12.74	9.13	3.47	2.29	1.58
CEP55	242.88	125.24	229.72	74.06	273.37	37.32	329.84	56.68	194.36	111.99	684.02	52.08	6.01	12.45	5.11	1.66
CKAP2L	94.67	52.08	176.29	53.57	194.36	13.93	202.66	27.84	63.89	78.89	229.72	21.78	21.32	5.36	5.77	0.47
CLIP1	974.5	529.06	819.3	753.83	1651.0	764.36	878.17	438.59	830.75	785.88	529.06	441.64	780.44	187.71	395.18	429.54
CLSPN	30.78	53.95	153.34	43.63	156.59	16.39	136.19	19.68	88.26	55.89	165.57	8.38	11.73	1.13	0.54	1.41
CPB1	170568.48	1578364.61	175363.84	1715263.94	1055868.42	1116072.03	346.29	1026995.62	1535204.12	1108362.75	5.45	1264380.15	2.291835145E7	11.04	693.58	14.35
CRLF2	0.68	0.0	1.03	0.79	1.04	0.0	7.69	0.0	0.73	0.36	1.45	0.0	0.0	0.0	0.0	0.0
CTB-133G6.1	5.96	1.36	51.35	1.57	6.36	0.0	17.51	0.0	1.08	2.76	6.94	0.0	1.71	0.3	0.0	0.3
DEPDC1	90.14	50.98	65.26	30.12	124.37	8.06	161.02	23.25	53.57	59.55	218.79	19.82	5.77	6.89	4.46	2.34
DEPDC1B	94.67	53.57	101.54	45.85	91.41	13.62	114.36	15.68	47.84	43.63	102.97	19.53	9.2	9.41	3.35	2.92
