	GTEX.YFC4.1426.SM.5IFJG	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.LN.A49W.01A.11R.A260.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R45C.1226.SM.48FEE	GTEX.131XE.1426.SM.5HL7V	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
AAAS	1529.73	547.75	2104.58	769.69	1369.04	1242.34	1397.83	1437.15	1407.55	1159.07	2119.22	1167.14	1167.14	1359.57	1073.91	703.28	647.07	387.02	567.1	532.74	819.3	447.82	525.39	660.68	490.14	543.96	435.55
ACIN1	4671.57	1605.83	3515.68	2645.74	2224.63	2701.35	2224.63	2855.44	2468.49	2240.11	3018.3	2335.28	2224.63	3742.05	3794.3	1350.18	1498.22	651.58	981.29	1457.23	1508.65	435.55	1051.79	1639.59	1051.79	1233.75	791.35
AGAP5	206.94	64.8	182.55	122.64	81.14	136.19	77.25	100.13	88.26	76.71	183.82	66.18	69.03	185.11	163.28	25.35	34.02	18.29	13.72	42.11	32.82	5.54	12.83	25.35	15.0	18.29	6.84
AGBL3	37.32	10.96	35.76	40.36	23.59	34.75	19.53	36.01	60.39	27.84	37.85	27.05	21.78	54.33	45.21	9.63	16.75	18.16	17.64	7.69	9.48	12.36	14.89	14.56	13.03	11.82	6.21
AGRN	2739.08	4639.29	3716.2	1757.34	1023.0	1250.98	2119.22	1639.59	2351.53	1030.12	3168.41	1447.15	483.38	1674.06	1397.83	1015.93	483.38	150.17	780.44	1540.37	759.08	170.25	486.75	941.27	583.07	559.28	204.07
ANKRD10	2485.67	239.52	1697.45	2271.4	1030.12	1572.76	780.44	1388.16	808.0	507.46	1417.35	890.44	532.74	1963.57	1135.2	684.02	480.04	376.41	497.0	329.84	387.02	170.25	209.84	368.65	253.23	194.36	199.85
ANXA1	9279.58	1970321.01	10585.95	447025.24	721179.07	509950.32	682276.92	517068.97	614902.29	1355129.16	107203.06	711250.37	1364554.84	28132.47	124863.17	231394.29	313910.86	437825.58	214407.12	301123.38	303217.87	573724.06	958220.73	422911.59	863596.77	554180.87	789181.81
C1QTNF3	1208.34	39.5	260.38	87.65	217.27	74.06	55.1	83.45	41.81	32.13	175.07	20.71	31.0	420.68	127.0	17.0	21.94	31.0	10.08	57.08	21.63	3.92	265.87	40.93	40.36	9.78	16.03
C1orf147	3.76	18.84	31.0	9.93	13.62	29.48	14.78	5.06	8.99	25.72	56.68	14.89	11.13	13.03	35.5	0.0	1.23	0.0	0.0	0.68	1.11	1.31	1.3	1.5	5.36	1.25	0.18
C1orf213	299.25	67.59	114.36	59.55	107.38	81.71	71.0	120.1	94.01	85.22	195.72	56.68	57.49	194.36	146.03	33.3	26.47	13.12	13.42	23.93	22.1	13.72	16.27	32.82	16.88	11.47	22.59
CCDC163P	41.22	42.71	65.72	30.56	30.78	26.28	38.67	31.9	18.16	13.22	115.97	24.46	11.64	35.0	64.34	2.92	9.48	33.78	7.4	43.02	20.26	7.57	15.68	34.75	9.48	19.68	8.13
CDK18	536.45	303.44	353.59	202.66	133.36	201.25	205.5	172.65	334.46	111.99	409.15	125.24	101.54	848.22	493.56	162.14	114.36	45.85	104.42	214.27	111.99	22.43	118.43	139.07	103.69	93.35	30.12
CEP57L1	329.84	106.63	206.94	262.2	121.79	154.42	93.35	190.34	190.34	102.97	275.28	111.99	108.14	145.02	124.37	78.34	97.36	127.0	94.01	189.02	86.43	137.14	120.1	78.34	66.65	52.08	40.07
CLK2	1417.35	796.86	1844.76	1529.73	1397.83	1259.69	1313.23	1397.83	1583.71	1151.06	2104.58	1167.14	1015.93	1733.13	1508.65	575.03	551.56	275.28	329.84	518.15	567.1	141.02	318.57	466.88	406.31	241.19	190.34
CPO	21.94	3.32	14.67	12.45	2.39	12.0	8.0	4.21	4.98	3.63	1.25	17.13	0.0	10.71	5.5	2.46	0.0	1.08	0.0	3.79	1.45	0.0	0.0	2.58	1.31	0.97	0.01
CRELD1	1437.15	301.33	1111.82	397.93	376.41	387.02	493.56	199.85	409.15	307.69	665.29	476.71	395.18	1331.57	1104.13	204.07	255.0	255.0	244.57	242.88	232.94	161.02	187.71	376.41	165.57	228.13	108.14
CTC-260F20.3	48.52	10.79	73.03	19.25	24.28	25.72	19.11	21.01	28.24	24.11	94.67	22.75	19.53	27.44	29.27	14.45	16.63	30.56	22.26	11.73	14.67	13.93	24.63	16.51	14.56	9.13	5.15
CTD-2369P2.10	30.12	1.41	28.04	11.38	17.13	10.0	14.78	10.96	6.94	6.89	23.76	13.93	14.89	17.77	18.7	6.31	9.48	12.09	3.14	7.94	9.63	2.27	3.11	10.16	2.78	7.88	1.51
DFNB31	417.77	80.01	231.32	185.11	164.42	145.02	246.28	242.88	157.68	135.24	251.48	258.57	180.02	262.2	198.47	121.79	75.64	29.91	100.83	67.12	93.35	9.27	35.25	108.9	68.07	27.64	40.36
DHPS	2664.15	1030.12	1832.01	1457.23	1551.09	1427.22	1832.01	1250.98	1359.57	1295.13	1477.58	1662.49	1551.09	2591.27	1832.01	1233.75	896.64	1044.52	967.76	830.75	961.07	473.41	679.29	988.12	579.04	748.61	708.18
DMTF1	2061.24	271.48	1359.57	1051.79	928.3	1936.53	647.07	1427.22	1119.56	1008.9	3257.52	819.3	748.61	1498.22	1359.57	229.72	285.03	172.65	153.34	336.79	264.03	56.28	189.02	211.31	140.04	115.97	128.79
