	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.BC.A10T.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.1269C.0626.SM.5FQSS	GTEX.1212Z.0226.SM.59HLF	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A22L.01A.11R.A180.07	TCGA.QD.A8IV.01A.11R.A39I.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EM.A22K.01A.11R.A180.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
ACACA	162.14	143.01	236.21	186.4	194.36	236.21	208.38	289.02	249.73	206.94	221.86	0.0	0.03	371.22	305.55	426.57	579.04	358.54	299.25	301.33	450.94	303.44	490.14	293.07	312.0	368.65	493.56	493.56	470.14	420.68	406.31	339.14	229.72	283.05	432.53	351.14	320.8	376.41	432.53	269.6	361.04	289.02	514.56	323.03	343.89	295.11	301.33	583.07	356.05	339.14	353.59	312.0	351.14	297.17
AMBRA1	127.0	132.44	155.5	166.73	169.07	109.66	125.24	131.51	125.24	123.5	98.04	0.0	0.48	373.81	356.05	387.02	435.55	371.22	314.17	387.02	397.93	316.37	406.31	291.04	305.55	463.65	444.72	457.25	460.44	358.54	329.84	353.59	312.0	295.11	435.55	323.03	389.72	249.73	312.0	307.69	414.87	297.17	366.09	351.14	466.88	323.03	376.41	341.51	320.8	417.77	341.51	379.04	320.8	275.28
ARF3	884.29	860.08	872.1	703.28	708.18	819.3	769.69	995.0	915.51	733.19	854.13	2367.9	102.25	3716.2	3564.78	3372.43	4066.71	3742.05	2816.11	3564.78	3443.31	2855.44	2915.45	2178.83	2090.03	2835.7	3467.27	3395.89	3280.18	3018.3	2664.15	2061.24	2434.5	2485.67	3325.99	2956.17	3372.43	1923.14	3257.52	2047.0	3146.52	2997.45	3190.46	3018.3	3146.52	2178.83	3589.58	3982.99	3235.01	4298.64	3018.3	2287.2	3589.58	2434.5
ATG9A	441.64	547.75	603.67	543.96	392.44	575.03	444.72	490.14	473.41	358.54	368.65	0.0	0.82	693.58	718.08	665.29	743.43	718.08	486.75	836.53	703.28	532.74	620.67	483.38	583.07	775.05	921.88	753.83	591.22	651.58	587.13	607.87	529.06	591.22	674.59	543.96	718.08	463.65	547.75	493.56	723.08	603.67	638.15	796.86	764.36	483.38	743.43	665.29	629.35	633.73	785.88	417.77	688.78	521.76
ATP11A	76.17	72.52	82.29	115.16	91.41	92.7	96.68	90.14	127.89	155.5	49.56	242.88	162.14	1832.01	848.22	796.86	1781.89	1216.75	260.38	486.75	490.14	190.34	1397.83	314.17	190.34	591.22	563.18	325.29	334.46	633.73	228.13	334.46	111.99	267.73	466.88	234.57	563.18	239.52	287.01	220.32	435.55	150.17	483.38	723.08	441.64	153.34	866.07	1733.13	187.71	206.94	438.59	214.27	289.02	193.01
ATP13A4	6.21	9.78	12.93	6.26	4.24	27.64	49.56	12.18	13.93	6.84	32.82	0.0	0.45	2627.46	1936.53	2240.11	3060.45	3103.19	620.67	1757.34	1685.71	759.08	2224.63	366.09	503.95	1639.59	1781.89	1159.07	2163.77	1191.69	708.18	703.28	921.88	684.02	780.44	780.44	1819.35	1151.06	1551.09	733.19	1896.65	1407.55	764.36	1819.35	2664.15	802.41	1806.78	2319.15	1259.69	1819.35	1662.49	759.08	1159.07	941.27
BAHD1	146.03	202.66	220.32	221.86	166.73	144.01	163.28	199.85	139.07	117.6	140.04	0.0	0.58	909.17	896.64	775.05	802.41	780.44	441.64	890.44	642.59	387.02	599.49	444.72	283.05	796.86	769.69	591.22	551.56	733.19	435.55	454.09	323.03	417.77	647.07	420.68	684.02	414.87	540.19	441.64	819.3	540.19	559.28	961.07	775.05	575.03	909.17	629.35	651.58	656.11	642.59	426.57	748.61	429.54
BECN1	813.63	698.41	743.43	665.29	693.58	660.68	780.44	703.28	808.0	819.3	599.49	0.0	0.79	1359.57	1304.15	1350.18	2417.67	1378.57	1208.34	1268.46	1369.04	1242.34	1199.98	1111.82	1159.07	1268.46	1427.22	1127.35	1143.1	1216.75	1111.82	1322.37	1183.45	1208.34	1167.14	1119.56	1259.69	1088.92	1073.91	1001.93	1259.69	1037.29	1277.29	1340.84	1529.73	1088.92	1437.15	1191.69	1096.5	1331.57	1378.57	1208.34	1023.0	1135.2
BMF	61.25	96.01	22.43	25.17	36.79	49.21	43.63	20.86	53.57	23.08	58.3	0.0	0.34	669.92	616.37	1111.82	1015.93	1674.06	194.36	1059.11	1044.52	320.8	1151.06	273.37	363.56	486.75	693.58	684.02	638.15	301.33	395.18	320.8	348.71	146.03	503.95	318.57	366.09	318.57	476.71	629.35	759.08	591.22	748.61	521.76	830.75	547.75	507.46	1417.35	603.67	842.36	406.31	327.56	642.59	291.04
C11orf49	217.27	175.07	166.73	87.03	106.63	88.26	187.71	147.06	161.02	123.5	169.07	0.0	0.49	1225.22	1250.98	1417.35	1561.89	1639.59	854.13	921.88	902.89	718.08	819.3	921.88	842.36	947.83	921.88	1088.92	1096.5	860.08	769.69	775.05	684.02	915.51	995.0	1250.98	915.51	854.13	915.51	775.05	848.22	941.27	902.89	854.13	941.27	915.51	896.64	1104.13	1143.1	934.76	796.86	753.83	825.0	902.89
