	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5524.01A.01R.1580.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.G9.7521.01A.11R.2263.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6342.11A.02R.1965.07
AC010536.1	13.52	2.12	2.89	0.0	0.15	8.99	5.11	3.23	4.9	8.58	3.69	6.16	2.78	5.19	7.75	7.22	9.56	7.88	5.73	3.79	3.38	9.13	7.11	5.63	5.19	13.93	5.19	2.34	7.06	8.0	2.76	8.99	6.67	9.85	8.58	5.32	18.29	10.16	6.73	9.63	4.28
AC062017.1	5.5	2.58	2.92	0.0	0.16	197.09	81.71	16.75	7.0	67.12	12.27	81.14	65.26	43.94	72.01	15.8	31.0	55.49	73.54	10.96	15.91	120.94	107.38	27.44	128.79	59.97	71.0	70.51	81.14	70.51	36.79	105.15	177.53	87.65	100.13	77.25	108.9	67.12	78.89	92.05	67.12
ACD	248.0	305.55	170.25	0.0	0.61	435.55	384.34	387.02	258.57	460.44	329.84	403.5	314.17	258.57	466.88	314.17	397.93	214.27	403.5	242.88	167.9	392.44	514.56	318.57	334.46	612.11	493.56	258.57	423.61	400.71	314.17	412.0	518.15	543.96	258.57	293.07	620.67	432.53	503.95	497.0	397.93
ACSF3	275.28	291.04	181.28	0.0	0.43	743.43	457.25	242.88	353.59	616.37	186.4	591.22	486.75	346.29	651.58	246.28	470.14	336.79	511.0	379.04	228.13	511.0	738.29	339.14	341.51	802.41	713.11	368.65	532.74	738.29	307.69	660.68	688.78	759.08	403.5	571.05	723.08	536.45	587.13	591.22	624.99
ADCK1	204.07	100.83	94.67	0.0	0.19	384.34	251.48	127.0	140.04	221.86	111.99	260.38	234.57	320.8	209.84	228.13	229.72	234.57	229.72	180.02	144.01	248.0	275.28	204.07	190.34	283.05	205.5	151.22	155.5	336.79	164.42	232.94	320.8	264.03	218.79	267.73	244.57	241.19	265.87	269.6	215.77
AGTRAP	595.34	514.56	915.51	2758.13	463.65	4181.07	4903.87	2537.92	2303.12	6652.97	2434.5	4937.99	2956.17	6840.04	7911.95	2720.15	3847.29	2287.2	3395.89	2816.11	4736.79	7081.29	8421.31	3081.75	3768.09	5147.73	4298.64	3146.52	6983.79	5831.91	2209.26	4450.27	6164.49	7032.37	4358.66	5913.33	4903.87	6037.61	8022.41	8840.04	6652.97
AIFM3	3.96	15.11	21.01	0.0	0.51	23.25	30.12	11.47	12.36	34.75	9.27	38.12	13.62	30.78	63.45	8.25	10.0	14.45	15.45	17.13	4.06	70.01	62.56	23.42	33.06	33.3	19.25	29.48	26.86	22.43	8.13	7.22	60.82	52.45	17.51	12.74	48.87	44.89	102.25	52.82	45.53
AMT	49.56	11.38	152.28	0.0	0.99	205.5	329.84	149.12	199.85	339.14	181.28	775.05	236.21	133.36	703.28	163.28	135.24	368.65	157.68	299.25	36.27	967.76	633.73	273.37	297.17	665.29	301.33	305.55	559.28	277.2	275.28	603.67	583.07	878.17	303.44	105.15	1313.23	780.44	988.12	624.99	412.0
ANKRD11	314.17	285.03	642.59	0.0	0.93	647.07	651.58	551.56	543.96	819.3	493.56	796.86	603.67	579.04	698.41	447.82	723.08	575.03	802.41	503.95	620.67	842.36	915.51	665.29	483.38	860.08	802.41	500.46	616.37	884.29	599.49	808.0	842.36	836.53	629.35	728.11	796.86	854.13	836.53	836.53	559.28
AP5S1	119.26	89.51	158.79	0.0	0.0	339.14	264.03	109.66	208.38	303.44	201.25	246.28	279.14	303.44	293.07	223.41	202.66	253.23	135.24	199.85	264.03	275.28	325.29	264.03	299.25	241.19	241.19	144.01	283.05	246.28	271.48	199.85	242.88	287.01	223.41	356.05	277.2	283.05	234.57	329.84	301.33
APRT	1225.22	2468.49	1477.58	0.0	0.61	9474.59	5255.91	1936.53	3103.19	7803.01	2271.4	4937.99	4639.29	3395.89	5913.33	1963.57	8840.04	2997.45	5403.7	4388.98	2796.65	4869.99	7433.4	4388.98	4358.66	10659.59	7803.01	4388.98	6561.36	10883.59	2434.5	7485.11	9540.5	6426.31	4769.75	6207.38	6607.01	4736.79	4038.61	6294.04	6607.01
BAIAP3	47.17	15.34	28.86	0.0	0.39	406.31	236.21	211.31	325.29	265.87	277.2	256.78	105.15	438.59	212.78	157.68	157.68	187.71	316.37	102.25	88.88	183.82	260.38	353.59	314.17	567.1	295.11	165.57	341.51	454.09	253.23	503.95	258.57	444.72	49.21	507.46	543.96	264.03	444.72	190.34	161.02
BANP	193.01	191.67	118.43	0.0	0.37	169.07	187.71	155.5	251.48	206.94	197.09	217.27	178.77	180.02	195.72	172.65	255.0	186.4	217.27	197.09	178.77	211.31	194.36	202.66	166.73	265.87	172.65	248.0	199.85	255.0	170.25	241.19	191.67	273.37	172.65	185.11	244.57	287.01	277.2	223.41	136.19
BOLA1	318.57	323.03	215.77	0.0	0.33	703.28	567.1	371.22	444.72	825.0	358.54	669.92	543.96	808.0	688.78	339.14	363.56	525.39	447.82	460.44	567.1	665.29	802.41	480.04	718.08	808.0	595.34	836.53	713.11	693.58	336.79	669.92	703.28	796.86	813.63	551.56	713.11	629.35	884.29	921.88	808.0
