	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.11NUK.1226.SM.5P9GM	GTEX.SJXC.1226.SM.4DM78	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.U8XE.1426.SM.3DB8Q	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.13VXT.1426.SM.5LU4B	GTEX.ZT9W.0726.SM.4YCDC	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.T8EM.0326.SM.3DB7F	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.145LS.1226.SM.5Q5D9	GTEX.QMRM.0826.SM.3NB33	GTEX.OHPM.0526.SM.2YUMJ
B3GALNT2	18.97	39.79	44.57	17.0	43.63	38.95	19.53	0.48	199.85	101.54	103.69	98.73	56.28	163.28	158.79	181.28	89.51	102.25	102.25	191.67	125.24	85.82	149.12	202.66	157.68
BOD1	363.56	368.65	412.0	392.44	397.93	435.55	486.75	0.91	1015.93	500.46	1023.0	802.41	518.15	500.46	878.17	543.96	417.77	559.28	785.88	1268.46	651.58	708.18	1286.18	1127.35	1304.15
C1orf109	92.05	105.89	129.69	124.37	120.94	85.22	98.73	0.29	291.04	237.86	236.21	248.0	237.86	113.56	327.56	269.6	209.84	170.25	325.29	490.14	211.31	183.82	295.11	426.57	543.96
CCDC47	1143.1	1286.18	1127.35	1111.82	1023.0	571.05	775.05	237.86	2976.74	1467.37	3419.52	1806.78	1508.65	1540.37	1991.0	1794.29	1870.53	1583.71	1467.37	2976.74	2895.31	1286.18	2875.3	1709.26	3280.18
CCT4	1233.75	1295.13	1583.71	1216.75	1088.92	791.35	1088.92	237.86	2133.97	1639.59	2758.13	2287.2	2193.99	1388.16	1508.65	1857.6	1322.37	1467.37	2004.85	2335.28	3589.58	1437.15	2255.7	1561.89	2816.11
CFLAR	460.44	854.13	679.29	642.59	384.34	728.11	551.56	103.69	3349.13	2148.82	5555.65	2609.3	1350.18	2502.97	2895.31	1963.57	2193.99	2193.99	2032.85	6079.61	2682.69	2075.59	4836.35	2485.67	4328.55
CMTM4	45.85	47.84	109.66	27.84	33.06	36.01	22.75	0.45	748.61	660.68	961.07	616.37	607.87	486.75	679.29	493.56	567.1	353.59	473.41	1191.69	902.89	540.19	1651.0	915.51	981.29
DCAF4	63.45	85.22	87.65	92.7	66.65	108.9	131.51	0.51	180.02	139.07	346.29	199.85	114.36	237.86	271.48	148.09	132.44	142.01	187.71	417.77	341.51	181.28	414.87	246.28	381.68
DCAF7	236.21	341.51	309.83	441.64	299.25	215.77	197.09	669.92	1088.92	1233.75	1015.93	1015.93	884.29	1015.93	1015.93	802.41	1066.48	808.0	743.43	1350.18	743.43	988.12	1242.34	1081.39	1135.2
DENND4A	187.71	110.43	138.1	157.68	107.38	165.57	182.55	0.17	329.84	177.53	291.04	260.38	267.73	267.73	180.02	190.34	241.19	182.55	198.47	406.31	228.13	198.47	647.07	262.2	253.23
EFTUD2	728.11	684.02	656.11	753.83	587.13	547.75	698.41	884.29	1857.6	1051.79	1923.14	1175.27	1088.92	1167.14	1250.98	1233.75	1259.69	1127.35	884.29	2133.97	1233.75	1015.93	1199.98	1199.98	1467.37
ELOVL7	12.64	8.19	9.13	1.68	0.85	39.79	2.1	0.2	236.21	50.98	769.69	170.25	159.9	68.07	241.19	108.14	113.56	50.63	81.14	255.0	309.83	64.8	395.18	163.28	267.73
FBXW11	206.94	236.21	258.57	178.77	189.02	141.02	153.34	0.6	1044.52	543.96	1104.13	529.06	316.37	503.95	1015.93	718.08	733.19	620.67	500.46	1529.73	764.36	507.46	1540.37	848.22	1111.82
FLOT1	2701.35	1685.71	1519.15	2133.97	1242.34	1551.09	1268.46	0.95	4095.0	2976.74	7180.15	2133.97	3103.19	3491.39	3103.19	3124.78	3395.89	3690.52	2645.74	5555.65	3303.0	2591.27	3847.29	5147.73	4972.34
GTPBP1	191.67	198.47	189.02	212.78	162.14	295.11	221.86	432.53	830.75	629.35	974.5	438.59	435.55	555.41	473.41	571.05	656.11	595.34	612.11	1030.12	486.75	420.68	928.3	571.05	703.28
HDAC4	21.32	22.75	49.21	27.44	22.1	24.99	17.77	0.52	98.04	46.18	125.24	80.01	90.77	67.59	111.99	87.03	99.43	70.51	152.28	162.14	74.58	72.52	158.79	95.34	147.06
HIAT1	217.27	273.37	318.57	258.57	198.47	195.72	267.73	0.49	1191.69	819.3	1583.71	961.07	728.11	796.86	1143.1	780.44	1051.79	764.36	921.88	1870.53	1733.13	878.17	3190.46	1088.92	1208.34
