	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.Y8.A8S1.01A.11R.A37K.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.QV31.0726.SM.3GAEG	GTEX.OIZI.0726.SM.2XCEI	GTEX.11I78.0526.SM.5986A	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.PWCY.2326.SM.2I3EQ	GTEX.YF7O.0726.SM.4W213	GTEX.12WSJ.0326.SM.5GCMT	GTEX.117YX.1226.SM.5H11S	GTEX.T8EM.0226.SM.3DB7C
ABCB10	53.95	37.32	204.07	211.31	217.27	170.25	182.55	144.01	120.94	161.02	221.86	128.79	187.71	223.41
AC024257.1	0.0	0.0	4.54	5.5	6.67	1.04	0.57	0.0	1.91	2.71	4.31	2.89	3.72	1.95
AC114546.1	406.31	191.67	612.11	1216.75	884.29	476.71	381.68	483.38	603.67	429.54	1023.0	808.0	703.28	860.08
ACBD3	297.17	267.73	854.13	1066.48	934.76	616.37	629.35	647.07	878.17	633.73	872.1	738.29	733.19	796.86
ADAM20	0.38	0.0	3.53	3.63	8.06	0.33	1.45	0.49	1.66	2.32	2.14	3.56	1.48	2.25
AKAP7	50.98	147.06	239.52	234.57	417.77	85.22	186.4	113.56	146.03	108.14	256.78	205.5	167.9	244.57
ALG2	358.54	785.88	848.22	1286.18	1023.0	836.53	723.08	624.99	941.27	660.68	1037.29	808.0	896.64	909.17
ALKBH1	107.38	148.09	281.09	255.0	320.8	182.55	229.72	145.02	253.23	217.27	269.6	175.07	301.33	208.38
ANKMY2	182.55	147.06	470.14	490.14	543.96	392.44	320.8	316.37	387.02	336.79	379.04	384.34	381.68	409.15
ANKRD36	43.63	5.36	139.07	108.9	223.41	51.71	70.01	42.41	60.82	77.79	58.3	105.15	94.01	117.6
AP3M2	143.01	158.79	269.6	303.44	305.55	220.32	183.82	164.42	226.54	204.07	246.28	258.57	204.07	229.72
AP5M1	121.79	191.67	624.99	591.22	693.58	454.09	420.68	423.61	460.44	518.15	454.09	454.09	536.45	559.28
ARFGEF1	392.44	171.45	902.89	796.86	1059.11	607.87	540.19	529.06	473.41	629.35	759.08	651.58	764.36	796.86
ARHGAP12	115.97	82.87	563.18	493.56	633.73	366.09	346.29	358.54	329.84	384.34	409.15	429.54	476.71	470.14
ARL2BP	713.11	1044.52	981.29	1051.79	1037.29	934.76	842.36	759.08	819.3	842.36	1008.9	718.08	1030.12	1119.56
ARL6IP1	1340.84	2032.85	3491.39	3716.2	4358.66	2287.2	2133.97	2255.7	2468.49	2351.53	3124.78	2119.22	2915.45	2537.92
ARL8B	665.29	785.88	1417.35	1561.89	2193.99	1159.07	1233.75	1216.75	1268.46	1199.98	1427.22	1175.27	1477.58	1769.57
ARMC10	450.94	460.44	769.69	780.44	813.63	579.04	536.45	603.67	555.41	599.49	669.92	642.59	703.28	733.19
ASF1A	101.54	42.11	473.41	612.11	665.29	361.04	341.51	363.56	466.88	353.59	460.44	346.29	507.46	493.56
ATAD2B	44.25	12.64	134.3	138.1	191.67	87.65	111.21	81.14	126.12	85.22	121.79	122.64	140.04	128.79
BBS10	34.26	28.45	202.66	220.32	293.07	124.37	148.09	110.43	175.07	123.5	190.34	153.34	171.45	169.07
BRMS1L	65.72	33.06	264.03	289.02	231.32	195.72	164.42	167.9	165.57	161.02	185.11	167.9	187.71	195.72
C17orf80	105.89	46.84	426.57	435.55	540.19	264.03	397.93	271.48	373.81	314.17	392.44	303.44	490.14	361.04
C18orf8	466.88	507.46	551.56	785.88	684.02	543.96	486.75	432.53	403.5	444.72	536.45	447.82	629.35	674.59
C2orf43	100.13	169.07	262.2	264.03	356.05	178.77	156.59	158.79	182.55	197.09	136.19	242.88	206.94	215.77
C2orf76	325.29	258.57	397.93	669.92	638.15	329.84	297.17	307.69	397.93	371.22	559.28	454.09	493.56	507.46
C5orf22	127.0	155.5	253.23	293.07	297.17	183.82	242.88	223.41	199.85	231.32	267.73	177.53	289.02	242.88
C5orf24	115.16	134.3	830.75	743.43	693.58	633.73	579.04	525.39	669.92	579.04	698.41	511.0	775.05	802.41
C6orf120	114.36	147.06	275.28	246.28	299.25	190.34	206.94	182.55	214.27	221.86	283.05	182.55	283.05	236.21
CCDC122	12.0	9.27	201.25	159.9	239.52	59.97	105.15	120.1	65.26	128.79	128.79	142.01	155.5	133.36
CCDC90B	400.71	161.02	1059.11	1183.45	1437.15	808.0	836.53	819.3	780.44	748.61	1001.93	808.0	1023.0	1044.52
CDC23	244.57	307.69	529.06	540.19	669.92	303.44	414.87	291.04	363.56	414.87	409.15	334.46	432.53	476.71
CENPQ	39.5	6.94	127.0	121.79	153.34	61.68	74.06	69.03	72.52	63.89	99.43	85.22	89.51	87.65
CEP44	45.53	10.71	289.02	218.79	353.59	112.77	130.6	124.37	140.04	187.71	151.22	187.71	163.28	202.66
CHCHD7	547.75	529.06	909.17	941.27	1096.5	688.78	684.02	718.08	884.29	748.61	872.1	981.29	947.83	802.41
CMAS	612.11	387.02	796.86	674.59	878.17	642.59	575.03	665.29	559.28	595.34	674.59	642.59	723.08	713.11
COMMD10	143.01	301.33	642.59	723.08	934.76	470.14	466.88	447.82	595.34	536.45	591.22	616.37	684.02	713.11
CRB1	0.96	0.73	7.75	14.14	14.67	8.25	4.39	3.92	1.46	2.61	1.97	3.06	10.63	9.78
DCAF17	48.52	40.36	514.56	339.14	603.67	228.13	244.57	190.34	267.73	248.0	269.6	265.87	334.46	309.83
DCP1B	358.54	185.11	400.71	414.87	470.14	241.19	316.37	248.0	248.0	289.02	316.37	281.09	327.56	361.04
DEGS1	6164.49	1467.37	1674.06	1617.0	1540.37	1617.0	1583.71	1135.2	1407.55	1242.34	1757.34	1096.5	1662.49	1733.13
DENR	547.75	269.6	753.83	813.63	1066.48	532.74	595.34	579.04	624.99	633.73	759.08	607.87	738.29	633.73
DPH6	199.85	154.42	432.53	429.54	400.71	291.04	265.87	325.29	376.41	223.41	336.79	316.37	329.84	363.56
DUS4L	87.65	48.52	220.32	249.73	376.41	101.54	108.14	158.79	92.05	139.07	165.57	151.22	205.5	209.84
DUSP19	13.42	5.02	68.07	83.45	84.63	24.63	32.82	22.92	34.26	23.76	38.12	43.94	36.01	35.25
ELMOD2	105.89	125.24	414.87	373.81	500.46	255.0	269.6	251.48	332.14	256.78	348.71	325.29	269.6	318.57
ERGIC2	463.65	224.97	1378.57	1950.0	1936.53	909.17	825.0	961.07	941.27	836.53	1242.34	1250.98	1127.35	1233.75
ERO1L	131.51	182.55	371.22	373.81	323.03	316.37	269.6	226.54	273.37	289.02	297.17	303.44	314.17	307.69
ESCO1	66.65	17.77	201.25	228.13	323.03	189.02	208.38	137.14	231.32	169.07	194.36	139.07	241.19	226.54
EXTL2	71.0	32.13	334.46	373.81	293.07	239.52	187.71	198.47	265.87	217.27	299.25	279.14	265.87	339.14
FAIM	205.5	180.02	703.28	802.41	854.13	514.56	454.09	547.75	493.56	559.28	698.41	607.87	884.29	511.0
FAM120A	688.78	718.08	1519.15	1745.2	1498.22	1259.69	1191.69	1277.29	1359.57	1350.18	1340.84	1378.57	1304.15	1561.89
FAM179B	57.89	19.68	384.34	384.34	607.87	182.55	248.0	187.71	224.97	262.2	303.44	273.37	346.29	249.73
FAM200A	50.27	23.93	167.9	162.14	249.73	108.14	157.68	92.7	170.25	138.1	172.65	105.89	202.66	162.14
FAM81B	6.21	44.89	46.18	83.45	78.34	41.52	40.93	17.38	39.5	40.07	32.36	6.78	62.12	53.19
FBXL4	46.18	108.14	251.48	239.52	275.28	177.53	173.85	120.1	156.59	186.4	212.78	162.14	239.52	191.67
FCF1	307.69	285.03	1286.18	1685.71	2061.24	723.08	1023.0	791.35	1331.57	954.43	1044.52	802.41	1059.11	866.07
FNBP1L	167.9	123.5	884.29	842.36	1277.29	624.99	507.46	503.95	571.05	532.74	708.18	642.59	860.08	620.67
FOPNL	275.28	343.89	890.44	759.08	1143.1	518.15	607.87	450.94	587.13	493.56	743.43	507.46	974.5	909.17
GCA	239.52	406.31	698.41	728.11	603.67	423.61	532.74	379.04	426.57	466.88	500.46	432.53	497.0	463.65
GDAP1	38.4	46.18	236.21	299.25	514.56	173.85	199.85	150.17	201.25	199.85	197.09	256.78	273.37	202.66
GGPS1	460.44	305.55	743.43	825.0	995.0	647.07	638.15	599.49	669.92	688.78	738.29	612.11	836.53	796.86
GLO1	947.83	1001.93	1709.26	1639.59	2075.59	1096.5	1304.15	947.83	1127.35	1119.56	1417.35	1304.15	1437.15	1540.37
GOLPH3L	258.57	314.17	780.44	813.63	836.53	551.56	620.67	532.74	713.11	612.11	679.29	595.34	698.41	571.05
GOPC	96.01	96.68	603.67	703.28	796.86	435.55	397.93	397.93	514.56	400.71	532.74	444.72	503.95	476.71
GPALPP1	100.13	72.52	432.53	426.57	642.59	253.23	353.59	211.31	269.6	346.29	334.46	314.17	400.71	412.0
HERC4	120.1	95.34	476.71	466.88	507.46	379.04	301.33	237.86	289.02	343.89	309.83	316.37	346.29	371.22
IPO11	202.66	107.38	366.09	441.64	490.14	307.69	343.89	204.07	301.33	260.38	332.14	314.17	312.0	273.37
ISCA1	348.71	547.75	1519.15	1159.07	1745.2	860.08	842.36	1104.13	1104.13	808.0	1242.34	775.05	1295.13	1417.35
JKAMP	403.5	780.44	1030.12	1369.04	1242.34	941.27	854.13	884.29	1030.12	796.86	1008.9	928.3	988.12	981.29
KBTBD3	143.01	52.82	177.53	182.55	187.71	109.66	120.1	85.22	155.5	90.14	146.03	165.57	150.17	92.05
KIAA0825	4.58	1.83	53.19	50.98	86.43	23.76	21.01	15.68	33.54	23.08	30.78	28.04	41.22	34.51
KIAA1731	55.89	4.54	239.52	221.86	376.41	157.68	172.65	156.59	156.59	189.02	178.77	145.02	231.32	260.38
