	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.EW.A1J5.01A.11R.A13Q.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FN.01A.11R.A13Q.07	TCGA.E9.A1R7.01A.11R.A14M.07	TCGA.D8.A1XM.01A.21R.A14M.07	TCGA.E9.A229.01A.31R.A157.07	TCGA.D8.A1JB.01A.11R.A13Q.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.E2.A10F.01A.11R.A10J.07	TCGA.BH.A1EW.11B.33R.A137.07	GTEX.P4QT.0626.SM.3NMCP	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.CG.5734.01A.11R.1602.13	TCGA.FP.A8CX.01A.11R.A36D.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5734.11A.01R.1602.13	TCGA.BR.6454.11A.01R.1802.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13
ABCB10	343.89	633.73	432.53	373.81	435.55	208.38	320.8	450.94	320.8	348.71	285.03	155.5	0.0	0.48	189.02	98.04	141.02	125.24	180.02	149.12	145.02	159.9	118.43	107.38	96.01	106.63	248.0	102.25
ABHD13	231.32	148.09	187.71	180.02	202.66	170.25	159.9	223.41	150.17	154.42	289.02	120.94	0.0	0.38	149.12	115.16	124.37	103.69	141.02	97.36	104.42	157.68	109.66	113.56	100.83	108.9	198.47	100.83
ACBD3	1359.57	1447.15	1617.0	1378.57	3716.2	1233.75	1378.57	1529.73	1331.57	1096.5	1208.34	723.08	819.3	316.37	802.41	660.68	764.36	830.75	830.75	525.39	785.88	1037.29	486.75	698.41	629.35	684.02	563.18	688.78
ADK	728.11	620.67	638.15	4268.94	961.07	1088.92	878.17	974.5	921.88	854.13	860.08	1340.84	0.0	0.39	1119.56	303.44	346.29	417.77	371.22	251.48	249.73	387.02	239.52	265.87	289.02	438.59	624.99	361.04
AHCTF1	738.29	1066.48	656.11	1259.69	2148.82	703.28	866.07	583.07	921.88	743.43	890.44	373.81	0.0	0.61	242.88	368.65	371.22	329.84	348.71	307.69	373.81	358.54	264.03	336.79	339.14	299.25	120.94	289.02
AIDA	1794.29	1819.35	1950.0	2664.15	2090.03	1551.09	1870.53	1529.73	2224.63	1857.6	1350.18	571.05	0.0	0.48	890.44	518.15	536.45	579.04	633.73	305.55	466.88	651.58	373.81	638.15	480.04	417.77	703.28	518.15
ANXA7	3443.31	2609.3	2502.97	7749.1	4937.99	4419.52	3665.02	4869.99	3614.55	3372.43	3639.7	1819.35	3742.05	202.66	2935.74	1304.15	1015.93	2032.85	2255.7	1447.15	2018.8	1378.57	928.3	1844.76	1639.59	1870.53	2335.28	1674.06
AP3M1	934.76	842.36	796.86	2609.3	2075.59	860.08	921.88	1081.39	1001.93	791.35	928.3	435.55	0.0	0.41	555.41	432.53	389.72	612.11	616.37	450.94	567.1	743.43	353.59	511.0	483.38	559.28	429.54	514.56
ARL3	301.33	420.68	532.74	1286.18	293.07	555.41	490.14	244.57	323.03	444.72	470.14	108.9	167.9	103.69	190.34	85.82	99.43	125.24	229.72	133.36	202.66	152.28	122.64	175.07	201.25	186.4	392.44	182.55
AS3MT	215.77	297.17	353.59	872.1	603.67	277.2	94.01	71.0	185.11	150.17	289.02	22.75	89.51	146.03	49.21	0.0	15.68	23.25	54.33	14.45	94.01	29.48	27.25	50.98	21.63	26.67	73.03	60.39
