	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.ZZPU.0526.SM.5E44U	GTEX.QV44.0926.SM.2S1RH	GTEX.P4QR.1026.SM.2I5GP	GTEX.O5YV.0526.SM.2I5GE	GTEX.R55G.0826.SM.2TC5U	GTEX.ZAB5.0626.SM.5PNVB	GTEX.PWOO.0726.SM.2I3EB	GTEX.11P81.0226.SM.5HL5M	GTEX.XBED.0826.SM.47JYC	GTEX.SUCS.0626.SM.32PM5	GTEX.PLZ5.0726.SM.2I5F9	TCGA.77.8007.11A.01R.2187.07
ANKIB1	599.49	638.15	409.15	309.83	223.41	81.14	84.63	80.57	63.45	57.08	87.03	73.54	57.89	76.71	74.58	105.15	146.03	131.51	92.05	60.39	134.3	273.37	363.56	201.25	264.03	403.5	295.11	403.5	291.04	341.51	176.29	256.78	208.38	226.54	400.71	283.05
ANKRD50	1508.65	447.82	45.21	96.68	26.1	32.36	15.91	37.05	28.24	28.86	33.3	12.36	22.59	26.47	25.72	44.25	39.22	18.7	35.76	57.89	83.45	223.41	228.13	129.69	176.29	221.86	186.4	271.48	376.41	587.13	53.95	406.31	224.97	143.01	395.18	162.14
AP4E1	143.01	151.22	54.33	66.65	45.53	43.94	37.59	36.53	33.54	32.13	44.25	28.24	15.56	47.5	41.52	44.89	77.79	25.91	23.25	36.27	37.59	74.06	71.0	70.51	105.15	111.99	114.36	107.38	85.82	139.07	45.21	108.9	119.26	85.22	182.55	72.01
ATP7A	307.69	217.27	62.12	72.01	58.3	27.05	17.51	28.45	15.45	12.55	25.35	15.56	13.62	18.56	13.12	17.38	13.22	12.18	17.77	10.31	15.11	115.16	231.32	84.63	87.03	96.01	103.69	126.12	140.04	144.01	43.63	131.51	139.07	89.51	214.27	77.79
BCORL1	381.68	209.84	93.35	89.51	85.82	57.89	10.79	42.71	27.44	23.08	38.4	27.84	34.51	21.78	13.93	115.97	30.34	27.05	30.56	66.65	84.04	107.38	115.97	34.26	97.36	141.02	116.78	166.73	76.17	171.45	125.24	130.6	33.3	78.89	125.24	59.55
BRD7	2047.0	2209.26	1088.92	1111.82	633.73	896.64	511.0	808.0	764.36	555.41	400.71	819.3	309.83	395.18	409.15	387.02	791.35	651.58	733.19	551.56	1059.11	947.83	1268.46	878.17	1225.22	909.17	1151.06	1081.39	1104.13	1331.57	684.02	1242.34	1127.35	1151.06	1819.35	941.27
BTBD7	579.04	356.05	208.38	215.77	60.39	76.17	55.1	62.12	74.06	51.35	120.94	59.97	46.18	78.34	55.49	88.26	102.97	32.36	64.34	66.18	102.25	214.27	291.04	201.25	273.37	198.47	329.84	309.83	197.09	271.48	120.94	264.03	265.87	162.14	363.56	166.73
C22orf29	356.05	229.72	68.55	137.14	172.65	163.28	147.06	152.28	208.38	135.24	273.37	125.24	43.63	74.06	22.92	69.52	75.64	66.65	65.26	81.71	87.65	301.33	190.34	152.28	267.73	368.65	137.14	256.78	387.02	217.27	159.9	312.0	205.5	466.88	373.81	163.28
C5orf51	409.15	397.93	220.32	181.28	169.07	128.79	84.04	191.67	139.07	100.13	105.89	111.99	63.0	127.0	50.27	125.24	129.69	77.25	96.68	125.24	154.42	212.78	299.25	234.57	303.44	251.48	325.29	260.38	242.88	395.18	104.42	339.14	237.86	241.19	406.31	170.25
CAND1	2682.69	2224.63	612.11	603.67	688.78	334.46	480.04	346.29	293.07	279.14	376.41	269.6	265.87	348.71	251.48	301.33	426.57	373.81	242.88	426.57	728.11	733.19	713.11	693.58	791.35	1175.27	1233.75	1832.01	1331.57	1225.22	688.78	1242.34	866.07	406.31	1487.87	785.88
