	TCGA.A7.A26E.01A.11R.A169.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.BH.A1EW.11B.33R.A137.07	GTEX.ZZPU.0626.SM.5E43T	GTEX.W5X1.2326.SM.3GIL6	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.DD.A1EA.01A.11R.A131.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.DD.A4NE.01A.11R.A27V.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.BD.A3ER.01A.11R.A213.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.A4NO.01A.11R.A28V.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.DD.A1EE.01A.11R.A131.07	TCGA.ZS.A9CG.01A.11R.A37K.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.EP.A3RK.01A.11R.A22L.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.KR.A7K0.01A.12R.A33R.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.HP.A5N0.01A.11R.A28V.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AADY.01A.11R.A41C.07	TCGA.DD.A4NV.01A.11R.A311.07	TCGA.ZS.A9CF.01A.11R.A38B.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.CC.A7IH.01A.11R.A33J.07	TCGA.ZP.A9D1.01A.11R.A38B.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.MI.A75H.01A.11R.A32O.07	TCGA.ZP.A9D4.01A.11R.A37K.07	TCGA.FV.A3I1.01A.11R.A22L.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.UB.A7MC.01A.11R.A33R.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.BC.A8YO.01A.11R.A37K.07	TCGA.DD.A4NJ.01A.11R.A27V.07	TCGA.MI.A75E.01A.11R.A32O.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.YFC4.1526.SM.5IFJS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.X4EO.1126.SM.4QARQ	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.78.7156.01A.11R.2039.07	TCGA.78.7162.01A.21R.2066.07	TCGA.73.7498.01A.12R.2187.07	TCGA.44.7671.01A.11R.2066.07	TCGA.78.7633.01A.11R.2066.07	GTEX.ZXG5.0826.SM.5GID6	GTEX.12WSE.0826.SM.5S2VL	GTEX.111FC.1126.SM.5GZWU	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.145MF.0726.SM.5Q5BT	GTEX.OXRK.0926.SM.2HMKP	GTEX.12BJ1.1226.SM.5LUAE	GTEX.OHPM.2626.SM.33HC5
AFF1	1081.39	507.46	902.89	1167.14	656.11	161.02	273.37	281.09	142.01	624.99	131.51	118.43	53.19	161.02	52.82	107.38	122.64	89.51	132.44	145.02	133.36	189.02	123.5	96.01	95.34	122.64	185.11	108.9	237.86	96.68	64.8	112.77	172.65	251.48	88.88	104.42	197.09	271.48	473.41	80.01	122.64	170.25	58.71	97.36	223.41	88.26	218.79	87.65	81.71	269.6	130.6	97.36	133.36	128.79	119.26	190.34	180.02	146.03	81.71	159.9	176.29	186.4	368.65	713.11	353.59	157.68	327.56	177.53	473.41	186.4	285.03	150.17	218.79	406.31	329.84	218.79	283.05	327.56	332.14	314.17	323.03	332.14	275.28	620.67	518.15	503.95	808.0	373.81	507.46	693.58	1135.2	1477.58
APC	323.03	262.2	339.14	532.74	679.29	108.9	242.88	125.24	66.65	129.69	54.72	63.89	38.12	69.52	28.86	42.11	81.71	39.5	59.97	77.79	56.28	148.09	45.53	30.78	42.11	43.94	78.34	47.84	110.43	58.71	49.56	60.82	105.89	127.0	63.89	73.03	141.02	95.34	90.77	32.82	43.63	113.56	43.63	59.55	58.71	75.64	118.43	29.06	10.16	138.1	44.57	93.35	86.43	38.4	34.26	171.45	92.05	29.48	39.22	61.25	90.14	116.78	99.43	100.13	95.34	35.76	74.06	53.19	82.87	33.06	26.67	33.54	68.55	77.25	75.11	76.17	83.45	187.71	158.79	143.01	112.77	147.06	158.79	236.21	256.78	169.07	423.61	291.04	118.43	412.0	269.6	236.21
API5	1286.18	2104.58	1991.0	1832.01	3124.78	603.67	1143.1	981.29	607.87	1508.65	713.11	638.15	571.05	656.11	486.75	743.43	928.3	723.08	366.09	603.67	432.53	884.29	599.49	486.75	507.46	551.56	723.08	638.15	607.87	480.04	587.13	547.75	819.3	684.02	866.07	669.92	995.0	947.83	1023.0	423.61	463.65	1066.48	503.95	412.0	669.92	733.19	791.35	454.09	547.75	703.28	616.37	866.07	543.96	457.25	500.46	813.63	769.69	483.38	438.59	674.59	579.04	825.0	551.56	1044.52	1037.29	607.87	532.74	660.68	1529.73	529.06	616.37	638.15	785.88	466.88	836.53	480.04	642.59	928.3	1242.34	1066.48	872.1	1066.48	1001.93	1066.48	1030.12	1030.12	1397.83	1175.27	1001.93	1259.69	2004.85	1883.54
ARHGAP5	1295.13	1487.87	1594.73	1151.06	2090.03	281.09	429.54	327.56	260.38	543.96	303.44	242.88	157.68	318.57	173.85	166.73	223.41	242.88	229.72	214.27	303.44	624.99	295.11	151.22	144.01	249.73	358.54	141.02	332.14	143.01	314.17	267.73	320.8	209.84	312.0	253.23	116.78	387.02	417.77	180.02	260.38	563.18	104.42	155.5	297.17	275.28	414.87	187.71	234.57	239.52	178.77	536.45	384.34	249.73	237.86	500.46	327.56	191.67	127.89	297.17	285.03	536.45	543.96	679.29	387.02	176.29	237.86	260.38	624.99	194.36	334.46	273.37	193.01	212.78	329.84	255.0	381.68	470.14	674.59	507.46	466.88	450.94	642.59	1066.48	660.68	703.28	1340.84	769.69	642.59	748.61	1572.76	1757.34
ASB8	723.08	825.0	813.63	825.0	1030.12	406.31	417.77	738.29	450.94	595.34	438.59	432.53	403.5	417.77	323.03	279.14	273.37	500.46	142.01	540.19	397.93	500.46	376.41	341.51	303.44	343.89	473.41	403.5	525.39	395.18	301.33	339.14	490.14	371.22	384.34	521.76	612.11	412.0	348.71	277.2	414.87	441.64	323.03	220.32	291.04	460.44	343.89	318.57	420.68	332.14	351.14	406.31	435.55	334.46	376.41	514.56	454.09	417.77	277.2	323.03	363.56	543.96	669.92	470.14	540.19	373.81	265.87	325.29	629.35	295.11	400.71	293.07	332.14	341.51	543.96	318.57	423.61	563.18	470.14	450.94	412.0	348.71	412.0	476.71	435.55	457.25	603.67	543.96	483.38	483.38	830.75	629.35
ATF7IP	896.64	486.75	836.53	693.58	728.11	116.78	361.04	249.73	109.66	334.46	152.28	138.1	105.15	99.43	31.45	100.13	111.21	180.02	57.49	89.51	89.51	226.54	140.04	85.22	128.79	86.43	211.31	132.44	214.27	100.13	117.6	151.22	133.36	135.24	120.94	84.63	334.46	166.73	358.54	52.82	63.0	94.01	81.71	87.03	122.64	85.22	147.06	79.45	76.71	163.28	64.34	217.27	224.97	118.43	137.14	256.78	208.38	102.97	57.89	100.83	152.28	246.28	297.17	376.41	190.34	131.51	232.94	90.14	241.19	34.26	117.6	74.58	124.37	78.34	249.73	189.02	193.01	157.68	384.34	267.73	312.0	265.87	346.29	460.44	633.73	503.95	493.56	490.14	273.37	473.41	579.04	633.73
BAZ2B	665.29	591.22	915.51	1044.52	647.07	69.03	152.28	165.57	102.97	211.31	177.53	115.16	103.69	136.19	121.79	80.57	115.16	95.34	34.02	129.69	43.02	151.22	137.14	32.13	40.36	63.45	167.9	46.5	146.03	149.12	108.9	142.01	92.05	153.34	67.12	111.21	289.02	190.34	177.53	27.64	94.67	170.25	74.58	52.45	111.99	116.78	177.53	42.41	135.24	164.42	68.55	111.21	78.89	69.52	59.55	165.57	166.73	74.06	57.89	142.01	58.71	130.6	140.04	273.37	156.59	85.82	127.0	135.24	307.69	164.42	117.6	49.91	75.64	131.51	189.02	80.57	325.29	176.29	441.64	312.0	395.18	264.03	412.0	559.28	651.58	599.49	854.13	723.08	343.89	1001.93	830.75	785.88
C5orf15	2555.58	2075.59	1844.76	1950.0	2255.7	651.58	2417.67	733.19	830.75	1183.45	1119.56	921.88	708.18	753.83	607.87	769.69	934.76	1037.29	988.12	1104.13	808.0	1286.18	540.19	497.0	674.59	633.73	878.17	947.83	1709.26	679.29	1216.75	728.11	607.87	909.17	463.65	748.61	1030.12	796.86	1467.37	376.41	438.59	1794.29	703.28	540.19	521.76	642.59	941.27	738.29	429.54	1191.69	836.53	974.5	738.29	423.61	988.12	571.05	796.86	551.56	466.88	1066.48	915.51	995.0	543.96	1467.37	1225.22	400.71	1044.52	802.41	1159.07	808.0	928.3	1199.98	490.14	638.15	974.5	2018.8	860.08	928.3	1191.69	1233.75	954.43	1127.35	2090.03	1794.29	1639.59	1685.71	1963.57	1662.49	2664.15	854.13	1628.26	1757.34
CAMK2D	343.89	651.58	961.07	551.56	3372.43	194.36	248.0	743.43	186.4	607.87	209.84	183.82	96.01	206.94	67.12	130.6	204.07	186.4	182.55	132.44	195.72	295.11	239.52	157.68	164.42	226.54	206.94	117.6	285.03	169.07	195.72	242.88	122.64	166.73	177.53	153.34	470.14	124.37	466.88	115.16	183.82	312.0	101.54	87.65	221.86	262.2	339.14	102.25	193.01	314.17	234.57	173.85	417.77	173.85	178.77	221.86	215.77	162.14	147.06	204.07	84.63	205.5	466.88	808.0	353.59	141.02	271.48	283.05	743.43	358.54	221.86	320.8	336.79	256.78	473.41	248.0	529.06	753.83	1191.69	555.41	473.41	587.13	607.87	674.59	327.56	503.95	575.03	555.41	612.11	567.1	921.88	819.3
CAPS2	94.67	194.36	191.67	193.01	246.28	8.25	70.01	2.66	10.88	44.57	43.63	35.0	14.67	14.89	18.16	7.34	16.88	38.95	18.03	21.01	20.86	53.19	32.59	19.25	13.03	8.92	34.51	15.0	34.02	6.62	15.8	12.27	36.53	29.48	20.11	20.56	16.63	40.36	73.54	14.45	15.68	47.17	20.41	16.27	30.78	45.53	30.12	8.58	11.13	42.71	31.67	61.25	10.88	22.26	19.68	55.49	30.34	11.91	24.99	30.12	41.52	76.17	30.34	66.18	52.45	26.1	36.01	16.75	33.54	17.13	56.68	9.48	47.84	7.28	12.27	32.82	12.93	53.57	121.79	51.71	46.18	57.49	62.56	138.1	208.38	220.32	220.32	202.66	381.68	111.99	161.02	229.72
