	GTEX.13OVI.1126.SM.5KLZF	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QESD.2026.SM.447BI	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.1399T.0826.SM.5IFES	TCGA.EL.A3GR.01A.21R.A206.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.ET.A3DR.01A.11R.A19O.07	TCGA.IM.A3ED.01A.11R.A206.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.ET.A3DP.01A.11R.A21D.07	TCGA.DJ.A3UU.01A.11R.A22L.07
ADAR	2997.45	583.07	825.0	1388.16	819.3	830.75	1819.35	612.11	785.88	1806.78	1059.11	1757.34	638.15	1088.92	1977.24	1427.22	1896.65	1870.53	1378.57	1733.13	1628.26	2178.83	2434.5	1628.26	1359.57	2004.85	1769.57
AGO2	98.04	80.57	111.99	19.11	45.21	25.17	77.79	113.56	48.18	38.4	41.22	31.22	204.07	36.27	262.2	115.97	158.79	96.01	84.63	212.78	120.1	152.28	177.53	141.02	85.22	214.27	116.78
AMOT	547.75	2.16	28.24	33.54	72.01	18.29	87.65	36.79	27.84	116.78	109.66	28.04	23.25	38.12	511.0	223.41	346.29	232.94	115.16	291.04	147.06	403.5	423.61	221.86	155.5	444.72	303.44
ANKRD17	884.29	236.21	283.05	325.29	307.69	241.19	441.64	486.75	265.87	460.44	346.29	150.17	303.44	441.64	543.96	457.25	525.39	521.76	392.44	536.45	503.95	486.75	769.69	473.41	397.93	555.41	470.14
ANKRD28	842.36	228.13	142.01	237.86	289.02	183.82	403.5	209.84	229.72	253.23	307.69	115.97	215.77	346.29	842.36	361.04	507.46	571.05	366.09	540.19	559.28	802.41	647.07	460.44	341.51	651.58	438.59
ANKS1A	438.59	159.9	157.68	80.57	123.5	72.01	108.14	90.14	148.09	133.36	162.14	82.87	140.04	117.6	291.04	209.84	279.14	269.6	217.27	318.57	483.38	314.17	297.17	256.78	202.66	305.55	301.33
AP1G1	1508.65	346.29	447.82	417.77	275.28	228.13	412.0	412.0	327.56	612.11	435.55	209.84	400.71	466.88	819.3	656.11	708.18	665.29	579.04	743.43	607.87	860.08	928.3	599.49	551.56	693.58	679.29
AP2B1	2417.67	624.99	536.45	463.65	403.5	511.0	796.86	264.03	392.44	769.69	651.58	395.18	334.46	429.54	2018.8	1467.37	1745.2	1662.49	1388.16	1896.65	1733.13	2075.59	2367.9	1794.29	1407.55	1977.24	1639.59
AP5B1	289.02	27.44	30.34	60.39	56.28	51.35	66.65	37.32	19.97	50.27	63.89	29.27	38.12	46.5	158.79	117.6	178.77	123.5	120.94	150.17	151.22	139.07	165.57	111.99	94.67	172.65	120.94
APBB2	1923.14	123.5	164.42	190.34	169.07	176.29	205.5	220.32	289.02	204.07	264.03	190.34	287.01	251.48	1051.79	466.88	555.41	759.08	412.0	633.73	878.17	775.05	708.18	395.18	507.46	656.11	587.13
ARHGAP42	417.77	81.71	171.45	33.06	59.97	70.51	170.25	92.05	258.57	73.54	194.36	89.51	126.12	90.14	312.0	135.24	198.47	262.2	147.06	197.09	116.78	277.2	287.01	197.09	102.25	387.02	156.59
ARHGEF9	441.64	87.65	127.0	109.66	86.43	108.14	45.85	87.65	106.63	84.04	103.69	105.15	86.43	139.07	206.94	146.03	128.79	166.73	152.28	162.14	143.01	176.29	214.27	158.79	151.22	232.94	176.29
ATP6V0A2	273.37	78.34	74.06	73.54	70.51	55.1	77.25	82.29	98.04	88.26	94.01	42.71	63.45	86.43	228.13	256.78	251.48	194.36	167.9	343.89	220.32	256.78	215.77	231.32	143.01	264.03	208.38
ATRX	902.89	123.5	234.57	44.25	98.04	116.78	229.72	131.51	157.68	169.07	149.12	155.5	176.29	226.54	490.14	297.17	303.44	387.02	218.79	351.14	348.71	409.15	426.57	348.71	231.32	343.89	295.11
