	TCGA.FD.A62P.01A.32R.A30C.07	TCGA.UY.A9PB.01A.11R.A38B.07	TCGA.BH.A1EU.01A.11R.A137.07	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.BH.A18F.01A.11R.A12D.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.ZG.A9MC.01A.31R.A41O.07
ABCA6	26.28	19.82	314.17	253.23	208.38	152.28	346.29	236.21	264.03	0.99	3.06	3.69	0.0	0.27	49.21
ABCC6	12.45	10.31	66.18	43.02	162.14	139.07	256.78	77.79	267.73	1.28	3.82	10.71	0.0	0.26	24.81
ADAMTS19	0.0	0.0	82.87	11.55	23.59	22.26	37.32	31.0	291.04	0.0	0.0	0.0	0.0	0.01	0.34
AGPAT5	94.01	105.15	708.18	217.27	397.93	239.52	518.15	193.01	229.72	90.14	155.5	158.79	0.0	0.37	226.54
AGR3	0.0	0.0	7180.15	4543.8	13399.51	5633.22	21468.49	292889.12	1727194.55	0.0	6.36	0.0	0.0	0.29	124.37
APH1B	105.89	139.07	620.67	186.4	435.55	353.59	693.58	307.69	559.28	38.95	84.63	72.01	0.0	0.35	429.54
ARHGEF10	86.43	173.85	332.14	264.03	325.29	206.94	325.29	229.72	198.47	49.91	118.43	102.25	0.0	0.73	265.87
ARRB1	361.04	170.25	728.11	947.83	688.78	842.36	1088.92	384.34	450.94	96.68	75.64	55.49	0.0	0.52	647.07
ASAH1	1605.83	1540.37	11909.94	2400.97	19754.96	4512.4	4210.15	9409.14	8963.45	1199.98	854.13	890.44	0.0	0.64	3124.78
AXDND1	1.55	3.79	12.64	5.82	18.84	4.06	12.45	15.56	72.01	0.0	2.39	2.86	0.0	0.14	6.94
BCAP29	896.64	890.44	1721.16	1081.39	1127.35	1044.52	1073.91	1605.83	1794.29	872.1	738.29	934.76	0.0	0.61	954.43
CCAR2	1304.15	1167.14	2816.11	1806.78	2502.97	2075.59	3039.3	1697.45	3491.39	1073.91	1119.56	830.75	0.0	1.04	1832.01
CCDC25	312.0	314.17	1225.22	450.94	1059.11	518.15	1088.92	420.68	521.76	312.0	283.05	400.71	0.0	0.23	454.09
CDYL2	21.01	50.98	371.22	86.43	221.86	144.01	229.72	151.22	132.44	8.92	35.76	24.99	0.0	0.43	115.16
CEP120	103.69	78.89	483.38	175.07	332.14	170.25	423.61	231.32	329.84	75.11	80.57	100.83	0.0	0.21	208.38
CHMP7	356.05	379.04	796.86	555.41	660.68	591.22	866.07	599.49	674.59	305.55	323.03	279.14	0.0	0.6	718.08
CLN8	87.65	165.57	371.22	211.31	271.48	206.94	299.25	186.4	285.03	199.85	164.42	111.99	0.0	0.4	156.59
CNOT7	507.46	480.04	1870.53	743.43	1781.89	921.88	1757.34	941.27	1477.58	551.56	470.14	507.46	802.41	665.29	813.63
CRISP2	0.0	0.0	0.72	0.68	3.92	0.67	44.25	166.73	733.19	0.0	1.35	0.0	0.0	0.0	0.53
