	TCGA.K4.A4AC.01A.21R.A26T.07	TCGA.DK.A2I6.01A.12R.A18C.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.A2.A0D2.01A.21R.A034.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.CC.A3M9.01A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4566.01A.01R.1443.07	TCGA.33.4589.01A.01R.1443.07	TCGA.52.7810.01A.11R.2125.07	TCGA.NC.A5HK.01A.11R.A26W.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	TCGA.BG.A3PP.01A.11R.A22K.07	TCGA.ND.A4WA.01A.12R.A28V.07	TCGA.NF.A4X2.01A.11R.A28V.07
AFF1	97.36	87.65	175.07	96.68	193.01	129.69	231.32	890.44	142.01	20.56	87.65	141.02	1250.98	693.58	2148.82	1378.57	1359.57	1191.69	1111.82	1175.27	1519.15	842.36	1242.34	1088.92	769.69	1044.52	1268.46	928.3	819.3	1697.45	1111.82	890.44	1143.1	1909.85	1183.45	1268.46	1561.89	1477.58	1572.76	1583.71	2119.22	1844.76	1417.35	708.18	1467.37	713.11	872.1	738.29	273.37	387.02	107.38
AFF4	132.44	133.36	202.66	224.97	231.32	164.42	0.0	0.45	173.85	100.13	140.04	189.02	612.11	397.93	551.56	571.05	532.74	551.56	521.76	571.05	507.46	429.54	529.06	532.74	334.46	466.88	547.75	518.15	490.14	444.72	358.54	389.72	432.53	620.67	457.25	366.09	441.64	595.34	607.87	928.3	656.11	387.02	571.05	323.03	575.03	387.02	397.93	366.09	212.78	281.09	171.45
AKAP10	120.1	108.14	78.34	117.6	119.26	149.12	0.0	0.56	195.72	194.36	151.22	237.86	387.02	271.48	339.14	460.44	392.44	381.68	412.0	426.57	414.87	381.68	400.71	417.77	318.57	295.11	329.84	483.38	389.72	371.22	241.19	358.54	432.53	406.31	371.22	285.03	435.55	414.87	406.31	366.09	426.57	316.37	389.72	293.07	497.0	256.78	277.2	334.46	169.07	183.82	43.32
AKAP12	70.01	75.64	11.13	53.19	4.28	12.27	87.03	54.33	176.29	14.56	21.32	387.02	674.59	438.59	633.73	318.57	743.43	1369.04	500.46	295.11	603.67	514.56	547.75	503.95	567.1	1662.49	5366.37	403.5	351.14	1151.06	432.53	82.29	303.44	808.0	336.79	114.36	460.44	669.92	669.92	2061.24	176.29	228.13	395.18	253.23	669.92	262.2	265.87	180.02	72.52	366.09	133.36
AL020996.1	2.66	7.82	3.66	3.92	6.78	2.23	0.0	0.17	1.95	1.58	1.99	7.51	14.56	20.71	24.46	28.86	19.68	20.26	47.84	24.11	27.64	24.81	18.16	32.82	22.75	20.11	27.64	17.9	12.45	19.11	12.55	15.34	14.45	33.54	12.64	10.31	20.71	27.05	24.11	16.63	28.04	8.51	19.68	25.91	28.24	12.0	13.72	32.13	5.23	5.77	8.85
C10orf118	48.52	58.71	80.01	118.43	74.58	37.59	0.0	0.32	80.57	106.63	98.73	166.73	320.8	194.36	251.48	281.09	281.09	255.0	246.28	297.17	287.01	237.86	229.72	269.6	144.01	236.21	232.94	215.77	195.72	246.28	220.32	201.25	152.28	323.03	170.25	190.34	265.87	256.78	293.07	325.29	341.51	187.71	307.69	167.9	341.51	189.02	161.02	187.71	104.42	68.55	56.68
C3orf55	2.71	29.91	23.08	122.64	0.0	116.78	0.0	0.57	0.0	56.28	59.97	29.27	791.35	212.78	152.28	226.54	206.94	813.63	183.82	743.43	540.19	417.77	246.28	289.02	287.01	239.52	341.51	624.99	299.25	159.9	144.01	450.94	346.29	366.09	353.59	406.31	473.41	98.73	148.09	130.6	293.07	341.51	567.1	366.09	497.0	208.38	76.71	514.56	53.95	183.82	20.26
CAT	896.64	400.71	215.77	878.17	483.38	796.86	0.0	0.21	921.88	718.08	909.17	303.44	3955.48	2485.67	4450.27	4358.66	3847.29	4268.94	3443.31	4268.94	2935.74	6561.36	4181.07	3901.01	2855.44	3235.01	3303.0	6294.04	2335.28	9088.59	3515.68	5672.41	3690.52	7280.4	5112.16	5954.47	3280.18	5041.77	6699.25	3540.14	5112.16	7032.37	3665.02	8598.28	7130.55	4836.35	2796.65	2351.53	1498.22	1059.11	728.11
CLINT1	368.65	397.93	435.55	536.45	723.08	536.45	0.0	0.64	616.37	454.09	429.54	591.22	1175.27	967.76	1427.22	1781.89	1044.52	909.17	1427.22	1477.58	1709.26	1561.89	1073.91	1519.15	713.11	902.89	872.1	1233.75	854.13	1628.26	769.69	988.12	669.92	1662.49	842.36	1437.15	1378.57	1508.65	1709.26	2119.22	1639.59	1250.98	1697.45	1191.69	1487.87	988.12	728.11	872.1	1199.98	872.1	575.03
COL4A3BP	108.14	177.53	195.72	133.36	187.71	140.04	229.72	119.26	159.9	167.9	146.03	145.02	974.5	356.05	878.17	1015.93	713.11	941.27	836.53	1151.06	660.68	791.35	842.36	769.69	633.73	525.39	555.41	1208.34	620.67	769.69	511.0	896.64	1030.12	728.11	595.34	647.07	1088.92	656.11	748.61	961.07	842.36	500.46	1208.34	1081.39	848.22	688.78	698.41	540.19	208.38	223.41	96.68
