	TCGA.E2.A15F.01A.11R.A115.07	TCGA.E9.A1R2.01A.11R.A14D.07	TCGA.A2.A0YL.01A.21R.A109.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CJ.4644.01A.02R.1325.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.BP.4970.01A.01R.1334.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.14753.1626.SM.5NQ9L	GTEX.POYW.0826.SM.2XCEM	GTEX.WYVS.0326.SM.3NM9V
ABL1	656.11	981.29	1044.52	197.09	518.15	563.18	769.69	144.01	183.82	202.66	124.37	872.1	1135.2
AC003006.7	15.56	24.99	8.78	2.41	0.0	0.0	6.84	0.0	0.0	0.0	0.0	16.63	5.32
AC117395.1	17.0	36.01	9.78	0.67	8.99	19.97	10.55	0.0	1.75	0.0	0.3	33.78	48.87
ADTRP	28.45	351.14	103.69	109.66	7.28	10.96	30.12	19.11	1.97	16.39	11.82	209.84	50.98
AKIRIN1	1340.84	1111.82	902.89	848.22	738.29	669.92	575.03	753.83	320.8	543.96	417.77	1583.71	954.43
ARID1A	1250.98	1111.82	1066.48	693.58	323.03	361.04	656.11	150.17	214.27	244.57	84.63	808.0	775.05
B3GNTL1	134.3	239.52	141.02	69.03	54.72	84.04	86.43	68.55	73.03	39.22	63.45	218.79	124.37
BAHD1	381.68	358.54	258.57	295.11	198.47	260.38	279.14	220.32	136.19	212.78	178.77	629.35	503.95
BBS5	246.28	255.0	204.07	4.78	44.25	116.78	127.89	55.49	29.91	39.79	6.21	228.13	299.25
BOP1	583.07	1378.57	406.31	551.56	381.68	271.48	389.72	206.94	343.89	285.03	187.71	1594.73	647.07
C10orf137	540.19	217.27	444.72	136.19	102.97	137.14	149.12	88.26	31.0	70.51	21.32	532.74	339.14
C10orf68	33.78	29.06	18.7	3.2	1.04	3.53	3.0	2.76	0.0	0.0	0.49	24.81	32.82
C10orf88	193.01	127.89	194.36	84.04	103.69	117.6	140.04	47.5	43.32	40.64	16.39	171.45	155.5
C16orf52	161.02	209.84	228.13	231.32	178.77	209.84	215.77	157.68	96.68	112.77	85.22	361.04	264.03
C1orf174	429.54	483.38	409.15	303.44	307.69	255.0	384.34	332.14	177.53	305.55	137.14	571.05	473.41
C1orf220	24.99	21.47	12.74	3.59	0.0	1.77	2.97	2.01	0.0	0.0	0.0	24.81	16.15
C1orf27	389.72	753.83	595.34	90.14	303.44	273.37	312.0	316.37	122.64	228.13	108.14	733.19	486.75
C2orf69	283.05	279.14	244.57	152.28	175.07	234.57	153.34	95.34	30.34	103.69	128.79	183.82	165.57
C7orf26	679.29	607.87	575.03	129.69	447.82	599.49	532.74	291.04	307.69	291.04	221.86	660.68	647.07
C9orf96	57.89	94.67	59.13	55.49	24.46	22.26	24.28	35.5	17.13	26.67	16.75	109.66	56.28
CCDC39	17.9	32.59	13.72	3.59	2.36	3.5	5.54	2.48	0.0	2.61	0.01	46.18	33.54
CEP85	624.99	303.44	260.38	392.44	64.34	58.3	102.25	49.56	50.63	55.49	15.11	318.57	275.28
DBF4B	175.07	334.46	62.56	45.21	26.28	41.81	67.59	23.42	12.18	19.97	10.16	170.25	165.57
DCAF16	351.14	457.25	483.38	88.26	120.1	167.9	226.54	58.3	32.82	30.56	21.16	417.77	381.68
DDI2	447.82	507.46	406.31	414.87	125.24	135.24	217.27	141.02	151.22	226.54	201.25	318.57	204.07
DESI2	305.55	493.56	540.19	289.02	314.17	327.56	400.71	142.01	74.06	112.77	107.38	802.41	511.0
DHX35	112.77	277.2	223.41	25.91	113.56	118.43	159.9	88.88	99.43	73.03	77.25	260.38	202.66
DKFZP434E1119	0.67	0.34	0.75	0.04	0.34	0.0	0.37	0.0	0.0	0.0	0.0	2.39	0.99
DPY19L3	348.71	169.07	346.29	39.79	132.44	117.6	189.02	57.49	28.45	61.68	23.76	412.0	295.11
DTNA	406.31	1331.57	128.79	0.17	34.75	31.0	129.69	42.71	22.92	26.1	5.41	1388.16	638.15
DUSP12	403.5	547.75	466.88	202.66	275.28	309.83	279.14	164.42	96.68	189.02	71.5	583.07	595.34
ELF2	665.29	543.96	830.75	373.81	409.15	363.56	629.35	217.27	125.24	208.38	341.51	825.0	708.18
ESCO1	336.79	260.38	271.48	256.78	102.97	139.07	164.42	75.64	17.64	55.1	39.79	228.13	265.87
EXOC6	397.93	325.29	470.14	60.39	536.45	258.57	221.86	162.14	80.01	109.66	118.43	473.41	633.73
EXOSC10	1119.56	1081.39	1447.15	473.41	543.96	698.41	775.05	438.59	400.71	339.14	255.0	1350.18	915.51
FAM178A	368.65	166.73	323.03	95.34	159.9	164.42	244.57	81.14	36.27	59.97	12.55	423.61	281.09
FAM193A	536.45	429.54	567.1	108.14	161.02	217.27	363.56	110.43	106.63	116.78	52.45	303.44	356.05
FAM53A	64.8	70.51	45.21	29.06	22.92	12.09	23.08	33.78	18.43	25.72	16.27	148.09	107.38
FYCO1	363.56	297.17	454.09	334.46	199.85	267.73	351.14	137.14	135.24	204.07	120.94	457.25	536.45
GOLGA2	934.76	1259.69	1233.75	2255.7	669.92	607.87	941.27	373.81	450.94	406.31	289.02	1628.26	1457.23
GOLGA4	1127.35	1015.93	854.13	2032.85	314.17	299.25	429.54	571.05	127.89	412.0	460.44	1037.29	1104.13
