	GTEX.SE5C.1026.SM.4BRUG	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.G4.6302.01A.11R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.11NUK.1726.SM.5A5L2	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.ZAK1.1826.SM.5HL93	GTEX.145LS.2026.SM.5Q5D7	GTEX.ZVZP.1426.SM.5NQ7R	GTEX.Y111.1726.SM.4SOIQ	GTEX.XUZC.0326.SM.4BOO8	GTEX.QV44.1026.SM.447CG	GTEX.1212Z.2026.SM.5N9EA	GTEX.ZYFC.1726.SM.5GZYX	GTEX.QLQW.0626.SM.447A6	GTEX.T6MN.1526.SM.4DM5P	GTEX.146FQ.1126.SM.5NQBM	GTEX.RTLS.1226.SM.46MUP	GTEX.ZAB4.1226.SM.5CVN5	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.145MH.1226.SM.5RQJT	GTEX.ZYT6.1226.SM.5E44Q	GTEX.RWSA.1326.SM.47JX9	TCGA.AG.3732.11A.01R.1660.07	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.FP.8209.01A.11R.2343.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.BR.8384.01A.21R.2402.13	TCGA.FP.7735.11A.01R.2055.13
ADAM10	271.48	1225.22	1388.16	1304.15	1359.57	633.73	373.81	785.88	708.18	470.14	371.22	387.02	392.44	287.01	334.46	242.88	432.53	575.03	281.09	262.2	277.2	281.09	215.77	336.79	211.31	267.73	208.38	500.46	567.1	371.22	289.02	289.02	204.07	320.8	660.68	511.0	450.94	633.73	995.0	483.38	830.75	271.48
ADAM17	71.0	463.65	521.76	551.56	307.69	187.71	115.97	624.99	483.38	289.02	180.02	151.22	95.34	85.22	102.25	143.01	119.26	236.21	92.05	107.38	115.16	89.51	80.01	122.64	102.97	100.83	102.25	130.6	120.94	94.01	122.64	102.97	102.97	131.51	183.82	150.17	149.12	183.82	249.73	164.42	229.72	92.7
AGO3	67.59	180.02	246.28	183.82	281.09	106.63	69.03	193.01	191.67	181.28	164.42	215.77	93.35	109.66	175.07	141.02	136.19	187.71	70.01	101.54	101.54	88.26	67.59	130.6	97.36	114.36	118.43	139.07	165.57	144.01	162.14	116.78	110.43	114.36	96.01	215.77	251.48	212.78	332.14	236.21	277.2	121.79
ANP32E	518.15	651.58	825.0	848.22	3847.29	679.29	656.11	1066.48	1066.48	503.95	497.0	486.75	305.55	341.51	356.05	312.0	521.76	599.49	228.13	318.57	289.02	239.52	329.84	395.18	295.11	376.41	285.03	450.94	426.57	463.65	339.14	371.22	303.44	426.57	642.59	536.45	532.74	579.04	547.75	647.07	476.71	493.56
ARHGEF12	511.0	1572.76	1313.23	1277.29	2400.97	656.11	629.35	612.11	718.08	679.29	703.28	693.58	460.44	493.56	647.07	483.38	620.67	967.76	414.87	555.41	476.71	466.88	299.25	616.37	389.72	500.46	612.11	616.37	603.67	616.37	529.06	514.56	575.03	525.39	819.3	1350.18	743.43	941.27	1119.56	1135.2	1268.46	656.11
ARID4B	154.42	769.69	825.0	703.28	921.88	267.73	279.14	343.89	353.59	414.87	379.04	409.15	320.8	346.29	309.83	212.78	435.55	403.5	281.09	275.28	256.78	273.37	187.71	327.56	255.0	237.86	236.21	395.18	438.59	358.54	201.25	271.48	204.07	366.09	432.53	624.99	514.56	532.74	633.73	603.67	633.73	265.87
ATG12	438.59	1044.52	1073.91	1277.29	2777.33	718.08	796.86	708.18	830.75	921.88	753.83	780.44	529.06	647.07	854.13	579.04	1030.12	1175.27	583.07	684.02	480.04	525.39	612.11	753.83	575.03	551.56	486.75	896.64	1023.0	708.18	607.87	599.49	733.19	612.11	934.76	830.75	454.09	679.29	830.75	842.36	872.1	665.29
ATP11C	163.28	518.15	620.67	642.59	1216.75	332.14	287.01	529.06	480.04	450.94	260.38	332.14	273.37	256.78	289.02	242.88	343.89	397.93	244.57	325.29	279.14	182.55	199.85	295.11	224.97	285.03	164.42	361.04	373.81	351.14	246.28	293.07	260.38	289.02	379.04	555.41	358.54	358.54	432.53	348.71	432.53	214.27
AZI2	403.5	1340.84	1388.16	1583.71	2047.0	830.75	941.27	764.36	1088.92	1407.55	1111.82	1037.29	708.18	674.59	1096.5	547.75	1277.29	1304.15	567.1	808.0	759.08	703.28	612.11	808.0	854.13	764.36	723.08	1407.55	1427.22	791.35	651.58	830.75	723.08	785.88	1191.69	1286.18	902.89	902.89	1023.0	825.0	1059.11	896.64
CAMSAP2	167.9	551.56	629.35	591.22	909.17	334.46	525.39	454.09	571.05	403.5	353.59	341.51	253.23	400.71	395.18	255.0	470.14	450.94	201.25	316.37	205.5	226.54	205.5	346.29	182.55	301.33	189.02	379.04	312.0	473.41	295.11	236.21	332.14	251.48	480.04	444.72	346.29	358.54	373.81	607.87	473.41	220.32
