	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.VN.A88O.01A.11R.A352.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7328.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1	GTEX.11P7K.0626.SM.5985Z
ACSL4	287.01	62.56	106.63	187.71	223.41	31.22	137.14	122.64	120.1	123.5	170.25	124.37	166.73	57.89	51.35	189.02	119.26	81.14	77.79	113.56	71.5	78.34	64.34	71.5	77.79	208.38	88.26	10.88	58.71	158.79	112.77	62.56	264.03	47.17	51.35	165.57	358.54	109.66	166.73	156.59	142.01	52.82	78.34	71.5	75.64	248.0	283.05	57.08	70.51	41.22	237.86	46.5	185.11	121.79	131.51	55.89	154.42	64.8	267.73	146.03	69.52	241.19	71.5	93.35	45.53	69.52	46.84	332.14	620.67	476.71	320.8	373.81	271.48	412.0	303.44	406.31	503.95	221.86	728.11	232.94	269.6	567.1	191.67	447.82	674.59	185.11	228.13	341.51	441.64	454.09	309.83
AGPS	111.21	27.64	50.63	81.71	85.22	70.01	59.13	57.08	63.45	44.25	89.51	64.34	68.55	42.41	57.49	71.0	62.12	26.28	33.54	24.11	34.26	48.18	50.27	44.25	50.98	145.02	47.84	3.99	23.42	57.89	58.71	16.75	92.05	94.67	54.33	36.79	66.65	65.26	98.73	83.45	55.89	57.49	32.59	62.56	12.74	93.35	122.64	32.13	32.82	115.97	130.6	123.5	96.68	36.01	63.89	46.5	66.18	25.54	105.15	55.1	54.33	85.22	59.55	37.05	11.82	34.26	38.12	106.63	175.07	199.85	109.66	114.36	84.04	145.02	67.59	107.38	129.69	78.34	241.19	93.35	86.43	177.53	76.17	166.73	223.41	103.69	86.43	90.77	143.01	135.24	127.89
AHDC1	172.65	51.71	142.01	185.11	241.19	79.45	134.3	182.55	141.02	102.97	175.07	147.06	136.19	142.01	102.97	208.38	170.25	57.89	69.03	96.01	92.7	84.04	150.17	150.17	77.25	94.67	96.68	57.49	120.1	150.17	48.52	96.01	217.27	53.57	97.36	127.0	91.41	176.29	105.15	97.36	144.01	83.45	127.89	120.1	25.17	111.99	236.21	95.34	91.41	135.24	146.03	64.34	158.79	127.0	201.25	108.9	122.64	90.77	234.57	136.19	102.97	269.6	87.65	82.29	92.05	105.15	93.35	164.42	314.17	289.02	320.8	228.13	189.02	221.86	185.11	164.42	231.32	237.86	366.09	158.79	183.82	334.46	239.52	301.33	400.71	142.01	112.77	234.57	279.14	146.03	244.57
ALKBH8	102.97	48.18	70.01	85.22	77.25	72.52	53.19	74.58	69.52	59.97	74.58	57.89	90.14	63.89	75.11	71.5	77.79	45.85	55.1	63.0	62.12	59.13	34.51	83.45	53.57	85.82	52.82	23.59	35.0	75.11	57.49	27.44	70.01	46.5	29.27	42.11	51.71	63.45	93.35	76.71	81.71	54.72	48.87	55.1	62.12	97.36	90.77	64.8	40.93	57.89	102.97	59.13	92.05	38.95	75.11	47.5	63.89	57.49	87.03	53.19	41.81	74.58	47.84	63.45	53.19	43.02	54.33	99.43	138.1	134.3	127.0	120.1	74.58	98.73	92.7	94.01	113.56	54.72	153.34	72.52	81.14	118.43	87.65	98.73	148.09	97.36	75.11	96.01	128.79	136.19	151.22
AMOT	164.42	82.29	178.77	187.71	316.37	68.07	94.67	194.36	50.98	67.12	281.09	96.01	84.63	61.25	104.42	201.25	142.01	30.34	48.87	91.41	59.13	58.71	90.77	145.02	55.89	80.01	80.01	3.69	49.21	214.27	28.86	54.33	132.44	22.1	31.0	109.66	57.89	98.73	75.11	89.51	208.38	61.25	59.97	70.51	170.25	242.88	285.03	35.0	73.54	55.1	273.37	29.91	152.28	58.71	126.12	44.57	139.07	56.68	226.54	68.07	92.05	348.71	133.36	100.83	87.65	53.95	47.5	228.13	423.61	316.37	255.0	454.09	289.02	198.47	135.24	107.38	231.32	208.38	325.29	244.57	339.14	237.86	215.77	486.75	341.51	175.07	149.12	236.21	406.31	547.75	579.04
ANKRD40	518.15	221.86	366.09	412.0	403.5	273.37	334.46	371.22	339.14	460.44	480.04	329.84	346.29	255.0	358.54	466.88	376.41	289.02	376.41	327.56	332.14	258.57	336.79	320.8	373.81	450.94	327.56	232.94	251.48	334.46	262.2	301.33	567.1	336.79	264.03	376.41	400.71	463.65	395.18	379.04	400.71	271.48	327.56	346.29	316.37	450.94	511.0	426.57	303.44	318.57	454.09	303.44	444.72	373.81	387.02	307.69	397.93	346.29	454.09	295.11	291.04	426.57	301.33	297.17	293.07	307.69	325.29	384.34	612.11	674.59	511.0	521.76	450.94	629.35	403.5	497.0	529.06	420.68	830.75	540.19	420.68	915.51	417.77	733.19	688.78	423.61	336.79	563.18	651.58	547.75	647.07
ANP32E	229.72	46.5	172.65	234.57	255.0	35.5	166.73	187.71	145.02	128.79	197.09	98.04	194.36	66.65	80.57	281.09	176.29	49.21	92.7	101.54	74.06	96.68	131.51	77.79	70.01	223.41	85.82	13.42	80.57	151.22	131.51	120.94	297.17	58.3	51.71	131.51	239.52	161.02	218.79	130.6	197.09	78.34	102.25	114.36	155.5	316.37	251.48	127.0	58.71	69.52	229.72	89.51	211.31	108.9	178.77	124.37	202.66	90.14	277.2	148.09	90.77	289.02	142.01	140.04	88.88	106.63	124.37	249.73	607.87	571.05	358.54	480.04	269.6	379.04	262.2	351.14	420.68	271.48	842.36	334.46	253.23	579.04	275.28	466.88	660.68	283.05	246.28	395.18	417.77	503.95	529.06
ARHGEF17	395.18	147.06	334.46	476.71	612.11	125.24	287.01	332.14	260.38	363.56	476.71	289.02	466.88	209.84	152.28	486.75	476.71	105.15	201.25	178.77	147.06	149.12	412.0	198.47	147.06	242.88	197.09	50.63	221.86	432.53	170.25	151.22	555.41	77.25	112.77	417.77	297.17	371.22	251.48	232.94	346.29	251.48	329.84	217.27	127.89	351.14	633.73	201.25	104.42	297.17	358.54	153.34	366.09	209.84	460.44	199.85	314.17	98.04	638.15	334.46	201.25	579.04	223.41	267.73	155.5	206.94	237.86	460.44	819.3	947.83	497.0	579.04	493.56	575.03	490.14	490.14	651.58	460.44	1135.2	563.18	454.09	921.88	718.08	723.08	785.88	493.56	234.57	567.1	642.59	444.72	591.22
ASCC1	358.54	273.37	389.72	363.56	387.02	249.73	403.5	435.55	295.11	339.14	341.51	348.71	353.59	149.12	246.28	417.77	412.0	182.55	305.55	271.48	232.94	273.37	332.14	314.17	273.37	463.65	228.13	190.34	258.57	293.07	255.0	260.38	395.18	285.03	141.02	316.37	281.09	371.22	316.37	356.05	497.0	256.78	285.03	297.17	236.21	371.22	450.94	262.2	209.84	348.71	395.18	285.03	384.34	343.89	371.22	244.57	361.04	267.73	368.65	289.02	299.25	373.81	208.38	248.0	267.73	269.6	429.54	432.53	473.41	651.58	444.72	483.38	579.04	728.11	438.59	616.37	525.39	503.95	708.18	397.93	450.94	660.68	336.79	647.07	603.67	403.5	341.51	595.34	660.68	674.59	796.86
ASPH	802.41	229.72	571.05	708.18	909.17	323.03	514.56	511.0	351.14	555.41	551.56	309.83	703.28	153.34	140.04	660.68	674.59	215.77	397.93	246.28	189.02	301.33	327.56	595.34	186.4	624.99	275.28	30.56	218.79	493.56	547.75	361.04	688.78	299.25	547.75	470.14	470.14	441.64	503.95	555.41	591.22	473.41	384.34	271.48	547.75	728.11	842.36	397.93	285.03	392.44	1059.11	660.68	642.59	244.57	387.02	206.94	435.55	258.57	934.76	713.11	255.0	842.36	346.29	351.14	277.2	341.51	256.78	974.5	1923.14	1583.71	1008.9	1617.0	1073.91	1340.84	854.13	1183.45	1427.22	679.29	2271.4	753.83	748.61	1794.29	896.64	1519.15	1883.54	764.36	791.35	1407.55	1167.14	1268.46	1508.65
ASXL3	13.12	3.17	13.52	20.86	18.56	3.11	16.88	11.91	6.41	12.36	18.43	10.0	11.91	2.48	5.06	18.29	16.75	1.38	8.51	2.92	2.29	2.34	2.34	9.78	2.46	10.88	5.96	0.0	3.96	13.52	1.35	7.75	19.11	0.51	1.17	7.28	3.41	8.65	8.58	12.0	28.24	4.1	5.96	8.85	0.79	17.25	23.25	1.57	2.63	3.32	21.94	1.19	16.51	9.7	14.67	2.61	7.75	5.82	21.78	2.03	4.9	24.99	1.93	6.06	3.59	2.71	4.31	18.03	35.76	52.45	29.48	28.24	34.51	38.95	16.88	22.26	32.36	18.43	75.11	16.88	23.25	43.94	19.11	48.87	35.5	18.97	9.85	26.1	20.26	18.16	44.57
B4GALT1	1216.75	669.92	1350.18	1457.23	2400.97	780.44	2520.38	1216.75	884.29	743.43	1487.87	1151.06	1498.22	1037.29	1594.73	1674.06	1427.22	400.71	890.44	1111.82	813.63	583.07	1059.11	753.83	1096.5	896.64	872.1	104.42	1059.11	1135.2	808.0	575.03	1023.0	341.51	1551.09	1304.15	543.96	1208.34	1233.75	947.83	1605.83	1111.82	909.17	1001.93	723.08	1757.34	1697.45	629.35	796.86	813.63	1991.0	612.11	961.07	753.83	1088.92	629.35	802.41	698.41	1457.23	934.76	748.61	1313.23	1119.56	780.44	836.53	921.88	896.64	1350.18	1350.18	1628.26	1594.73	1561.89	1583.71	878.17	1519.15	961.07	1331.57	2335.28	1208.34	1331.57	1639.59	1250.98	1477.58	1909.85	1628.26	981.29	1508.65	1883.54	1304.15	1923.14	1467.37
BBS1	878.17	514.56	748.61	769.69	909.17	698.41	684.02	808.0	665.29	698.41	890.44	674.59	728.11	603.67	780.44	819.3	733.19	555.41	587.13	638.15	638.15	575.03	651.58	764.36	638.15	559.28	651.58	629.35	363.56	748.61	466.88	633.73	813.63	616.37	642.59	848.22	738.29	713.11	693.58	698.41	878.17	651.58	647.07	665.29	518.15	743.43	808.0	836.53	525.39	698.41	679.29	463.65	836.53	728.11	802.41	647.07	679.29	656.11	679.29	684.02	587.13	723.08	733.19	514.56	660.68	521.76	688.78	688.78	878.17	995.0	995.0	872.1	785.88	854.13	866.07	796.86	909.17	764.36	1044.52	748.61	796.86	974.5	941.27	872.1	1008.9	748.61	674.59	967.76	1015.93	796.86	1051.79
BNC2	74.06	2.92	34.26	39.79	55.1	3.5	25.54	30.12	17.0	41.81	60.39	21.47	22.75	17.64	13.03	66.18	31.9	9.63	20.71	13.62	15.68	11.91	9.41	13.93	25.72	44.57	10.79	0.84	13.42	54.72	22.43	5.82	61.68	7.0	15.34	17.13	17.25	33.3	26.28	41.81	34.75	23.25	18.97	19.68	3.0	62.12	85.22	12.45	5.5	23.59	46.5	4.94	67.12	31.0	33.06	12.45	13.83	5.28	60.39	15.68	20.41	48.52	6.16	17.25	7.63	9.85	16.39	57.08	131.51	144.01	82.29	71.5	73.03	85.82	40.93	58.3	83.45	51.35	220.32	72.01	53.95	195.72	57.08	122.64	159.9	49.21	28.04	63.45	115.97	58.71	97.36
C14orf37	59.97	13.12	18.7	37.05	32.13	2.73	15.11	16.88	8.71	30.34	48.18	28.24	26.28	7.82	8.99	26.1	36.27	11.13	11.13	9.93	12.0	12.93	10.08	13.42	6.16	41.81	17.9	8.19	9.13	17.25	21.32	11.91	38.95	13.03	14.89	28.24	14.03	15.34	24.99	21.01	38.95	9.41	20.26	14.78	2.32	29.06	61.68	13.22	7.75	18.97	31.67	6.01	28.45	19.11	16.39	9.78	21.47	7.46	58.3	16.27	19.68	37.32	8.92	14.89	10.88	5.19	22.26	31.9	69.03	87.65	48.52	41.81	46.5	70.51	56.28	65.26	68.55	24.99	115.16	28.45	45.85	92.7	41.22	51.71	82.29	47.5	23.08	53.95	78.34	48.87	107.38
C15orf38	616.37	327.56	423.61	457.25	536.45	236.21	414.87	595.34	273.37	420.68	708.18	376.41	633.73	450.94	457.25	403.5	518.15	262.2	336.79	417.77	457.25	379.04	463.65	429.54	426.57	368.65	493.56	289.02	201.25	540.19	381.68	389.72	503.95	295.11	361.04	361.04	441.64	616.37	376.41	426.57	684.02	423.61	368.65	301.33	486.75	629.35	583.07	457.25	356.05	536.45	432.53	327.56	540.19	547.75	470.14	371.22	384.34	336.79	470.14	423.61	441.64	429.54	368.65	547.75	426.57	420.68	334.46	599.49	547.75	567.1	753.83	532.74	503.95	525.39	647.07	563.18	547.75	371.22	518.15	400.71	579.04	616.37	753.83	547.75	693.58	728.11	414.87	647.07	656.11	669.92	698.41
C17orf51	54.72	21.78	64.8	62.12	86.43	36.53	54.72	54.33	38.67	42.41	65.72	57.49	40.36	55.49	46.84	50.63	52.08	18.29	45.53	67.12	43.63	25.54	78.89	33.06	44.25	47.5	30.12	18.97	19.97	77.79	21.16	23.42	90.77	34.75	21.16	38.4	32.36	35.76	42.11	63.89	71.0	40.64	59.13	45.85	15.34	60.82	77.79	31.0	43.32	31.22	67.59	25.72	64.34	39.5	57.89	29.27	52.45	14.24	73.54	48.18	40.64	70.01	27.64	36.01	31.9	20.86	25.91	87.65	84.04	98.04	91.41	78.89	57.89	59.13	47.5	68.55	75.11	58.3	111.99	51.71	56.68	140.04	88.88	100.83	143.01	78.34	36.27	86.43	58.3	58.71	61.68
CACNB4	29.48	3.32	38.4	31.9	67.59	11.3	31.45	49.56	15.56	12.74	40.93	9.93	35.76	6.41	46.84	34.51	36.79	10.16	17.51	9.2	22.75	17.51	14.35	23.93	9.78	27.64	12.93	14.78	14.24	29.91	16.75	4.54	31.0	34.51	3.63	22.43	14.78	17.25	35.5	18.03	57.49	9.56	13.93	15.45	9.78	53.19	43.02	23.93	5.23	13.03	50.98	12.93	66.18	12.83	38.4	25.35	22.75	1.97	31.45	14.78	13.93	49.21	42.71	11.73	15.0	13.83	15.8	30.12	44.57	39.5	65.72	45.53	59.97	57.89	43.63	52.08	49.91	38.12	51.35	31.9	40.07	40.64	55.1	64.8	43.94	33.06	28.04	46.84	50.98	131.51	56.68
CAMK1D	96.68	14.24	50.63	75.64	121.79	3.69	40.07	82.29	43.94	64.34	82.29	32.13	71.5	28.24	23.25	74.58	50.27	12.27	27.84	29.91	20.26	15.34	33.78	27.05	19.39	69.52	23.76	4.62	26.47	50.63	25.35	22.43	97.36	6.21	32.82	49.91	35.76	60.82	58.71	56.68	62.56	27.25	30.12	21.32	7.82	64.8	105.89	22.92	18.56	33.54	82.29	124.37	57.89	43.32	53.57	22.59	44.25	15.0	132.44	25.17	29.48	72.01	25.35	44.89	18.43	19.82	51.35	108.9	217.27	201.25	103.69	133.36	75.11	126.12	103.69	98.04	120.94	63.89	262.2	117.6	63.45	202.66	109.66	177.53	244.57	95.34	80.01	139.07	129.69	156.59	169.07
CAV2	400.71	99.43	295.11	500.46	493.56	44.57	379.04	339.14	323.03	384.34	521.76	206.94	392.44	125.24	59.55	718.08	381.68	106.63	177.53	215.77	127.89	246.28	163.28	159.9	224.97	518.15	167.9	32.59	156.59	336.79	211.31	135.24	733.19	41.52	70.01	353.59	397.93	403.5	368.65	371.22	395.18	111.21	218.79	248.0	90.77	603.67	583.07	121.79	124.37	152.28	460.44	59.55	325.29	301.33	406.31	147.06	309.83	121.79	866.07	305.55	323.03	674.59	132.44	279.14	46.84	144.01	122.64	748.61	1529.73	1639.59	647.07	1191.69	819.3	1088.92	743.43	1233.75	1037.29	884.29	1781.89	866.07	612.11	1529.73	607.87	1437.15	1143.1	688.78	583.07	995.0	878.17	1151.06	915.51
CCSER2	532.74	114.36	303.44	323.03	363.56	265.87	295.11	242.88	228.13	271.48	387.02	193.01	267.73	171.45	273.37	334.46	273.37	142.01	166.73	176.29	289.02	198.47	112.77	204.07	616.37	348.71	198.47	86.43	111.21	264.03	228.13	90.77	366.09	175.07	205.5	201.25	211.31	264.03	295.11	283.05	376.41	198.47	138.1	239.52	197.09	432.53	435.55	167.9	121.79	249.73	412.0	81.71	336.79	305.55	253.23	198.47	299.25	234.57	397.93	180.02	194.36	320.8	214.27	140.04	185.11	144.01	202.66	460.44	575.03	743.43	540.19	551.56	507.46	536.45	384.34	486.75	514.56	368.65	854.13	454.09	384.34	785.88	389.72	674.59	825.0	395.18	241.19	521.76	587.13	620.67	848.22
