	TCGA.DK.AA6W.01A.12R.A39I.07	TCGA.E2.A158.01A.11R.A12D.07	TCGA.B6.A0IQ.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.AA.3526.01A.02R.A32Z.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.NK.A5D1.01A.11R.A26W.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.AJ.A3NF.01A.11R.A22K.07	TCGA.AJ.A23N.01A.11R.A22K.07	TCGA.EO.A3KU.01A.11R.A22K.07	TCGA.B5.A1MS.01B.11R.A22K.07	TCGA.D1.A2G0.01A.11R.A32Y.07	TCGA.E6.A8L9.01A.21R.A37O.07	TCGA.EY.A3L3.01A.11R.A22K.07	TCGA.PG.A7D5.01A.11R.A34R.07	TCGA.D1.A3JQ.01A.11R.A22K.07	TCGA.FL.A1YQ.11A.11R.A32Y.07
ALMS1	599.49	239.52	490.14	104.42	143.01	143.01	158.79	87.65	65.72	49.21	68.07	72.01	94.67	67.12	0.0	607.87	86.43	61.68	75.11	97.36	63.45	79.45	72.52	392.44	417.77	480.04	480.04	226.54	1088.92	493.56	842.36	629.35	559.28
C12orf60	48.87	71.5	64.34	14.45	27.25	9.85	9.7	8.13	3.96	12.83	8.38	12.83	15.0	3.35	0.0	27.05	21.32	25.35	14.35	17.25	7.88	5.11	15.0	31.67	24.99	51.71	20.71	57.08	41.52	92.7	43.94	80.01	36.27
C16orf58	1167.14	2335.28	1662.49	503.95	1340.84	1066.48	878.17	860.08	915.51	629.35	607.87	647.07	854.13	808.0	0.0	1529.73	532.74	620.67	547.75	813.63	532.74	638.15	423.61	1378.57	1467.37	1304.15	2193.99	1250.98	947.83	1757.34	1111.82	3280.18	2271.4
C19orf40	251.48	124.37	178.77	81.14	58.3	50.98	136.19	72.01	23.08	24.46	13.93	34.51	40.07	15.22	72.52	153.34	74.06	62.56	14.89	103.69	60.39	46.5	41.22	95.34	94.01	234.57	169.07	106.63	92.05	117.6	297.17	420.68	46.5
C19orf44	112.77	104.42	123.5	43.02	68.07	86.43	52.08	52.08	85.82	12.09	19.68	36.53	34.51	19.39	0.0	87.65	27.84	23.76	45.85	45.21	34.26	50.27	18.7	140.04	118.43	223.41	463.65	94.67	215.77	246.28	205.5	336.79	157.68
C2ORF15	275.28	209.84	43.63	120.1	109.66	20.11	14.78	18.7	17.38	7.22	15.11	14.56	3.76	10.39	0.0	136.19	18.16	4.82	7.11	40.07	30.12	41.52	16.75	208.38	202.66	143.01	262.2	36.79	204.07	205.5	177.53	262.2	41.52
CCDC101	638.15	470.14	796.86	255.0	514.56	470.14	426.57	414.87	500.46	217.27	140.04	293.07	182.55	162.14	0.0	703.28	269.6	435.55	291.04	348.71	361.04	339.14	493.56	791.35	769.69	599.49	825.0	563.18	514.56	802.41	708.18	1369.04	1159.07
CCDC181	110.43	57.08	32.82	1.81	0.84	3.69	4.58	1.46	0.73	0.0	0.6	2.03	1.35	0.0	0.0	223.41	3.17	3.89	2.39	1.28	0.42	0.27	1.14	27.25	3.11	99.43	122.64	0.85	189.02	3.41	249.73	260.38	53.95
CDIPT	1909.85	5076.84	3614.55	854.13	1159.07	2061.24	1685.71	1378.57	1508.65	1561.89	1044.52	1617.0	1628.26	1369.04	0.0	2287.2	1233.75	802.41	1467.37	1508.65	909.17	1259.69	947.83	2178.83	3060.45	2004.85	3146.52	1605.83	1551.09	2384.37	2520.38	4066.71	2047.0
CEP89	438.59	563.18	688.78	60.39	297.17	303.44	327.56	211.31	186.4	170.25	115.16	139.07	194.36	112.77	0.0	490.14	195.72	182.55	89.51	258.57	143.01	175.07	93.35	353.59	450.94	511.0	429.54	236.21	279.14	327.56	1127.35	1159.07	305.55
CHTOP	2119.22	1819.35	3665.02	1709.26	1685.71	1295.13	1467.37	1183.45	1127.35	743.43	878.17	974.5	1015.93	748.61	0.0	2664.15	775.05	995.0	1066.48	1242.34	995.0	902.89	819.3	2061.24	2555.58	2047.0	3349.13	2682.69	2777.33	2645.74	2573.36	2682.69	1936.53
CLDN9	15.68	119.26	5.96	0.0	2.18	4.31	21.01	1.99	2.97	2.29	1.17	1.0	1.04	0.0	0.0	3.72	1.39	0.04	1.62	4.43	0.0	0.0	0.0	53.95	158.79	187.71	616.37	16.27	128.79	172.65	532.74	218.79	7.88
