	GTEX.SE5C.1026.SM.4BRUG	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.ZYFG.1926.SM.5GID5	GTEX.XUJ4.2126.SM.4BOOX	GTEX.13O61.1626.SM.5KM3T	GTEX.13FTW.2126.SM.5K7YG	GTEX.RWS6.1826.SM.47JXX	GTEX.SNOS.1226.SM.4DM5H	GTEX.X15G.1526.SM.4PQZM	GTEX.12WSJ.1426.SM.5GCON	GTEX.1399U.2226.SM.5KLZI	GTEX.YEC3.2026.SM.4WWFL	GTEX.13PL7.2426.SM.5J2N3	GTEX.13FH7.1526.SM.5J2N6	GTEX.QMRM.1226.SM.447C6	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.11P82.0426.SM.5HL5D	GTEX.1212Z.2026.SM.5N9EA	GTEX.131XE.1226.SM.5EGKF	GTEX.WYVS.0826.SM.4RTXB	GTEX.POMQ.0626.SM.3P61E	GTEX.WFJO.0726.SM.4LVM8	GTEX.13W3W.1726.SM.5LU4A	GTEX.131XF.0926.SM.5BC69	GTEX.YB5K.0726.SM.5LU8R	GTEX.WFG7.1026.SM.4LMK8	GTEX.TKQ2.1226.SM.4DXSV	GTEX.VJYA.0626.SM.4KL1S	GTEX.ZP4G.0926.SM.4WWF4	GTEX.1399R.0726.SM.5KM2A	GTEX.111CU.0626.SM.5EGHL	GTEX.11P81.0926.SM.59874	TCGA.AG.3732.11A.01R.1660.07	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.146FR.2026.SM.5NQAI	GTEX.T5JC.1926.SM.4DM6Q	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.TKQ2.0926.SM.4DXU5	GTEX.11EQ9.1226.SM.5987E	GTEX.ZTX8.0426.SM.59HLG	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.TKQ1.0526.SM.4DXTG	GTEX.11P7K.1726.SM.5GU6F	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
AAK1	40.93	112.77	121.79	135.24	41.22	101.54	70.51	55.49	64.34	39.79	79.45	27.64	33.3	66.18	13.62	161.02	48.18	53.19	28.04	73.54	98.73	60.82	106.63	110.43	114.36	82.29	97.36	140.04	34.26	71.0	107.38	96.01	155.5	115.97	126.12	149.12	83.45	381.68	275.28	343.89	297.17	303.44	181.28	166.73	177.53	132.44	146.03	85.22	162.14	140.04	120.94	194.36	151.22	172.65	94.67	151.22	199.85	194.36	217.27	175.07	120.1
ABCC9	50.27	314.17	156.59	208.38	127.0	909.17	89.51	37.85	110.43	63.0	82.29	25.54	78.89	159.9	56.28	201.25	38.67	52.45	35.25	713.11	332.14	191.67	303.44	258.57	297.17	281.09	226.54	244.57	435.55	303.44	403.5	187.71	209.84	303.44	291.04	283.05	387.02	543.96	764.36	915.51	902.89	1286.18	511.0	297.17	379.04	599.49	368.65	521.76	384.34	514.56	463.65	607.87	381.68	995.0	500.46	265.87	587.13	728.11	612.11	466.88	457.25
ABI2	486.75	603.67	759.08	775.05	371.22	1457.23	358.54	329.84	389.72	303.44	392.44	142.01	318.57	353.59	299.25	301.33	305.55	371.22	182.55	872.1	620.67	283.05	511.0	642.59	583.07	518.15	444.72	679.29	420.68	432.53	780.44	703.28	460.44	743.43	559.28	674.59	1127.35	1059.11	1259.69	1447.15	1242.34	1674.06	896.64	1051.79	1001.93	813.63	698.41	651.58	995.0	896.64	819.3	1322.37	713.11	981.29	759.08	854.13	775.05	981.29	954.43	967.76	896.64
AHDC1	353.59	358.54	543.96	444.72	260.38	915.51	256.78	267.73	201.25	215.77	218.79	80.01	273.37	363.56	164.42	265.87	151.22	358.54	105.89	607.87	368.65	329.84	417.77	414.87	511.0	305.55	460.44	414.87	363.56	463.65	612.11	463.65	460.44	595.34	547.75	353.59	353.59	620.67	575.03	775.05	656.11	693.58	607.87	476.71	647.07	866.07	819.3	444.72	967.76	902.89	981.29	1111.82	334.46	547.75	346.29	1159.07	366.09	748.61	620.67	511.0	1051.79
AKAP6	172.65	555.41	642.59	429.54	138.1	728.11	88.26	45.85	45.85	84.04	55.1	15.11	65.72	55.49	44.57	166.73	65.26	126.12	74.06	842.36	297.17	120.94	109.66	260.38	215.77	143.01	135.24	180.02	215.77	116.78	208.38	206.94	98.73	368.65	147.06	185.11	346.29	764.36	438.59	698.41	480.04	669.92	351.14	295.11	551.56	287.01	341.51	221.86	341.51	423.61	371.22	363.56	403.5	267.73	267.73	429.54	348.71	256.78	406.31	264.03	152.28
AKT3	540.19	1183.45	1104.13	612.11	295.11	1096.5	361.04	283.05	429.54	314.17	381.68	77.79	212.78	260.38	320.8	325.29	285.03	287.01	118.43	1519.15	540.19	316.37	525.39	728.11	575.03	813.63	518.15	995.0	525.39	896.64	684.02	518.15	507.46	780.44	836.53	759.08	1111.82	1806.78	1268.46	1322.37	1183.45	1651.0	890.44	647.07	698.41	884.29	1051.79	896.64	988.12	866.07	674.59	713.11	738.29	1794.29	1331.57	748.61	633.73	1331.57	1259.69	1088.92	842.36
ANKRD12	189.02	353.59	249.73	242.88	178.77	273.37	264.03	120.94	162.14	143.01	177.53	101.54	114.36	143.01	81.71	256.78	120.94	205.5	137.14	503.95	387.02	169.07	329.84	329.84	361.04	518.15	305.55	693.58	249.73	361.04	559.28	358.54	336.79	500.46	476.71	595.34	269.6	748.61	728.11	764.36	802.41	836.53	607.87	507.46	571.05	947.83	500.46	381.68	902.89	616.37	457.25	571.05	902.89	842.36	543.96	529.06	559.28	384.34	791.35	571.05	426.57
ARID1B	223.41	567.1	529.06	417.77	332.14	514.56	460.44	412.0	395.18	376.41	371.22	173.85	307.69	336.79	253.23	368.65	291.04	348.71	204.07	450.94	420.68	248.0	409.15	395.18	518.15	480.04	376.41	493.56	277.2	323.03	547.75	356.05	353.59	575.03	466.88	483.38	490.14	674.59	728.11	624.99	587.13	660.68	775.05	603.67	780.44	703.28	579.04	547.75	748.61	629.35	579.04	819.3	543.96	896.64	536.45	651.58	624.99	733.19	825.0	764.36	665.29
ARID4A	96.01	314.17	231.32	211.31	164.42	255.0	258.57	169.07	133.36	178.77	201.25	98.04	198.47	98.73	115.16	167.9	111.99	157.68	108.14	341.51	417.77	98.73	149.12	316.37	312.0	387.02	279.14	486.75	123.5	220.32	329.84	305.55	255.0	318.57	307.69	265.87	332.14	591.22	454.09	514.56	551.56	540.19	426.57	297.17	289.02	368.65	403.5	175.07	392.44	289.02	381.68	366.09	55.49	379.04	189.02	441.64	237.86	299.25	403.5	555.41	187.71
ARPP19	1051.79	1733.13	1685.71	1277.29	872.1	1844.76	1143.1	872.1	1081.39	921.88	954.43	575.03	842.36	974.5	902.89	1096.5	665.29	813.63	738.29	1832.01	1529.73	684.02	808.0	1508.65	1159.07	1721.16	1001.93	1844.76	1259.69	1250.98	1467.37	1127.35	1051.79	1674.06	1397.83	1709.26	1757.34	2758.13	1794.29	2193.99	2178.83	2178.83	1331.57	1350.18	1397.83	2434.5	1059.11	1096.5	1794.29	1388.16	1322.37	1487.87	1183.45	1806.78	1322.37	1417.35	1268.46	1259.69	1806.78	1639.59	1286.18
