	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.E2.A1IE.01A.11R.A13Q.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.EP.A3RK.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ABCC8	490.14	25.91	47.84	738.29	2090.03	193.01	43.63	18.97	193.01	205.5	77.79	48.87	244.57	283.05	275.28	64.34	79.45	119.26	555.41	102.25	178.77	82.87	232.94	66.18	223.41	356.05	113.56	429.54	698.41	305.55	164.42	116.78	28.45	1447.15	511.0	1628.26	56.28	6.52	14.56	4.94	10.16	10.31	4.82	1.0	4.58	2.39	4.13	8.78	14.24	0.0	2.81	0.0	1.95	0.0	0.0	0.67
AC006946.15	1.73	1.48	0.0	2.12	66.65	4.78	0.67	2.94	0.0	2.1	4.06	1.27	3.41	0.0	9.41	0.71	0.68	0.0	7.46	3.69	1.6	6.89	40.64	1.23	0.0	5.92	1.11	40.07	0.0	2.14	2.76	0.66	0.0	0.62	42.11	7.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC124890.1	4.78	7.17	0.79	8.58	2.56	2.94	0.4	5.92	5.63	1.91	11.55	0.39	18.43	0.0	8.99	5.87	5.02	7.0	3.99	1.62	37.59	2.05	2.92	2.32	1.28	7.57	13.42	1.07	1.71	2.63	0.71	4.46	4.86	2.32	5.06	3.72	4.5	0.0	3.14	2.97	0.0	0.0	0.0	2.01	1.97	4.74	1.11	0.0	0.0	0.0	1.2	2.92	0.05	0.71	0.0	0.3
AHCYL1	1250.98	1369.04	1551.09	2400.97	2240.11	2018.8	1088.92	2451.44	1277.29	1313.23	1697.45	2319.15	1407.55	1909.85	2090.03	1794.29	2163.77	1551.09	1477.58	1199.98	1923.14	2303.12	2739.08	1594.73	1096.5	1936.53	1697.45	1745.2	2573.36	981.29	1008.9	1359.57	1199.98	2935.74	2701.35	2573.36	878.17	988.12	748.61	1111.82	748.61	638.15	603.67	1119.56	743.43	890.44	780.44	1008.9	954.43	733.19	854.13	796.86	902.89	460.44	896.64	1023.0
ANO4	2.73	1.75	1.39	0.6	7.69	5.77	1.62	0.0	0.34	0.35	0.62	15.45	11.64	2.66	5.19	0.35	13.62	0.64	10.08	3.32	4.43	4.7	4.03	0.31	0.29	0.31	2.56	0.32	0.64	8.13	1.22	3.86	0.99	13.32	43.32	38.67	1.13	0.0	1.73	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	1.51	0.0	1.27	0.0	0.0	0.0
APIP	796.86	571.05	376.41	679.29	684.02	454.09	414.87	656.11	759.08	748.61	532.74	409.15	603.67	368.65	775.05	409.15	205.5	1081.39	633.73	262.2	769.69	759.08	698.41	486.75	406.31	500.46	591.22	3146.52	595.34	753.83	423.61	507.46	395.18	2367.9	872.1	890.44	389.72	435.55	490.14	438.59	493.56	406.31	339.14	412.0	329.84	356.05	329.84	587.13	366.09	316.37	397.93	253.23	525.39	256.78	0.0	0.35
APLN	52.82	116.78	223.41	166.73	27.64	163.28	38.12	20.11	389.72	87.65	356.05	57.08	291.04	45.21	33.3	37.05	114.36	61.25	166.73	144.01	49.21	124.37	38.4	22.1	134.3	66.18	212.78	323.03	155.5	293.07	159.9	53.57	190.34	171.45	78.34	356.05	19.68	6.21	2.03	2.56	5.36	2.25	11.73	4.24	17.77	3.23	6.36	13.22	0.58	10.88	14.03	12.18	3.86	1.45	0.0	0.0
ARSD	1159.07	1030.12	1359.57	1242.34	1175.27	1008.9	688.78	511.0	454.09	1088.92	1733.13	1159.07	1594.73	435.55	4095.0	693.58	1457.23	796.86	1388.16	684.02	1832.01	1322.37	974.5	476.71	974.5	2777.33	624.99	842.36	1427.22	1088.92	1216.75	2573.36	830.75	1936.53	1044.52	842.36	1051.79	587.13	607.87	693.58	466.88	884.29	457.25	1191.69	954.43	551.56	780.44	848.22	974.5	414.87	1081.39	587.13	934.76	890.44	299.25	194.36
ASB15	0.36	0.0	0.0	1.22	11.47	1.04	0.0	0.3	0.0	0.0	0.0	1.91	9.85	2.36	13.62	1.06	1.69	0.96	3.76	1.5	5.11	4.43	9.41	0.0	2.34	0.0	0.74	63.0	0.0	4.28	7.63	1.95	1.99	4.62	2.05	0.59	7.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ATP1A3	41.52	3.41	15.8	180.02	334.46	29.06	36.79	1.0	1.46	3.32	1.38	241.19	303.44	432.53	607.87	62.12	10.31	5.92	1407.55	14.24	470.14	429.54	100.83	53.19	13.32	117.6	1.6	743.43	271.48	68.07	2.29	16.03	1.45	223.41	163.28	1.58	8.13	0.73	6.36	2.36	2.18	0.0	2.94	0.66	0.0	1.83	0.0	1.2	4.86	2.84	2.68	1.77	0.44	0.0	0.0	0.16
ATP6AP1	7331.05	8421.31	10959.3	8421.31	10733.74	8778.97	5183.54	4210.15	4481.23	4038.61	6699.25	9025.81	12943.04	4358.66	15499.21	5292.48	11189.6	6207.38	6337.83	8598.28	10585.95	5791.62	7749.1	9215.48	6121.9	10440.2	6426.31	5672.41	12589.08	7130.55	7695.57	6840.04	5403.7	6381.92	10296.45	8718.32	4298.64	1008.9	1359.57	1407.55	988.12	1001.93	1427.22	1242.34	981.29	1151.06	981.29	967.76	1183.45	1119.56	1096.5	1073.91	981.29	500.46	0.0	0.78
ATP6V1E2	158.79	23.59	234.57	161.02	289.02	119.26	57.89	273.37	118.43	147.06	150.17	111.99	193.01	96.68	178.77	63.89	265.87	206.94	43.94	159.9	279.14	224.97	157.68	130.6	172.65	134.3	148.09	264.03	206.94	199.85	265.87	232.94	114.36	371.22	244.57	246.28	212.78	36.27	35.0	63.89	27.25	33.78	43.63	30.12	25.35	54.33	22.92	54.33	53.57	47.84	59.55	45.53	31.22	51.71	0.0	0.29
BEX1	4836.35	624.99	1407.55	2224.63	6121.9	95.34	63.89	144.01	0.0	14.24	5633.22	8840.04	2047.0	412.0	669.92	32.82	551.56	0.0	9.48	1508.65	1819.35	1.08	3303.0	176.29	1.62	3847.29	8.71	1.43	4010.71	2555.58	0.0	185.11	12.45	11267.44	2384.37	11745.96	3955.48	75.64	80.01	87.03	74.58	34.26	33.06	43.02	81.71	12.0	42.11	41.22	48.87	58.71	80.57	45.53	15.0	57.89	0.0	0.29
BIRC6	703.28	309.83	896.64	884.29	571.05	595.34	738.29	525.39	555.41	497.0	536.45	571.05	759.08	660.68	651.58	547.75	941.27	503.95	660.68	579.04	563.18	1242.34	878.17	718.08	511.0	1037.29	551.56	884.29	743.43	1135.2	612.11	503.95	642.59	1096.5	595.34	620.67	460.44	403.5	483.38	420.68	316.37	307.69	212.78	420.68	279.14	363.56	283.05	343.89	450.94	316.37	371.22	287.01	218.79	214.27	0.0	0.88
C11orf74	463.65	307.69	295.11	414.87	358.54	348.71	194.36	118.43	329.84	406.31	507.46	381.68	536.45	297.17	387.02	215.77	497.0	395.18	435.55	336.79	503.95	264.03	283.05	293.07	178.77	529.06	493.56	1191.69	307.69	348.71	242.88	791.35	470.14	575.03	629.35	616.37	126.12	287.01	351.14	312.0	303.44	258.57	195.72	236.21	224.97	297.17	206.94	289.02	305.55	332.14	279.14	358.54	246.28	93.35	0.0	0.07
C12orf60	31.67	27.05	71.0	132.44	43.94	34.02	15.0	87.65	60.82	28.65	249.73	70.51	66.18	50.63	125.24	40.93	271.48	237.86	403.5	40.93	74.06	1001.93	297.17	27.05	131.51	463.65	50.98	1159.07	64.34	22.92	63.89	57.08	63.0	884.29	63.45	353.59	47.84	58.3	48.52	38.12	43.32	38.67	17.9	35.25	24.28	80.57	12.83	20.71	59.97	33.3	34.51	49.21	70.51	10.47	0.0	0.0
C1orf111	23.25	0.65	0.39	33.54	55.89	2.84	2.71	0.65	5.15	1.83	3.26	11.21	7.63	5.19	52.82	2.16	7.22	0.0	151.22	0.0	75.64	31.67	23.76	1.62	5.68	46.5	0.79	18.03	2.63	0.67	4.43	1.04	37.32	122.64	15.56	125.24	4.62	10.39	0.0	5.5	1.04	1.01	20.56	1.06	2.41	1.11	3.99	0.0	1.01	1.08	0.0	1.81	4.28	0.0	0.0	0.03
C22orf26	10.47	8.99	9.85	16.03	10.96	6.31	5.02	12.74	10.79	12.64	12.0	6.41	5.41	9.85	6.06	14.56	10.55	4.54	9.34	17.38	5.54	4.86	5.19	7.51	6.26	9.56	10.0	10.0	4.54	29.06	4.74	3.35	5.73	18.16	8.32	12.55	7.75	1.27	4.78	3.44	3.66	0.57	1.99	1.66	0.0	1.2	0.0	1.68	2.03	1.71	2.66	2.27	3.82	0.72	0.0	0.0
C2orf70	111.21	1.22	35.0	2.16	39.5	3.82	3.0	2.12	13.62	53.19	1.62	0.0	102.97	90.14	36.79	6.62	36.27	2.27	14.56	28.04	2.92	0.67	6.46	53.95	15.22	52.82	3.72	191.67	0.0	4.03	80.57	10.0	0.37	40.93	22.59	1.5	6.52	1.17	0.0	3.14	0.0	1.45	0.0	0.0	1.5	1.64	0.0	3.47	0.0	0.0	0.55	0.57	0.0	0.0	0.0	0.0
CA8	120.94	376.41	4.86	248.0	281.09	1.93	381.68	231.32	591.22	480.04	318.57	6.36	256.78	769.69	38.4	780.44	34.26	136.19	33.54	76.17	1.81	454.09	127.0	139.07	1.66	429.54	8.85	796.86	381.68	842.36	102.97	260.38	63.0	432.53	108.14	441.64	264.03	3.53	1.27	1.75	0.0	0.0	0.0	1.66	0.0	0.0	0.55	0.62	2.94	0.0	0.6	0.64	0.0	0.09	0.0	0.16
