	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.OXRL.1426.SM.3NM9E	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.JY.A6FD.01A.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.7261.11A.01R.2016.07	TCGA.KL.8325.01A.11R.2315.07	TCGA.KO.8410.01A.11R.2315.07	TCGA.AK.3443.01A.02R.1325.07	TCGA.B0.4834.01A.01R.1305.07	TCGA.B8.4619.01A.02R.1325.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.DD.A39W.01A.11R.A213.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.4294.01A.01R.1131.13
ABHD17A	2351.53	1151.06	1286.18	1844.76	1662.49	2104.58	1242.34	1721.16	1651.0	1369.04	1977.24	2537.92	1191.69	629.35	842.36	748.61	769.69	854.13	921.88	616.37	708.18	647.07	728.11	426.57	1037.29	1685.71	1685.71	1233.75	1721.16	1073.91	1832.01	974.5
ADRBK1	2133.97	1216.75	2255.7	2163.77	1407.55	3639.7	2335.28	1977.24	2502.97	2004.85	3639.7	2119.22	1583.71	651.58	872.1	395.18	414.87	497.0	486.75	486.75	647.07	521.76	514.56	595.34	703.28	1896.65	1617.0	961.07	1447.15	884.29	825.0	348.71
AGTRAP	4972.34	848.22	2335.28	2148.82	3190.46	4010.71	2739.08	1991.0	2417.67	2047.0	6121.9	1295.13	941.27	323.03	435.55	669.92	353.59	373.81	2133.97	1250.98	1529.73	1950.0	1519.15	384.34	1745.2	872.1	1225.22	1216.75	884.29	1519.15	1268.46	629.35
AL353583.1	13.93	0.0	2.51	4.35	2.23	1.99	1.89	6.84	4.9	2.05	2.73	4.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	1.07	0.0	0.0	0.0	0.0
ANXA1	1970321.01	1721.16	447025.24	721179.07	228208.61	682276.92	517068.97	1355129.16	711250.37	453265.5	140478.49	1364554.84	180294.02	638.15	1407.55	1008.9	1498.22	2835.7	934.76	674.59	1697.45	1594.73	1277.29	186.4	573724.06	958220.73	834179.46	422911.59	863596.77	554180.87	789181.81	490.14
CDKN2D	785.88	255.0	540.19	450.94	387.02	543.96	476.71	457.25	432.53	441.64	967.76	332.14	279.14	172.65	127.89	163.28	114.36	164.42	119.26	120.94	206.94	127.89	134.3	84.04	339.14	591.22	432.53	312.0	559.28	312.0	543.96	57.89
CGB7	255.0	1.46	23.93	40.07	167.9	155.5	242.88	52.82	37.05	14.89	111.99	71.5	11.47	1.0	3.66	0.74	0.0	1.27	0.0	1.83	3.35	1.14	0.0	0.0	4.39	23.42	27.25	8.06	14.56	3.11	11.55	1.22
DAGLB	723.08	262.2	490.14	327.56	595.34	379.04	323.03	295.11	435.55	438.59	420.68	366.09	291.04	135.24	75.64	133.36	170.25	199.85	152.28	162.14	177.53	151.22	164.42	217.27	223.41	185.11	273.37	234.57	248.0	285.03	320.8	283.05
DGKA	33922.56	571.05	5791.62	13033.07	7280.4	8134.41	10084.54	18431.96	12244.81	4671.57	5183.54	17317.18	3103.19	23.76	166.73	36.01	129.69	186.4	86.43	103.69	171.45	116.78	100.13	191.67	2303.12	5954.47	2777.33	2915.45	4543.8	3742.05	5041.77	285.03
GABRE	2875.3	117.6	1733.13	1529.73	1529.73	2090.03	2816.11	2384.37	1923.14	780.44	3928.15	1529.73	202.66	4.5	74.06	36.79	181.28	122.64	39.22	19.97	120.94	24.99	22.43	15.8	30.78	255.0	470.14	312.0	228.13	253.23	124.37	8.45
GTPBP2	2119.22	718.08	2537.92	2090.03	2351.53	1781.89	1628.26	2609.3	2645.74	1697.45	1551.09	1909.85	1277.29	204.07	341.51	476.71	575.03	624.99	332.14	275.28	493.56	358.54	279.14	301.33	647.07	878.17	775.05	1216.75	1135.2	884.29	698.41	154.42
HES2	40062.48	50.27	1331.57	2777.33	2935.74	2777.33	4512.4	2400.97	1674.06	571.05	3235.01	6561.36	248.0	0.67	3.63	0.0	0.47	1.68	35.25	38.95	8.25	43.02	42.11	0.0	928.3	1583.71	1277.29	764.36	1427.22	1008.9	1340.84	0.32
HES5	111.21	5.23	38.67	51.35	11.82	119.26	25.54	46.84	28.04	10.88	19.68	35.5	5.32	1.64	2.01	0.72	6.78	3.72	0.41	0.45	0.0	0.0	0.79	1.08	0.0	75.11	28.65	4.82	24.46	35.25	105.15	0.0
HIST1H1E	123.5	9.7	8.85	24.81	26.86	58.71	35.0	10.88	39.79	27.64	39.5	21.32	6.21	1.62	2.41	14.67	2.25	8.99	5.68	3.11	11.91	2.23	6.26	8.25	5.36	3.99	69.52	6.52	36.01	9.2	26.28	7.11
IER5	2573.36	435.55	2090.03	1467.37	796.86	1378.57	1561.89	1794.29	1359.57	1191.69	1832.01	1781.89	830.75	84.04	379.04	198.47	81.71	141.02	108.14	110.43	283.05	190.34	186.4	127.89	1427.22	1617.0	2255.7	1216.75	2255.7	1378.57	1709.26	239.52
IRF9	9409.14	1191.69	3257.52	3146.52	4095.0	4328.55	3395.89	3303.0	3742.05	2451.44	6294.04	1143.1	866.07	220.32	848.22	665.29	941.27	769.69	1015.93	775.05	1096.5	1250.98	878.17	890.44	483.38	1674.06	1127.35	1059.11	2133.97	808.0	633.73	1096.5
KRT4	3.697379928E7	8.13	1402917.72	1.810644424E7	716197.51	746611.43	6140819.49	2.276004283E7	3359929.59	1383603.33	1800541.22	3.109113511E7	428815.23	0.0	0.0	0.0	0.0	1.79	1.75	1.0	2.66	1.62	0.88	0.0	1.236706555E7	2.900905474E7	6357375.06	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7	0.0
LIN7B	819.3	236.21	293.07	371.22	231.32	320.8	457.25	457.25	389.72	199.85	373.81	476.71	199.85	164.42	140.04	73.03	96.01	125.24	122.64	106.63	127.0	100.13	133.36	195.72	152.28	358.54	190.34	265.87	376.41	273.37	329.84	166.73
LY6E	48643.87	2224.63	10733.74	9088.59	30785.28	23330.64	11584.24	13399.51	11664.82	10808.41	28923.41	4481.23	4575.41	44.89	361.04	87.65	314.17	743.43	2976.74	1605.83	2976.74	2855.44	2816.11	1447.15	7032.37	9215.48	7537.18	8778.97	9409.14	5255.91	7280.4	1167.14
ODF3B	4512.4	211.31	866.07	1208.34	1794.29	2935.74	1127.35	961.07	1127.35	1447.15	3124.78	603.67	277.2	7.63	131.51	14.56	26.1	111.99	69.52	35.25	71.0	76.71	58.3	297.17	283.05	620.67	660.68	624.99	473.41	281.09	384.34	395.18
PADI1	52863.07	5.92	48982.22	93325.55	9606.86	13306.94	43840.21	167058.21	93325.55	25530.66	6337.83	343510.77	2796.65	0.0	0.43	0.39	0.48	5.02	0.83	0.0	0.84	0.77	0.41	0.0	4152.18	5041.77	3820.7	6037.61	6079.61	8479.89	6840.04	0.0
PHLDA3	5913.33	1044.52	2271.4	3039.3	2816.11	3794.3	3794.3	3325.99	2816.11	2627.46	4095.0	3212.66	1051.79	368.65	836.53	277.2	60.39	217.27	199.85	159.9	381.68	289.02	258.57	59.13	2609.3	1896.65	2384.37	1639.59	2537.92	2104.58	1617.0	406.31
PLD2	6745.86	265.87	3847.29	5366.37	2915.45	4869.99	3146.52	7803.01	5366.37	2287.2	1857.6	5479.15	1721.16	57.49	141.02	162.14	202.66	199.85	148.09	152.28	182.55	111.21	159.9	169.07	417.77	3928.15	1340.84	1467.37	2178.83	1277.29	1819.35	316.37
PRICKLE3	1498.22	142.01	414.87	620.67	909.17	753.83	518.15	660.68	642.59	348.71	417.77	733.19	466.88	264.03	281.09	165.57	110.43	108.14	80.01	91.41	120.1	87.03	90.77	77.25	301.33	656.11	854.13	366.09	547.75	397.93	497.0	231.32
RHOV	64186.29	49.56	14163.58	19348.38	5255.91	15824.9	12676.65	28923.41	20170.07	6983.79	6121.9	294926.33	2915.45	27.84	149.12	8.78	0.93	139.07	31.22	19.25	83.45	35.25	20.86	0.0	4268.94	7966.99	4095.0	4704.07	8134.41	6887.62	8963.45	90.77
SIPA1	2240.11	860.08	884.29	981.29	1295.13	1322.37	1183.45	934.76	890.44	1250.98	1697.45	1259.69	638.15	334.46	480.04	202.66	466.88	493.56	447.82	289.02	567.1	341.51	414.87	412.0	500.46	366.09	842.36	595.34	1096.5	587.13	669.92	713.11
SLC28A3	1001.93	5.41	629.35	89.51	52.08	178.77	120.1	75.11	145.02	563.18	289.02	139.07	27.05	0.65	0.8	0.0	0.45	5.32	0.4	0.0	0.83	0.38	0.39	0.0	8.19	3.92	23.08	33.54	27.25	27.05	11.82	1.13
SLFN5	656.11	173.85	273.37	221.86	314.17	314.17	339.14	150.17	305.55	185.11	312.0	148.09	167.9	30.12	85.22	31.45	117.6	68.07	76.17	139.07	119.26	94.01	124.37	26.47	287.01	123.5	175.07	215.77	199.85	172.65	108.14	80.57
SPHK1	2537.92	129.69	555.41	1259.69	1250.98	1709.26	764.36	1225.22	1250.98	1143.1	1304.15	884.29	438.59	7.06	39.5	5.11	22.75	21.94	32.13	10.08	108.9	21.63	17.64	24.63	759.08	703.28	389.72	651.58	470.14	409.15	679.29	56.68
SSH3	6207.38	796.86	1721.16	2163.77	1745.2	2835.7	2133.97	2609.3	2148.82	1819.35	1991.0	2163.77	1233.75	872.1	409.15	285.03	199.85	429.54	275.28	273.37	373.81	397.93	356.05	199.85	429.54	2090.03	1119.56	1277.29	2664.15	1030.12	1175.27	297.17
TBC1D3	603.67	44.89	387.02	406.31	180.02	299.25	265.87	327.56	77.79	414.87	108.14	341.51	165.57	25.54	54.72	74.58	84.63	108.14	23.93	15.22	43.63	32.36	14.67	35.0	85.22	149.12	91.41	93.35	299.25	131.51	140.04	78.34
TMEM88B	25.91	1.16	4.24	25.54	20.71	8.38	34.51	28.86	25.35	14.78	11.13	8.13	3.32	0.0	0.0	0.0	0.0	0.0	0.0	9.13	2.61	1.55	0.0	0.0	2.86	0.0	6.84	0.0	5.45	2.78	0.0	0.0
TNFAIP2	19754.96	1159.07	5403.7	5076.84	3768.09	6164.49	5995.9	7280.4	10659.59	5791.62	6426.31	5594.3	2796.65	63.89	457.25	74.06	314.17	748.61	529.06	283.05	525.39	633.73	414.87	258.57	2664.15	4419.52	2335.28	2255.7	5594.3	2240.11	3168.41	202.66
TNK2	2075.59	447.82	1844.76	1819.35	1709.26	2682.69	1628.26	1883.54	2468.49	2739.08	1769.57	1721.16	708.18	279.14	166.73	110.43	332.14	447.82	148.09	186.4	307.69	148.09	201.25	500.46	258.57	872.1	1498.22	708.18	1143.1	620.67	860.08	157.68
TSC22D4	2875.3	1417.35	1407.55	1857.6	1909.85	1806.78	1977.24	2555.58	1857.6	1883.54	2758.13	2502.97	1594.73	1008.9	395.18	1015.93	579.04	759.08	647.07	825.0	1088.92	813.63	1030.12	571.05	669.92	665.29	836.53	1037.29	1015.93	1088.92	1127.35	379.04
TTYH1	450.94	107.38	158.79	178.77	56.68	116.78	117.6	180.02	366.09	218.79	127.89	182.55	96.01	3.29	4.9	1.45	7.28	8.71	6.57	2.73	19.11	0.4	2.01	0.0	13.22	46.18	74.06	25.72	115.97	52.08	47.17	10.63
TYMP	33455.53	384.34	7130.55	5403.7	22225.61	31432.17	6079.61	6983.79	10585.95	5594.3	14065.74	2119.22	934.76	40.64	698.41	36.79	51.71	202.66	208.38	85.82	152.28	215.77	164.42	246.28	2701.35	3491.39	6381.92	2133.97	2956.17	1340.84	1844.76	239.52
XDH	2796.65	43.63	848.22	638.15	305.55	193.01	660.68	194.36	1844.76	1662.49	46.5	423.61	105.15	0.0	9.2	0.0	0.47	1.68	0.83	0.92	3.72	1.13	1.97	8.25	68.55	16.39	708.18	88.88	25.72	153.34	33.78	14.24
ZNF117	1081.39	39.22	361.04	265.87	94.67	144.01	307.69	441.64	255.0	244.57	480.04	183.82	92.05	64.8	29.7	24.63	45.53	92.05	29.48	42.41	63.45	53.95	37.59	26.47	16.75	69.03	55.49	81.14	91.41	35.0	83.45	59.55
