	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.OL.A5D7.01A.11R.A27Q.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.49.4510.01A.01R.1206.07	TCGA.44.6776.01A.11R.1858.07	TCGA.86.8674.01A.21R.2403.07	TCGA.97.A4M3.01A.11R.A24X.07	TCGA.86.A4JF.01A.11R.A24X.07	TCGA.35.3615.01A.01R.0946.07	TCGA.91.6849.01A.11R.1949.07	TCGA.86.8281.01A.11R.2287.07	TCGA.62.8397.01A.11R.2326.07	TCGA.67.6215.01A.11R.1755.07	TCGA.80.5608.01A.31R.1949.07	TCGA.50.8460.01A.11R.2326.07	TCGA.44.2655.01A.01R.0946.07	TCGA.49.4486.01A.01R.1206.07	TCGA.49.4506.01A.01R.1206.07	TCGA.73.4677.01A.01R.1206.07	TCGA.64.5774.01A.01R.1628.07	TCGA.78.7537.01A.11R.2066.07	TCGA.49.4494.01A.01R.1206.07	TCGA.05.4390.01A.02R.1755.07	TCGA.69.8253.01A.11R.2287.07	TCGA.NJ.A7XG.01A.12R.A39D.07	GTEX.Y5V6.0226.SM.4V6G7	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13111.0426.SM.5DUXR	GTEX.YF7O.0626.SM.4W21R	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13D11.0326.SM.5LZXX	GTEX.11DXX.0626.SM.5Q5AG	GTEX.Y5LM.0726.SM.4VBRP	GTEX.O5YW.0526.SM.2YUMX	GTEX.RU1J.0126.SM.2TF6Y	GTEX.11DXZ.0726.SM.5N9C4	GTEX.13CF3.0426.SM.5IJEU	GTEX.QDVN.0726.SM.4B64L	GTEX.11EQ9.0226.SM.5A5JX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.XYKS.0526.SM.4BRW2	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.S4Q7.0426.SM.3K2BJ	GTEX.111CU.0326.SM.5GZXO	GTEX.ZLV1.0426.SM.4WWC2	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.R55C.0526.SM.3GIKA	GTEX.WFJO.0326.SM.3GIL3	GTEX.TML8.0326.SM.4GICN	GTEX.RWS6.0226.SM.2XCA9	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.139YR.0926.SM.5LZYB	GTEX.133LE.0526.SM.5N9EJ	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.111YS.0626.SM.5GZXV	GTEX.11I78.0126.SM.5HL6F	GTEX.WFG7.0526.SM.3GIKI	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.WOFM.0126.SM.3MJFE	GTEX.R55G.0826.SM.2TC5U	GTEX.YEC3.0226.SM.5IFJO	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.144GM.0126.SM.5Q5AX	GTEX.PX3G.0526.SM.2I3EM	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.13N2G.0826.SM.5IJE6	GTEX.1339X.0626.SM.5IJER	GTEX.WHPG.1426.SM.3NMBB	GTEX.P4QS.0526.SM.2I3ET	GTEX.1122O.0126.SM.5GICA	GTEX.13N1W.0726.SM.5MR57	GTEX.13QBU.0726.SM.5J2OA	GTEX.WRHU.0226.SM.3MJFV	GTEX.132QS.0726.SM.5IJE9	GTEX.Q2AH.0426.SM.2I3EP	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.ZDTT.0926.SM.5J2MS	GTEX.PWOO.0726.SM.2I3EB	GTEX.XQ3S.0926.SM.4BOPI	GTEX.XGQ4.0826.SM.4AT4T	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.XPVG.1026.SM.4B64Y	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.ZLWG.0626.SM.4WWFR	GTEX.X4LF.0526.SM.3NMB6	GTEX.ZY6K.0326.SM.5SIBB	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.PLZ6.0426.SM.5IFK2	GTEX.S7SF.0426.SM.3K2B7	GTEX.XQ8I.1126.SM.4BOO2	GTEX.Y8E4.0526.SM.4V6GC	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.Y9LG.0526.SM.4VBRY	GTEX.1399U.0826.SM.5KM1P	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.RUSQ.0626.SM.2TF5V	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.RM2N.0426.SM.2TF4T	GTEX.QMRM.0826.SM.3NB33	GTEX.QEG5.1126.SM.33HC2	GTEX.13OVG.0326.SM.5KM57	GTEX.WYVS.0526.SM.3NM9W	TCGA.D7.6820.01A.11R.1884.13
ACADL	0.0	0.0	0.0	24.46	54.33	169.07	7.46	15.8	23.59	13.03	12.93	52.08	2.58	16.27	34.75	187.71	59.55	149.12	3.96	68.07	1.1	0.48	15.56	0.0	23.76	30.56	1119.56	1477.58	1909.85	1225.22	1832.01	567.1	329.84	1685.71	638.15	2555.58	878.17	764.36	75.11	267.73	1378.57	1832.01	1023.0	1250.98	1963.57	339.14	2816.11	947.83	1015.93	1331.57	86.43	199.85	122.64	1135.2	493.56	2075.59	1991.0	2240.11	1896.65	1313.23	620.67	3168.41	759.08	358.54	703.28	343.89	896.64	921.88	2319.15	785.88	1950.0	1883.54	1950.0	2555.58	1208.34	2209.26	351.14	1781.89	114.36	381.68	2400.97	1388.16	703.28	587.13	412.0	170.25	954.43	186.4	848.22	902.89	497.0	708.18	3589.58	1757.34	135.24	265.87	2627.46	4181.07	258.57	2502.97	454.09	1617.0	1572.76	518.15	1073.91	2255.7	476.71	1457.23	1183.45	1936.53	113.56	1950.0	620.67	1457.23	220.32	785.88	1617.0	708.18	2555.58	934.76	2193.99	1662.49	669.92	703.28	291.04	896.64	3103.19	1498.22	1208.34	866.07	921.88	2271.4	217.27	1.95
ADD3	53.19	176.29	172.65	358.54	371.22	384.34	275.28	178.77	277.2	193.01	403.5	343.89	830.75	138.1	228.13	309.83	521.76	228.13	147.06	316.37	81.14	285.03	133.36	119.26	303.44	312.0	728.11	728.11	575.03	633.73	409.15	366.09	733.19	543.96	341.51	1135.2	651.58	1119.56	403.5	555.41	438.59	830.75	368.65	638.15	1051.79	267.73	532.74	791.35	521.76	540.19	320.8	551.56	175.07	591.22	466.88	555.41	1721.16	1225.22	909.17	1135.2	785.88	595.34	454.09	301.33	698.41	336.79	872.1	941.27	830.75	412.0	723.08	540.19	723.08	860.08	665.29	1001.93	860.08	988.12	466.88	708.18	896.64	753.83	1794.29	540.19	620.67	392.44	583.07	819.3	473.41	2400.97	361.04	728.11	629.35	629.35	299.25	1225.22	1135.2	1397.83	409.15	587.13	819.3	967.76	583.07	277.2	536.45	1250.98	423.61	476.71	420.68	759.08	275.28	567.1	674.59	629.35	242.88	246.28	718.08	239.52	854.13	470.14	1159.07	1277.29	791.35	599.49	218.79	1081.39	674.59	555.41	896.64	1135.2	1437.15	961.07	483.38	329.84
AKAP11	74.58	55.89	43.02	59.13	77.25	153.34	64.34	164.42	149.12	120.1	125.24	195.72	69.03	159.9	122.64	77.79	111.21	80.57	74.06	172.65	152.28	176.29	66.65	135.24	156.59	111.21	307.69	229.72	305.55	291.04	241.19	128.79	155.5	486.75	273.37	579.04	256.78	171.45	117.6	138.1	277.2	295.11	218.79	329.84	285.03	164.42	246.28	223.41	226.54	221.86	140.04	133.36	115.16	215.77	197.09	429.54	444.72	303.44	256.78	343.89	204.07	206.94	186.4	201.25	208.38	141.02	279.14	242.88	503.95	155.5	463.65	368.65	336.79	343.89	329.84	297.17	152.28	351.14	90.14	147.06	279.14	273.37	301.33	152.28	191.67	155.5	239.52	145.02	183.82	366.09	202.66	236.21	307.69	301.33	86.43	93.35	226.54	301.33	194.36	397.93	232.94	325.29	197.09	277.2	295.11	277.2	171.45	285.03	212.78	164.42	96.68	189.02	269.6	239.52	122.64	209.84	241.19	190.34	361.04	237.86	339.14	406.31	187.71	187.71	204.07	232.94	353.59	283.05	397.93	460.44	194.36	195.72	187.71	197.09
ANGPT1	16.27	1.95	1.83	3.72	189.02	96.01	7.63	74.06	21.78	126.12	84.63	48.87	35.25	29.91	45.21	84.63	103.69	36.79	20.41	80.01	37.05	58.71	15.56	39.22	39.5	17.9	423.61	256.78	1030.12	242.88	332.14	59.97	332.14	1259.69	532.74	808.0	713.11	231.32	39.5	248.0	316.37	379.04	348.71	518.15	256.78	205.5	329.84	376.41	679.29	293.07	7.63	215.77	146.03	267.73	309.83	785.88	1447.15	813.63	447.82	665.29	269.6	293.07	139.07	116.78	624.99	29.06	1286.18	995.0	1030.12	94.67	941.27	587.13	872.1	460.44	967.76	441.64	295.11	1015.93	21.16	155.5	220.32	400.71	497.0	126.12	264.03	128.79	441.64	98.73	536.45	575.03	376.41	198.47	376.41	473.41	38.12	153.34	152.28	500.46	146.03	748.61	269.6	988.12	708.18	165.57	450.94	248.0	221.86	147.06	183.82	507.46	94.01	303.44	271.48	381.68	37.32	395.18	147.06	226.54	466.88	325.29	414.87	647.07	595.34	234.57	164.42	356.05	389.72	346.29	476.71	1023.0	253.23	323.03	112.77	5.23
ANKS1A	151.22	150.17	271.48	132.44	172.65	486.75	255.0	229.72	202.66	201.25	182.55	334.46	177.53	248.0	318.57	177.53	162.14	176.29	106.63	318.57	309.83	145.02	118.43	267.73	183.82	241.19	1175.27	540.19	785.88	403.5	813.63	381.68	353.59	1268.46	555.41	1167.14	769.69	368.65	244.57	525.39	525.39	947.83	674.59	743.43	674.59	620.67	1208.34	1059.11	620.67	503.95	314.17	320.8	180.02	540.19	486.75	941.27	748.61	693.58	454.09	1437.15	507.46	1015.93	435.55	262.2	532.74	511.0	785.88	688.78	713.11	490.14	674.59	819.3	974.5	1037.29	497.0	728.11	638.15	536.45	242.88	376.41	915.51	796.86	808.0	406.31	414.87	327.56	1023.0	454.09	420.68	1769.57	490.14	909.17	1008.9	1081.39	262.2	412.0	559.28	1427.22	397.93	1127.35	346.29	785.88	567.1	379.04	540.19	1104.13	293.07	753.83	723.08	511.0	193.01	753.83	318.57	532.74	316.37	463.65	988.12	518.15	954.43	759.08	665.29	872.1	483.38	842.36	532.74	723.08	967.76	624.99	620.67	1697.45	555.41	1023.0	327.56	376.41
C14orf132	8.45	2.92	2.05	24.11	77.25	64.8	16.03	68.07	21.94	36.53	58.3	47.17	58.71	33.78	46.5	59.55	73.03	169.07	24.11	35.0	50.98	61.25	25.17	47.84	38.95	38.12	1304.15	555.41	1572.76	198.47	728.11	208.38	206.94	813.63	769.69	2319.15	915.51	460.44	68.55	392.44	647.07	595.34	521.76	878.17	902.89	406.31	2739.08	928.3	674.59	397.93	114.36	162.14	40.07	665.29	356.05	1191.69	961.07	954.43	603.67	848.22	417.77	2133.97	497.0	113.56	769.69	450.94	934.76	684.02	1295.13	426.57	1331.57	1135.2	1119.56	1277.29	1233.75	1127.35	379.04	928.3	107.38	387.02	1066.48	1331.57	830.75	163.28	454.09	166.73	1477.58	267.73	353.59	974.5	279.14	738.29	1674.06	1529.73	167.9	368.65	802.41	2537.92	146.03	1651.0	267.73	1233.75	656.11	460.44	830.75	1183.45	224.97	1159.07	713.11	1268.46	128.79	836.53	212.78	974.5	109.66	389.72	974.5	194.36	1857.6	629.35	780.44	842.36	656.11	748.61	305.55	525.39	1950.0	629.35	902.89	1427.22	555.41	1277.29	172.65	19.39
C20orf194	44.25	67.59	37.59	29.06	86.43	68.55	47.5	90.14	52.82	76.71	109.66	88.88	185.11	76.71	67.12	73.03	83.45	63.89	35.25	100.83	55.89	87.03	27.84	29.27	76.17	118.43	356.05	251.48	323.03	376.41	152.28	138.1	176.29	303.44	162.14	293.07	287.01	334.46	57.08	147.06	202.66	283.05	164.42	387.02	400.71	327.56	275.28	275.28	180.02	228.13	49.91	72.52	91.41	226.54	142.01	463.65	343.89	387.02	309.83	457.25	309.83	366.09	137.14	194.36	166.73	139.07	406.31	368.65	265.87	423.61	206.94	309.83	341.51	540.19	265.87	341.51	221.86	255.0	43.94	231.32	435.55	318.57	483.38	148.09	199.85	161.02	239.52	82.29	285.03	346.29	236.21	323.03	381.68	363.56	142.01	191.67	197.09	406.31	94.67	301.33	438.59	253.23	381.68	287.01	265.87	381.68	242.88	251.48	204.07	152.28	87.65	169.07	228.13	269.6	84.04	253.23	521.76	220.32	295.11	336.79	387.02	441.64	170.25	567.1	178.77	483.38	620.67	241.19	283.05	555.41	303.44	339.14	208.38	55.1
C3orf58	155.5	74.06	56.28	82.29	87.65	76.71	84.63	183.82	117.6	105.15	142.01	129.69	90.14	120.1	53.57	153.34	181.28	115.97	114.36	130.6	77.25	125.24	123.5	129.69	82.29	89.51	483.38	339.14	134.3	169.07	438.59	75.11	473.41	361.04	287.01	368.65	376.41	146.03	70.51	209.84	269.6	406.31	356.05	429.54	325.29	100.13	307.69	138.1	785.88	231.32	170.25	155.5	229.72	258.57	191.67	208.38	743.43	486.75	316.37	363.56	220.32	579.04	246.28	195.72	112.77	190.34	1073.91	214.27	417.77	118.43	796.86	665.29	1417.35	246.28	248.0	341.51	85.22	629.35	55.49	147.06	293.07	305.55	197.09	38.12	283.05	111.21	182.55	69.03	140.04	358.54	156.59	323.03	460.44	336.79	27.05	30.56	551.56	215.77	112.77	329.84	299.25	161.02	293.07	144.01	361.04	358.54	143.01	356.05	170.25	420.68	189.02	102.97	358.54	275.28	109.66	291.04	291.04	307.69	373.81	129.69	205.5	1407.55	718.08	217.27	258.57	529.06	212.78	281.09	483.38	878.17	148.09	136.19	656.11	56.28
CNKSR2	1.93	0.33	8.0	0.0	5.28	6.31	2.23	12.93	2.07	3.66	7.75	3.96	2.23	5.45	3.5	14.89	3.86	3.96	0.56	3.29	9.56	2.76	1.08	9.2	3.79	9.56	54.72	29.27	48.87	16.88	35.0	28.45	24.99	125.24	65.72	194.36	87.03	9.41	1.0	17.51	90.77	78.89	22.26	49.91	87.65	16.75	18.16	78.34	28.65	21.32	6.52	7.69	4.06	18.03	7.69	56.28	115.97	44.57	36.27	305.55	31.0	22.92	27.84	4.62	50.27	5.5	84.04	16.75	105.89	18.03	36.01	56.68	229.72	29.06	32.82	62.56	81.71	79.45	1.03	27.84	17.51	41.52	26.47	4.54	25.72	13.62	50.98	12.64	29.7	43.02	30.34	22.26	83.45	122.64	1.64	50.63	71.5	141.02	21.32	113.56	20.86	42.71	31.45	21.47	55.89	77.79	10.39	19.11	24.11	26.47	7.4	26.1	10.31	21.01	4.98	25.72	29.91	28.45	40.93	13.03	53.19	111.99	30.12	27.44	33.54	28.65	134.3	28.65	72.01	121.79	43.32	110.43	10.63	0.93
CPED1	9.34	11.82	7.69	3.35	43.32	44.89	10.71	38.12	22.92	59.13	43.32	34.75	66.65	51.35	20.56	52.82	51.35	7.69	14.35	37.32	12.64	47.5	36.53	18.7	33.06	22.26	170.25	208.38	647.07	171.45	146.03	115.97	161.02	532.74	432.53	518.15	256.78	88.88	25.35	95.34	218.79	176.29	224.97	414.87	167.9	91.41	173.85	211.31	185.11	125.24	111.21	50.98	152.28	176.29	66.65	341.51	260.38	320.8	277.2	417.77	260.38	220.32	128.79	77.25	248.0	87.03	403.5	371.22	381.68	50.27	246.28	301.33	511.0	212.78	234.57	143.01	466.88	271.48	30.78	156.59	242.88	126.12	336.79	42.71	152.28	52.82	384.34	392.44	137.14	738.29	189.02	269.6	303.44	514.56	23.08	120.94	199.85	384.34	301.33	242.88	332.14	273.37	177.53	66.18	169.07	209.84	71.0	177.53	177.53	96.68	26.67	115.16	149.12	139.07	11.13	61.25	208.38	209.84	307.69	167.9	177.53	457.25	150.17	163.28	358.54	172.65	151.22	178.77	595.34	866.07	128.79	346.29	71.0	11.73
