	TCGA.BH.A0BJ.11A.23R.A089.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.ZF29.1926.SM.5S2P1	GTEX.TMMY.0726.SM.33HBE	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.Y5V5.1626.SM.4VDSG	GTEX.13NZB.1226.SM.5J2MW	GTEX.WEY5.0926.SM.4LMI4	GTEX.WVLH.1426.SM.4MVNX	GTEX.S341.0526.SM.4AD5U	GTEX.XQ3S.1126.SM.4BOPK
ADAMTSL5	87.03	29.7	46.84	27.44	45.21	23.59	713.11	848.22	426.57	521.76	336.79	518.15	258.57	981.29
ANXA1	12943.04	26431.04	33455.53	19082.0	11504.21	12076.21	1970321.01	209994.66	132900.7	95949.32	136637.07	113315.62	185362.8	162489.97
ARL4D	246.28	332.14	98.73	384.34	118.43	98.04	7857.29	3742.05	2018.8	4181.07	1159.07	1819.35	2520.38	3847.29
ASCC2	961.07	860.08	1111.82	651.58	808.0	909.17	3103.19	2133.97	2451.44	2777.33	1883.54	2417.67	1977.24	2816.11
BAK1	323.03	366.09	115.97	146.03	287.01	193.01	1427.22	414.87	684.02	995.0	371.22	780.44	759.08	1175.27
BIK	249.73	165.57	119.26	45.21	180.02	136.19	4152.18	2133.97	389.72	738.29	144.01	417.77	309.83	195.72
BOK	438.59	941.27	267.73	312.0	638.15	836.53	954.43	1081.39	934.76	1427.22	665.29	1199.98	819.3	1721.16
C11orf31	1844.76	2537.92	1259.69	759.08	1794.29	1096.5	4575.41	3235.01	3467.27	4095.0	2303.12	4268.94	2591.27	4268.94
C19orf43	2777.33	3639.7	2915.45	1662.49	2224.63	2537.92	3190.46	5594.3	4419.52	5594.3	2777.33	4836.35	3690.52	5872.48
C1orf210	457.25	363.56	193.01	78.34	197.09	201.25	2796.65	1378.57	647.07	785.88	406.31	579.04	547.75	748.61
C1orf233	132.44	92.05	39.5	25.54	101.54	77.25	813.63	718.08	392.44	543.96	163.28	444.72	283.05	460.44
CCDC124	1127.35	1540.37	206.94	218.79	473.41	346.29	3395.89	2591.27	2090.03	2367.9	1639.59	2090.03	1923.14	3303.0
CD164L2	105.15	91.41	28.65	44.89	66.18	47.5	5292.48	4388.98	647.07	703.28	146.03	361.04	232.94	208.38
