	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.AR.A252.01A.11R.A169.07	TCGA.A2.A3XW.01A.11R.A239.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13O61.1226.SM.5KM21	TCGA.55.7815.01A.11R.2170.07	TCGA.55.7727.01A.11R.2170.07	TCGA.44.3918.01A.01R.A278.07	TCGA.55.7724.01A.11R.2170.07	TCGA.44.2656.01A.02R.A278.07	TCGA.55.7725.01A.11R.2170.07	GTEX.ZDYS.0426.SM.5IJEQ	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.HF.7132.01A.11R.2055.13	TCGA.BR.6564.01A.12R.1884.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CG.4476.01A.01R.1157.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	TCGA.BK.A26L.01A.11R.A277.07
ABHD17A	177.53	320.8	3349.13	339.14	334.46	258.57	89.51	1397.83	55.89	178.77	35.0	122.64	63.89	139.07	1037.29	1167.14	2224.63	1519.15	2133.97	1757.34	947.83	651.58	591.22	1883.54	503.95	1259.69	1936.53	2018.8	2133.97	1697.45	1909.85	2303.12	2075.59	1923.14	2047.0	43.02
AKT1	603.67	2303.12	1883.54	1508.65	743.43	738.29	1051.79	2573.36	967.76	981.29	743.43	1519.15	1175.27	1001.93	2627.46	1991.0	2591.27	2796.65	3768.09	3639.7	2796.65	1819.35	1685.71	3589.58	1936.53	2997.45	3039.3	2875.3	3742.05	2485.67	2682.69	2451.44	2555.58	2502.97	2335.28	2061.24
ANAPC2	265.87	267.73	1191.69	314.17	318.57	212.78	316.37	854.13	70.51	205.5	138.1	102.25	145.02	177.53	748.61	723.08	703.28	921.88	915.51	830.75	497.0	486.75	660.68	748.61	473.41	567.1	656.11	780.44	718.08	688.78	536.45	791.35	642.59	532.74	583.07	93.35
ANKRD16	62.12	59.97	251.48	97.36	111.99	89.51	55.1	128.79	45.53	73.03	70.51	59.13	58.3	106.63	74.58	130.6	165.57	162.14	118.43	102.97	87.03	135.24	98.73	220.32	142.01	159.9	77.79	145.02	111.99	164.42	143.01	165.57	178.77	236.21	145.02	74.06
ANKRD24	2.2	5.73	31.0	6.01	5.92	4.98	5.45	32.59	3.41	10.0	2.76	7.57	14.78	6.26	36.79	23.76	26.86	9.93	26.28	15.68	21.94	8.85	8.58	22.1	5.96	8.0	11.04	12.36	20.41	32.36	26.1	17.38	22.59	21.01	13.22	0.79
APBA3	34.02	208.38	571.05	166.73	149.12	63.45	132.44	417.77	20.11	84.04	65.72	59.13	92.05	87.03	224.97	387.02	743.43	490.14	665.29	547.75	423.61	255.0	195.72	529.06	275.28	353.59	547.75	521.76	591.22	480.04	473.41	708.18	563.18	409.15	684.02	82.29
ATP13A1	460.44	679.29	1487.87	493.56	567.1	490.14	420.68	1286.18	444.72	587.13	551.56	633.73	518.15	486.75	796.86	1199.98	1594.73	1639.59	954.43	1819.35	1286.18	830.75	1066.48	1628.26	1313.23	1498.22	1143.1	1259.69	1119.56	1081.39	928.3	1304.15	1295.13	848.22	961.07	718.08
BCAT2	571.05	738.29	1216.75	376.41	351.14	246.28	167.9	1551.09	130.6	329.84	173.85	325.29	332.14	343.89	2075.59	928.3	1540.37	1397.83	1088.92	988.12	1044.52	536.45	325.29	1447.15	1286.18	1529.73	981.29	1233.75	902.89	1467.37	775.05	1769.57	1896.65	1628.26	1594.73	255.0
BTBD2	366.09	693.58	2434.5	713.11	718.08	432.53	356.05	1340.84	127.0	339.14	109.66	297.17	195.72	480.04	1457.23	1073.91	2240.11	1896.65	2061.24	1216.75	1561.89	1059.11	629.35	2384.37	708.18	1457.23	1806.78	1498.22	1977.24	1709.26	1457.23	1519.15	1769.57	1208.34	1397.83	176.29
C19orf25	79.45	190.34	928.3	211.31	170.25	134.3	157.68	473.41	53.57	187.71	97.36	46.84	102.25	120.94	708.18	480.04	947.83	642.59	884.29	575.03	429.54	231.32	264.03	688.78	249.73	591.22	819.3	825.0	878.17	651.58	688.78	941.27	988.12	624.99	988.12	76.17
C19orf43	3257.52	2502.97	8421.31	2537.92	3081.75	2915.45	1199.98	6207.38	2976.74	3146.52	2224.63	3540.14	2047.0	3874.05	4481.23	3794.3	7537.18	3847.29	7749.1	6337.83	3901.01	3235.01	4095.0	5183.54	2434.5	2758.13	5147.73	6652.97	4972.34	4095.0	5219.6	7803.01	7537.18	9344.14	8598.28	1594.73
C7orf43	239.52	269.6	684.02	208.38	204.07	171.45	115.97	423.61	102.25	172.65	314.17	151.22	348.71	178.77	358.54	483.38	738.29	476.71	780.44	642.59	279.14	460.44	281.09	363.56	379.04	543.96	463.65	466.88	470.14	555.41	376.41	728.11	470.14	483.38	486.75	90.77
CACTIN	133.36	162.14	656.11	189.02	228.13	178.77	92.7	460.44	72.52	101.54	68.07	80.01	99.43	149.12	348.71	358.54	723.08	486.75	483.38	435.55	256.78	224.97	190.34	327.56	197.09	356.05	392.44	444.72	395.18	336.79	329.84	420.68	420.68	293.07	348.71	100.83
CCDC124	226.54	320.8	4450.27	414.87	197.09	206.94	287.01	2573.36	201.25	703.28	115.97	289.02	208.38	221.86	1487.87	1388.16	3928.15	1923.14	3190.46	3081.75	1794.29	878.17	830.75	2193.99	967.76	2018.8	2627.46	2303.12	2485.67	1977.24	2047.0	2758.13	3081.75	3039.3	3124.78	255.0
CCDC9	52.82	199.85	941.27	221.86	146.03	170.25	253.23	718.08	249.73	285.03	199.85	172.65	234.57	189.02	307.69	466.88	698.41	540.19	825.0	460.44	361.04	249.73	255.0	791.35	348.71	540.19	547.75	575.03	629.35	525.39	389.72	412.0	493.56	368.65	497.0	301.33
CCDC94	137.14	194.36	1233.75	271.48	271.48	218.79	159.9	521.76	135.24	251.48	154.42	201.25	156.59	297.17	713.11	406.31	698.41	540.19	607.87	543.96	403.5	283.05	346.29	397.93	234.57	307.69	642.59	620.67	616.37	595.34	503.95	708.18	693.58	651.58	693.58	146.03
CCM2	232.94	684.02	1651.0	525.39	361.04	361.04	466.88	743.43	521.76	563.18	291.04	571.05	507.46	368.65	543.96	808.0	995.0	819.3	884.29	1030.12	447.82	532.74	426.57	624.99	371.22	583.07	620.67	878.17	1037.29	718.08	954.43	1322.37	1268.46	860.08	954.43	356.05
CD151	5995.9	4639.29	10154.69	5913.33	3081.75	4358.66	5711.87	9409.14	1135.2	2816.11	1313.23	2777.33	1583.71	2417.67	13033.07	3639.7	8598.28	6250.56	17078.76	7230.1	5672.41	4358.66	5366.37	9945.68	2895.31	6337.83	10225.32	7485.11	12160.22	6381.92	7857.29	5006.93	8901.53	6840.04	7589.61	2645.74
CDC34	205.5	450.94	2303.12	387.02	358.54	291.04	684.02	1350.18	239.52	842.36	633.73	264.03	679.29	325.29	708.18	791.35	1487.87	947.83	1457.23	1001.93	884.29	444.72	587.13	1051.79	518.15	974.5	1104.13	1313.23	1167.14	830.75	974.5	1066.48	1208.34	1104.13	1175.27	438.59
CDC37	708.18	1407.55	5292.48	1594.73	1151.06	1023.0	1674.06	3639.7	1151.06	2061.24	1369.04	1697.45	1628.26	2104.58	3039.3	2609.3	4671.57	3515.68	4298.64	5555.65	3515.68	1936.53	3614.55	3303.0	1857.6	2895.31	4123.49	3928.15	4038.61	3235.01	2935.74	4095.0	3847.29	3515.68	4066.71	1208.34
CDIPT	1794.29	1936.53	3372.43	1561.89	1721.16	1540.37	1250.98	3395.89	802.41	1304.15	551.56	1199.98	651.58	1242.34	2777.33	1304.15	3928.15	1733.13	3614.55	1594.73	1832.01	1447.15	1477.58	3443.31	1909.85	2664.15	2119.22	1923.14	2335.28	2047.0	2148.82	2193.99	2664.15	2193.99	2018.8	836.53
CLPP	497.0	1044.52	2739.08	780.44	543.96	395.18	518.15	1757.34	395.18	669.92	463.65	563.18	567.1	1051.79	1685.71	1030.12	1977.24	1529.73	1832.01	1963.57	1662.49	785.88	860.08	1794.29	825.0	1183.45	1733.13	2163.77	1685.71	1268.46	1733.13	2335.28	2178.83	1909.85	2434.5	171.45
CNOT3	403.5	473.41	1277.29	483.38	511.0	329.84	420.68	1059.11	297.17	387.02	114.36	473.41	111.99	525.39	450.94	688.78	1023.0	934.76	1127.35	1151.06	503.95	896.64	693.58	941.27	1572.76	872.1	1001.93	830.75	988.12	866.07	769.69	791.35	872.1	748.61	713.11	376.41
CROCC	12.83	48.18	616.37	59.97	52.45	33.06	64.8	389.72	14.78	47.84	11.47	24.46	19.68	42.71	251.48	267.73	265.87	435.55	444.72	186.4	100.13	99.43	68.07	205.5	104.42	236.21	214.27	195.72	166.73	186.4	167.9	181.28	209.84	163.28	167.9	15.8
CSNK1G2	217.27	830.75	1551.09	591.22	599.49	476.71	339.14	872.1	139.07	249.73	152.28	253.23	323.03	234.57	698.41	1151.06	1745.2	1388.16	1508.65	1119.56	813.63	629.35	656.11	764.36	497.0	1111.82	1081.39	1359.57	1388.16	1030.12	947.83	1467.37	941.27	866.07	941.27	299.25
CTDP1	55.49	127.0	575.03	153.34	112.77	115.16	106.63	361.04	88.26	80.01	73.54	86.43	139.07	56.28	409.15	307.69	454.09	466.88	329.84	343.89	163.28	198.47	167.9	281.09	202.66	346.29	395.18	400.71	400.71	363.56	312.0	325.29	336.79	309.83	265.87	158.79
CTU1	11.04	6.78	178.77	13.83	19.25	10.16	4.35	86.43	4.9	13.83	9.06	17.77	7.46	18.97	30.34	96.01	211.31	124.37	223.41	163.28	85.22	26.86	33.78	368.65	69.52	117.6	128.79	176.29	142.01	96.68	102.97	147.06	176.29	119.26	127.0	52.08
CYTH2	353.59	753.83	2255.7	928.3	563.18	435.55	1037.29	1119.56	334.46	559.28	503.95	559.28	665.29	633.73	1397.83	836.53	1216.75	941.27	1617.0	1151.06	1001.93	656.11	1104.13	1457.23	1111.82	1073.91	1477.58	1295.13	1250.98	1175.27	1073.91	1191.69	1191.69	796.86	1369.04	1088.92
DEDD2	536.45	432.53	1167.14	346.29	373.81	303.44	332.14	638.15	201.25	327.56	255.0	332.14	221.86	363.56	974.5	476.71	854.13	813.63	890.44	738.29	713.11	395.18	995.0	860.08	563.18	785.88	848.22	684.02	753.83	698.41	629.35	995.0	808.0	624.99	941.27	218.79
DGCR14	49.91	144.01	599.49	152.28	109.66	96.68	91.41	400.71	42.41	117.6	108.9	94.67	101.54	109.66	392.44	193.01	438.59	295.11	493.56	325.29	149.12	234.57	193.01	295.11	154.42	260.38	297.17	320.8	341.51	271.48	262.2	314.17	334.46	239.52	307.69	172.65
DMTN	23.59	454.09	860.08	473.41	450.94	603.67	124.37	1733.13	176.29	285.03	67.59	403.5	80.01	275.28	1388.16	409.15	884.29	708.18	1001.93	575.03	974.5	444.72	457.25	1359.57	698.41	536.45	599.49	563.18	947.83	915.51	476.71	688.78	878.17	1044.52	656.11	144.01
DPP7	536.45	1044.52	5479.15	808.0	607.87	656.11	848.22	2976.74	212.78	860.08	575.03	348.71	665.29	363.56	3928.15	2591.27	4010.71	2502.97	5292.48	2573.36	2664.15	1594.73	1561.89	2855.44	2193.99	2739.08	2915.45	2935.74	3467.27	2485.67	2451.44	4704.07	3901.01	3540.14	3349.13	269.6
DUS3L	46.84	145.02	854.13	209.84	214.27	88.88	209.84	490.14	55.89	84.04	130.6	110.43	190.34	139.07	555.41	514.56	698.41	438.59	595.34	759.08	633.73	327.56	432.53	503.95	423.61	366.09	575.03	559.28	476.71	343.89	312.0	633.73	341.51	348.71	583.07	131.51
ECSIT	204.07	497.0	1594.73	429.54	547.75	356.05	486.75	1030.12	167.9	279.14	142.01	289.02	199.85	363.56	967.76	713.11	1769.57	941.27	1191.69	1167.14	1277.29	698.41	607.87	1487.87	438.59	1044.52	1331.57	1498.22	1295.13	1143.1	1286.18	1378.57	1467.37	1467.37	1540.37	336.79
ELOF1	733.19	1037.29	3060.45	902.89	884.29	825.0	775.05	1540.37	595.34	967.76	497.0	802.41	454.09	1259.69	1923.14	961.07	2303.12	1286.18	1950.0	2224.63	1216.75	802.41	909.17	1662.49	583.07	1008.9	1508.65	1936.53	1407.55	1388.16	1583.71	2018.8	2209.26	1963.57	2319.15	1008.9
FAM3A	351.14	303.44	2240.11	423.61	361.04	297.17	320.8	1151.06	164.42	264.03	223.41	190.34	246.28	248.0	842.36	563.18	1437.15	1037.29	967.76	1015.93	511.0	583.07	379.04	1437.15	575.03	733.19	1498.22	1277.29	1529.73	1277.29	1119.56	1183.45	1369.04	1225.22	1104.13	173.85
FIZ1	206.94	134.3	493.56	175.07	185.11	172.65	108.14	293.07	182.55	172.65	44.25	195.72	56.28	201.25	281.09	242.88	414.87	325.29	429.54	325.29	228.13	206.94	159.9	423.61	293.07	327.56	379.04	343.89	432.53	409.15	301.33	265.87	417.77	309.83	279.14	217.27
FKBP8	947.83	2119.22	9088.59	2193.99	1477.58	1233.75	1794.29	8191.0	366.09	1216.75	381.68	693.58	571.05	753.83	5041.77	3103.19	8963.45	3901.01	7911.95	5041.77	3419.52	2004.85	1594.73	5594.3	2976.74	3168.41	6250.56	5711.87	8421.31	5995.9	6983.79	5441.3	7130.55	6294.04	5954.47	684.02
FLYWCH1	120.1	264.03	1015.93	236.21	241.19	173.85	387.02	954.43	59.55	134.3	69.03	134.3	94.67	109.66	583.07	438.59	753.83	571.05	884.29	381.68	148.09	368.65	255.0	624.99	289.02	376.41	361.04	327.56	486.75	297.17	320.8	486.75	320.8	283.05	381.68	105.15
GGT7	94.67	145.02	511.0	236.21	209.84	150.17	119.26	518.15	140.04	181.28	90.14	130.6	88.88	187.71	547.75	258.57	599.49	242.88	262.2	363.56	189.02	295.11	127.89	414.87	620.67	260.38	454.09	301.33	540.19	403.5	265.87	329.84	334.46	285.03	301.33	97.36
GPR137	532.74	780.44	1313.23	339.14	368.65	348.71	289.02	866.07	180.02	249.73	61.68	323.03	110.43	224.97	842.36	587.13	1119.56	981.29	1519.15	1159.07	934.76	511.0	476.71	1350.18	703.28	961.07	1199.98	947.83	1388.16	961.07	921.88	1066.48	1313.23	1008.9	1096.5	167.9
GTPBP6	88.26	135.24	819.3	151.22	143.01	85.22	56.28	848.22	41.22	106.63	36.79	75.11	49.21	94.01	633.73	395.18	532.74	323.03	503.95	507.46	329.84	229.72	185.11	314.17	116.78	503.95	429.54	500.46	514.56	457.25	346.29	507.46	480.04	409.15	476.71	23.76
H1FX	836.53	854.13	11424.74	995.0	1066.48	688.78	753.83	2855.44	132.44	555.41	224.97	559.28	305.55	397.93	4066.71	2209.26	2303.12	2520.38	4298.64	2537.92	902.89	1096.5	486.75	3257.52	1674.06	1721.16	3564.78	3018.3	3280.18	3212.66	2573.36	4671.57	4543.8	3235.01	4903.87	221.86
HAGH	334.46	713.11	1950.0	373.81	204.07	221.86	299.25	2193.99	299.25	351.14	339.14	312.0	540.19	299.25	3124.78	703.28	2047.0	884.29	2061.24	878.17	660.68	769.69	633.73	1081.39	860.08	1561.89	1199.98	1487.87	1081.39	1199.98	1437.15	1250.98	1313.23	1331.57	1745.2	327.56
HDAC10	88.26	215.77	830.75	172.65	140.04	108.14	98.73	532.74	37.59	212.78	96.68	103.69	140.04	309.83	507.46	830.75	1733.13	896.64	532.74	674.59	466.88	473.41	323.03	764.36	591.22	620.67	769.69	896.64	909.17	915.51	503.95	1111.82	896.64	583.07	624.99	120.1
HMG20B	563.18	1242.34	3614.55	808.0	660.68	441.64	638.15	2090.03	363.56	753.83	444.72	559.28	603.67	511.0	1208.34	1331.57	2047.0	1721.16	1977.24	1286.18	1359.57	703.28	896.64	2875.3	802.41	1883.54	1819.35	1685.71	1923.14	1583.71	1709.26	1896.65	1733.13	1407.55	1844.76	693.58
IDUA	61.68	79.45	511.0	148.09	138.1	94.67	97.36	373.81	41.52	135.24	83.45	50.63	138.1	180.02	674.59	587.13	629.35	529.06	1191.69	387.02	503.95	285.03	432.53	397.93	320.8	500.46	647.07	490.14	947.83	647.07	571.05	612.11	753.83	624.99	466.88	59.13
INO80E	371.22	665.29	2075.59	713.11	743.43	473.41	493.56	1721.16	591.22	1051.79	493.56	688.78	587.13	988.12	1199.98	1015.93	2367.9	1175.27	1991.0	1561.89	1073.91	647.07	785.88	1529.73	1250.98	1111.82	1447.15	1572.76	1594.73	1151.06	1313.23	1651.0	1685.71	1529.73	2119.22	423.61
JOSD2	281.09	176.29	3235.01	229.72	159.9	126.12	105.89	1286.18	43.63	161.02	50.63	89.51	56.28	100.83	974.5	759.08	1331.57	743.43	988.12	974.5	587.13	267.73	341.51	1001.93	149.12	780.44	1191.69	1322.37	1208.34	866.07	1015.93	1277.29	1529.73	1709.26	1295.13	25.91
KXD1	748.61	1183.45	2224.63	1242.34	1015.93	1044.52	1151.06	2287.2	981.29	1175.27	718.08	1119.56	718.08	1008.9	1628.26	1617.0	3060.45	1757.34	2915.45	2573.36	2090.03	1674.06	1508.65	2018.8	2061.24	1662.49	2075.59	2537.92	2271.4	1781.89	1896.65	2609.3	2400.97	2303.12	2758.13	819.3
LMF1	220.32	279.14	743.43	228.13	314.17	305.55	251.48	493.56	204.07	115.97	127.0	275.28	202.66	273.37	575.03	409.15	400.71	277.2	432.53	343.89	223.41	226.54	249.73	339.14	90.77	248.0	579.04	373.81	447.82	389.72	426.57	318.57	417.77	395.18	264.03	34.02
LMF2	336.79	493.56	2351.53	507.46	432.53	412.0	262.2	1359.57	115.16	432.53	91.41	253.23	126.12	244.57	967.76	988.12	1923.14	1685.71	1508.65	1088.92	967.76	785.88	497.0	2148.82	842.36	909.17	1250.98	1757.34	1340.84	954.43	1277.29	1437.15	1199.98	825.0	1127.35	199.85
LRPAP1	346.29	1487.87	4095.0	1268.46	551.56	642.59	896.64	3081.75	607.87	1008.9	1119.56	1313.23	1883.54	1066.48	7230.1	2104.58	2875.3	2573.36	3614.55	2816.11	2193.99	1508.65	1745.2	2485.67	2591.27	3103.19	3419.52	2895.31	3081.75	2520.38	2875.3	2627.46	3690.52	2875.3	2976.74	1697.45
LRRC24	5.23	17.25	109.66	4.86	9.34	3.44	0.0	57.08	2.07	4.7	0.0	3.76	0.0	2.16	18.84	38.4	24.63	51.71	23.59	65.26	30.78	10.39	3.35	67.12	34.51	33.54	41.81	37.05	63.89	47.17	47.5	62.12	27.25	16.27	43.94	0.0
LRRC61	115.16	173.85	536.45	189.02	171.45	84.63	109.66	134.3	162.14	93.35	195.72	96.01	139.07	116.78	389.72	248.0	529.06	363.56	255.0	368.65	262.2	237.86	101.54	366.09	150.17	195.72	363.56	400.71	463.65	412.0	332.14	368.65	409.15	208.38	441.64	170.25
