	TCGA.E7.A6ME.01A.22R.A32O.07	TCGA.BH.A0B6.01A.11R.A19W.07	TCGA.S3.AA0Z.01A.11R.A41B.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.CJ.4640.01A.02R.1325.07	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.147F4.0926.SM.5Q5EO	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.V1D1.0826.SM.3P5ZA	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.PX3G.0526.SM.2I3EM	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13QJC.0526.SM.5RQKB	GTEX.13FLV.0426.SM.5KLZA	GTEX.13VXU.2726.SM.5LU4N	GTEX.11NUK.0826.SM.5HL4U	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.OXRL.0526.SM.2I3EZ	GTEX.SUCS.0626.SM.32PM5	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
AARS2	346.29	156.59	426.57	201.25	172.65	218.79	180.02	228.13	170.25	68.55	90.14	125.24	181.28	136.19	173.85	42.11	113.56	54.33	194.36	182.55	48.87	49.91	76.71	34.02	201.25	162.14	65.72	44.25	35.5	108.14	87.65	145.02	181.28	151.22	92.7	80.01	26.1	44.57	40.64	54.72	47.84
ABT1	890.44	616.37	813.63	435.55	412.0	450.94	341.51	490.14	426.57	366.09	269.6	318.57	426.57	289.02	371.22	244.57	511.0	229.72	540.19	616.37	343.89	154.42	195.72	486.75	497.0	281.09	226.54	381.68	283.05	285.03	201.25	460.44	432.53	543.96	191.67	267.73	521.76	269.6	381.68	239.52	303.44
AKT1S1	1135.2	1651.0	1143.1	1313.23	633.73	1096.5	1175.27	1143.1	738.29	753.83	339.14	497.0	1268.46	1417.35	555.41	218.79	884.29	343.89	1059.11	902.89	457.25	277.2	723.08	325.29	1467.37	660.68	403.5	384.34	389.72	633.73	529.06	665.29	967.76	988.12	470.14	244.57	231.32	703.28	376.41	281.09	351.14
ALG3	1733.13	1191.69	1936.53	934.76	713.11	1143.1	1135.2	1551.09	698.41	392.44	536.45	547.75	651.58	915.51	830.75	232.94	698.41	307.69	934.76	988.12	199.85	208.38	297.17	249.73	1088.92	409.15	336.79	285.03	191.67	358.54	264.03	633.73	866.07	915.51	226.54	224.97	281.09	356.05	334.46	327.56	177.53
ARV1	612.11	728.11	1167.14	1001.93	329.84	759.08	295.11	1111.82	624.99	395.18	470.14	483.38	429.54	414.87	607.87	153.34	490.14	269.6	547.75	507.46	157.68	148.09	189.02	58.3	629.35	309.83	307.69	151.22	118.43	303.44	228.13	728.11	603.67	555.41	224.97	241.19	110.43	305.55	226.54	185.11	129.69
BCL7C	1540.37	884.29	974.5	890.44	567.1	708.18	669.92	674.59	842.36	651.58	583.07	728.11	884.29	921.88	848.22	289.02	518.15	529.06	1119.56	733.19	483.38	341.51	748.61	612.11	1769.57	591.22	381.68	480.04	251.48	785.88	603.67	890.44	599.49	540.19	518.15	507.46	301.33	318.57	480.04	497.0	490.14
BOLA1	1508.65	723.08	1191.69	1111.82	414.87	796.86	373.81	941.27	529.06	376.41	361.04	248.0	242.88	371.22	688.78	74.58	454.09	198.47	660.68	688.78	148.09	88.26	307.69	105.89	599.49	289.02	320.8	105.15	176.29	420.68	214.27	540.19	629.35	595.34	116.78	100.83	90.77	384.34	312.0	143.01	223.41
BOLA2B	5441.3	2895.31	4152.18	2645.74	1519.15	3190.46	2434.5	1639.59	1359.57	1457.23	2061.24	961.07	2004.85	1540.37	1662.49	299.25	1208.34	438.59	2351.53	1477.58	559.28	551.56	753.83	638.15	1963.57	902.89	599.49	878.17	432.53	1008.9	1304.15	1457.23	713.11	1259.69	802.41	688.78	587.13	928.3	995.0	647.07	591.22
BRMS1	1628.26	1697.45	909.17	1151.06	909.17	1388.16	775.05	1111.82	988.12	902.89	769.69	733.19	854.13	738.29	995.0	332.14	1167.14	466.88	1350.18	1059.11	303.44	353.59	392.44	397.93	1259.69	872.1	575.03	463.65	361.04	698.41	551.56	1225.22	866.07	1104.13	400.71	351.14	406.31	713.11	555.41	368.65	420.68
C12orf52	555.41	629.35	353.59	441.64	255.0	269.6	226.54	295.11	293.07	262.2	151.22	234.57	218.79	232.94	299.25	92.7	334.46	164.42	314.17	307.69	115.97	127.89	124.37	87.65	371.22	187.71	151.22	106.63	97.36	143.01	100.13	334.46	363.56	371.22	106.63	111.99	90.77	173.85	126.12	95.34	111.99
