	GTEX.SE5C.1026.SM.4BRUG	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.YJ8O.0326.SM.5RQJW	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZYW4.1626.SM.5GIE6	GTEX.Y111.1826.SM.4SOIR	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.13FLV.1326.SM.5L3EJ	GTEX.132NY.2026.SM.5L3FM	GTEX.12696.1526.SM.5EGL6	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OVL.2726.SM.5J2MP	GTEX.ZAK1.1826.SM.5HL93	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.145MO.1526.SM.5QGQC	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.RU72.0826.SM.46MUS	GTEX.146FQ.1126.SM.5NQBM	GTEX.11DXY.1526.SM.5H129	GTEX.RTLS.1226.SM.46MUP	GTEX.11ONC.1426.SM.5N9F4	GTEX.13QJ3.1826.SM.5S2PT	GTEX.ZAB4.1226.SM.5CVN5	GTEX.T5JC.1826.SM.4DM6E	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.YECK.1726.SM.5IFI3	GTEX.117YW.2026.SM.5N9BH	GTEX.145MH.1226.SM.5RQJT	GTEX.P4QT.0726.SM.3NMCM	GTEX.ZYT6.1226.SM.5E44Q	GTEX.WZTO.1526.SM.4PQYQ	GTEX.T2IS.0926.SM.4DM5B	GTEX.RWSA.1326.SM.47JX9	GTEX.14C5O.2826.SM.5RQI6	GTEX.WK11.2626.SM.4OOSK	TCGA.AG.3732.11A.01R.1660.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.8371.01A.11R.2343.13	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.FP.7735.11A.01R.2055.13	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.FP.7829.11A.01R.2055.13	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.S4P3.0726.SM.4AD57	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX
AC090186.1	703.28	555.41	551.56	620.67	470.14	518.15	718.08	555.41	688.78	463.65	624.99	476.71	529.06	813.63	836.53	1674.06	2319.15	1088.92	1832.01	890.44	1175.27	1498.22	902.89	1286.18	688.78	2271.4	1628.26	1950.0	1378.57	1757.34	1950.0	1008.9	1870.53	1295.13	974.5	1066.48	713.11	1135.2	1277.29	1685.71	1378.57	1561.89	974.5	1709.26	1242.34	1487.87	1662.49	1781.89	435.55	1143.1	1674.06	1111.82	836.53	1175.27	884.29	981.29	470.14	836.53	941.27	921.88	629.35	1023.0	563.18	679.29	1175.27	397.93	759.08	98.73	551.56	237.86
ACP6	181.28	249.73	325.29	389.72	241.19	157.68	476.71	242.88	426.57	591.22	224.97	256.78	336.79	301.33	371.22	769.69	525.39	1199.98	808.0	414.87	575.03	575.03	1059.11	583.07	674.59	915.51	660.68	981.29	921.88	620.67	1030.12	587.13	1135.2	967.76	642.59	825.0	403.5	435.55	753.83	633.73	780.44	872.1	1104.13	1151.06	802.41	1059.11	450.94	813.63	412.0	470.14	860.08	896.64	1119.56	866.07	244.57	583.07	429.54	551.56	316.37	476.71	397.93	389.72	423.61	361.04	320.8	368.65	387.02	232.94	323.03	178.77
AGAP6	120.94	55.1	76.71	77.25	80.01	79.45	220.32	256.78	133.36	217.27	327.56	329.84	423.61	190.34	397.93	525.39	575.03	934.76	1066.48	356.05	444.72	457.25	612.11	718.08	674.59	733.19	660.68	1313.23	525.39	703.28	753.83	486.75	1119.56	1051.79	785.88	620.67	201.25	575.03	866.07	780.44	1127.35	698.41	642.59	607.87	860.08	738.29	432.53	743.43	133.36	723.08	723.08	486.75	543.96	64.34	72.01	182.55	177.53	275.28	392.44	172.65	329.84	212.78	275.28	140.04	194.36	128.79	305.55	64.8	36.79	56.68
AMDHD2	435.55	279.14	241.19	256.78	234.57	260.38	486.75	384.34	376.41	379.04	435.55	420.68	551.56	297.17	493.56	808.0	543.96	490.14	848.22	532.74	336.79	599.49	536.45	536.45	460.44	698.41	563.18	764.36	454.09	414.87	775.05	511.0	854.13	753.83	616.37	693.58	309.83	463.65	529.06	540.19	503.95	825.0	476.71	599.49	521.76	896.64	289.02	629.35	141.02	480.04	669.92	693.58	406.31	166.73	376.41	334.46	334.46	420.68	253.23	316.37	346.29	251.48	363.56	316.37	228.13	373.81	289.02	341.51	201.25	253.23
AMY2B	84.04	61.25	67.12	118.43	47.84	114.36	130.6	226.54	177.53	260.38	264.03	275.28	536.45	234.57	476.71	1331.57	1127.35	1639.59	2163.77	587.13	753.83	688.78	1073.91	1104.13	909.17	1628.26	1757.34	2915.45	1081.39	1350.18	1662.49	1015.93	2163.77	1709.26	1388.16	1233.75	217.27	928.3	1896.65	1447.15	1628.26	2367.9	1088.92	1540.37	1340.84	2004.85	607.87	1662.49	119.26	1111.82	1427.22	1883.54	1104.13	151.22	161.02	309.83	242.88	312.0	480.04	138.1	325.29	285.03	318.57	122.64	237.86	169.07	291.04	59.13	28.86	44.57
ANAPC2	366.09	387.02	438.59	392.44	356.05	432.53	599.49	723.08	551.56	651.58	836.53	575.03	791.35	624.99	902.89	1233.75	1096.5	1529.73	1639.59	718.08	884.29	1073.91	1605.83	1051.79	1151.06	1674.06	1304.15	1870.53	1183.45	808.0	1639.59	1059.11	1561.89	1508.65	1295.13	1183.45	540.19	1023.0	1286.18	1322.37	1322.37	1199.98	842.36	1233.75	1340.84	1819.35	974.5	1225.22	480.04	1015.93	1447.15	1208.34	1191.69	361.04	490.14	563.18	684.02	728.11	518.15	624.99	713.11	679.29	748.61	599.49	466.88	633.73	511.0	368.65	271.48	301.33
ATG4D	358.54	226.54	332.14	334.46	214.27	332.14	376.41	647.07	629.35	295.11	547.75	470.14	320.8	423.61	540.19	921.88	836.53	693.58	836.53	457.25	551.56	669.92	633.73	599.49	587.13	679.29	591.22	909.17	743.43	616.37	629.35	547.75	656.11	872.1	563.18	698.41	473.41	540.19	796.86	698.41	764.36	660.68	660.68	454.09	836.53	703.28	791.35	563.18	395.18	642.59	555.41	796.86	780.44	514.56	438.59	486.75	780.44	395.18	256.78	463.65	403.5	376.41	339.14	470.14	351.14	432.53	267.73	368.65	363.56	334.46
BRF1	289.02	332.14	353.59	353.59	239.52	303.44	332.14	429.54	371.22	417.77	397.93	463.65	493.56	473.41	493.56	713.11	825.0	791.35	915.51	438.59	529.06	595.34	743.43	633.73	723.08	836.53	728.11	1104.13	616.37	647.07	748.61	536.45	743.43	688.78	612.11	703.28	392.44	483.38	638.15	647.07	703.28	642.59	642.59	764.36	733.19	802.41	665.29	583.07	358.54	575.03	808.0	638.15	595.34	312.0	414.87	412.0	432.53	521.76	316.37	348.71	441.64	368.65	441.64	476.71	366.09	460.44	403.5	234.57	244.57	224.97
C6orf163	5.54	6.16	2.68	15.11	7.88	3.99	1.48	6.89	15.8	16.15	13.83	9.78	18.84	5.96	16.27	30.56	49.56	28.86	37.32	25.54	11.04	29.7	25.54	23.08	32.36	81.71	52.08	80.01	20.86	18.03	103.69	28.24	89.51	49.56	41.22	48.87	16.15	15.22	22.92	32.59	20.26	53.95	28.24	40.07	42.71	57.89	20.56	28.86	1.55	32.82	60.39	29.06	36.01	1.39	9.7	34.75	12.93	47.17	20.41	18.97	29.91	28.04	16.63	12.0	30.34	6.06	26.67	5.54	1.6	3.66
CCDC154	7.82	0.0	3.14	2.66	2.25	3.14	6.67	13.62	8.58	18.16	18.43	11.38	21.16	11.3	33.54	132.44	78.34	60.39	167.9	18.7	53.95	92.05	24.81	74.58	90.14	90.77	149.12	141.02	87.65	57.08	209.84	54.72	194.36	119.26	78.89	80.57	11.73	60.39	134.3	109.66	56.28	42.41	55.89	71.0	89.51	50.63	97.36	126.12	3.47	45.21	98.04	71.0	19.25	10.79	44.57	0.0	21.63	21.47	12.83	8.78	26.1	12.74	12.27	6.21	12.45	19.82	9.85	1.43	2.58	0.39
