	GTEX.S32W.1526.SM.4AD6Z	GTEX.S341.1326.SM.4AD72	GTEX.S32W.1626.SM.4AD6G	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.148VI.0226.SM.5RQKA	GTEX.145MN.0926.SM.5NQBT	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.11ZTT.0626.SM.5EQLM	GTEX.ZYWO.0826.SM.5E45W	TCGA.56.6545.01A.11R.1820.07	TCGA.FL.A1YN.11A.11R.A32Y.07
ADGB	23.76	14065.74	82.87	0.0	0.0	115.97	195.72	447.82	518.15	126.12	283.05	346.29	130.6	0.21	32.13
ADH6	1.1	31.67	5.15	0.0	0.16	17.13	30.12	61.25	83.45	29.27	269.6	44.25	18.84	4.06	20.56
AK7	43.94	3690.52	15.11	0.0	0.0	141.02	514.56	842.36	688.78	607.87	1628.26	1015.93	323.03	4.24	118.43
AKAP14	36.27	9876.98	31.45	0.0	0.0	412.0	780.44	1583.71	1175.27	507.46	2148.82	1508.65	457.25	16.27	69.52
AL118506.1	2.07	31.22	6.73	0.0	0.09	40.64	89.51	151.22	202.66	46.5	85.22	169.07	24.81	8.78	22.59
ALS2CR12	11.91	61.25	5.54	0.0	0.23	65.26	144.01	414.87	141.02	78.34	231.32	112.77	30.12	4.43	19.82
ANKRD66	24.11	107203.06	0.0	0.0	0.0	212.78	511.0	1127.35	733.19	444.72	1639.59	1167.14	314.17	0.0	52.82
APOBEC4	3.66	660.68	3.66	0.0	0.0	77.79	241.19	387.02	723.08	187.71	426.57	353.59	87.03	0.0	29.27
ARMC2	40.07	145.02	61.25	0.0	0.11	127.89	258.57	518.15	426.57	172.65	351.14	441.64	108.9	59.97	80.01
ARMC3	26.28	220434.95	67.12	0.0	0.0	199.85	547.75	1331.57	1143.1	603.67	1561.89	1119.56	507.46	0.62	139.07
BCO2	23.93	85.22	23.08	0.0	0.4	92.7	175.07	351.14	825.0	169.07	279.14	242.88	105.89	19.97	115.97
BTG4	0.0	228.13	0.0	0.0	0.0	18.43	35.5	127.0	41.22	25.54	96.01	59.55	9.2	0.0	5.5
C10orf111	1.27	42.41	4.74	0.0	0.0	18.84	15.8	31.67	36.01	15.34	31.45	21.32	9.27	2.14	5.02
C10orf67	15.8	638.15	9.48	0.0	0.0	103.69	242.88	466.88	283.05	112.77	521.76	246.28	22.92	1.95	3.06
C10orf95	38.67	791.35	12.64	0.0	0.04	153.34	612.11	902.89	813.63	559.28	1167.14	813.63	204.07	8.25	72.01
C11orf70	144.01	3146.52	153.34	0.0	0.02	127.0	684.02	1769.57	981.29	878.17	2664.15	967.76	753.83	38.12	242.88
C14orf79	199.85	981.29	241.19	0.0	0.0	285.03	387.02	743.43	733.19	336.79	547.75	476.71	251.48	77.79	327.56
C15orf26	1.13	981.29	21.47	0.0	0.05	122.64	123.5	299.25	195.72	249.73	543.96	264.03	94.01	12.18	31.67
C16orf71	37.85	1977.24	2.81	0.0	0.0	119.26	262.2	647.07	379.04	279.14	616.37	406.31	101.54	13.52	41.81
C17orf72	90.77	36610.26	62.12	0.0	0.25	281.09	830.75	3060.45	4268.94	759.08	1909.85	1628.26	267.73	20.26	146.03
C1orf189	0.0	16269.83	73.03	0.0	0.0	229.72	559.28	1651.0	981.29	454.09	1721.16	1051.79	117.6	0.0	133.36
C1orf192	148.09	506427.83	104.42	0.0	0.0	612.11	1662.49	3794.3	2591.27	1437.15	3395.89	2537.92	1437.15	53.19	493.56
C1orf194	529.06	3134925.09	995.0	0.0	0.0	2287.2	6337.83	13586.57	14065.74	4328.55	16269.83	9673.69	2178.83	2.32	1081.39
C20orf85	1674.06	4223476.69	1977.24	0.0	0.0	2915.45	12502.12	34396.12	27553.49	11504.21	38430.46	20881.4	4972.34	2.94	921.88
C22orf15	10.63	780.44	3.63	0.0	0.0	177.53	679.29	1388.16	1175.27	423.61	1023.0	733.19	178.77	7.06	35.76
C2orf50	5.82	2335.28	7.69	0.0	0.0	43.32	97.36	220.32	218.79	100.13	273.37	171.45	81.14	2.2	19.39
C2orf62	5.68	5791.62	16.39	0.0	0.18	148.09	559.28	1216.75	1030.12	341.51	848.22	612.11	119.26	2.68	110.43
C4orf22	0.0	6652.97	0.0	0.0	0.0	127.0	366.09	441.64	708.18	293.07	679.29	454.09	88.88	0.0	34.02
C6ORF165	16.27	5219.6	62.56	0.0	0.0	111.99	389.72	1001.93	518.15	358.54	878.17	802.41	265.87	13.22	49.91
C6orf118	100.83	138544.47	32.13	0.0	0.0	167.9	476.71	1059.11	1313.23	532.74	1467.37	872.1	231.32	0.36	66.65
C7orf57	0.0	3794.3	4.17	0.0	0.0	214.27	232.94	665.29	454.09	204.07	521.76	591.22	165.57	3.82	26.86
C9orf116	251.48	33455.53	190.34	0.0	0.0	629.35	1331.57	3103.19	2835.7	1233.75	3103.19	1844.76	1159.07	45.85	466.88
C9orf117	87.65	59474.18	78.89	0.0	0.0	403.5	764.36	1437.15	1594.73	579.04	1051.79	928.3	239.52	11.21	165.57
C9orf135	155.5	32994.92	36.79	0.0	0.0	264.03	1030.12	2682.69	3124.78	1030.12	3901.01	1923.14	1216.75	0.0	101.54
C9orf171	76.17	336441.4	28.04	0.0	0.0	97.36	540.19	848.22	854.13	624.99	1127.35	529.06	414.87	0.84	78.34
C9orf24	473.41	687022.54	111.21	0.0	0.0	2193.99	4450.27	12764.83	13492.72	4543.8	11424.74	8840.04	3235.01	0.61	669.92
CAPSL	540.19	677564.08	177.53	0.0	0.0	480.04	1417.35	3742.05	2915.45	1651.0	4972.34	2777.33	1331.57	1.81	220.32
CASC1	27.25	1617.0	12.27	0.0	0.0	136.19	178.77	518.15	575.03	201.25	836.53	483.38	105.89	6.01	61.25
CATSPERD	133.36	7537.18	10.31	0.0	0.0	232.94	1111.82	2303.12	1733.13	624.99	1104.13	1447.15	201.25	0.0	92.7
CCDC108	28.45	38697.77	53.95	0.0	0.0	241.19	521.76	1081.39	872.1	414.87	981.29	791.35	267.73	0.16	63.45
CCDC11	15.34	5076.84	27.25	0.0	0.0	70.51	493.56	819.3	791.35	389.72	928.3	595.34	186.4	4.35	149.12
CCDC113	74.58	2816.11	111.99	0.0	0.0	111.99	295.11	591.22	521.76	303.44	733.19	441.64	312.0	137.14	113.56
CCDC114	35.0	20030.74	33.78	0.0	0.0	205.5	866.07	1427.22	1757.34	591.22	1183.45	819.3	293.07	0.49	139.07
CCDC135	13.52	15392.14	23.42	0.0	0.0	125.24	368.65	679.29	607.87	316.37	536.45	483.38	253.23	1.14	50.98
CCDC151	98.73	5255.91	33.3	0.0	0.0	108.9	237.86	529.06	507.46	218.79	348.71	309.83	237.86	3.41	56.68
CCDC153	69.52	1806.78	28.24	0.0	0.0	287.01	708.18	1651.0	1437.15	563.18	1104.13	974.5	293.07	23.93	134.3
CCDC157	97.36	1066.48	103.69	0.0	0.03	145.02	181.28	483.38	493.56	187.71	295.11	236.21	178.77	40.93	67.59
CCDC17	36.53	11345.82	63.89	0.0	0.17	466.88	1001.93	2400.97	3443.31	981.29	2004.85	1151.06	376.41	6.84	181.28
