	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.LN.A9FP.01A.31R.A38D.31	GTEX.144GM.1626.SM.5O9AG	GTEX.12BJ1.1426.SM.5BC5Q	GTEX.12WSL.1326.SM.5LZVW	GTEX.S3XE.0826.SM.4AD4U	GTEX.139YR.1626.SM.5IJGK	GTEX.145ME.0626.SM.5O99Q	GTEX.Y3I4.1026.SM.4TT2C	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.OOBJ.0826.SM.3NB2K	GTEX.139TS.1426.SM.5IFJD	GTEX.RU72.1426.SM.46MUF	GTEX.12KS4.1326.SM.5LUB3	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VQ.A94P.01A.13R.A414.31	GTEX.U8T8.1226.SM.4E3IH
ACP6	316.37	256.78	371.22	248.0	265.87	229.72	271.48	229.72	325.29	490.14	511.0	426.57	432.53	142.01	373.81	379.04	281.09	248.0	301.33	389.72	728.11	547.75	470.14	500.46	353.59	320.8	0.0	0.64	289.02	145.02
ADI1	11035.54	872.1	1583.71	1819.35	961.07	981.29	1437.15	1697.45	1963.57	6561.36	11267.44	6652.97	7230.1	6561.36	10296.45	10883.59	10585.95	8598.28	7081.29	12589.08	19618.49	34396.12	21468.49	14262.1	13776.25	14561.8	0.0	0.4	866.07	688.78
ATP5L	7537.18	5147.73	6607.01	5219.6	3443.31	3955.48	6121.9	5441.3	5711.87	6652.97	7966.99	5366.37	5791.62	6561.36	7280.4	5633.22	7803.01	8963.45	7081.29	8479.89	6079.61	8421.31	9945.68	9344.14	10808.41	14561.8	0.0	0.99	5517.27	4239.45
BLVRB	7857.29	1870.53	2061.24	3081.75	2835.7	2303.12	2777.33	1844.76	2720.15	6426.31	6983.79	9945.68	6607.01	6037.61	5594.3	4298.64	7230.1	6607.01	4239.45	5633.22	13492.72	20737.16	8134.41	16611.71	8718.32	7803.01	0.0	0.6	1857.6	1015.93
C11orf1	830.75	381.68	312.0	454.09	295.11	309.83	387.02	297.17	525.39	698.41	1008.9	629.35	412.0	665.29	603.67	638.15	872.1	738.29	543.96	785.88	1605.83	2502.97	1487.87	1427.22	872.1	1081.39	0.0	0.26	759.08	470.14
C21orf67	63.45	21.01	9.63	26.67	21.63	16.27	18.03	17.77	28.24	87.03	80.01	67.59	71.5	59.13	48.52	57.89	54.33	55.1	21.78	51.71	90.14	74.06	37.59	82.29	62.12	90.77	0.0	0.03	33.78	14.03
CCDC106	387.02	229.72	234.57	212.78	381.68	191.67	341.51	275.28	356.05	728.11	371.22	312.0	329.84	389.72	327.56	395.18	575.03	358.54	269.6	295.11	674.59	679.29	503.95	764.36	514.56	638.15	0.0	0.43	447.82	336.79
CCS	2591.27	1286.18	866.07	679.29	1183.45	1044.52	1066.48	1059.11	1250.98	1977.24	3235.01	2520.38	2018.8	2224.63	1819.35	1909.85	1819.35	2573.36	1923.14	2255.7	1883.54	2645.74	2855.44	3039.3	2701.35	2485.67	0.0	0.53	1225.22	583.07
CISD3	3443.31	612.11	890.44	633.73	909.17	669.92	796.86	603.67	1001.93	3257.52	3690.52	2591.27	2032.85	2627.46	2835.7	2591.27	3768.09	3716.2	2701.35	3146.52	4869.99	6699.25	3467.27	4388.98	6381.92	5594.3	0.0	0.38	785.88	356.05
CMC2	1073.91	1340.84	1008.9	878.17	866.07	693.58	1286.18	1037.29	842.36	967.76	1639.59	1259.69	1081.39	1159.07	934.76	1359.57	1277.29	1397.83	974.5	1277.29	1191.69	2739.08	1286.18	1857.6	1143.1	2609.3	0.0	0.6	909.17	808.0
CRADD	718.08	291.04	171.45	283.05	348.71	348.71	336.79	264.03	334.46	595.34	612.11	647.07	599.49	878.17	1015.93	808.0	575.03	813.63	616.37	860.08	842.36	1066.48	954.43	995.0	688.78	878.17	0.0	0.58	209.84	212.78
CUTA	5183.54	2739.08	4298.64	2520.38	2367.9	2104.58	3515.68	2796.65	4038.61	4543.8	6426.31	4607.24	7803.01	5366.37	4575.41	4419.52	4736.79	5555.65	4038.61	4937.99	6426.31	10585.95	5954.47	8363.13	7230.1	7537.18	0.0	1.08	3928.15	2816.11
DNPH1	2997.45	1191.69	1030.12	1378.57	934.76	647.07	1685.71	1127.35	1388.16	2384.37	4512.4	2240.11	4038.61	2502.97	1991.0	2193.99	2997.45	3190.46	1936.53	2119.22	3124.78	4836.35	3515.68	4639.29	3190.46	3443.31	0.0	0.27	1369.04	395.18
FAM162A	2609.3	1769.57	2335.28	1498.22	909.17	1322.37	1594.73	1388.16	1617.0	3349.13	4671.57	2090.03	1519.15	1991.0	2335.28	2255.7	4268.94	2777.33	1963.57	3146.52	6294.04	8134.41	4388.98	5831.91	3257.52	3982.99	1883.54	162.14	2047.0	1594.73
FAM195A	1519.15	525.39	884.29	532.74	616.37	493.56	785.88	848.22	759.08	1991.0	1135.2	1540.37	1191.69	1242.34	1639.59	1199.98	2555.58	1896.65	1023.0	1757.34	2163.77	3768.09	1605.83	2997.45	3018.3	2520.38	0.0	0.52	688.78	438.59
FDX1	723.08	124.37	171.45	224.97	153.34	166.73	236.21	178.77	131.51	684.02	473.41	684.02	808.0	567.1	579.04	583.07	813.63	638.15	647.07	842.36	629.35	1427.22	753.83	785.88	1225.22	915.51	0.0	0.33	264.03	281.09
